entry,year,genre,source,a,b,c,text
138,1827,FIC,BuccaneersARomance,A,B,C,"  swipes; -- diabolo! but you land lubbers are always stupid, like the albatross -- but little can be got out of you, for as it is said"
3,1835,FIC,AnOldSailorsYarns,A,B,C,"  "" I suspect, dearest Isabella, that you will search in vain through the Albatross to find a single person, man or boy, that is prepared to admit"
7,1835,FIC,AnOldSailorsYarns,A,B,C,"  hills in the rear of the town, they had the pleasure of seeing the Albatross commence reducing her sails; presently the topsails were clewed up, and the jib"
8,1835,FIC,AnOldSailorsYarns,A,B,C,"  , sir, "" said the helmsman very deliberately. The double-shotted broadside of the Albatross was followed by three thundering cheers. Her fire, although not exactly a raking"
14,1835,FIC,AnOldSailorsYarns,A,B,C,"  seemed impossible to have enabled Captain Williams to reach his ship, by seeing the Albatross, under jib and spanker, slowly standing to the westward, and again anchoring"
19,1835,FIC,AnOldSailorsYarns,A,B,C,"  directed discharge of canister-shot and bags of musket-balls from the two midship guns of the Albatross, Captain Pinto, at the head of about fifty men, the sole remnant"
24,1835,FIC,AnOldSailorsYarns,A,B,C,"  : it was different forty years since, and the outfit of the good ship Albatross had an eye to the comforts of the crew as well as the profits of"
34,1835,FIC,AnOldSailorsYarns,A,B,C,"  , to Juanita's house, and thence by him conveyed carefully on board the Albatross, and safely deposited in his chest. Having settled this affair so much to"
36,1835,FIC,AnOldSailorsYarns,A,B,C,"  lieutenant had received a slight splinter-wound in the foot at the first fire of the Albatross, in consequence of which he went below, and had not been seen on"
41,1835,FIC,AnOldSailorsYarns,A,B,C,"  's account of himself -- namely, that he was first officer of the ship Albatross, of Boston, commanded by Captain Israel Williams; that she had put in"
48,1835,FIC,AnOldSailorsYarns,A,B,C,"  was anarchy and confusion on board. A few minutes after she drifted from the Albatross, her foremast, already badly crippled and no longer supported by the bowsprit,"
53,1835,FIC,AnOldSailorsYarns,A,B,C,"  seventy fine, large fish flouncing and fluttering their last on the forecastle of the Albatross. The cooks at the galley, who had quietly prepared the usual Sunday dinner"
66,1835,FIC,AnOldSailorsYarns,A,B,C,"  'S LABOR'S LOST. The rising sun the next day beheld the good ship Albatross, under the impulse of a very gentle breeze, gliding towards the west;"
67,1835,FIC,AnOldSailorsYarns,A,B,C,"  fathers. A heavier sea than ordinary, a moment after this, lifted the Albatross, and forced her ahead: the bowsprit of her antagonist snapped close to the"
69,1835,FIC,AnOldSailorsYarns,A,B,C,"  return to the gentleman we have left dangling in the starboard mizzen-rigging of the ship Albatross: his countenance was indeed somewhat tanned, but his forehead was as clear and"
70,1835,FIC,AnOldSailorsYarns,A,B,C,"  he might find a hundred and fifty connected with a single matrimonial engagement. The Albatross arrived at Long Wharf early in the afternoon; and Morton, having deposited his"
88,1835,FIC,AnOldSailorsYarns,A,B,C,"  at a distance of about forty yards, when a twelve-pound shot passed through the Albatross's larboard quarter, and, encountering the steward's pantry in its progress,"
94,1835,FIC,AnOldSailorsYarns,A,B,C,"  off shortly after they condescended to mount guard on the stern of the good ship Albatross, in consequence of coming into frequent collision with the gunwale of the jolly-boat,"
95,1835,FIC,AnOldSailorsYarns,A,B,C,"  , that had not as yet brought forward its accompanying fogs and haze. The Albatross, her thin masts clothed from trucks to deck with snow-white canvass, dashed rapidly"
99,1835,FIC,AnOldSailorsYarns,A,B,C,"  the hope of getting to windward; but in this he was foiled by the Albatross tacking also, and, in spite of all the Spaniard's manoeuvring, retaining"
119,1835,FIC,AnOldSailorsYarns,A,B,C,"  by lying so far up the harbor, was out of the line between the Albatross and the point where it was intended to send a boat that night; and"
123,1835,FIC,AnOldSailorsYarns,A,B,C,"  to a murderous raking fire of grape and cannister shot, from such of the Albatross's guns as could be brought to bear upon her. Notwithstanding this, the"
129,1835,FIC,AnOldSailorsYarns,A,B,C,"  so she proved herself, at least for a time. The passage of the Albatross from the cradle of liberty and aristocracy to Valparaiso was unusually short, considering that"
132,1835,FIC,AnOldSailorsYarns,A,B,C,"  condescension, and even hinted at the probability of his making another visit to the Albatross, to which hint the seaman replied as politely as could be expected. It"
