entry,year,genre,source,a,b,c,text
1,1836,FIC,Philothea,A,B,C,"  , being admitted to the assemblies of Olympus, he brought away the nectar and ambrosia of the gods, and gave them unto mortals. Sometimes, when I have"
2,1837,FIC,Zinzendorff,A,B,C,"  , Changing our hard couch for the gate of Heaven. They feed us on ambrosia, till we loath Our household bread. To traverse all untir'd Broad realms"
3,1838,FIC,GentlemanLyons,A,B,C,  introduce me. Such a creature -- such a face -- form -- lips -- ambrosia and nectar! Capt. D. Captain Dupuis Come along: I'll help the
4,1841,MAG,NorthAmRev,A,B,C,"  morning; and glad enough we were to get it, for no nectar and ambrosia were sweeter to the lazy immortals, than was a pot of hot tea,"
5,1843,FIC,IdomenValeYumuri,A,B,C,"  , "" does he not seem some creature of mythology, with flesh composed of ambrosia and ichor instead of mortal blood; are not the sublime and beautiful united and"
6,1844,FIC,BiddyWoodhullThe,A,B,C,"  answered Frid. True, that is proper. None but gentleman should drink. Ambrosia is for gods, and gin for gentlemen! understand that Frid. It's"
7,1845,FIC,Pioneers,A,B,C,"  placed, sir; and at what table is he to receive his nectar and ambrosia??? With Benjamin and Remarkable,? interrupted Mr. Jones;? you"
8,1845,FIC,LostPleiad,A,B,C,"  of pure Love, Nursed by Religion in the Bowers of Truth, And on Ambrosia, which the Months do bring, Fed by the Spirit of perpetual Spring."
9,1846,FIC,Typee,A,B,C,"  and their hearts half devoured. However, we quickly despatched them, and no ambrosia could have been more delicious. We looked about us uncertain whither to direct our"
10,1849,FIC,WoodmanOtherPoems,A,B,C,"  music in thy dream, Than the tap of the hard-billed woodpecker, And suck ambrosia from tipped columbine, And out the red fox-grape crush a tart wine. Be"
11,1849,FIC,Atalantis,A,B,C,"  , And live on zephyrs, and have stars for lamps, And night-dews for ambrosia; perch'd on beams, Speeding through space, even with the scattering light"
12,1850,FIC,LorgnetteStudies,A,B,C,"  towns for a season; but it is to be feared, that without the ambrosia of town Deism, they would soon sink to the level of ordinary men."
13,1851,FIC,WordsWise,A,B,C,"  slowly. There was nothing gross in the action, but it might have been ambrosia. He had pushed the big spectacles up on his head for comfort, and"
14,1853,FIC,Virginalia,A,B,C,"  this fond heart of mine, The soft caressings of impassioned pain; Wormwood, Ambrosia -- death, the life divine -- If I, in Kingdom Come, with"
15,1854,FIC,Eventide ASeries,A,B,C,"  the mother. "" Next in order comes my second jewel. Now Dulcinea Ophelia Ambrosia Josephine, my adored remembrance of Don Quixote, Shakspeare, the Naiads, and"
16,1854,NF,HistoryEngland,A,B,C,"  to decorate the interior with gorgeous frescoes which represented the gods at their banquet of ambrosia. Very reluctantly, and only in compliance with the earnest and almost angry importunity"
17,1855,MAG,Harpers,A,B,C,"  to Northern nations. Though we know not what may have been the nectar and ambrosia of the gods on Olympus, we are fully let into the secrets of the"
18,1856,FIC,HomeAndAbroad,A,B,C,"  in future. Only those whom the Powers have furnished with small travelling cases of ambrosia can take exercise all day, and be happy without even bread morning or night"
19,1856,FIC,HomeAndAbroad,A,B,C,"  first drinking some of the water, which was as good at that time as ambrosia. I crossed in that place because the waterfall made steps, as it were"
20,1856,FIC,PrueI,A,B,C,"  than any girl of her age; but stale bread from Prue's hand was ambrosia to my palate. "" She who makes every thing well, even to making"
21,1859,NF,Vagabond,A,B,C,"  good the gods provide, and not go hungry because we can not dine on ambrosia, or even on pdte de foie gras. /z/ "" Fashion and Ceremony. """
22,1860,FIC,SirRohansGhost,A,B,C,"  Half-past four! Do you ever dine here, or do you live on the ambrosia of --. I must bid you good morning, Sir Rohan. I shall"
23,1862,FIC,WildApples,A,B,C,  only the godlike among men begin to taste its ambrosial qualities. For nectar and ambrosia are only those fine flavors of every earthly fruit which our coarse palates fail to
