removed,year,adjective,keyword,text,,,,,,,,,,,,,,,,
x,1953,usual,albatross,"a bird flying near us. in case it was something different from the usual albatross, up john would go -- then conveniently forget to come back. when i",,,,,,,,,,,,,,,,
x,1983,Big,albatross,"bang!? and the birds filthy with ash scatter off the floes. big albatross all black and stunned, sink fer swimmin'! that black giant ram's",,,,,,,,,,,,,,,,
x,1907,delectable,ambrosia,"prop it up, the last idol of our youth toppled over: the delectable ambrosia these many years accepted as typifying? nay, glorifying? the high culture of",,,,,,,,,,,,,,,,
x,2002,fragrant,ambrosia,tried to pick up where she had left off. # try our new fragrant ambrosia flavor. to drown # she switched the channel. # would you kindly spin,,,,,,,,,,,,,,,,
,1820,graceful,butterfly,"in my bower, almora still will live for you. be thou the graceful butterfly, that flutters o'er yon gay parterre, the changeless amarantha, i will wait",,,,,,,,,,,,,,,,
,1824,beautiful,lizard,"no other interruption than the rapid movement, now and then, of a beautiful lizard, which he has startled from basking in the sunshine. the still sea at",,,,,,,,,,,,,,,,
x,1870,fine-looking,antelope,"discussion, had been altogether overlooked. during the afternoon they had shot a fine-looking antelope, cooking a portion at the time upon the prairie. a goodly portion was",,,,,,,,,,,,,,,,
x,1874,large,antelope,"of quat kare and his shillooks. shot two geese and knocked over a large antelope, but lost him in the high grass. the country is all flooded,",,,,,,,,,,,,,,,,
,1827,solitary,birch,"hunters and hackwoodsmen to this wild and independent sort of life. amidst these solitary birch woods, whose stillness was seldom disturbed hy a deer, or even a hird",,,,,,,,,,,,,,,,
x,1875,famous,antelope,"his fame as a hunter and anxious to have the honor of killing the famous antelope, and he ran up with the intention of killing togo-av; but when he",,,,,,,,,,,,,,,,
x,1881,famous,antelope,"fame as a hunter, and anxious to have the honor of killing this famous antelope, and he ran up with the intention of killing to-go' -a; but",,,,,,,,,,,,,,,,
,1827,expectant,raven,"distant and stifled groans of the dying courser, or the cry of some expectant raven eager for the repast ere its victim yielded to death as it flapped its wings",,,,,,,,,,,,,,,,
x,1884,fat,antelope,"at the stables unstrapping from the back of his sorrel the carcass of a fat antelope, gave a low whistle, remarked,""well, i'm damned!",,,,,,,,,,,,,,,,
x,1905,sleek,antelope,"city of men the insect had ever visited. just within the gate a sleek antelope was running a pop-corn stand, and a little further on a screech-owl stood upon",,,,,,,,,,,,,,,,
,1829,broad,sycamore,my absence.' the lovers were standing partly in the shadow of a broad sycamore that threw its branches over the little stream at their feet. the water there,,,,,,,,,,,,,,,,
,1831,fragrant,birch,"murdered traveller's bones were found, far down a narrow glen. the fragrant birch, above him, hung her tassels in the sky; and many a vernal",,,,,,,,,,,,,,,,
x,1911,new,antelope,"with the rabbit's foot, and starts along after me, with that new antelope walk of hers, as easy and pleased as if she'd been asked to",,,,,,,,,,,,,,,,
,1831,fragrant,birch,"murdered traveller's bones were found, far down a narrow glen. the fragrant birch, above him, hung her tassels in the sky; and many a vernal",,,,,,,,,,,,,,,,
x,1924,large,antelope,"with us, we fared better than on the journey out, bagging two large antelope not a half-mile from the harbor; so with our game and our prisoner we",,,,,,,,,,,,,,,,
x,1942,native,antelope,"mixture of raw liver, heart, kidneys and blood of a guanaco (native antelope). the spartans are still held up as the ideal hardy men. the",,,,,,,,,,,,,,,,
x,1955,big,antelope,"some eland straps -- very strong and supple, from the skin of the big antelope -- so that she can carry more firewood and potato tops and banana fronds.",,,,,,,,,,,,,,,,
x,1957,foolish,antelope,"a stick or lie on his back and thrust a foot up and the foolish antelope would race round and round it in a steadily narrowing circle, until it was",,,,,,,,,,,,,,,,
x,1964,fat,antelope,"; her eyes was like little seeds. set a fat girl to catch fat antelope, was the idea. them braves that still kept their horses now mounted,",,,,,,,,,,,,,,,,
x,1970,large,antelope,big toes. they each carry a large gourd-like rattle and one holds a large antelope drum which he pounds in a steady rhythm. their chins are outlined by a,,,,,,,,,,,,,,,,
,1831,brilliant,butterfly,"in their abuse-till he is condemned, who paints the rose, gilds the brilliant butterfly, spreads over the heavens the purple hues of sunset, and tunes the voice",,,,,,,,,,,,,,,,
,1831,old,hemlock,", and stood leaning in the shadow of an old hemlock, just on the summit of the hill. his brow was uncovered,",,,,,,,,,,,,,,,,
,1832,large,chestnut,"did not run many paces before they halted at the root of a large chestnut that threw its aged and ponderous branches over an extensive surface, and whose distant",,,,,,,,,,,,,,,,
x,1834,solitary,antelope,"on the rio del norte, with no game but here and there a solitary antelope, with no water except in here and there a hole, and with its",,,,,,,,,,,,,,,,
x,1900,old,badger,"away all the grateful memoirs of his youth,""why did this cool old badger, worthington, take me to his home, later back me through college,",,,,,,,,,,,,,,,,
x,1932,old,badger,"sim glared at harper.""war ye alludin' to me as a old badger, harper?""""i was,""replied harper.""just in",,,,,,,,,,,,,,,,
x,1932,old,badger,"bout a couple o' ounces a day,' nough to keep a old badger like me in grub. i ain't what ye might call a spendin'",,,,,,,,,,,,,,,,
x,1941,old,badger,"their mounts into a dead run across the **30;1760;toolong plain. (""de old badger, he don't have to dig dem gophers out,""johnny hooks says",,,,,,,,,,,,,,,,
x,1956,old,badger,"owl swooped and a tiny explosion of mouse-tracks scuttled to tree roots. the old badger grunted in his sleep, and a rooster, roused by so much whiteness,",,,,,,,,,,,,,,,,
x,1993,old,badger,", who, at fifty-six, is mongolia's pre-eminent ornithologist, a rough old badger in dark glasses and brown business suit that he continued to wear (without the",,,,,,,,,,,,,,,,
x,1932,old,badger,"  good idea,""agreed harper.""rugg, if the old badger gets any meat you can carry it in for him.""leaning on the",,,,,,,,,,,,,,,,
,1832,old,sycamore,"and myself, that i am about to record. we had reached an old sycamore on the bank of the brook, and had thrown our lines into a deep",,,,,,,,,,,,,,,,
,1834,solitary,antelope,"manes floating, and a trampling like thunder. imagine here and there a solitary antelope, or, perhaps, a whole herd, fleeting off in the distance,",,,,,,,,,,,,,,,,
,1834,large,cottonwood,"encamped was wide and grassy, and shaded with large cottonwood. traveled this day near twenty miles, in a due south-east course.",,,,,,,,,,,,,,,,
,1834,big,hemlock,"across the hollow, when i came to a big hemlock, which was lying in the edge of a thicket of mountain cottonwood and",,,,,,,,,,,,,,,,
