entry,year,genre,source,a,b,c,text
184,1811,FIC,Africans,A,B,C,"  ; a broil'd ostrich garnished with ganders, twenty stewed magpies, and an antelope's brisket. Sutta. Sutta Dat nice. Mad. Madiboo Very delicate:"
484,1811,FIC,Africans,A,B,C,"  and sinkatoo, for king Ali Beg, O! But Serawooli king he eat antelope's leg, O! Sing shannawang, sing sharrawang, Sing shongo! Torri"
289,1819,FIC,TriumphLiberty,A,B,C,"  where he comes! -- He bounds along the plain, and like the nimble Antelope, disdains the craggy cliff. (Opechanchanoug armed capapie, his rifle slung across"
754,1823,MAG,NorthAmRev,A,B,C,"  .' He was well enough on the 30th to sail, in the schooner Antelope, for Middletown, where he arrived, the 3d of June. He was"
936,1823,MAG,NorthAmRev,A,B,C,"  on the eleventh, eight days after. Capt. Vail, of the schooner Antelope, in the latter part of May went to New York, where he remained"
635,1830,MAG,NorthAmRev,A,B,C,"  family, he had taken to his bosom the young and graceful Tabtokab (The Antelope), thought to be the best hand at skinning the buffalo, making moccasins"
187,1831,FIC,Julian,A,B,C,"  Led by this curious pigmy, her attendant, As fleet and active as an antelope. This one was mounted on a noble steed. My master went to seek"
103,1832,MAG,NewEngMag,A,B,C,"  uncommon draws them. Now they are nigh enough for you to see that an Antelope is about as big as a common goat, and a great deal handsomer and"
315,1832,MAG,NewEngMag,A,B,C,"  a Grizzly Bear has got to windward of them. Here he comes like an antelope. Sauve qui peut! You must put your horse to full speed, I"
637,1832,FIC,LastNightPompeii,A,B,C,"  robe and flowers The sunbeams from the sleeper, with a step Soft as the antelope's, she stole and knelt In prayer for that loved one at Vesta's"
781,1832,FIC,LastNightPompeii,A,B,C,"  gentle breathings of the song Whispered along the arches, and with step Like hunted antelope he sprung to the edge Of his dark home of banishment. "" Behold!"
376,1833,FIC,CrayonSketches [ed],A,B,C,"  in air; "" with a step as free as fancy, agile as an antelope, and elastic as a bow, who was to be compared with her?"
2,1834,FIC,ProseSketchesPoems,A,B,C,"  . He thus lost the course and his companions. Towards evening Lewis killed an antelope and drank the blood. It drank like new milk, but increased the thirst"
14,1834,FIC,ProseSketchesPoems,A,B,C,"  the right of it, we found a spring by which we encamped. No antelope was killed to-day. Some of the party tried to kill cranes, and Bill"
30,1834,FIC,GuyRiversATale,A,B,C,"  earth with the firm pace of an elephant, yet with the ease of an antelope; moving carelessly as in pastime, and as if he bore no sort of"
256,1834,FIC,ProseSketchesPoems,A,B,C,  beaver below on the river; he said the water would run soon. Another antelope was killed this day. Traveled this day about twelve miles. 3. -- Traveled
341,1834,FIC,ProseSketchesPoems,A,B,C,"  manes floating, and a trampling like thunder. Imagine here and there a solitary antelope, or, perhaps, a whole herd, fleeting off in the distance,"
344,1834,FIC,ProseSketchesPoems,A,B,C,"  fresh and running. Course still south-east. 5. -- This day we killed another antelope, and encamped early, upon the creek. While I was on the first"
473,1834,FIC,ProseSketchesPoems,A,B,C,"  , and we pushed on cheerily with our jaded animals, now weary with running antelope. After traveling among the hills to the distance of a mile and a half"
501,1834,FIC,ProseSketchesPoems,A,B,C,"  , too, was nearly gone, but Bill Williams, fortunately, killed an antelope, which was divided as usual. Ducks were abundant in this pond, and"
556,1834,FIC,ProseSketchesPoems,A,B,C,"  timber. Andrews was, as Lewis expressed it, for fooling along and killing antelope.' They held a long confab, and at length Andrews agreed to go"
664,1834,FIC,ProseSketchesPoems,A,B,C,"  branch, and gave our animals drink. Early in the day Bill killed an antelope, and about noon, as we ascended a hill upon the edge of a"
670,1834,FIC,ProseSketchesPoems,A,B,C,"  on the Rio del Norte, with no game but here and there a solitary antelope, with no water except in here and there a hole, and with its"
672,1834,MAG,NewEngMag,A,B,C,"  wishes. He arrests, moreover, in their flight, the stag and the antelope, circumvents the cunning of the fox and the beaver, and takes even the"
710,1834,FIC,ProseSketchesPoems,A,B,C,"  that it would make them unlucky in hunting. A son of Harris killed an antelope, here, and our mess still ate no horse meat. We traveled this"
725,1834,MAG,NewEngMag,A,B,C,"  their prey; the watchfulness, timidity, and swiftness of the stag and the antelope; the harmony between the size, structure, and instiiicts of the elephant;"
405,1835,FIC,InfidelFallMexico,A,B,C,"  and wild dogs, -- the bison of Chihuahua staggering in his pen, the antelope or pronghorn of the north, and even the great bear from the ridges of"
418,1836,FIC,WifeAtVenture,A,B,C,"  The whole city is up in arms against me. I've run like an antelope from Rozelea and that cursed Irishman, but which way to fly I know not"
467,1836,FIC,WifeAtVenture,A,B,C,"  . Hassan Star of the East! Bulbul of purity! Rose of perfection! Antelope of beauty! Fall down, ye slaves, and worship. Den. Dennis"
568,1836,NF,AstoriaAnecdotes,A,B,C,"  This usually consists of a gray surcoat and leggins of the dressed skin of the antelope, resembling chamois leather, and embroidered with porcupine quills brilliantly dyed. A buffalo"
579,1836,FIC,WifeAtVenture,A,B,C,"  down, ye slaves, and worship. Den. Dennis Owhack Aside Rather an antelope in swiftness. Now here's a spalpeen worshipping a star behind a cloud."
607,1836,NF,AstoriaAnecdotes,A,B,C,"  air. This had the effect of the fabled fascination of the rattlesnake. The antelope approached timidly, pausing and reconnoitering with increased curiosity; moving round the point of"
836,1836,FIC,WifeAtVenture,A,B,C,"  world, your orders are obeyed. I bring the star of perfection, the antelope of beauty. Caliph. The Caliph Open the palanquin. Kazrak enters from it"
930,1836,NF,AstoriaAnecdotes,A,B,C,"  These islands were often the resort of the buffalo, the elk, and the antelope, who had made innumerable paths among the trees and thickets, which had the"
964,1836,NF,AstoriaAnecdotes,A,B,C,"  by the chase of the buffalo, the elk, the deer, and the antelope, and waging ruthless warfare with other wandering tribes. As the boats made their"
456,1837,NF,AnAccompaniment,A,B,C,"  lightness, and repeating this attack until his enemy is destroyed. One species of Antelope, the prong-horned, is peculiar to America; it is a graceful and fleet"
220,1838,FIC,NarrativeArthur,A,B,C,"  tail, however, was bushy, and the legs slender as those of the antelope. Its motion was exceedingly awkward and indecisive, and we never saw it attempt"
386,1838,NF,AmericanInParis,A,B,C,"  her native country, and an African cow supplied her with African milk. An antelope and three goats followed in an open barouche. She was formally invited to visit"
771,1839,FIC,NixsMateAnHistorical,A,B,C,"  prodigious efforts to overtake the schooner, the latter flew away before her like an antelope before a hunter; and as she dashed the spray a-stern, seemed to exult"
16,1843,FIC,NewPurchaseSeven,A,B,C,"  jet black color and glistening, and moving with the grace and swiftness of an antelope. On the rider's left was couched a spear in size like a beam"
25,1843,FIC,WildScenesInForest,A,B,C,"  prairie from which he started; and on he went with the speed of an antelope. The dreary waste of sand was soon gained, and the limbs of the"
413,1843,FIC,RingwoodRoverA,A,B,C,"  stately lord, uttered a shrill cry of surprise, and bounded forward like an antelope to meet him; quick, however, as were her movements, she was"
415,1843,FIC,WildScenesInForest,A,B,C,"  his own bosom. Nor was Zecana unworthy such a passion. Gentle as the antelope that skimmed the green savannas near, she was still a being, fond,"
669,1843,FIC,WildScenesInForest,A,B,C,"  to go out of his sight; and when the disappearance of the buffalo and antelope from his immediate neighbourhood extended the range of the chase, Zecana always accompanied him"
924,1843,FIC,WildScenesInForest,A,B,C,"  nor hunting-grounds which they claim as peculiarly their own. They hunt the buffalo and antelope, and, dwelling only in tents of leather, migrate from place to place"
202,1844,NF,KnickerbockerNew-,A,B,C,"  turned her face toward her father's camp, and with the fleetness of an antelope passed the intervening space, and soon found herself safe in her changing habitation."
571,1844,FIC,GuaricaCharibBride,A,B,C,"  ankles; her eyes large, dark, and liquid as those of a Syrian antelope, were curtained by the longest and most silky lashes that ever fringed a human"
621,1844,FIC,SpanishGalleon,A,B,C,"  solid gold set with a hundred and one rubies, each the size of an antelope's eye!' What may be the worth of it?' Five thousand"
846,1844,NF,MentalMoralCulture,A,B,C,  The Coypou or Neutra-lur Animal. Forest Trees in N. S. Wales. I-arge African Antelope. Ancient Egyptian Pottery. Egyptian Potters at Work. Remarkable Rock in Wales.
33,1845,MAG,NorthAmRev,A,B,C,"  which is eminently barren, is tenanted by the elephant, rhinoceros, hippopotamus, antelope, and giraffe, all large in size, and abundant in numbers; no"
401,1845,FIC,MargaretATaleReal,A,B,C,"  flip-dog, and follow on. Great stakes. Old Highflyer himself, out of Antelope; grandam, Earl of Godolphin's Arabian. "" "" Well, "" said"
431,1846,FIC,SpectreSteamer,A,B,C,"  of her ride. She was mounted upon a white palfrey, limbed like an antelope, and who, with tossing mane and champing bit, stepped as featly and"
868,1846,FIC,FactFictionACollection,A,B,C,"  a wealthy merchant, was highly cultivated in mind and manners, graceful as an antelope, and beautiful as the evening star. She had early attracted the attention of"
106,1848,FIC,TrappersBrideSpirit,A,B,C,"  pointed out to them on their route during the day fresh signs of deer and antelope, and when they once ascended the hills they had heard the bleats of the"
563,1848,FIC,TrappersBrideSpirit,A,B,C,"  lost to the eye of the spectator in the distance. Droves of deer and antelope, with their wide branching antlers, would sometimes sweep by in majesty, raising"
663,1848,FIC,TrappersBrideSpirit,A,B,C,"  ? whose arms were clothed with mighty strength, and whose feet outstripped the fleet antelope. Far in the happy valley of the blessed hunter's realm I see the"
31,1849,NF,OregonTrailSketches,A,B,C,"  monotony of sun-scorched plains, where no living thing appeared save here and there an antelope flying before us like the wind. When noon came we saw an unwonted and"
39,1849,NF,OregonTrailSketches,A,B,C,  horses that can for a moment compete in swiftness with this little animal. The antelope ran down the hill toward the main body of the Indians who were moving over
345,1849,NF,OregonTrailSketches,A,B,C,"  in their hand, galloped over the hills, often starting a wolf or an antelope from the thick growth of wild-sage bushes. Shaw and I were in keeping with"
356,1849,NF,OregonTrailSketches,A,B,C,"  of the latter alternately appearing and disappearing as they bounded awkwardly along; while the antelope, with the simple curiosity peculiar to them, would often approach as closely,"
392,1849,NF,OregonTrailSketches,A,B,C,  appears to fire them with martial ardor and thirst for renown. At length the antelope spoke. He told the young dreamer that he was not to follow the path
482,1849,NF,OregonTrailSketches,A,B,C,"  stupidly at me through their tangled manes, and then gallop heavily away. The antelope were very numerous; and as they are always bold when in the neighborhood of"
541,1849,NF,OregonTrailSketches,A,B,C,"  flocks of large white plover flew screaming over their surface. Having failed of the antelope, Raymond tried his hand at the birds with the same ill success. The"
