entry,year,genre,source,a,b,c,text
845,1821,NF,VerminDestroyer,A,B,C,"  he comes on it; sometimes a fox is taken thus. Others hunt the badger to his hole in a moonlight night, and dig him out. Hedgehogs always"
138,1832,MAG,NewEngMag,A,B,C,"  his efforts, and escaped. A large dog has much difficulty in overcoming a Badger on level ground. The animal is perfectly harmless, excepting that he makes great"
419,1832,MAG,NewEngMag,A,B,C,"  his ferocity. That gray animal, looking out of his hole, is a Badger. You perceive that he has a white stripe running from his head half way"
450,1838,FIC,NarrativeArthur,A,B,C,"  (from December the fifteenth to June the twentieth) when Captain Casneau and Samuel Badger, the only survivers, were taken off the wreck by the Fame, of"
49,1840,FIC,BorderBeaglesA,A,B,C,"  cross the fence, and called him instantly by name. "" Gideon! Gideon Badger! "" How shrunk his heart in terror at the sound -- the sound of"
77,1840,FIC,BorderBeaglesA,A,B,C,"  dismissing them, which he did in no very ceremonious or friendly manner, old Badger was suddenly seized with the conviction that he should have gone himself. His amour"
83,1840,FIC,BorderBeaglesA,A,B,C,"  "" I can answer equally for the spirit and frame of Walter Rawlins, Gideon Badger, and will warn you in season how you provoke either. "" "" Rachel"
85,1840,FIC,BorderBeaglesA,A,B,C,"  violated oath. "" "" Father in Heaven! and can it be, Gideon Badger, that you are so fearfully related to these men? "" "" Pshaw!"
132,1840,FIC,BorderBeaglesA,A,B,C,  was the scheme which her masculine resolution and her foresight so easily defeated. Gideon Badger was not calculated to be a magnificent villain. He was a petty rascal only
144,1840,FIC,BorderBeaglesA,A,B,C,"  you to sully the purity of mine. You know me well enough, Gideon Badger, to know that I will as solemnly execute the resolution which I have so"
167,1840,FIC,BorderBeaglesA,A,B,C,"  a little scuffle with that fellow. If I didn't -- "" "" Gideon Badger, "" said Rawlins, in his natural tone of voice, "" you have"
200,1840,FIC,BorderBeaglesA,A,B,C,  the bones of Rawlins. A few sentences soon assured him that it was Gideon Badger who addressed him. That profligate son of a man whose purism assured him with
203,1840,FIC,BorderBeaglesA,A,B,C,"  of him than t' other,' cause he don't say much, and Badger always preaches what he's guine to do; now, it's only to"
237,1840,FIC,BorderBeaglesA,A,B,C,"  orders, I hear. There's a warrant out against John Yarbers from old Badger. Ned Mabry's sworn against him about that horse business. "" "" True"
261,1840,FIC,BorderBeaglesA,A,B,C,"  for the seeming indifference with which you left him, sick and wounded at Mr. Badger's, by attending to him now. "" "" How attending to him,"
334,1840,FIC,BorderBeaglesA,A,B,C,"  energetic language which she used, would have impressed a much bolder person than Gideon Badger with the danger of trifling with such a spirit. It was evident that all"
385,1840,FIC,BorderBeaglesA,A,B,C,"  in a conversation with a very worthy and respectable old gentleman, -- a Mr. Badger, with whom I remained a brief space, in consequence of my hurt,"
411,1840,FIC,BorderBeaglesA,A,B,C,  the knowledge which he had acquired from his intimacy with Walter Rawlins and the methodist Badger. To the former he recommended them in the event of their failure to rescue
458,1840,FIC,BorderBeaglesA,A,B,C,"  but tremulous response of the youth. "" I'm sorry for you, Gideon Badger, "" said Rawlins, with an expression of pity in his accents, not"
492,1840,FIC,BorderBeaglesA,A,B,C,"  seeks this traveller, Wilson, -- and the hurry of Wilson to leave old Badger's, is no less curious. I must sound him on these subjects."
540,1840,FIC,BorderBeaglesA,A,B,C,"  's. There's a start below against us, and the old methodist, Badger, is beginning to growl aloud. So, lie close -- there's no"
571,1840,FIC,BorderBeaglesA,A,B,C,"  taken in his grasp. "" Flatter yourself with no such idle fancies, Gideon Badger. Happiness with you is impossible. Sooner shall the heavy sod lie upon my"
660,1840,FIC,BorderBeaglesA,A,B,C,"  me. If the man, Walter Rawlins -- he is a man, Gideon Badger! -- if he be not here to save me, he has left me"
697,1840,FIC,BorderBeaglesA,A,B,C,"  the swooning fit which had overcome him during their brief ride to the house of Badger, to suffer her to suppose him wanting in those advantages of birth, education"
768,1840,FIC,BorderBeaglesA,A,B,C,"  exultation which spoke in tearful eyes, and a trembling and bounding heart. Old Badger, as one of the quorum, and one learned in the law -- in"
823,1840,FIC,BorderBeaglesA,A,B,C,"  speech of Rachel; and was followed up by a sneering comment of Master Gideon Badger, who made his appearance while the controversy was in progress. He muttered some"
860,1840,FIC,BorderBeaglesA,A,B,C,"  -- "" Yet, not because I had care or interest in you, Gideon Badger, did I take these pains, or incur a risk, which your own"
866,1840,FIC,BorderBeaglesA,A,B,C,"  progress of any business, where young men are to be the performers. That Badger would have rejected every plan but his own, for the capture of the robbers"
71,1845,MAG,NewEngYaleRev,A,B,C,"  view of the case, imperfect because it is brief, we now introduce Mr. Badger and Bishop Southgate, as the principal actors in this matter. Who then is"
150,1845,MAG,NewEngYaleRev,A,B,C,"  in London The writer of the letter, and // of conduct pursued by Mr. Badger. Mr. S. is not content to stand on the defensive and give a milder"
436,1845,MAG,NewEngYaleRev,A,B,C,"  . When we turn from Mr. S.'s own story, we learn that Mr. Badger was all this while at Mr. S.'s house, employed abroad in active influences"
650,1845,MAG,NewEngYaleRev,A,B,C,"  results of it are not yet developed. While at Mr. Southgate's, Mr. Badger "" showed himself determined to have no fellowship "" with the missionaries, not even"
727,1845,MAG,NewEngYaleRev,A,B,C,"  . There are the Armenians and Mr. Southgate, (we will forget that Mr. Badger is in his family,) and the "" Congregational "" missionaries as Mr. Southgate"
732,1845,MAG,NewEngYaleRev,A,B,C,"  not practicable and The last that was heard of Mr. desirable. The excitement soon Badger was, that he was to occupy subsided, and its immediate conseMr. Southgate"
763,1845,MAG,NewEngYaleRev,A,B,C,"  and through these channels it came to this country. It was credited to Mr. Badger here, as there; but not by the Board at all, nor by"
795,1845,MAG,NewEngYaleRev,A,B,C,"  of rashness and folly. "" * "" The letter attributing the massacre to Mr. Badger was written to the London Morning Chronicle, was copied into an Episcopal paper at"
805,1845,MAG,NewEngYaleRev,A,B,C,  residing at Constantinople. It was believed in England by those Episcopalians who knew Mr. Badger's fiery and hostile spirit. * It was made the subject of a spirited rebuke
825,1845,MAG,NewEngYaleRev,A,B,C,"  to remark upon Mr. S.'s vindication from the charges of "" co-operating with Mr. Badger, "" and "" of coinciding with Papists, in their opposition to evangelical religion"
979,1845,MAG,NewEngYaleRev,A,B,C,  insolent contempt This outbreak occurred just before which he had exhibited at Constan. Mr. Badger left Constantinople and tinople. Among the native Chris. the family of Mr. Southgate-just
990,1845,MAG,NewEngYaleRev,A,B,C,"  all, the first and most satisfactory account of the transaction, which vindicated Mr. Badger from any charge of the kind, was from an American missionary, Dr. Grant"
889,1846,FIC,PoorGentleman,A,B,C,  nimble as quicksilver. And there's old Sir Robert waddling behind him like a badger. Sir C. Sir Charles Cropland They are here. Enter Frederick and Sir Robert
234,1849,FIC,RedburnHisFirst,A,B,C,"  and in its transition state made him look as if he wore a shako of badger skin. The phenomenon of gray hairs on a young head, had perplexed and"
440,1849,NF,HistoryPractice,A,B,C,  precipitates the silver from its solution. The brushes should be made of camels or badger's hair and sufficiently broad and large to cover the paper in two or three
901,1849,MAG,AmWhigRev,A,B,C,"  recommendation, and made an eloquent speech against the whole system of flogging. Mr. Badger, of North Carolina, spoke at some length in favor of the recommendation of"
495,1850,MAG,AmWhigRev,A,B,C,"  taken, the amendment was adopted.Yeas 25, nays 22, as follows YEAs-Atchison, Badger, Borland, Butler, Cass, Clay, Clemens, Davis (Miss,"
741,1850,MAG,AmWhigRev,A,B,C,"  , Phelps, Seward, Shields, Smith, Walker, Webster-24. NAYs-Atchison, Badger, Bell, Borland, Bright, Butler, Gass, Clay, Clemens,"
993,1850,MAG,AmWhigRev,A,B,C,"  which was agreed to-Yeas 27, Nays 24, as follows: YEAs-Messrs Atchison, Badger, Bell, Borland, Bright, Butler, Cass, Clemens, Davis of"
87,1854,MAG,NewEngYaleRev,A,B,C,"  , DOUGLASS, HOUSTON, MASON, BUTLER, ADAMS, PETTIT, SEWARD, BADGER, 011 the memorial from some 3,050 clergymen of all denominations and sects in New"
491,1854,MAG,NewEngYaleRev,A,B,C,"  , but to carry their laws with them. It is not enough that Mr. Badger himself, for example, may carry his slaves with him wherever he pleases,"
862,1855,FIC,Poems,A,B,C,"  Man chased the timid deer; And where our village gardens bloom The wolf and badger made their home. Where, upon Princeton's main street stand The busy shops"
52,1856,FIC,MythHiawathaOther,A,B,C,"  , and bring meat in. Thus they lived some time. One day the badger came in his way and displeased him. He immediately put him to death,"
232,1856,FIC,MythHiawathaOther,A,B,C,"  him out, "" said they; so they continued watching. Manabozho told the badger to make an opening on the other side of the mountain, from which he"
301,1856,FIC,MythHiawathaOther,A,B,C,"  "" make a hole quick, for the serpents are after me. "" The badger obeyed. They both went in, and the badger threw all the earth backward"
433,1856,FIC,MythHiawathaOther,A,B,C,"  after me. "" The badger obeyed. They both went in, and the badger threw all the earth backward, so that it filled up the way behind."
513,1856,FIC,MythHiawathaOther,A,B,C,"  , so that it filled up the way behind. The serpents came to the badger's wauzh, 26 and decided to watch. "" We will starve him out"
614,1856,FIC,MythHiawathaOther,A,B,C,"  who made the attempt, but fell down senseless; then of the Lynx and Badger, who had no better success. "" Now, "" says Fisher to the"
982,1856,FIC,MythHiawathaOther,A,B,C,"  came punctually to the appointment. There were the Otter, Beaver, Lynx, Badger, and Wolverine. After the feast, they arranged it among themselves to set"
246,1859,MAG,Harpers,A,B,C,"  of the United States. "" To which was added, on motion of Mr. Badger, the following: "" Prorided, That nothing herein contained shall // be construed"
443,1861,FIC,ElsieVenner,A,B,C,"  their studies, under the intelligent superintendence of the accomplished Principal, assisted by Mr. Badger, Mr. Langdon's predecessor, Miss Darley, the lady who superintends the English"
655,1863,FIC,Shoulder-Straps<,A,B,C,"  , and saw that trouble was brewing. The sulk had gone, and the badger, a much more dangerous devil in society, had taken its place. Two"
586,1865,FIC,DoraDarlingDaughter,A,B,C,"  My dawg don't run on a last year's trail of a fox or badger, when he's sot on the fresh trail of a human, "" said"
