entry,year,genre,source,a,b,c,text
1,1896,NF,-,-,-,-,"of a young woman, and shot it from a basswood bow at the creature's heart. It did not enter at once;"
2,1892,FIC,-,-,-,-,barked joyously at a yellow-hammer which had chosen a great basswood tree with deadened spaces for an early morning experiment toward a breakfast. There
3,1928,FIC,-,-,-,-,"Robert Robin flew up to the top of his big basswood tree to sing his "" Dry Weather "" song, in the rain."
4,1928,FIC,-,-,-,-,"able to fly up into the top of the big basswood tree, then you might have looked down and seen the nest and Mrs."
5,1928,FIC,-,-,-,-,"the woods.' "" Something fell from the big basswood tree. It was a cherry pit which one of the baby robins had"
6,1928,FIC,-,-,-,-,"Robin was perched in the very top of his big basswood tree singing his "" Sun-up "" song. He looked very handsome in his"
7,1882,NF,-,-,-,-,"The Pacific coast possesses no papaw, no linden or basswood, no locust-trees, no cherry-tree large enough for a timber tree, no"
8,1993,MAG,-,-,-,-,"terrace supports a forest of red and chestnut oaks, basswood, sugar maple, box elder, and black walnut. Spicebush and bladdernut"
9,2001,MAG,-,-,-,-,"can transfer the tracing to two pieces of wood. Basswood is very good for coping-saw work, but pine is easily sawed, too"
10,1835,FIC,-,-,-,-,"the mountain ash, the aromatic hemlock and the lofty basswood. This sequestered retreat, with its fresh aspect and sweet exhalations, afforded"
11,2003,MAG,-,-,-,-,", Jan. 25-May 11) - Standing Alone, 2002-03, basswood, burned, carved, 8 1/2 x 3 3/4 x 3 inches,"
12,1928,FIC,-,-,-,-,"morning song. From the highest branch of his tall basswood tree he would sing his "" hurry up song, "" and his clear"
13,1928,FIC,-,-,-,-,"that Summer was on the way. Even the big basswood tree seemed to wait for Robert Robin, and seemed to miss him when"
14,1928,FIC,-,-,-,-,"Jim Crow flying high above the top of the big basswood tree. Mister Crow was circling around, and around, and looking down"
15,2003,MAG,-,-,-,-,", Jan. 25-May 11) - Standing Alone, 2002-03, basswood, burned, carved, 8 1/2 x 3 3/4 x 3 inches,"
16,1909,MAG,-,-,-,-,"is excellent to work somewhere in the jurisdiction of a basswood tree. Compare this with the office-building or the street-car, where the only"
17,1993,FIC,-,-,-,-,"science, the cattails used for diapers and torches, basswood bark curved into water pipes, sumac poultices, cherry-bark cough syrup. Padding"
18,1906,NF,-,-,-,-,"maple, beech, birch, oak, elm, basswood, butternut and walnut. Where forests are found comprising one or more varieties"
19,1928,FIC,-,-,-,-,"woods. That very day the leaves of the big basswood turned brown, and were dead, but the leaves of the apple trees"
