entry,year,genre,source,a,b,c,text
114,1819,FIC,PercysMasque,A,B,C,"  and the armorial bearings of his house blazoned on his shield. He lifts his beaver, advances, and speaks. Per. Percy To show our humble pageant,"
281,1822,FIC,LoganAFamilyHistory,A,B,C,"  , but after the Indian manner, under the ample and shining folds of the beaver mantle -- forming, altogether, a noble and spirited picture, as of a"
936,1822,FIC,LoganAFamilyHistory,A,B,C,"  who shall hold his hot forehead -- wipe off the sweat, and spread the beaver for his cabin -- who? -- O, I should die if any other"
145,1823,MAG,NorthAmRev,A,B,C,"  hope of recovery. - 26th. - While Mr Lee was absent this morning, examining the beaver traps, which he had set, to my surprise I observed on the opposite"
252,1823,MAG,NorthAmRev,A,B,C,"  , benefit, and serve the natives-factors of benevolence, who come not to cheapen beaver and buffaloe, but to teach the ignorant and serve the friendless-soldiers of the cross"
313,1823,MAG,NorthAmRev,A,B,C,  one conceive of any possible process by which such development could he accomplished? The beaver and the bee want neither schools nor col*leges to teach them to construct ramparts or
428,1823,MAG,NorthAmRev,A,B,C,"  , in any species but our own, it will hardly be pretended that the beaver, the dog, or the half reasoning elephant, are very remarkably inferior in"
101,1824,FIC,Hobomok,A,B,C,"  die, I may go to the Englishman's God, where I may hunt beaver with little Hobomok, and count my beavers for Mary. "" Before Brown had"
338,1824,FIC,Hobomok,A,B,C,"  of Sassacus, great Sachem of the Pequods. In council, cunning as the beaver, and quick-sighted as the eagle. His tribe were like swallows before a storm"
783,1824,FIC,Hobomok,A,B,C,"  rigid features of the Calvinist, rendered even more dark in their expression by the beaver cap which deeply shaded his care-worn brow. The pale loveliness of Mary's face"
809,1824,FIC,Hobomok,A,B,C,"  yet Hobomok asked that the child of Pokanecket might be his squaw; but his beaver skins were not brought, and she cooked the deer for Ninigret's son. *"
852,1824,FIC,Hobomok,A,B,C,"  council-fire at Mount Haup. The chiefs think the hunter came not to trade for beaver skins, but to find how heavy the red men of Ossamequin, Sassacus,"
918,1824,FIC,Hobomok,A,B,C,"  His tracks are toward the setting sun, "" replied he. "" Hobomok give beaver skins like sand to a warrior come in from the west. He say they"
232,1826,FIC,LastMohicansANarrative1757,A,B,C,"  . His lurking Indians were suddenly converted into four-footed beasts; his lake into a beaver pond; his cataract into a dam, constructed by those industrious and ingenious quadrupeds"
276,1826,FIC,LastMohicansANarrative1757,A,B,C,  suffered the morning air to blow aside the green veil which descended low from her beaver. The flush which still lingered above the pines in the western sky was not
907,1826,FIC,LastMohicansANarrative1757,A,B,C,"  said should be slaves; and He ordered them to work forever, like the beaver. You may hear them groan, when the south wind blows, louder than"
915,1826,FIC,LastMohicansANarrative1757,A,B,C,"  which formed his robe, there was one chief of his party who carried the beaver as his peculiar symbol, or "" totem. "" There would have been a"
158,1827,FIC,BuccaneersARomance,A,B,C,"  a year to assemble at the sign of the Egg and Gridiron, near the Beaver Lick, to eat sour krout. Now, though it is in some wise"
168,1827,MAG,NorthAmRev,A,B,C,"  their neighbors, particularly the northern Indians, and the tribes on the Saskatchawin and Beaver rivers; but they have long ceased to be held in any fear, and"
169,1827,FIC,BuccaneersARomance,A,B,C,"  ; as indeed the only mystery he may comprehend is the making of his own beaver, which from so competent a judge, ought to be of the best;"
