entry,year,genre,source,a,b,c,text
336,1810,FIC,GordianKnot,A,B,C,"  pardon my delay. Ubal. Usaldo You are not very punctual. Had this bee. Some love intrigue, some wild debauch or revel, You would forerun your"
938,1816,NF,LifeStudiesWorks,A,B,C,"  A small sketch of the Shunamite's Son restored, &c.; Cupid stung by a Bee, oval, for -- Vesey, Esq. in Ireland. Agrippina surrounded by"
26,1820,FIC,JudithEstherOther,A,B,C,"  the branch or low the blossoms grew: And thou wouldst oft pursue the murmuring bee, And rifle all her burthening sweets for me. And still in years of"
860,1820,FIC,JudithEstherOther,A,B,C,"  tones flow from her lips as sweet And fragrant as the drops of Carmel's bee. "" Oh! thou most excellent of all the earth, Alike in wisdom"
791,1821,NF,VerminDestroyer,A,B,C,"  them with linseed-oil cures them. Of ordering and improving Stocks of Bees. The bee though a small creature, and by many numbered amongst insects, is extremely advantageous"
267,1823,MAG,NorthAmRev,A,B,C,"  measure, for these disgusting and familiar visitors, we had the advantage of the bee, and obtained abundance of excellent honey, on which, mixed up with water"
640,1823,MAG,NorthAmRev,A,B,C,"  any possible process by which such development could he accomplished? The beaver and the bee want neither schools nor col*leges to teach them to construct ramparts or geometrical cells,"
5,1824,FIC,RedwoodATaleVolume3,A,B,C,"  . But here I am preaching, while Emily, as busy as a little bee, has packed every thing and tied every bundle and box; her heart is"
76,1824,FIC,Hobomok,A,B,C,"  ; therefore pittie the shipps should come backe emptye. I wish alsoe that there bee some sassafras and sassaparilla sent us, alsoe goode store of shoemacke, silke grasse"
998,1824,FIC,Hobomok,A,B,C,"  , alsoe goode store of shoemacke, silke grasse, and aught else that may bee useful for dyinge or physicke. "" To comply with these various orders, necessarily"
177,1825,MAG,NorthAmRev,A,B,C,"  , a separate volume of transactions, in * The presidents of the society have bee, Benjamin Franklin, David Rittenheuse, Thomas Jefferson, Caspar Wistar, and Robert"
17,1828,MAG,NorthAmRev,A,B,C,"  flower, creative wisdom has so arranged it, that the peculiar food of the bee is in abundance. And as this nutritive fluid is to support inanimate life,"
113,1828,MAG,NorthAmRev,A,B,C,"  although deprived of the charms of the fanciful legends in which the history of the bee was embodied, are still undiminished, nay, increased; for an elevation of"
242,1828,MAG,NorthAmRev,A,B,C,"  , than in one that has been tenanted for four or five years. The bee, like all other insects, spins itself a covering before it becomes a fly"
288,1828,MAG,NorthAmRev,A,B,C,"  bee is the same with that of Europe and America. The history of one bee, and of one community of bees, is, with the slight variation which"
