entry,year,genre,source,a,b,c,text
96,1813,FIC,-,-,-,-,"din of Faery strife; Now, in the passing beetle's hum The Elfin army's goblin drum To pigmy battle sound; And"
509,1813,FIC,-,-,-,-,"to brighter lands. Shall human wisdom then, with beetle sight, Because obstructed in its blund'ring flight, Despise the deep conviction of"
41,1827,FIC,-,-,-,-,"sockets like the same organs in the head of a beetle, appeared but as huge white orbs, owing to his rolling the balls"
383,1827,FIC,-,-,-,-,"out this dark night, with nobody but that blind beetle of a Cradock to attend her; however, I suppose she is safe"
498,1829,NF,-,-,-,-,so that it was said by the Moors that a beetle could not crawl across the Vega without being seen by Count Tendilla. The
406,1832,MAG,-,-,-,-,". Every one knows the perseverance with which a common beetle rolls little balls to the distance of several feet, that they may fall"
468,1832,FIC,-,-,-,-,"small insects, crossed now and then by a whizzing beetle, played their fantastic gambols around our heads, displaying their minute and active"
253,1833,FIC,-,-,-,-,"every step like a machine driving piles, or a beetle shod with sole-leather; and his pockets rattling as he drove by, hitting"
506,1833,FIC,-,-,-,-,"the paper; when seeing what he took for a beetle or a cockroach at the bottom, he dropped the last pinch as if"
145,1835,FIC,-,-,-,-,some of the noble French naturalists and philosophers. That beetle -- I could tell you a long story about it -- the time I
382,1835,NF,-,-,-,-,"The crab, the butterfly, the Capricorn, (beetle,) which have antennae so complicated, is it through philosophic modesty,"
426,1835,NF,-,-,-,-,"teeth, the head of the coleoptera, (the beetle,) before devouring him; the hamster lay up provisions; the dog"
130,1836,NF,-,-,-,-,", a species of fly, butterfly, gnat, beetle, lady-bird, snail, and the like; that these insects serve for"
367,1837,NF,-,-,-,-,"Flatten them with a rolling pin, or a meat beetle, and lay them in oiled butter. Make a seasoning of hard-boiled yolk"
507,1837,NF,-,-,-,-,"back of a wooden ladle, or with a potato beetle. Put them into a kettle, (without any water,) cover"
370,1838,NF,-,-,-,-,"months glazed to a bit of glass, and a beetle which had been above three years without eating, and seemed not particular how"
403,1838,NF,-,-,-,-,"to the artist about as big a soul as the beetle, "" or the wood-louse That folds itself in itself for a house."
500,1838,NF,-,-,-,-,", you miserable mortals, to be outlived by a beetle? He showed us also flies and spiders sepulchred in amber, perhaps since"
525,1843,FIC,-,-,-,-,"but apply the same test to the antenn of a beetle or a butterfly, and thou wilt see them taper to an invisible point"
236,1844,FIC,-,-,-,-,"inside leather. At length he looked up beneath his beetle brows, and, to do him justice, looking very mean and guilty"
285,1844,FIC,-,-,-,-,"his bent knee, grasped a massive sword, his beetle brow surmounted by stiff and matted hair, giving a darker expression to his"
418,1844,NF,-,-,-,-,"existed, and fly away, to an offensive black beetle that snuffs the candle, or cracks its head against the wall, thence"
550,1844,FIC,-,-,-,-,"eye, clad like his comrade, Balvardo of the beetle brow, in glittering armor of Milan steel, each standing breast to breast"
88,1846,FIC,-,-,-,-,"rock, Or pipes in the faded grass, The beetle's wing is folded mute, Where the steps of the idler pass."
182,1846,FIC,-,-,-,-,"-- And grasshopper steeds were gathering fleet, And the beetle's hoofs up-rung -- For Puck-wud-jees Footnote: 2Kb came careering past In the"
381,1846,FIC,-,-,-,-,"left with tottling steps The low-roofed cottage door, The beetle and the cricket loved The young child on the floor; For every insect"
55,1847,FIC,-,-,-,-,"box, that seven thousand such souls as that black beetle's wouldn't fill up the chinks -- the spare room round the edges"
82,1847,NF,-,-,-,-,"species. The bug has weak limbs, and the beetle is more than twice its size and weight, and is very active,"
293,1847,NF,-,-,-,-,"on a leaf up a shrub, with the bulky beetle hanging over suspended on its proboscis. Other species of bugs certainly inject poisonous"
