entry,year,genre,source,a,b,c,text
1,1815,FIC,FalseShame,A,B,C,  behind the meadow is a little grassy place -- scarcely perceivable -- there stand some birch trees by the garden wall -- there where I smoke my little pipe of an
2,1815,FIC,FalseShame,A,B,C,"  . John Yes -- but pardon me, sir -- who knows how long the birch trees shall stand? The Baroness designs many alterations. The wall shall be torn"
3,1815,FIC,FalseShame,A,B,C,"  wheatfield, and yonder a Mount Parnassus -- and how do I know but my birch trees may stand in the way? Bar. Baroness With warmth Thy birch trees"
4,1815,FIC,FalseShame,A,B,C,  my birch trees may stand in the way? Bar. Baroness With warmth Thy birch trees shall nobody touch. John. John Who shall protect the poor birch trees
5,1815,FIC,FalseShame,A,B,C,"  Thy birch trees shall nobody touch. John. John Who shall protect the poor birch trees, when even these lindens shall not be spared? Bar. Baroness Which"
6,1816,MAG,NorthAmRev,A,B,C,"  the trunk of this tree projects abo* 30 feet in a horizontal direction. A birch tree runs out little above, par. allel with it, and serves for"
7,1816,NF,LifeStudiesWorks,A,B,C,"  . And the private mourners of the deceased, consisting of -- Aldermen Wood and Birch, Rev. -- -- Est, Rev. Holt Oakes, Henry Bankes, Esq."
8,1816,NF,LifeStudiesWorks,A,B,C,"  the Solicitor General, Sir Robert Wilson, Dr. Heslop, Dr. Baillie, Aldermen Birch and Wood, Mr. Chamberlain Clarke, Henry Bankes, Esq. M.P., Richard"
9,1819,FIC,SeaSerpent,A,B,C,"  your youth, You know you always did despise the truth; And many a birch thy tutor did apply, The broken relic of a youthful lie. Tim."
10,1819,MAG,NorthAmRev,A,B,C,"  . We have certainly heard of English boys being brought to their tasks by the birch and fertile, which are not the most winning ways, nor much less calculated"
11,1821,NF,VerminDestroyer,A,B,C,"  , and straight, without either pricks or knots, of which the willow or birch tree are the best; when you have picked it and trimmed it from all"
12,1822,FIC,LoganAFamilyHistory,A,B,C,"  flowering luxuriance, and shadowed, and fanned like a fountain, by the glittering birch and the waving branches of many a young tree that leant over it: on"
13,1822,MAG,NorthAmRev,A,B,C,"  lake. The forest trees are white and yellow pine, hemlock, spruce, birch, poplar and oak, with a mixture of elm, maple, and ash"
14,1822,MAG,NorthAmRev,A,B,C,"  to fall upon their track, our Indian guides traced out with their knives upon birch bark, the following hieroglyphics-Lieut Mackay, with a sword to signify that he was"
