entry,year,genre,source,a,b,c,text
11,1823,MAG,NorthAmRev,A,B,C,"  to proceed to any convenient place of encampment. This evening my companion killed two bison, the first we had seen on the route, but neither of them were"
271,1823,MAG,NorthAmRev,A,B,C,"  and the Rocky Mountains, our travellers were in a great degree dependent on the bison, or buffalo, as he is usually called, for their support. The"
426,1823,MAG,NorthAmRev,A,B,C,"  the consequence of indolence and repletion. He was transported by carriers, on a bison robe, to the various feasts to which he was daily invited, and should"
218,1827,FIC,BuccaneersARomance,A,B,C,"  string from his neck, and there depended on his back, a pouch of bison horn, which probably contained either his powder or tobacco -- glittering bracelets of silver"
367,1831,FIC,AmericanCommon-place,A,B,C,"  deer with his bay. He has left the green valley for paths where the bison Roams through the prairies, or leaps o'er the flood; Where the snake in"
224,1832,MAG,NewEngMag,A,B,C,"  The fellow is hungry. Now he overtakes the hindmost bull. Alas, poor Bison! See how the bloody Herod strikes him down with one blow of his paw"
380,1834,FIC,CalavarTheKnight,A,B,C,"  had reached. Heaven had denied all the useful domestic animals to America. The bison, which is perhaps not altogether untameable, roamed only over the prairies and the"
82,1835,FIC,InfidelFallMexico,A,B,C,"  ravenous pitch, as you dwell upon the description of extemporaneous feasts -- the savoury bison humps -- haunches of fat venison -- wild turkeys, without number -- bear's"
481,1835,FIC,InfidelFallMexico,A,B,C,"  lion,) jaguars, wolves, ounces, and wild dogs, -- the bison of Chihuahua staggering in his pen, the antelope or pronghorn of the north,"
333,1837,NF,AnAccompaniment,A,B,C,"  the Missouri and Saskatchawan, in the vicinity of the Rocky Mountains. The American Bison, or Buffalo, once common in the United States, has gradually disappeared before"
227,1838,FIC,CharcoalSketches,A,B,C,"  of his life to "" do the appalling, "" and out-haired everybody except the bison at the "" Zoological Institute. "" Duberly felt uncomfortable; he was not in"
67,1839,FIC,BehemothALegend,A,B,C,"  other, would have confused mere human skill in selecting a path; but the bison dexterously steered on. With cumbrous but swift steps Behemoth still pursued, over hills"
85,1839,FIC,BehemothALegend,A,B,C,"  , resolution, and fore-thought rose. He kept his way steadily, and the bison which drew him nobly seconded his purpose, and exhibited, as if inspired by"
232,1839,FIC,BehemothALegend,A,B,C,"  straining their vision to gather in every appointment and device, banner and sword, bison, chieftain and all. Ah! well might their eyes ache to look upon"
428,1839,FIC,BehemothALegend,A,B,C,"  four points, front and rear, and drawn by a single powerful and jet-black bison, came Bokulla himself. He stood erect in the vehicle, while his burnished"
4,1840,FIC,GreyslaerARomance,A,B,C,"  THUNDER'S NEST. "" He has left the green valley for paths where the bison Roams through the forest or leaps o'er the flood; Where the snake in the"
441,1840,MAG,NorthAmRev,A,B,C,"  with other examples of the same sort, such as the American Indian and the bison. Happily, we are in the first stages of this epoch, but much"
152,1841,NF,LifeTecumsehHis,A,B,C,"  and cattle in quest of new pastures, but hunters, roaming after deer and bison, and changing their location, as the pursuit from year to year, or"
344,1841,NF,PsychologyOrAView,A,B,C,"  which they live, such as have five senses, as the buffalo, the bison; nor again, among such as depend almost wholly on the element surrounding them"
3,1843,FIC,VariousWritings,A,B,C,"  other, would have confused mere human skill in selecting a path, but the bison dexterously steered on. With cumbrous but swift steps Behemoth still pursued, over hills"
113,1843,FIC,VariousWritings,A,B,C,"  hear him not, Nor from deep-founded silence can be wrought, Tho' herded bison on their steeps have browsed: Beneath their banks in darksome stillness housed The rivers"
211,1843,FIC,VariousWritings,A,B,C,"  could reach, the ample plain was desert and unoccupied. The innumerable herds of bison which had once been its tenantry, had now, before the terror of Behemoth"
300,1843,FIC,VariousWritings,A,B,C,"  Allegany, at the rate of seventeen miles an hour, with a tandem of bison? How does the notion strike us of one of these silent and reserved skeletons"
436,1843,FIC,VariousWritings,A,B,C,"  straining their vision to gather in every appointment and device, banner and sword, bison, chieftain, and all. Ah! well might their eyes ache to look"
265,1844,NF,VestigesNatural,A,B,C,"  . In the genus bos, we have, in the sub-typical group, the bison, "" wild, revengeful, and shewing an innate detestation of man. """
468,1845,MAG,NorthAmRev,A,B,C,"  other extinct animals are found buried to a greater depth than those of the common bison, which in vast numbers fill the superficial stratum, showing that the former were"
150,1848,FIC,TrappersBrideSpirit,A,B,C,"  , and will feast with them. Let Otter tell his hunters to carry the bison to the village, his white brother and his party will go with him."
207,1848,FIC,TrappersBrideSpirit,A,B,C,"  out their hunting knives, and commenced the labor of dressing and cutting up the bison; this done, they divided it amongst themselves, and all prepared to depart"
382,1848,FIC,TrappersBrideSpirit,A,B,C,"  found many buffalo in their path. They willingly give to the white chief the bison which his strong dogs took from their path, and which my brother's fatal"
84,1849,FIC,MardiVoyageThither,A,B,C,"  the thunder, and weeps in the shower; and as the body of a bison is covered with hair, so Mardi is covered with grasses and vegetation, among"
358,1849,FIC,WoodmanOtherPoems,A,B,C,"  feathered cheer. Then, the Graceful Fawn Who sat in the tent Of the bison's skin, Felt half sad and faint. But she handed him The long"
474,1849,FIC,MardiVoyageThither,A,B,C,"  disappear; death driving them all into his treacherous fold, as wild Indians the bison herds. Nay, nay, Death is Life's last despair. Hard and"
236,1850,MAG,NorthAmRev,A,B,C,"  mountains of the Far West, where my nature would find congenial sport with the bison, the wapiti, and the elk- With this view I obtained a commission in"
46,1851,FIC,MobyDickWhale,A,B,C,"  their leader, ere he rushes on at their head in the trail of the bison; but, alas! only to fall into the hidden snare of the Indian"
53,1851,FIC,MobyDickWhale,A,B,C,"  from Oregon, still when he smells that savage musk, the rending, goring bison herds are as present as to the deserted wild foal of the prairies, which"
354,1852,FIC,UncleTomsCabin,A,B,C,"  Dorcas, who found him to the full as tractable a patient as a sick bison. Imagine a tall, dignified, spiritual woman, whose clear muslin cap shades"
61,1854,FIC,PoeticalWorks,A,B,C,"  And comb in sparry halls their tresses green; The broad savannah, where the bison strays, And come in herds the fallow-deer to graze; The mossy forest,"
452,1854,FIC,Walden,A,B,C,"  satisfy the tastes of lovers of Nature there. So butchers rake the tongues of bison out of the prairie grass, regardless of the torn and drooping plant. The"
110,1855,FIC,Poems,A,B,C,"  aim, And at eventide shall our feast be made From the flesh of the bison's frame. And when our feast is done, And the twilight sinks away"
36,1856,FIC,HirelingSlaveChicora,A,B,C,"  Of elk, or struck dead in his flight The deer, or quelled the bison's might; And scantily his craft supplied The pemmican or venison, dried And"
414,1856,FIC,MythHiawathaOther,A,B,C,"  to unravel, This new thing to reconcile. Tracks I know of deer and bison, Tracks of panther, lynx, or hind, Beasts and birds of every"
313,1861,FIC,FlirtationWhat,A,B,C,"  could not do as Dalton did -- go to the Rocky Mountains, hunt the bison, scour the prairies, and join the Seventh Regiment on returning, seeking to"
