entry,year,genre,source,a,b,c,text
1,1820,NF,-,-,-,-,"near the remains of fires. That large species of bittern, known on the east-coast by the local name of Native Companions, I"
2,1827,FIC,-,-,-,-,"the swampy fen or the morass, would startle the bittern, the shypoke, the lapwing, or the speckled curlew, who still"
3,1827,FIC,-,-,-,-,"grass Like Morni's ruin'd tower. -- No bittern screams, Nor satyrs dance there, -- nor the Cormorant Unfolds her pinion"
4,1831,FIC,-,-,-,-,"frozen fountain -- hark! -- His piercing beak the bittern dips. Where, twisted round the barren oak, The summer vine in"
5,1831,FIC,-,-,-,-,", in the mellow blush of day, The noisy bittern wheeled his spiral way. I heard the distant waters dash; I heard"
6,1832,FIC,-,-,-,-,"smiled, E'en Death revered Thy deathless name! The bittern moans where Zion stood, The serpent crawls where nations trod -- Be with"
7,1836,FIC,-,-,-,-,"pestilence; low and wide spread marshes, where the bittern fished for the frog, and the snipe hid his long bill in the"
8,1838,FIC,-,-,-,-,"; Along thy glades a solitary guest, The hollow-sounding bittern guards its nest; Amidst thy desert walks the lapwing flies, And tires"
9,1838,FIC,-,-,-,-,"our covert, when a large black bird of the bittern species strugglingly and slowly arose above the shrubs. I was so much startled"
10,1838,FIC,-,-,-,-,"was not an oceanic fowl, but a species of bittern, with jet black and grizzly plumage, and diminutive wings in proportion to"
11,1838,FIC,-,-,-,-,was precisely the same with the note of the black bittern we had eaten upon the summit of the hill. March 3. The
12,1842,FIC,-,-,-,-,"beating the bushes by the stream-side. We see the bittern flushed; and then, falcon, and marlyon, and gos-hawk, quick"
13,1842,FIC,-,-,-,-,"our breath is quick -- up, up soars the bittern in lessening gyration higher and yet higher, to keep, if, alas"
14,1844,FIC,-,-,-,-,"man. Fox and woodchuck, hawk and snipe and bittern, when nearly seen, have no more root in the deep world than"
15,1845,FIC,-,-,-,-,"two or three of the large yellow-legs, a little bittern, known by a far less elegant appellative throughout the country, and thirteen"
16,1847,NF,-,-,-,-,"greater variety of the feathered tribe. A large brown bittern stood motionless amongst the stones of a rapid portion of the stream, crouching"
17,1849,FIC,-,-,-,-,"is a small lake, the haunt of the solitary bittern, with water-snakes basking in the sun on the leaves of the pond-lilies which"
18,1849,FIC,-,-,-,-,merely fringed by shrubs and bushes. I see the bittern rising with hollow scream as they break in upon his rarely-invaded haunt; the
