entry,year,genre,source,a,b,c,text
136,1811,FIC,Africans,A,B,C,"  ! Going. Enter Madiboo. Mad. Madiboo Well done, Sutta! the blackbird is a cuckoo to you. I should like to jump down your throat,"
312,1821,FIC,Pedlar,A,B,C,"  time bullying a war-worn veteran out of all his earthly comfort: his dear little blackbird! Oh! Harry, you're a thorn between two roses. Harry at"
18,1823,MAG,NorthAmRev,A,B,C,"  of the Omawhnws is said to have been almost absolute. That of the celebrated Blackbird Wash*ing-guhSahb***, seems to have been actually so, and was retained undiminished until his"
117,1823,FIC,ForestRose,A,B,C,"  awakes, in blushes dress'd, The lambs are all at play, The blackbird quits his dewy nest, And carols on the spray; The milkmaid hails the"
295,1823,MAG,NorthAmRev,A,B,C,"  gave rise to the erection of artificial hills over the remains of the dead. Blackbird, the chief of the Mahas, was interred, at his particular request,"
250,1824,FIC,OHalloranTheInsurgent,A,B,C,"  ; Hail Spring! fair queen of tender joys, And meekly-smiling love. The blackbird, thrush and linnet tribes, In yonder grove convene, And in glad concert"
314,1824,FIC,OHalloranTheInsurgent,A,B,C,"  adjusted himself to his harp, and began the beautifully sweet air of the "" Blackbird. "" When he had done, he asked Ellen if she had committed to"
229,1828,FIC,Remains,A,B,C,"  a hold, When all at once dart at the falling prize. The flippant blackbird with light yellow crown, Hangs fluttering in the air, and chatters thick Till"
65,1831,MAG,NewEngMag,A,B,C,"  pick up grain and seeds; it is sometimes called Cow-bird, Cowpen-bird, and Blackbird, which reminds me of many other confusions of names in our ornithology, that"
402,1831,FIC,AmericanCommon-place,A,B,C,"  company of reapers bind The bearded wheat in sheaves, -- then peals abroad The blackbird's merry chant. I love to hear, Bold plunderer, thy mellow burst"
500,1831,FIC,AmericanCommon-place,A,B,C,  -- Anonymous. from Landmark Anthologies:The American common-place book of poetry (1831) The blackbird is singing on Michigan's shore As sweetly and gayly as ever before; For
379,1832,MAG,NorthAmRev,A,B,C,"  other birds. The unnatural parent in this country, is the well known low blackbird, the pest of almost all the feathered race. She lays her egg in"
445,1833,FIC,CrayonSketches [ed],A,B,C,"  pride; Invisible in flecked sky, The lark sent down her revelry; The blackbird and the speckled thrush Good-morrow gave from brake and bush; In answer cooed the"
285,1835,FIC,HawksHawk-Hollow,A,B,C,"  I should suppose you would have sung that line to the gay whistle of a blackbird! "" "" I assure you, Miss Loring, "" said the painter,"
36,1836,NF,AstoriaAnecdotes,A,B,C,"  for peace. The charms of the Indian maid touched the stern heart of the Blackbird; he accepted the pipe at her hand, smoked it, and from that"
53,1836,NF,AstoriaAnecdotes,A,B,C,"  benefit. It is this tribe of whose chief, the famous Wash-ing-guhsah-ba, or Blackbird, such savage and romantic stories are told. He had died about ten years"
156,1836,NF,AstoriaAnecdotes,A,B,C,"  of the Omahas, and carried off a number of women and horses. The Blackbird was roused to fury, and took the field with all his braves, swearing"
203,1836,NF,AstoriaAnecdotes,A,B,C,"  times over for the goods set apart by the chief. In this way the Blackbird enriched himself, and enriched the white men, and became exceedingly popular among the"
211,1836,NF,AstoriaAnecdotes,A,B,C,"  republicans had inflicted a gross indignity on a favorite and distinguished Omaha brave. The Blackbird assembled his warriors, led them against the Pawnee town, attacked it with irresistible"
235,1836,NF,AstoriaAnecdotes,A,B,C,"  might, and dreaded to displease so omnipotent and vindictive a being; and the Blackbird enjoyed a wide and undisputed sway. It was not, however, by terror"
258,1836,NF,AstoriaAnecdotes,A,B,C,"  better country. When the general horror and dismay was at its height, the Blackbird himself was struck down with the malady. The poor savages, when they saw"
291,1836,NF,AstoriaAnecdotes,A,B,C,"  to this singular promontory as if spell-bound. It was the dying command of the Blackbird that his tomb should be on the summit of this hill, in which he"
302,1836,NF,AstoriaAnecdotes,A,B,C,"  furnished him with an ample supply of that baneful drug. From this time the Blackbird seemed endowed with supernatural powers, to possess the gift of prophecy, and to"
345,1836,NF,AstoriaAnecdotes,A,B,C,"  of discontent. Upon this a crafty and unprincipled trader revealed a secret to the Blackbird, by which he might acquire unbounded sway over his ignorant and superstitious subjects."
351,1836,NF,AstoriaAnecdotes,A,B,C,"  small child, and laying it on the ground, placed the foot of the Blackbird upon its neck. The heart of the gloomy savage was touched by this appeal"
365,1836,NF,AstoriaAnecdotes,A,B,C,"  , sorely pressed, took refuge behind a rude bulwark of earth; but the Blackbird kept up so galling a fire, that he seemed likely to execute his menace"
381,1836,NF,AstoriaAnecdotes,A,B,C,"  the favorite wife whose fate makes so tragic an incident in the story of the Blackbird. Her youth and beauty had gained an absolute sway over his rugged heart,"
392,1836,NF,AstoriaAnecdotes,A,B,C,"  disuse, for the tribe itself is almost extinct. Yet the hill of the Blackbird continues an object of veneration to the wandering savage, and a landmark to the"
408,1836,NF,AstoriaAnecdotes,A,B,C,"  Anecdotes of the Tribe. -- Feudal Wars of the Indians. -- Story of Blackbird, the Famous Omaha Chief. THE weather continued rainy and ungenial for some days"
439,1836,NF,AstoriaAnecdotes,A,B,C,"  to any one who questioned his authority or dared to dispute his commands! The Blackbird prophesied his death within a certain time, and he had the secret means of"
463,1836,NF,AstoriaAnecdotes,A,B,C,"  calumet or pipe of peace, but he was shot down by order of the Blackbird. Another herald was sent forth in similar guise, but he shared a like"
3,1837,MAG,NorthAmRev,A,B,C,"  a great "" medicine "" was at hand, against which the secret talisman of Blackbird afforded no protection, and to which, in common with the humblest of his"
12,1837,MAG,NorthAmRev,A,B,C,"  any one who questioned his authority, or dared to dispute his commands! The Blackbird prophesied his death within a certain time, and he had the secret means of"
44,1837,MAG,NorthAmRev,A,B,C,"  this singular promontory as if spell-bound. "" It was the dying command of the Blackbird that his tomb should be upon the summit of this hill, in which he"
86,1837,MAG,NorthAmRev,A,B,C,"  disuse, for the tribe itself is almost extinct. Yet the hill of the Blackbird continues an object of veneration to the wandering savage, and a landmark to the"
257,1837,MAG,NorthAmRev,A,B,C,"  - Vol. i. pp. 163- 164. The same chapter contains an animated account of Blackbird, a famous chief of the Omahas, whose superior talent // had given him"
275,1837,MAG,NorthAmRev,A,B,C,"  country. "" When the general horror and dismay was at its height, the Blackbird himself was struck down with the malady. The poor savages, when they saw"
437,1837,MAG,NorthAmRev,A,B,C,"  , and dreaded to displease so powerful and vindictive a being; and thus the Blackbird enjoyed a wide and undisputed sway. But a great "" medicine "" was at"
496,1840,FIC,AirsPalestineOther,A,B,C,"  stripling roves Through smiling valleys and religious groves; Hears, there, the flickering blackbird strain his throat, Here, the lone turtle pour her mournful note, Till"
207,1842,FIC,CareerPufferHopkins,A,B,C,"  in the instant, swarmed with many beautiful and melodious lives; and the single blackbird darkened the air, as if he had been a whole flock in himself."
213,1842,FIC,CareerPufferHopkins,A,B,C,"  of a parson's coat from the fashion of his deep sable feathers. That blackbird, sir, is to me and my opinions, what the best and portliest"
224,1842,FIC,CareerPufferHopkins,A,B,C,"  "" With which answer the young gentleman stepped across the floor, and unfastening the blackbird from where it hung upon the beam, took it to the window, and"
352,1842,FIC,CareerPufferHopkins,A,B,C,"  wall; the pot of plants brought in and stationed on the shelf; the blackbird in his cage, removed from his old look-out at the window and hung upon"
467,1842,FIC,SportingScenes,A,B,C,"  we call vultures, buzzard and crow; a thrush, robin -- the English blackbird is a thrush; -- a buzzard, hawk; and more locally, a"
39,1843,FIC,VariousWritings,A,B,C,"  he mentioned, to come to his side; fixed his look on the poor blackbird, whose cage had been restored to its place upon the beam, and clasped"
42,1843,FIC,VariousWritings,A,B,C,"  "" With which answer the young gentleman stepped across the floor, and unfastening the blackbird from where it hung upon the beam, took it to the window, and"
85,1843,FIC,VariousWritings,A,B,C,"  in the instant, swarmed with many beautiful and melodious lives; and the single blackbird darkened the air as if he had been a whole flock in himself. There"
100,1843,FIC,VariousWritings,A,B,C,"  wall; the pot of plants brought in and stationed on the shelf; the blackbird in his cage, removed from his old lookout at the window and hung upon"
429,1843,FIC,VariousWritings,A,B,C,"  of Puffer Hopkins. "" You wonder, I doubt not, to see this blackbird here -- don't you? "" said the tailor, detecting the question which"
442,1843,FIC,VariousWritings,A,B,C,"  suspended at the window, overlooking a pot of plants, a cage with a blackbird in it, busily engaged in passing up and down from a second-story perch to"
482,1843,FIC,VariousWritings,A,B,C,"  of a parson's coat from the fashion of his deep sable feathers. That blackbird, sir, is to me and my opinions, what the best and portliest"
486,1843,FIC,VariousWritings,A,B,C,"  Puffer's looks had often asked before; "" what business have I with a blackbird, unless I might fancy that I could catch the cut of a parson's"
423,1847,FIC,IngleboroughHall,A,B,C,"  airy circles around the distant spire, the full and liquid melodies of thrush and blackbird from out the thorn bushes upon the lawn, the lowing of the cows,"
79,1852,FIC,AesopInRhyme,A,B,C,  emulate the birds of spring? Can thy weak warbling dare approach the thrush Or blackbird's accents in the hawthorn bush? Or with the lark dost thou poor mimic
133,1852,NF,RoughingItInBush,A,B,C,"  , and listened with the untiring ear of love to the spring roundelay of the blackbird, whistled from among his bower of May blossoms. Here, I had discoursed"
316,1853,FIC,Virginalia,A,B,C,"  Thomas Holley), 1809-1858: ALMA. from Virginalia (1853) Blacker than the Blackbird's bill, Was her raven hair; Whiter than snow upon Ida's Hill"
371,1853,FIC,ChevaliersFrance,A,B,C,"  of the rivulet, and now and then the sudden song of the thrush or blackbird bursting out from the thickets in a gush of liquid ecstasy, and hushed almost"
131,1855,FIC,MissingBride,A,B,C,"  After this, by slow degrees, he was enabled to approach "" the little blackbird "" without alarming her. And after a while he coaxed her to take a"
296,1855,FIC,ScenesCharacters,A,B,C,"  On Monday she tore her frock by climbing a laurel-tree, to look at a blackbird's nest.'' I gave her leave,' said Emily.'"
414,1855,FIC,ScenesCharacters,A,B,C,"  ' It was a bright and beautiful afternoon in March, the song of the blackbird and thrush, and the loud chirp of the titmouse, came merrily through the"
321,1862,FIC,KingsStratagem,A,B,C,"  eyes Bright as two stars -- ALISA. Tut! tut! It was a blackbird. CHRISTINE. Do blackbirds wear fair beards and hats, Alisa? And have"
435,1864,FIC,Moods,A,B,C,"  and nearer drew the winged guest, fascinated by the spell. Suddenly a belated blackbird lit upon the wall, surveyed the group and burst into a jubilant song,"
40,1866,FIC,GoodCompanyEvery,A,B,C,"  down the glade: "" Squirrel, Squirrel, from the nut-tree shade, Bonny Blackbird, if you' re not afraid, Come and share with me! """
155,1866,FIC,GoodCompanyEvery,A,B,C,"  ? "" Low and soft, oh! very low and soft, Crooned the Blackbird in the orchard croft, "" Bell, dear Bell! "" crooned he."
166,1866,FIC,GoodCompanyEvery,A,B,C,"  sun, In the little lap drop, one by one -- Hark! how Blackbird pipes, to see the fun! "" Happy Bell! "" pipes he."
244,1866,FIC,GoodCompanyEvery,A,B,C,"  finest song, I know, Little Bell, "" said he. And the Blackbird piped -- you never heard Half so gay a song from any bird; Full"
304,1866,FIC,GoodCompanyEvery,A,B,C,"  well Both man and bird and beast. "" The Ancient Mariner. PIPED the Blackbird, on the beechwood spray, "" Pretty maid, slow wandering this way,"
347,1866,FIC,GoodCompanyEvery,A,B,C,"  me! "" Down came Squirrel, eager for his fare, Down came bonny Blackbird, I declare; Little Bell gave each his honest share -- Ah! the"
455,1866,FIC,GoodCompanyEvery,A,B,C,"  the tree, Swung and leaped and frolicked, void of fear, While bold Blackbird piped, that all might hear, "" Little Bell! "" piped he."
63,1869,FIC,HospitalSketches,A,B,C,"  fixed on John. And Laura, once so silent, now sang like a blackbird, as she flitted to and fro; but her fitful song was always,"
