entry,year,genre,source,a,b,c,text
1,1822,FIC,New-EnglandTale,A,B,C,"  la belle danse in dis country. "" "" He'll cackle like a blue jay, "" said the corporal, "" by the time we get the feathers on"
2,1831,FIC,AmericanCommon-place,A,B,C,"  or chirps half hid Amid the lowly dog-wood's snowy flowers, And the blue jay flits by, from tree to tree, And, spreading its rich pinions,"
3,1831,MAG,NewEngMag,A,B,C,"  error and perplexity, to one not much acquainted with natural history. Our Blue Jay, for instance, is called in Virginia, the Bluebird; the Bluebird,"
4,1837,NF,AnAccompaniment,A,B,C,"  the Plains. Some other of the peculiar American birds are the mocking-bird, blue jay, and whip-poor-will. Parrots and parroquets abound in Mexico; and in the United"
5,1849,FIC,Sketch-BookGeoffrey,A,B,C,"  wings and yellow-tipt tail and its little monteiro cap of feathers; and the blue jay, that noisy coxcomb, in his gay light-blue coat and white under-clothes, screaming"
6,1849,FIC,WoodmanOtherPoems,A,B,C,"  roar Of the brazen chariot-wheel, Buzzing at thy pinkish heel. Fix a blue jay's scream For the whistle of thy car, Hear no costlier music in thy"
7,1854,FIC,Walden,A,B,C,"  the roof and under the floor, a whip-poor-will on the ridge-pole, a blue jay screaming beneath the window, a hare or woodchuck under the house, a screech"
8,1856,FIC,Poems,A,B,C,"  as they shook in the breeze, Where the Oriole flashed, and the blue Jay screamed, And the trees and the skies in the smooth lake dreamed. And"
9,1869,FIC,OldtownFolks,A,B,C,  comin'. I expect she knows about every yellow-bird's nest an' blue jay's an' bobolink's an' meadow-lark's that there' s ben round
10,1870,MAG,Harpers,A,B,C,"  "" Mr. Botts, you have heard the story of the hawk and the blue jay! "" "" No; tell it to me, won't you? """
11,1870,MAG,Harpers,A,B,C,"  n't you? "" "" Briefly, then, the hawk set upon the blue jay, and pursued the frightened bird with great swiftness. When almost within the clutch"
12,1870,MAG,Harpers,A,B,C,"  great swiftness. When almost within the clutch of the deadly talons, the blue jay darted into a brushheap, where the hawk could not follow. The bird,"
13,1874,NF,WesternWorld,A,B,C,"  besides the partridge, quail, whip-poor-will, hairy woodpecker, Canadian jay, blue jay, Indian hen, and woodcock. In the mountain region are bighorns and mountain"
14,1874,NF,WesternWorld,A,B,C,"  , of sucking the eggs of other birds, -- like the crow, blue jay, and other pillagers. They also occasionally eat various kinds of berries; but"
15,1876,NF,WinterSunshine,A,B,C,"  in nature proceeds from the crow. All the crow tribe, from the blue jay up, are capable of certain low ventriloquial notes that have peculiar cadence and charm"
16,1880,NF,Wake-Robin,A,B,C,"  , and take up with the abandoned nest of some other species. The blue jay now and then lays in an old crow's nest or cuckoo's nest."
17,1880,NF,Wake-Robin,A,B,C,"  cuckoo that dispossessed a robin of its nest; of another that set a blue jay adrift. Large, loose structures, like the nests of the osprey and certain"
18,1880,NF,Wake-Robin,A,B,C,"  species of the common bluebird, while in all our woods there is the blue jay and the indigo-bird, -- the latter so intensely blue as to fully justify its"
