entry,year,genre,source,a,b,c,text
1,1835,MAG,NewEngMag,A,B,C,"  black locust, and that splendid evergreen, the holly, appearing like a huge boxwood tree blossoms of many kinds shine among the greenness like gems while on the river-bank"
2,1852,NF,RoughingItInBush,A,B,C,"  his father, a being almost as eccentric as himself, had carved out of boxwood. When he slipped this nose over his own (which was no beautiful classical"
3,1854,FIC,PoeticalWorks,A,B,C,"  the Gentian's azure eye, And berries of a crimson dye That grace the Boxwood's crown, And, shooting from the marsh on high, The Typha's"
4,1862,MAG,Atlantic,A,B,C,"  invention: books engrossed on illuminated rolls of vellum, and wound on cylinders of boxwood, ivory, or gold, - and then put away like richest treasures of"
5,1867,FIC,SayingsDrBushwhacker,A,B,C,"  is that orthodox? "" "" Sir, "" replied Dr. Bushwhacker, holding the boxwood spoon in one hand and the box-wood fork in the other; "" the eyes"
6,1867,MAG,Galaxy,A,B,C,"  for light mallets, ash should be used, and for the heavier sort, boxwood. One of the principal annoyances occurring in the game, and which gives rise"
7,1870,FIC,StoryBadBoy,A,B,C,"  , and hidden in the trunks of decayed trees. Every thick place in the boxwood hedge that surrounded the seminary was a possible post-office. It was a terrible shock"
8,1870,FIC,StoryBadBoy,A,B,C,"  I fought shy of Primrose Hall from that moment. Smiles were smiled over the boxwood hedge, and little hands were occasionally kissed to me; but I only winked"
9,1874,NF,MannersCustoms,A,B,C,"  M. Becker, of Frankfort). Illustration: Fig. 129. -- Nut-crackers, in Boxwood, Sixteenth Century (Collection of M. Achille Jubinal). For these ablutions scented"
10,1877,FIC,WonAtLast,A,B,C,"  homestead, with old-fashioned porch, covered with vines. To R., a high boxwood hedge. R.C., an old elm, underneath and about it a rustic seat"
11,1877,MAG,Galaxy,A,B,C,"  "" orbicular muscle "" in action as much as possible. A small ball of boxwood kept constantly in the mouth, between the inside of the cheek and the """
12,1886,FIC,SquireSandal-Side,A,B,C,"  scattered a little salt upon the ground, and broke off a small spray of boxwood, he knew instinctively that they were silently expressing their faith in the preservation of"
13,1887,NF,HistoryArtBeginners,A,B,C,"  century ago. He made many exquisite little carvings in stone, ivory, and boxwood, and in these articles the result of his work as a goldsmith is best"
14,1887,NF,HistoryArtBeginners,A,B,C,"  carved in wood. Duerer executed many little carvings in stone, ivory, and boxwood, and the existing ones are seen in various collections in Germany. It is"
15,1889,NF,HistoryPhoenicia,A,B,C,"  red, yellow, green, and amber; hemp and flax; tar, boxwood, 510 and all the materials requisite for shipbuilding from the heavy timbers needed for"
16,1891,NF,CatalogueEconomic,A,B,C,"  New Zealand, which reaches a considerable size, and furnishes a wood similar to boxwood. The flowers are very fragrant. 351. PLAGIANTHUS BETULINUS. -- The inner bark"
17,1891,NF,CatalogueEconomic,A,B,C,"  a fine, close grain, and has been experimented with as a substitute for boxwood for engraving purposes, but it is too soft to stand the pressure of printing"
18,1893,FIC,PrinceIndia —Volume01,A,B,C,"  was a perfected garden of roses and flowering vines and shrubs, with avenues of boxwood and acacias leading up to ample reservoirs hidden away in a grove of beeches."
19,1894,NF,HistoryAustralia,A,B,C,"  , they marched due north, keeping along the 140th meridian, through forests of boxwood, alternating with plains well watered and richly covered with grass. Six weeks after"
20,1895,NF,Book-HunterInLondon,A,B,C,"  Order of Saint Bartholomew.' Illustration FOOTNOTES: 100:A Cooper's hammer was of boxwood. Millington applies to his own the Homeric line, +deine de klange genet'"
21,1900,FIC,HaveHold,A,B,C,"  THE Governor had brought with him from London the year before, a set of boxwood bowls, and had made, between his house and the fort, a noble"
22,1903,NF,Up-to-DateWaitress,A,B,C,"  occasional use. z large piece chamois skin. I "" box of basswood or boxwood sawdust. Fine quality of common soap or Ivory Soap. Sapolio and Bristol brick"
23,1903,NF,Up-to-DateWaitress,A,B,C,"  the crevices. Bury the glass as soon as dried in a box of fine boxwood or basswood sawdust (sawdust from woods of a resinous nature, as pine and"
24,1906,FIC,ColonelRedHuzzars,A,B,C,"  a White Masque. "" We were on a walk bordered by a hedge of boxwood, shoulder high. On the other side, was another path with several Masques"
25,1906,FIC,ColonelRedHuzzars,A,B,C,"  my assailant to disappear almost instantly. Indeed, but for Moore's vaulting the boxwood after him, it is likely no one would have suspected anything unusual. Several"
26,1906,NF,WoodPattern-Making,A,B,C,"  known as the two foot rule. This is a strip of wood, usually boxwood, twenty-four inches long, and about half an inch wide. For convenience in"
27,1906,NF,WoodPattern-Making,A,B,C,"  metal of the casting. The common form of this rule is a strip of boxwood, one and one-fourth inches wide, and twenty-four and onefourth inches long. It"
28,1908,FIC,DorothyDaleGirl,A,B,C,"  know all about Mrs. Douglass and her high fence. Also the flowers behind the boxwood. Here, Doro, give me some of that paper -- "" "" Oh"
29,1914,NF,DayInOldAthens,A,B,C,"  instruments. The pupils sit on rude, low benches, each lad with his boxwood tablet covered with wax* upon his lap, and presumably busy, scratching letters with"
30,1914,NF,DayInOldAthens,A,B,C,"  tie. Each "" dicast "" (to use the proper name) has a boxwood tablet to show at the entrance as his voucher to the Scythian police-archers on duty"
31,1918,FIC,MyÁntonia,A,B,C,"  taking the same direction. He felt his way through the lilacs, along the boxwood hedge, up to the south wing of the "" Big House, "" where"
32,1928,MAG,NewYorker,A,B,C,"  are valued at seven millions. There are some famous ones, such as a boxwood originally planted by George Washington in Virginia. When she was in Washington some years"
33,1931,FIC,Harpers,A,B,C,"  shoutings. As the sun baked hotter on the flagstone terrace, a row of boxwood bushes gave out a faint, sickly-sweet smell, like a garden in Italy,"
34,1931,FIC,Harpers,A,B,C,"  moment, even the sound had ceased. The bee came buzzing back to the boxwood, again saw that he had been fooled, and went humming off. The"
35,1931,MAG,SatEvePost,A,B,C,"  the crevices between the stones, and about the terrace is a border hedge of boxwood 200 years old. You glimpse a garden of boxwood that might have been planted"
36,1931,MAG,SatEvePost,A,B,C,"  is a border hedge of boxwood 200 years old. You glimpse a garden of boxwood that might have been planted in Colonial days, eta the boxwood actually was planted"
37,1931,MAG,SatEvePost,A,B,C,"  a garden of boxwood that might have been planted in Colonial days, eta the boxwood actually was planted then. This is a hilltop that never owned a spring,"
38,1931,MAG,SatEvePost,A,B,C,"  the big house on the hill. Under the spell of its elms, its boxwood and ivy and age-scarred stones, you almost forget that its attic rafters are of"
39,1931,MAG,SatEvePost,A,B,C,"  expected to live with his trees quite a number of years. R Bargain in Boxwood Thousands of flowering and nonflowering shrubs had to be bought, the members of the"
40,1931,MAG,SatEvePost,A,B,C,"  members of the family consulted as to their favorite flowers, and there was the boxwood. Billings' oldest daughter wanted a boxwood garden, an old garden such as"
41,1931,MAG,SatEvePost,A,B,C,"  favorite flowers, and there was the boxwood. Billings' oldest daughter wanted a boxwood garden, an old garden such as she had seen in the South. Billings"
42,1931,MAG,SatEvePost,A,B,C,"  collector of scenery had not covered. In two weeks they gathered thirty-two carloads of boxwood, and most of it antedated the Declaration of Independence. One marvelous clump of"
43,1934,FIC,CaptainCaution,A,B,C,  suddenly to brushing their garments and arranging their cravats in the shelter of the lofty boxwood hedge that stood between them and the gardens of the chateau. Argandeau sighed and
44,1934,FIC,CaptainCaution,A,B,C,"  he was staring, with eyes as large and round as plums, at the boxwood hedge that bordered the avenue. Turning quickly, Marvin saw, above the clipped"
45,1934,FIC,CaptainCaution,A,B,C,"  distant gates without a backwardglance. The two women came through an opening in the boxwood hedge, chattering to each other as if they could never find time to finish"
46,1934,FIC,CaptainCaution,A,B,C,"  , swathed in a long gray cloak and sitting on a stone bench against the boxwood hedge; and it seemed to him, as he went toward her, that"
47,1934,FIC,Play:RainFromHeaven,A,B,C,"  She's picking me up at the White Hart. We were driving on to Boxwood. LADY LAEL WYNGATE You'll bring her back to dine, of course."
48,1935,FIC,ThisBodyEarth,A,B,C,"  ruined flower garden of her's out back of the house -- with its twisted boxwood, over-grown sweet flag and lost mint beds. Walk around there in the dews"
49,1935,FIC,EdnaHisWife,A,B,C,"  a brass rack and tore the rest to scattered bits. "" You know Mrs. Boxwood? "" "" Yes, sir. "" "" She cleans my office for me"
50,1935,FIC,EdnaHisWife,A,B,C,"  's too run down. Even niggers won't live there. And when Mrs. Boxwood moved in with her whole raft of children they let her stay. "" I"
51,1935,FIC,EdnaHisWife,A,B,C,  thrown in. She can't let it. But she wants to get Mrs. Boxwood putut. I don't like it. But I will say this for Miss
52,1935,FIC,EdnaHisWife,A,B,C,"  fifteen. "" But I'll admit, "" he said, "" that Mrs. Boxwood is a case. You can't wonder that all the respectable ladies condemn her"
53,1935,FIC,EdnaHisWife,A,B,C,"  to little boys. But it's also a mild form of morphine. Mrs. Boxwood can't work until she has it. "" We crossed George Street and passed"
54,1935,FIC,EdnaHisWife,A,B,C,"  cane dragged behind him as he clattered down the - steps. "" I know Mrs. Boxwood is a scandal. But what are youp121going to do about it? Only God"
55,1935,FIC,EdnaHisWife,A,B,C,"  tavern then. And your friend iss Virginia wants it torn down. "" Mrs. Boxwood is to be put out. But Miss Virginia will' went a park to"
56,1935,FIC,EdnaHisWife,A,B,C,"  stones. "" But we'll wait and see. We'll wait until Mrs. Boxwood comes. Maybe she can tell us whether she can use a park. She"
57,1935,FIC,EdnaHisWife,A,B,C,  not corrupt me. But I would resist his solicitations when he spoke of Mrs. Boxwood. I did not want to be sorry for her. She repelled me as
58,1935,FIC,EdnaHisWife,A,B,C,"  when prompted by their elders will not respond. Had I come alone on Mrs. Boxwood and her children in their poverty, I might have been sorry for them."
59,1935,FIC,EdnaHisWife,A,B,C,"  eyes are better than mine. "" But he had seen her first. Mrs. Boxwood stopped at the end of the sidewalk. She pressed down on the handle of"
60,1935,FIC,EdnaHisWife,A,B,C,"  let her off. As far as I am concerned, charity begins with Mrs. Boxwood and her four children. I don't take much to organized kindness. """
61,1935,FIC,Harpers,A,B,C,"  "" He drew her aside from the waiting elevator, behind a screen of still boxwood trees. He grasped her arm. "" Well, if you are serious,"
62,1938,FIC,Play:SouthernCross,A,B,C,"  Right and upper and lower Left. At the Left front is a clump of boxwood shrubbery, and in the Right Center a weatherworn little summer house, with a"
63,1938,NF,CommonSenseInHome,A,B,C,  lends itself to fine carving. It was widely used in the 19th Century. Boxwood is a very finely grained pale wood used only for inlaying. Cherry is another
64,1942,FIC,AlongStreet,A,B,C,"  Hazlitt, connoisseur of shadows and evasives; or maybe the warm bitterness of the boxwood smell. If he only had his class sitting here among the green alleys he"
65,1944,FIC,HistoryRomeHanks,A,B,C,  land and negroes and built himself a fine frame plantation house. He reset some boxwood hedge around the front porch and in the back yard and went to work industriously to
66,1946,FIC,DeltaWedding,A,B,C,"  landing, higher than anybody's head, with tiny leaves nobody could count -- boxwood; it was bittergreento smell, the strong fearless fragrance of things nobody has been"
67,1946,FIC,SerpentsTooth,A,B,C,"  Ettie was taken to call at old houses of wine-colored brick, surrounded by neglected boxwood, houses whose floors were sab ging, whose battered paneling was hung with darkened"
68,1946,MAG,Time,A,B,C,"  DDT emulsion destroys tent caterpillars, cankerworms, gypsy moths, elm leaf beetles, boxwood leaf miner and some other pests. Warning: it increases the population of red"
69,1948,FIC,RemembranceRock,A,B,C,"  the sourwood honey and old Colonel Landseer's place on the Hickory road with the boxwood hedges in front of the tall columns and how he, Robert, carried the"
70,1949,FIC,GoldenApples,A,B,C,"  with callers and helpers. Each one who came seemed stopped by the enormous dead boxwood, like a yellow sponge, that stood by the steps; it had to"
71,1949,FIC,GoldenApples,A,B,C,"  but did not go back. She looked out still. From around the big boxwood Mr. King MacLain, treading so lightly they didn't hear him, came up"
72,1950,MAG,Time,A,B,C,"  her best bird-brained manner, Gracie floundered in malapropisms, clipped the top off a boxwood hedge with George's electric razor, soundly bussed a startled book salesman (so"
73,1951,MAG,NatGeog,A,B,C,"  product made of precious metals, alloys, and jewels! Hamilton puts to work boxwood, orangewood, beech, balsa, applewood, cypress, maple, pine,"
74,1955,FIC,BandAngels,A,B,C,"  that the son and his wife always lived in the Bride's Cottage beyond the boxwood maze in the garden. Later I think she was thankful. "" But,"
75,1955,FIC,BandAngels,A,B,C,"  At lunchtime one of the strangest-looking kids I've ever seen came slinking around the boxwood hedge and eyed me coldly. "" Oh! "" Sally Cato jumped, """
76,1957,FIC,MrAudubonsLucy,A,B,C,"  stone; white shutters framed starched curtains behind shining windows. In a garden, boxwood surrounded roses, bare now in the snow. The lady of the house came"
77,1958,MAG,Time,A,B,C,"   236629 In these leveling times when British professional men clip their own boxwood and their wives push their own prams, London exhibits no district more decorous and"
78,1962,FIC,SevenDaysInMay,A,B,C,  flat on the lawn and squirmed around to peer at the house under a large boxwood which flanked the roses lining the terrace. The kitchen door banged and a shiny
79,1967,FIC,Arrangement,A,B,C,"  hide-and-seek with playmates and had stepped on the body of a dead bird in the boxwood serpentine of the yard next door. Right now, so many years later,"
80,1967,FIC,Arrangement,A,B,C,"  . But in the midst of the squalor were the usual clumps of old English boxwood, snow-capped, incongruous in this setting. I paused at the edge of the"
81,1971,FIC,DreamMuseum,A,B,C,"  couldn't help seeing three of your men out there nosing around by the old boxwood maze, looked suspicious characters to me.' Glad you said that Jeffrey I"
82,1973,NF,BraggAboutYour,A,B,C,"  after a time, and resorted to local oak, beech, olive, and boxwood. The fine cabinet makers were gone, and the guilds destroyed, so quality"
83,1974,FIC,ManWithNoShadow,A,B,C,  the broken windows of the red brick building. Shards of glass glinted in the boxwood hedge below them. The acrid tomcat smell of the boxwood was strong. Nobody
84,1974,FIC,ManWithNoShadow,A,B,C,  glass glinted in the boxwood hedge below them. The acrid tomcat smell of the boxwood was strong. Nobody had repaired the windows smashed in the last riot. Nobody
85,1976,FIC,Speedboat,A,B,C,"  eleven, wants to work at night, can't play poker, has a boxwood plant in his window. "" What's the story on that? "" his"
86,1979,FIC,PassionPlay,A,B,C,"  trot back into the thicket, cutting through huge stalks of hornbeam, sumac and boxwood. Toward dusk, he would ride easily back to his VanHome, relishingthe promise"
87,1980,FIC,MorgansPassing,A,B,C,"  caked orange dirt, weeds trailing out of a concrete urn, and a leaf-littered boxwood hedge giving off its dusky, pungent smell. Where were Aunt Mercer's flowerbeds"
89,1980,FIC,PrincessDaisy,A,B,C,"  affect, depending as they did on a severely classic plan of slow growing boxwood hedges which had taken a full two hundred and twenty years to reach their current"
90,1980,FIC,PrincessDaisy,A,B,C,"  poke their noses into her drawing room. "" "" Well, dig up the boxwood, "" Ham suggested absently. "" What? My landscape architect would kill me"
91,1980,FIC,PrincessDaisy,A,B,C,"  Warrenton or Leesburg. He told me that even Bunny Mellon doesn't have older boxwood, she said, invoking the name of the largely invisible queen of the Hunt"
92,1980,FIC,PrincessDaisy,A,B,C,"  invisible queen of the Hunt Country. "" Then don't dig up the goddamned boxwood. "" Ham Short, master of all he surveyed, had more on his"
93,1982,FIC,ColorPurple,A,B,C,"  "" On either side of our house, like doormen's epaulets, there were boxwood mazes with one-way gates. Each had miles of passages, and the leaves were"
94,1984,MAG,NewYorker,A,B,C,"  . It is true that we are shown the "" tablescape "" ("" The boxwood arranged leaf by leaf, the napery in sharp folds -- the table is as"
95,1985,FIC,BeBuriedInRain,A,B,C,"  mansion. He'd make surep134the photos didn't show the broken windowpanes and overgrown boxwood. It would be so easy to despise Matt, if it weren't for"
96,1986,FIC,ShatteredSilk,A,B,C,  on the chairs and the armful of clothes. Cheryl was still crawling under the boxwood that lined the walk when Karen opened the door and stepped into the darkened hall
97,1989,FIC,JoyLuckClub,A,B,C,"  in the front yard with Herbie Albright, laughing uproariously, crashing through the little boxwood hedge as he'd been told not to a hundred times. Yes, it"
101,1990,MAG,Smithsonian,A,B,C,"  treasures # The gardens of Brazil were European in style then, all roses and boxwood hedges. The magnificent tropical plants of Brazil's jungles were considered weeds. Burle"
102,1990,MAG,Smithsonian,A,B,C,"  hobby, continued to work with his mother's garden. Instead of roses and boxwood, he planted agaves and bromeliads, the plants of Brazil. # In 1932"
103,1990,MAG,Horticulture,A,B,C,"  terrace, which is flanked by a pair of stone sphinxes and pyramids of clipped boxwood. The ivy trailing over the sphinx is Hedera helix Buttercup'. # By"
104,1991,FIC,SouthernRev,A,B,C,"  radios tuned to news stations, and we could even hear the principal's old boxwood radio from the open window upstairs. A ship loaded with fertilizer had been burning"
105,1992,FIC,Commentary,A,B,C,"  my reading, despite six months' fornicating with my first girl between rows of boxwood near the stadium at Chapel Hill, I knew nothing. (Six years after"
106,1992,FIC,SouthernRev,A,B,C,"  the old house that you would turn to look at, the one with the boxwood lane that led up to it. You could smell the boxwood smell all around"
107,1992,FIC,SouthernRev,A,B,C,  one with the boxwood lane that led up to it. You could smell the boxwood smell all around the cool shade by the front door when everywhere else sweltered in
98,1993,FIC,ShiningOnes,A,B,C,"  a sudden right turn onto a smaller, darker street and walked close to a boxwood hedge, whose shadow swallowed hers. Sam would be back in bed now,"
99,1993,FIC,BooksKeepers,A,B,C,"  and smiled. Iona was in her attic bedroom, bent over a block of boxwood, the handle of a burin cradled in one hand. She wore fingerless gloves"
100,1993,FIC,BooksKeepers,A,B,C,"  as much as she could. She had that morning prepared a new block of boxwood, as soon as she | got back home Iona meant to begin a portrait"
108,1993,FIC,BooksKeepers,A,B,C,"  paper pattern for Tansy's portrait, unable to carve the first line in the boxwood block. Lulled by the sound of the pigeons on the rooftops, she sat"
109,1995,MAG,Horticulture,A,B,C,"  gone from yard to garden bordered with limestone retaining walls, formalized with barberry and boxwood pyramids, and terraced with gravel parterres. The back garden winds down the hillside"
110,1995,MAG,Horticulture,A,B,C,"  glossy leaves and pink blooms of the shrubby Indian hawthorn (Rhaphiolepis indica). Boxwood pyramids stretch in a neat line along a limestone wall, separating rectangular vegetable plots"
111,1995,NEWS,Atlanta,A,B,C,  plantation as they lead visitors through the home and grounds - including the rare English boxwood parterre garden - during the annual Casulon Plantation Antebellum Festival Tour and Barbecue on April
112,1997,FIC,SouthernRev,A,B,C,"  disgusted and thrilled. # There in the cramped and pungent safety of the giant boxwood bush, I fell in love. We watched her fire, the two of"
113,1997,FIC,SouthernRev,A,B,C,"  reached the hedge where I always hid my bike, then slipped behind the farthest boxwood, looking toward the house. # But I went no closer. # For"
114,1997,FIC,SouthernRev,A,B,C,"  came over me. I didn't move a muscle. I stayed behind that boxwood for one hour and forty minutes by my watch, then dodged back to the"
115,1997,NEWS,WashPost,A,B,C,"  was added for fishing and boating. # They planted the terraces with 4,000 English boxwood seedlings, augmented by 3,000 American boxwood throughout the grounds. The American boxwood plants"
116,1997,NEWS,WashPost,A,B,C,"  # They planted the terraces with 4,000 English boxwood seedlings, augmented by 3,000 American boxwood throughout the grounds. The American boxwood plants now are about 10 feet high;"
117,1997,NEWS,WashPost,A,B,C,"  English boxwood seedlings, augmented by 3,000 American boxwood throughout the grounds. The American boxwood plants now are about 10 feet high; the English box, however, were"
118,1997,NEWS,WashPost,A,B,C,"  attention to other aspects of the grounds. His children watched in amazement as 300 boxwood plants went into the ground in a tracery of convergent ellipses, a design of"
119,1997,NEWS,WashPost,A,B,C,"  In time, a pony ring was added to Farmer's Delight, bordered by boxwood for the protection of children and ponies. McGhee also had a 1756 log cabin"
120,1997,NEWS,WashPost,A,B,C,"  , a Warrenton landscape architect, to design a park. It is bordered by boxwood with cypress trees rising behind. # Farmer's Delight has taken form gradually because"
121,1998,FIC,ContempFic,A,B,C,"  The late October sun is hot and the air heavy with the brute stench of boxwood. # As Edma prays and Emile dozes, Charlotte explores the cemetery with her"
122,1998,FIC,ContempFic,A,B,C,"  two like a wafer; smells the lush scent of chrysanthemums-those gallic flowers of death-and boxwood. And then she perceives a faint but persistent odor that, sickly sweet,"
123,1998,MAG,AmericanCraft,A,B,C,"  luxurious and oddly poignant in a show distinguished by classic geometries like the tiny lotus-shaped boxwood bowl, 1996, by Gottfried Bockelmann of Germany. All these works could perform"
124,1999,NF,HairstonsAmerican,A,B,C,"  doors were flung open onto a view of lush greenery -- tall rows of English boxwood, pungently fragrant in the June heat. A magnificent staircase curved along the walls"
125,2000,FIC,Ploughshares,A,B,C,"  she takes delight in adding oil to the lawn mower gasoline, or pruning the boxwood hedges, regards each task as an indication of competence in the larger world."
126,2000,MAG,AmericanCraft,A,B,C,"   411567 Photograph CLOCKWISE FROM TOP LEFT DAVID CARLIN-Kingfish, 1996. carved and painted Asian boxwood, bone, amber, 3'H inches high; ARMIN MULLER-Maria Martinez Inro Ensemble,"
127,2000,MAG,AmericanCraft,A,B,C,"  , wheelthrown ojima and netsuke; NICK LAMB-The Year of the Oxi 1996, carved boxwood, amber, 3 inches long, photo/Susan Einstein; JANEL JACOBSON-Autumn Piper, 1998"
128,2000,MAG,AmericanCraft,A,B,C,"  , 3 inches long, photo/Susan Einstein; JANEL JACOBSON-Autumn Piper, 1998, carved boxwood, oil paint, amber, gold leaf, 1 3/4 by 1 1/4 by"
129,2000,MAG,AmericanCraft,A,B,C,"  inches long; GERALD MILAZZO-Don't Ask, Don't Tell, 1998, stained boxwood, amber, fossil mammoth ivory.3 14 inches high; VALERIE ANNE BARBER-Joy 1996,"
130,2000,MAG,Antiques,A,B,C,  Furniture... (Fig. 1).19 Such is the quality of the four carved boxwood panels depicting fish and fruit that it is tempting to suggest the hand of a
131,2001,FIC,FoxWoman,A,B,C,"  a tree's height over my head. The floor under my toes was of boxwood planks, smooth and cool and flat. Through a crack in the floor I"
132,2001,FIC,FoxWoman,A,B,C,"  gate to the grounds should stand, there is instead a collapsed jumble of peeled boxwood logs. My major domo, Hito, shouts at the peasants who stand in"
133,2001,FIC,SouthernRev,A,B,C,"  five cygnets in her train walked past them across the grass and disappeared behind a boxwood hedge. # "" He might not have wanted to go back there, """
134,2001,MAG,Antiques,A,B,C,"  . Scottish NAtional Portraint Gallery. // The earliest golf balls were made of solid boxwood (Buxus sempervirens), but these were superseded by feather=stuffed balls of rawhide by"
135,2001,MAG,CountryLiving,A,B,C,"  the knob of a narrow bedroom closet. Through the kitchen window, a dwarf boxwood tucked in a bucket keeps the outlook evergreen. ABOVE: FLORAL QUILT. BLANKETS"
136,2003,FIC,SouthernRev,A,B,C,"  of it, the side turned like a malefactor towards the dark. The overgrown boxwood cast bulbous shadows against the lawn, the grass between was slivers of mercury spilled"
137,2004,FIC,IndigoDying,A,B,C,"  tidy. When you visit, you'll see squares and rectangles outlined with upright boxwood and principled brick paths, every weed (well, almost every weed) virtuously"
138,2004,FIC,Mov:ColdMountain,A,B,C,"  Ada, It's Sally. They're seen from ground level, through a boxwood, as their feet patrol the ground, turn away from the door, and"
139,2004,FIC,Mov:ColdMountain,A,B,C,"  of misery. During this a ROOSTER, black and gold, struts into the boxwood. As the rooster approaches, Ada shudders, tries to shoo it away without"
140,2004,FIC,Mov:ColdMountain,A,B,C,"  , tries to shoo it away without alerting her presence. Ada peers through the boxwood as Sally and Esco close the gate and recede. The rooster comes at her"
141,2004,FIC,Mov:ColdMountain,A,B,C,"  while he flares his wings, spurs flaying at her. Ada runs from the boxwood, tormented by the triumphant rooster, which continues to fly and scratch, driving"
142,2004,MAG,SouthernLiv,A,B,C,"  the street stand on tiptoe as they pass by, trying to look over the boxwood hedge and see what's in bloom. Neighborhood friends on walks often stop and"
143,2006,FIC,GhostOrchidNovel,A,B,C,"  of the hill as if it were about to leap into the dark, overgrown boxwood maze -- Aurora Latham's giardino segreto -- at the bottom of the hill. Somewhere at the center"
144,2006,FIC,RococoNovel,A,B,C,  reupholstered for Toot with me. The lawn is freshly mowed and green. The boxwood hedges are trimmed and tidy. Everything about the exterior of the house is appropriate
145,2006,MAG,ChildLife,A,B,C,"  for their use of natural materials available during the eighteenth century, including pine and boxwood wreaths decorated with fresh pineapples, apples, oranges, pomegranates, nuts, pinecones"
146,2009,FIC,VeryValentineNovel,A,B,C,"  traffic on I-495. # The landscaping is a marvel of botanical grooming, with boxwood sheared into long rectangles, low borders of yew, privet hedges in cropped ovals"
