entry,year,genre,source,a,b,c,text
1,1928,NF,-,-,-,-,"a preposition in Shakespeare: "" thorough bush, thorough brier ""). But complete differentiation is not established till some individuals from the"
2,1866,-,-,-,-,-,"somewhere. He examined the horse, and found a brier attached to his tail. Sophy was astonished when told of it, and"
3,1921,-,-,-,-,-,"to it. He expected the usual thing at the Brier Bush, and was just enough to show some appreciation when he did not"
4,1851,NF,-,-,-,-,", therefore, bear much pruning. The common Sweet Brier is worthy a place in every garden, on account of its exquisite fragrance"
5,1838,-,-,-,-,-,"it! I have no stomach for this bush and brier work, when a man can see the limb of a tree no more"
6,1917,-,-,-,-,-,", and the bear came down ker-bunko in a bramble brier bush. "" Oh, wow! "" cried the bear, as he"
7,1835,-,-,-,-,-,"to be so, reached forward, to remove the brier from the more lovely plant, in hopes that the rude and thorny veil"
8,1921,-,-,-,-,-,was the only word to describe his long-legged advance -- into the Brier Bush for luncheon with Mrs. Tweksbury. He had listened to variations of Mrs.
9,1895,-,-,-,-,-,"bresh, twel bimeby he holler out dat he gotter brier in his han', en den he take'n slip off, en hunt"
10,1921,-,-,-,-,-,jaw. Two days later Kenneth Raymond went to the Brier Bush again for luncheon. This time Mrs. Tweksbury did not accompany him.
11,1870,-,-,-,-,-,"like things all fair and above-board, myself. "" Brier, come to breakfast. It's getting stone-cold. Never mind that young'un"
12,1921,-,-,-,-,-,"she remarked one morning, "" I dropped into the Brier Tea Room yesterday. "" It was the brier that signified the meaning of"
13,1886,MAG,-,-,-,-,"somewhat difficult ravines and form Tillman's Creek, or Brier Creek. It runs almost due north, a mile and a quarter from"
14,1900,-,-,-,-,-,"Boy was Sharp as a Tack and Keen as a Brier and a Natural-Born Humorist. Once he sold a Calf to the Butcher,"
15,1895,MAG,-,-,-,-,"little, "" and off we went over brake and brier. While pursuing this vocal ignisfatuus I made a charming discovery. In one"
16,1921,-,-,-,-,-,"the good luck to see a bee caught in a brier, I should wish your death, "" she threatened. But she said"
17,1841,NF,-,-,-,-,"have named, we would introduce others of the sweet brier, the Michigan or prairie rose (admirably adapted for the purpose),"
18,1922,-,-,-,-,-,"patrolling the veranda; caught the faint fragrance of his brier pipe in the still night air. "" I think -- I think it"
19,1997,NEWS,-,-,-,-,Takoma Park/Silver Spring Co-op (Silver Spring). # BRIER RUN FARM # Fresh certified organic chevre (about $ 16 per pound)
20,1933,MAG,-,-,-,-,", and only recently won, in "" The Bonnie Brier Bush, "" the-crowning triumph of his career. For nearly fifty years he"
21,1874,-,-,-,-,-,", Chero-kee plums in detached squads, isolated persimmon-trees, brier patches, dewberry vines, old fields with and without old field pines --"
22,1870,-,-,-,-,-,"'s the matter with the young'un? "" asked Mr. Brier, as they took their places at the table. He seemed to have"
23,1836,NF,-,-,-,-,"in every land; instead of the thorn and the brier, would spring up the fir-tree and the myrtle; the desert would blossom"
24,1914,-,-,-,-,-,"come up the fir tree, and instead of the brier shall come up the myrtle tree.' Isn't that the promise?"
25,1870,-,-,-,-,-,"be rid of her not altogether welcome company. Mrs. Brier chanced to be standing in the front door, as they came up."
26,1896,-,-,-,-,-,", his voice melting. "" I tak' ta brier out, "" pushing back the tangled vines of last year to bring himself"
27,1898,NF,-,-,-,-,kept off all danger of sunstroke until they reached the brier thicket by the stream. Here a cottontail rabbit leaped out and gave them
28,1851,NF,-,-,-,-,"Brier, and the Austrian Brier. "" The Sweet Brier is a native of Europe, and found abun /z/ dantly in some parts"
29,1886,-,-,-,-,-,"speech. "" Why, you are a regular little brier rose! "" she exclaimed laughingly, wheeling her horse about so as to"
