entry,year,genre,source,a,b,c,text
92,1843,-,-,-,-,-,"say what he thinks of this person after reading his Buckeye Sermon, delivered at Forster's Mills. Among the dogmata of the New"
102,1843,-,-,-,-,-,"'s encampment are yet visible, still sees the shadowy buckeye, beneath which repose THE TWIN-DOOMED FORESTERS OF DEANE! 17 Footnotes Vide """
127,1843,-,-,-,-,-,"just about "" sunup, "" a full grown male Buckeye, a little in advance of his cabin, watching our progress -- we"
107,1845,-,-,-,-,-,"the day before, as was ever raised by a Buckeye. Then I tracked the critter out of the field to the woods,"
1,1848,NF,-,-,-,-,". I saw hundreds of acres covered with the native buckeye, the most beautiful tree of the forest -- if, indeed, any"
44,1848,MAG,-,-,-,-,its character. The attempt to rear up a second buckeye state there would be as hopeless a task -- to use Kirwan's expression-as
95,1848,MAG,-,-,-,-,"sterility, which would immensely diminish the capacities of the buckeye state, were it there. And, moreover, he declares the whole"
197,1848,MAG,-,-,-,-,subsistence for population. Probably a dozen counties in the buckeye state actually have more acres of arable land than this immense acquisition east of
71,1851,NF,-,-,-,-,"has yellow flowers. M. glabra, or the Ohio Buckeye, is a tree with rough bark. The Cut leaf, Variegated leaf"
94,1852,MAG,-,-,-,-,"and the equally patriotic and devoted column of the "" Buckeye. State "" is advancing, with rapid strides, to their support;"
84,1854,-,-,-,-,-,"Heaven, here is not all the world. The buckeye does not grow in New England, and the mockingbird is rarely heard here"
198,1860,-,-,-,-,-,", or along coasts -- a Hoosier, Badger, Buckeye, A Louisianian or Georgian -- a Poke-easy from sandhills and pines, At"
2,1863,-,-,-,-,-,"such a fix before; Not even when full of buckeye, running o'er. He called on Seward in his sleep, and Chase"
80,1865,-,-,-,-,-,"faintest word or look Shall rouse the leal and fearless Buckeye State. LOUISIANA, MISSISSIPPI, ALABAMA AND TEXAS. Louisiana, Mississippi,"
15,1870,MAG,-,-,-,-,"Hamburg, two years old, proper weight, at Buckeye Course, September 23, 1869. One mile, in 1 minute 48%"
19,1870,MAG,-,-,-,-,"seconds, by Herzog, three years old, at Buckeye Course, May 25, 1869. Herzog's time, up to this"
50,1870,MAG,-,-,-,-,"1 minute 44 seconds, by Legal Tender, at Buckeye Course, Cincinnati, June 25, 1865; track thirty feet short of"
91,1870,MAG,-,-,-,-,"44% seconds, b*y Revolver, second heat, at Buckeye Course, May 110, 1866. One mile, in 1 minute 44%"
118,1870,MAG,-,-,-,-,"General Duke, two years old, full weight, Buckeye Course, September 26, 1867. One mile, in 1 minute 45"
120,1870,MAG,-,-,-,-,", St. Louis her Laclede Jockey Club, Cincinnati her Buckeye Jockey Club, Zanesville her racing park, Chilicothe the same, New York"
166,1870,MAG,-,-,-,-,", Herzog's half-brother, three years old, at Buckeye Course, September 21, 1869. Full weight up. One mile,"
60,1871,-,-,-,-,-,'ll set you down over on the big road on Buckeye Run. Then you can git on the mail-wagon that passes there about five
191,1871,-,-,-,-,-,"side of old John Pearson the six miles over to Buckeye Run, and at last, after eleven o'clock, he deposited him in"
86,1872,-,-,-,-,-,"passed with honors in Greek, and we beat the Buckeye Club to nothing in the return match yesterday. "" "" You did,"
41,1875,-,-,-,-,-,"the spring rains came and went, the woods of Buckeye Hill were level with the ground, the pasture on Dow's Flat grew"
93,1875,-,-,-,-,-,"was going home when he had cut the timber on Buckeye Hill, when there was pasture on Dow's Flat, when he struck"
187,1875,NEWS,-,-,-,-,", and in bringing out the earnest vote of the Buckeye State, resulted in the electors obtaining a two years' insurance against misrule"
181,1878,-,-,-,-,-,"my own, and looking down upon me through the buckeye bushes a small man on a black horse. Five things to be here"
65,1880,-,-,-,-,-," said Jeff.  THAT AR CLUMP O' BUCKEYE ON THE RIDGE! Ready there! "" (Leaning over the box,"
81,1880,-,-,-,-,-,"a yellow flash, breaking from the darkness of the buckeye; a crack like the snap of a whip; Yuba Bill steadying himself"
117,1880,-,-,-,-,-,shop that uster be; the fringe of alder and buckeye by the crossing below your house -- p'ints where they kin fetch you without a show
129,1880,-,-,-,-,-,"be "" Knickerbocker, "" "" Pennamite, "" "" Buckeye, "" or "" Hoosier; "" but above all things, and first"
34,1882,-,-,-,-,-,"aimless excursions, Cass had penetrated a thick undergrowth of buckeye and hazel, and found himself quite unexpectedly upon the high road to Red"
100,1882,-,-,-,-,-,"morning, and I struck across a bit o' buckeye and underbrush and came upon him, accidental like, on the Red Chief"
122,1882,-,-,-,-,-,"I've allers hyearn dat dem folks wat totes a buckeye in dey lef britches pocket, an' den ernudder in de right-han'"
158,1883,-,-,-,-,-,"Union, and for the fame of the dear old Buckeye State. I need not exhort you to do your duty like men;"
189,1884,-,-,-,-,-,"puncheon floor; the walls were "" chinked "" with buckeye sticks, and the cracks daubed with clay, and a barrel, with"
85,1886,NF,-,-,-,-,"of Baron Henry Arnous de Reviere, and "" The Buckeye Baroness, "" Helene Stille, CHAPTER XII. The Demi-monde, CHAPTER XIII"
149,1886,NF,-,-,-,-,"Baroness de Reviere, "" and sometimes designated "" The Buckeye Baroness, "" She came for the purpose of prosecuting a charge against the"
53,1887,-,-,-,-,-,"' em. I left them round at the old Buckeye Spring, where they're handy without attracting attention. You boys can go"
83,1887,-,-,-,-,-,the edge of the slope in the shadow of a buckeye. In the clearer view she could distinguish a staggering figure in the trail
123,1888,MAG,-,-,-,-,"of this section became proverbial, and that the names Buckeye, Hoosier, and Sucker began to be applied derisively to the natives,"
142,1888,NEWS,-,-,-,-,are also disturbed by talk about Major of the Buckeye State. A Pittsburg manufacturer who is a close friend of Henry W. Oliver
75,1891,MAG,-,-,-,-,with inferior kinds of black oak and the diminutive California buckeye and manzanita. But from the vegetable remains found associated with traces of man
64,1894,-,-,-,-,-,"; Ten silver tea-sets, and twenty ice-pitchers; Four Buckeye mowers; a black-and-tan terrier; Also a billiardcue, tipped with a diamond"
57,1896,-,-,-,-,-,"pass, -- Jest tie up your hoss to that buckeye, and sit ye down here in the grass. You see this'"
7,1897,-,-,-,-,-,point he pulled his horse up violently. A large buckeye tree stood on the roadside a hundred yards ahead. Its large thick leaves
138,1901,-,-,-,-,-,"each side. The land dipped towards its basin. Buckeye and gigantic chestnut trees, maple and oak, passed us from rank to"
8,1902,MAG,-,-,-,-," sweeping branches of a dogwood. The fragrance of buckeye blossoms filled the air, and the redbud - tree gave a sinister touch"
13,1902,-,-,-,-,-,"vehicle; flowers over-ran the cabin-home, hewn from the buckeye logs of the forest near Marysville. In every window appeared the faces of"
139,1902,MAG,-,-,-,-,"state secrets above the mahogany. June days. The buckeye and locust blossoms no longer scent the air, the leaves are heavy on"
163,1902,-,-,-,-,-,"log cabin. "" Oh, tell me where the Buckeye cabin was made?' T was built among the boys who wield the"
164,1902,-,-,-,-,-,"and spade, Where the log-cabin stands in the bonnie Buckeye shade. "" From lip to lip the song had been carried, until"
171,1903,-,-,-,-,-,"were noisy things, almost as noisy as an old Buckeye mower going over a stony field. Illustration: Then let him snake a"
147,1906,-,-,-,-,-,"gestureodoriferous of the paddock! -- speaking of Spiffles and Buckeye, -- having practically eloped! -- having created a scandal, and disgraced"
184,1906,-,-,-,-,-,", Jack Deal, Monty Spiffles, the Governor and Buckeye. All of my old admirers! They simply fell on my neck,"
46,1907,NEWS,-,-,-,-,"Ohio Oil Company, the Solar Refining Company. the Buckeye Pipe Line Company, the Manhattan Oil Company, the Standard Oil Company of"
45,1908,MAG,-,-,-,-,"perhaps no great feat for Bret Harte in the "" Buckeye Hollow Inheritance "" to make a heroine out of a red-haired girl and a"
21,1912,MAG,-,-,-,-,"the flowering wild plum, the red blossoms of the buckeye, and the milk-white starry dogwood, the yellow jasmine flaunts its golden trumpets"
28,1912,-,-,-,-,-,"Fire totem was a large horse-chestnut under the word "" Buckeye. "" The first leaf was left blank; the second was the title"
55,1912,-,-,-,-,-,"know Ohio is called the' Buckeye State,' Buckeye meaning' Ohio Horse-Chestnuts.' Unlike your horse-chestnut, our tree is small"
61,1912,NEWS,-,-,-,-,"minor canaldates in primary contests gunning for rivals, the Buckeye State is in the throes of the bitterest struggle in its stormy political historn"
112,1912,-,-,-,-,-,"red. So our' totem' or symbol is Buckeye,' or the' Horse-Chestnut.' "" The girls are to meet"
169,1912,-,-,-,-,-,"beautiful.' You know Ohio is called the' Buckeye State,' Buckeye meaning' Ohio Horse-Chestnuts.' Unlike your horse-chestnut,"
22,1913,-,-,-,-,-," Phil left the court-room and resumed her walk toward Buckeye Lane. Paul Fosdick, just coming down from his office, arrested her
23	1886	NF	-	-	-	-	-	of Baron Henri Arnous de Reviere, and  The Buckeye Baroness, "" Helene Stille. During one October, our offices were visited"
26,1913,-,-,-,-,-,They had reached the college and were walking along the Buckeye Lane side of the campus. Fred was wrapped in his ulster and wore
51,1913,-,-,-,-,-,"distance across town from the Kirkwoods' to Number 98 Buckeye Lane, and as these women were exceedingly busy it was not without sacrifice"
67,1913,-,-,-,-,-," canary envelope, which would presently reach Number 98 Buckeye Lane, Montgomery, Indiana. Phil Kirkwood hardly remembered a time when Number
68	1984	-	-	-	-	-		see my, ah, aunt in...  "" Buckeye Lake, "" Buddy supplied. The boy swallowed and looked forward again."
70,1913,-,-,-,-,-,town who had escaped their vigilance. She walked through Buckeye Lane to the Bartletts'; lowered her parasol as she passed under the
78,1913,-,-,-,-,-,of the visits paid by the father and daughter to Buckeye Lane; their veiled inquiries were tinged also with suspicions that Amzi might be
87,1913,-,-,-,-,-,"CHAPTER III 98 BUCKEYE LANE The Bartlett sisters lived in Buckeye Lane, a thoroughfare that ran along the college campus. Most of the"
88,1913,-,-,-,-,-,"cakes were according to the best recipes known at 98 Buckeye Lane, and Rose and Nan were there, assisting, by Amzi's"
98,1913,-,-,-,-,-,"for the sisters in all her father's intercourse with Buckeye Lane. They had been a refuge and resource, but she had imagined"
110,1913,-,-,-,-,-,"jerk and prepared to go home. CHAPTER III 98 BUCKEYE LANE The Bartlett sisters lived in Buckeye Lane, a thoroughfare that ran along"
113,1913,-,-,-,-,-,II. THE MONTGOMERYS OF MONTGOMERY 14 III. 98 BUCKEYE LANE 34 IV. A TRANSACTION IN APPLES 51 V. THE OTHERWISENESS OF PHYLLIS
126,1913,-,-,-,-,-,good times you and she and Tom have had in Buckeye Lane. I looked all over the house for your flute and wondered what
144,1913,-,-,-,-,-,were due to the friendly supervision of the sisters in Buckeye Lane. He liked to hear her recount the ways in which they were
157,1913,-,-,-,-,-,"you be good! "" CHAPTER XXVI A CALL IN BUCKEYE LANE "" Going out, mamma? "" "" Rather think so, Phil"
170,1913,-,-,-,-,-,"class. "" Phil pondered this as she walked toward Buckeye Lane. It was not necessary for her to understand the intricacies of the"
172,1913,-,-,-,-,-,"tramped beside her. When they reached the house in Buckeye Lane he sought to detain her with a plaintive "" Please, Nan?"
178,1913,-,-,-,-,-,". Others came tumbling out of the fraternity houses in Buckeye Lane, anxious to join in the lark. Before entering Main Street,"
