entry,year,genre,source,a,b,c,text
1,1823,NF,-,-,-,-,"used to be navigated with the skiifs made of the bulrush, or the rind of the pa pyrus. * Verse 2, concluded."
2,1823,NF,-,-,-,-,and the peo ple on its banks; ss the bulrush vessel just not ed; and here the measuring line. The river Nile
3,1823,NF,-,-,-,-,"fully satisfied. It is natural, us is Ihe bulrush urivigai; on. It agrees with facts, and is confirmed by the"
4,1823,NF,-,-,-,-,"the Dead sea; Ezek. xlvii. Already has the bulrush vessel slip ped from the "" land shadowing with wings, "" across the"
5,1827,-,-,-,-,-,"Of stormy honour. -- Even then was spread Thy bulrush pall for him, -- and from their cells Thy scaly monsters throng'd"
6,1832,-,-,-,-,-,", in the presence of the blacksmith and Mr. Absalom Bulrush, a spare, ague-and-feverish husbandman who occupies a muddy slip of marsh land"
7,1832,-,-,-,-,-,"Lord Coke says, of jonc, the French for bulrush, and nower, a waterish place. "" "" Truly, your dog"
8,1832,-,-,-,-,-,", for a traveller that knows a tussock from a bulrush, "" replied Hafen. "" And pray, how old should he be"
9,1835,-,-,-,-,-,"that they start like thieves at the waving of a bulrush. "" "" They would be the more cruel, "" replied Mildred,"
10,1847,-,-,-,-,-,"to the fell tempter, and bending like a weak bulrush to the blast, still how my manhood lower than the brute? Why"
11,1854,-,-,-,-,-,"covered with mats which they make of a kind of bulrush, and are also indifferently tight and warm, but not so good as"
12,1854,-,-,-,-,-,"a closer scrutiny does not detect a flag nor a bulrush, nor even a lily, yellow or white, but only a few"
13,1856,-,-,-,-,-,"An interjection indicating pain. 9 The scirpus, or bulrush. 10 Do not -- do not. 11 The Northern Indians, when travelling in"
14,1856,NF,-,-,-,-,"you will know, it is the root of the bulrush. "" He who could with perfect ease spin a sentence a whole day"
15,1856,NF,-,-,-,-,"by the effort of pronouncing that one word, "" bulrush. "" Some time after, Manabozho observed: "" I will get some"
16,1856,NF,-,-,-,-,"the other the West, with a whole meadow of bulrush in his arms. Manabozho was the first to strike -- hurling a great"
17,1856,NF,-,-,-,-,"eyes, who returned the favor with a blow of bulrush, that rung over the shoulders of Manabozho, far and wide, like"
