entry,year,genre,source,a,b,c,text
1,1838,-,-,-,-,-," she laughed again --  Good night, my Buttercup! "" But little versed in Flora's lore, Is Anna, --"
2,1846,-,-,-,-,-,"she was, yet fair withal, Who with the buttercup and wild brook played, Till labor claimed her for his daily thrall;"
3,1850,-,-,-,-,-,silver streak! For every basking butterfly It rears a buttercup; And flowers -- when dragon-flies shoot by -- From dragon-root shot up.
4,1851,NF,-,-,-,-,"there is no beauty in the single flowers. /z/ Buttercup. There are a number of varieties of Buttercups, which are found double"
5,1855,-,-,-,-,-,"and vanilla-perfumed, but so besprinkled throughout with the yellow buttercup, the white daisy, the purple violet, and the ruby-red asphodel,"
6,1856,-,-,-,-,-,"is it better it should stand With scarlet poppy, buttercup, And dandelion peeping up, A simple pasture land? A lazy pasture"
7,1859,-,-,-,-,-,"the beetle had his hole; the dandelion and the buttercup are growing there, and the broad fans of insect-angels open and shut over"
8,1859,-,-,-,-,-,"the magnificant sun-flower, to the trim-built and exclusive little buttercup. We remember a cottage scene of the South; and though years have"
9,1861,MAG,-,-,-,-,"lie would say, -- "" I have seen a buttercup. "" And we know, of coilirse, that in his case there"
10,1865,MAG,-,-,-,-,"which the golden-rod or wild aster, the violet or buttercup, the dandelion or honeysuckle, were as much prized as the pink or"
11,1865,MAG,-,-,-,-,"as they called a certain familiar yellow flower the "" buttercup. "" In our usage, this word has become the name, not"
12,1866,-,-,-,-,-,"the old oaks, and here and there a single buttercup dropped its gold on the meadows. These things were so many presentiments of"
13,1866,-,-,-,-,-,"he would say, -- "" I have seen a buttercup. "" To others the sight would only give visions of the coming spring"
14,1869,-,-,-,-,-,"wind. "" -- "" Oh! here's a buttercup! I know that well. Red clover, too, I know."
15,1870,-,-,-,-,-,"and I guess you'll be happier switching Brindle and Buttercup than being switched yourself, "" said Mrs. Moss, shaking her head at"
16,1870,-,-,-,-,-,"and was about to give it up, when a buttercup fell at his feet, and he caught sight of Miss Celia smiling at"
17,1870,-,-,-,-,-,"as quickly as it was given, Ben presented the buttercup as if he knew all about it. "" You guessed that remarkably well"
18,1870,-,-,-,-,-,"Ben, you've got to learn all about this buttercup, to pay for cheating. "" "" Werry good, sir; bring"
19,1872,MAG,-,-,-,-,"a fragrance, old-fashioned as its perfume to daisy and buttercup, which will cling to men with these ideas of honor and courage,"
20,1872,MAG,-,-,-,-,"from Cassius with his ticklish palm, so long as buttercup and daisy bloom upon the earth! Why sing at length an Iliad which"
21,1873,-,-,-,-,-,", looking as if she grew there, a living buttercup, with her buff frock off at one plump shoulder and her bright hair"
22,1875,NEWS,-,-,-,-,"sought to show by innuendo "" the power of a buttercup to make a giant stoop down and pick it. "" All this may"
23,1877,-,-,-,-,-,"sapphire dye, For the gay gold of the bright buttercup Spangling the green sod on the other side -- For the lake's breadth was"
24,1880,NF,-,-,-,-,"or spring beauty, water-cress, violets, a low buttercup, vetch, corydalis, and potentilla appear. These comprise most of the"
25,1883,-,-,-,-,-,"ever seen; Susan Posey was to her as a buttercup from the meadow is to a tiger-lily. He, knew the nature of"
26,1885,-,-,-,-,-,"chanting Your trumpet-note, loud on the gale. The buttercup's thanks for the sunshine The goldfinch's twitter reveals; And the violet"
