entry,year,genre,source,a,b,c,text
125,1843,-,-,-,-,-,"spiral circles passed into each other. There is another Cactus that resembles the Sea Urchin; and another, like the Star-fish. In"
215,1843,-,-,-,-,-,", surmounted by the tufted Sago Palm, or spreading Cactus; all this contrasted oddly enough with his own account of himself, as"
108,1847,-,-,-,-,-,"from the wild blossoms of the prairie to the gaudy cactus, plucked from the steeps of dizzy cliffs, or gathered from the green"
206,1847,-,-,-,-,-,"his eyesight restored, happened in from Mexico, a cactus in his buttonhole; and Audubon set a cage of birds on the table -- Baltimore"
82,1848,NF,-,-,-,-,"are marked by hedges formed of the agave and the cactus. An innumerable quantity of cryptogamous plants, among which ferns are the most"
134,1848,NF,-,-,-,-,"ascending the river southward, we found a grove of cactus, a delightful spot, shaded by tamarinds, brazilettos, bombax, and"
279,1848,NF,-,-,-,-,"Near Maniquarez, at Punta Araya, we measured a cactus, * the trunk of which was four feet nine inches in circumference ("
393,1848,NF,-,-,-,-,"gulf, is covered with a thick forest of cylindric cactus and opuntia. Some of these trees, thirty or forty feet high,"
452,1848,NF,-,-,-,-,penetrate into the inland country. The groups of columnar cactus and opuntia produce the same effect in the arid lands of equinoctial America as
42,1849,NF,-,-,-,-,are particularly adroit in extracting the moisture contained in the Cactus melocatus. They push aside the thorns with their hoofs; but sometimes lame
101,1849,NF,-,-,-,-,"of which are fastened on the left shoulder by a cactus thorn, the middle being passed under the right arm, girt round the"
135,1849,NF,-,-,-,-,(* Euphorbia balsamifera. The milky juice of the Cactus mamillaris is equally sweet.) and the Asclepias lactifera of Ceylon. Burman relates
175,1851,NF,-,-,-,-,"in the house, besides those already named. The Cactus tribe embraces a great many varieties, which succeed well in very warm,"
268,1851,NF,-,-,-,-,"no peat, substitute turf or garden mould. For Cactus: 2 parts coarse sand. 3 "" leaf and turf mould. 1"
87,1858,MAG,-,-,-,-,"planted one, two, and sometimes three rows of cactus, whose thorny, thick leaves will turn a charge of horse like a"
240,1860,-,-,-,-,-,"growing fields of rice, sugar, hemp! The cactus, guarded with thorns -- the laurel-tree, with large white flowers, The"
325,1863,MAG,-,-,-,-,"town, we passed first through sandy lanes bordered by cactus hedges, rising in columnar rows, and then came out upon the excellent"
28,1864,MAG,-,-,-,-,", partially covered with a scrubby growth of mesquit and cactus, and at this season destitute of water except at two or three points"
91,1864,-,-,-,-,-,"there along the rocky slopes, while lesser vegetation of cactus and mangrove bushes were scattered thickly over the island, cropping out with jagged"
92,1864,-,-,-,-,-,"as he plunged with a bound out into the matted cactus, without his tattered hat, like a wolf flying from the hounds?"
123,1864,-,-,-,-,-,"meanwhile came on, picking his way through the dense cactus, which lacerated his legs, and sadly tore the remains of his loose"
146,1864,-,-,-,-,-,"he tripped lightly through the narrow pathway between the needle-pointed cactus, in a moment he stopped, with a look of horror, beside"
208,1864,-,-,-,-,-,"and out from the mangrove thickets and wide expanse of cactus, swarms of insects, musquitoes, and sand-flies in myriads went buzzing and"
255,1864,-,-,-,-,-,", and stand it here over this thick bed of cactus, so as the little finger may touch the letter on this white tomb-stone"
107,1866,-,-,-,-,-,"belief and terror. He looks, and sees the cactus fringes stirring still, -- horribly stirring, like live snakes. He gets"
158,1866,-,-,-,-,-,DAUGHTER 543 LI. THE VERDICT 553 LII. THE CACTUS BLOOMS 557 Main text I. THE VILLAGE GENIUS. IT was a proud day
292,1866,-,-,-,-,-,"night, is utter and ominous; when suddenly the cactus shakes its snaky fringes, and something falls with a dull clash. The"
