entry,year,genre,source,a,b,c,text
717,1815,FIC,FalseShame,A,B,C,"  having stood to hear you call one a prince of the blood and the other Cardinal de Fleury, I shall at least be rewarded by their fragrance. Exeunt Erlach"
43,1816,NF,LifeStudiesWorks,A,B,C,"  Mr. West, who they had heard was an American, and whom, like Cardinal Albani, they imagined to be an Indian. Some of them, on hearing"
652,1816,NF,LifeStudiesWorks,A,B,C,"  Academical methods of study. -- His introduction to Mr. Robinson. -- Anecdote of Cardinal Albani. -- The Cardinal's method of finding Resemblances, and curious mistake of the"
879,1816,NF,LifeStudiesWorks,A,B,C,"  . -- His introduction to Mr. Robinson. -- Anecdote of Cardinal Albani. -- The Cardinal's method of finding Resemblances, and curious mistake of the Italians. -- The"
998,1816,NF,LifeStudiesWorks,A,B,C,"  introduction, and witnessed a proof of the peculiar skill of his Eminence. The Cardinal requested Mr. Hope to come near him, and according to his usual custom with"
973,1822,MAG,NorthAmRev,A,B,C,"  a pontiff of a mild and gentle character. His prime minister and favorite, cardinal Pallavicini, was no less remarkable for his learning, than for his political sagacity"
898,1823,MAG,NorthAmRev,A,B,C,"  to the house intimating, that he * This seems to be the case of cardinal Wolsey. See 3 Co. Inst. 148. -4 // intended to adjourn them for"
180,1824,MAG,NorthAmRev,A,B,C,"  narrow views of the true sources of national condition. We owe it to our cardinal institutions, to assert their importance; to ascribe to them the prosperity of which"
510,1829,MAG,NorthAmRev,A,B,C,"  , or rather their almoner on this occasion, that most enlightened of bigots, Cardinal Ximenes, dispensed to science and letters. In short, their sagacious provisions were"
714,1829,MAG,NorthAmRev,A,B,C,"  months flitted away like an exquisite dream. It was here that he met with Cardinal Borgia, one of those lofty spirits, who, while on earth, seem"
769,1829,NF,ChronicleConquest,A,B,C,"  , her children, were with her, and her venerable counsellor, the grand cardinal. All shared in the anxiety of the moment. At length couriers were seen"
852,1829,NF,SelectionsFrom,A,B,C,"  drove the cow back himself to the peasant.'' This, "" said Cardinal Maury, is perhaps the finest act of Fenelon's life. "" He adds"
961,1829,NF,SelectionsFrom,A,B,C,"  falsely, that he took side in the controversy against Jansenism, only because the Cardinal de Noailles had declared himself against Quietism. But his noble and ingenuous soul was"
154,1832,MAG,NewEngMag,A,B,C,"  fortitude and courage. Prudence, Temperance, Fortitude and Justice, usually denominated the cardinal virtues, * Mr. Bass Otis, a portrait painter of distinction in Philadelphia,"
192,1832,FIC,SpanishHusband,A,B,C,"  down the garden, over the wall, and then all's safe as a cardinal's conference, or a secret, or a ring or any other trifle Significantly"
254,1832,FIC,SwallowBarnASojourn,A,B,C,"  Mag. BIOGRAPHY OF BRITISH STATESMEN; containing the Lives of Sir Thomas More, Cardinal Wolsey, Archbishop Cranmer, and Lord Burleigh. "" A very delightful volume,"
346,1832,NF,DomesticManners,A,B,C,"  . The decorations of the altar are elegant and costly. The prelate is a cardinal, and bears, moreover, the title of "" Archbishop of Baltimore. """
802,1832,MAG,NewEngMag,A,B,C,  goldsmith was a man of great consequence in the reign of Henry Viii. and Cardinal Wolsey; nor was it much diminished in honor and profit under Queen Elizabeth.
828,1832,MAG,NorthAmRev,A,B,C,"  proceeded to murder Rizzio, and how complacently, at a much later period, Cardinal de Retz speaks of his precious scheme for removing Mazarin, such things are no"
106,1833,FIC,VolumeFromLife,A,B,C,  the first of warriors is the greatest of men; that courage and pride are cardinal virtues; that ambition is exalted; that power is the proper aim of statesmen
876,1833,NF,ArgumentsCounsel,A,B,C,"  religious opinion, but we do hold that they must unite in regard to all cardinal principles the fundamental doctrines and great landmarks of the Christian religion. If they differ"
23,1835,MAG,NorthAmRev,A,B,C,"  not the less for the flowing locks and simple attire of his sect. The cardinal being satisfied that the painter was as white as himself, (that being his"
96,1835,MAG,NewEngMag,A,B,C,"  , was made very magnificent. The opera was now carried into other countries. Cardinal Mazarin established it in France, in the year 1646; yet, it is"
245,1835,FIC,BrothersATaleFronde,A,B,C,"  if not the letter, of my instructions, in displaying the mandate of the cardinal before arriving at my destination. Nor was this all; I had, it"
304,1835,MAG,NewEngMag,A,B,C,"  a light, moved across the chapel, and carried a book to the officiating cardinal, who read a few words in an awful and impressive tone. Then again"
318,1835,FIC,BrothersATaleFronde,A,B,C,"  this time it served my turn; showing me at how large a value the cardinal must hold my services, that he should brook so sharp a retort from one"
454,1835,FIC,InfidelFallMexico,A,B,C,"  STATESMEN; containing the Lives of Sir Thomas More, by Sir James Mackintosh; Cardinal Wolsey, Archbishop Cranmer, and Lord Burleigh. "" A very delightful volume,"
494,1835,FIC,BrothersATaleFronde,A,B,C,"  the offence. I bore a parchment, -- a military commission from the dreaded cardinal who swayed the destinies of France. It had been darkly framed, that,"
502,1835,FIC,LinwoodsVolume1,A,B,C,"  that you went alone to the glen. In this instance I almost agree with Cardinal de Retz, who says, he held men in greater esteem for what they"
557,1835,FIC,InfidelFallMexico,A,B,C,  the Duchess d'Abrantes. 8vo. Memoirs of the Historical Society. 8vo. Memoirs of Cardinal de Retz. 3 vols. Memoirs of Sully. 5 vols. 8vo. Memoirs of
573,1835,FIC,LinwoodsVolume1,A,B,C,  which the lady had begun the conference abated. It is agreeable to have such cardinal points in one's history as where one comes from known -- an indirect flattery
629,1835,FIC,ClintonBradshaw,A,B,C,"  STATESMEN; containing the Lives of Sir Thomas More, by Sir James Mackintosh; Cardinal Wolsey, Archbishop Cranmer, and Lord Burleigh. "" A very delightful volume,"
993,1835,MAG,NorthAmRev,A,B,C,"  for the purpose of studying the fine arts;' and the query of the cardinal was, Is he black or white?' "" West, among the many"
725,1836,FIC,EastWestVolume2,A,B,C,"  by the Countess of Blessington. (In the Press.) Lives of the Cardinal de Richelieu, Count Oxenstiern, Count Olivarez, and Cardinal Mazarin. By G."
11,1838,MAG,NorthAmRev,A,B,C,"  obvious principles. They may be regarded, in fact, as among' the cardinal points of the Constitution. They extended, in the first place, to commercial"
289,1838,NF,AmericanInParis,A,B,C,"  six thousand volumes, and a church very richly furnished: the organ presented by Cardinal Richelieu. I have been to this church this morning to pay the Virgin Mary"
316,1838,MAG,USDemRev,A,B,C,"  but of its necessity to any system of free institutions, has ever been a cardinal idea of liberal writers, and was perfectly familiar to the men of that day"
747,1838,MAG,USDemRev,A,B,C,"  and boldest ground. From his entrance into public life, his adherence to the cardinal principles of the democratic creed has been singularly steadfast. During the whole period of"
359,1839,MAG,USDemRev,A,B,C,"  is one, who reckon Jefferson's aversion to English ascendency in this hemisphere a cardinal point of American politics; that society as well as government should be remodelled here"
419,1839,MAG,NorthAmRev,A,B,C,  or even the attitude of passionate or graphic eloquence to be preserved in words? Cardinal Maury has descrihed Massillon. From another writer we have an elaborate account of Lord
565,1840,MAG,USDemRev,A,B,C,"  can fairly deny that those who then denounced these resolutions, as violations of a cardinal principle of popular right, had the whole truth and force of the argument on"
568,1840,MAG,USDemRev,A,B,C,"  been called into being. We have already seen it in action, as the cardinal idea of the primitive community. After this it disappears for ages. We see"
748,1840,MAG,USDemRev,A,B,C,"  of the day, every one of which hinges more or less directly on the cardinal principle of the State-Rights theory -- and necessarily arrays against itself all the sympathies and"
113,1841,NF,MartyrsScience,A,B,C,"  became impatient for a release from his anxiety as well as from his bondage. Cardinal Barberino seems to have received notice of the state of Galileo's feelings, and"
205,1841,NF,MartyrsScience,A,B,C,"  injunction. On the day following, the 26th of February, he appeared before Cardinal Bellarmine, to renounce his heretical opinions; and, having declared that he abandoned"
406,1841,NF,MartyrsScience,A,B,C,"  had been actually punished for his offences. As a refutation of these calumnies, Cardinal Bellarmine had given him a certificate in his own handwriting, declaring that he neither"
515,1841,NF,MartyrsScience,A,B,C,"  Among those who proffered their advice in this distressing emergency, we must enumerate the Cardinal Barberino, the Pope's nephew, who, though he may have felt the"
563,1841,NF,MartyrsScience,A,B,C,"  di Galileo. Milano, 1810, vol. iv. p. 248-257. Through the Cardinal del Monte, the brother-in-law of Ubaldi, the reigning Duke of Tuscany, Ferdinand"
843,1841,NF,LifeThomasPaine,A,B,C,"  devolving. The archbishop of Thoulouse (since archbishop of Sens, and now a cardinal) was appointed to the administration of the finances, soon after the dismission of"
89,1843,MAG,NewEngYaleRev,A,B,C,"  limestone rock. Almost all the ruins of Yucatan are square, and face the cardinal points. One or two, however, are round like the temples of the"
575,1843,FIC,SpanishStudent,A,B,C,"  of the cachucha is played, and the dance begins. The Archbishop and the Cardinal look on with gravity and an occasional frown; then make signs to each other"
762,1843,FIC,SpanishStudent,A,B,C,"  by a mandate from his Holiness, The first have been suppressed. CARDINAL. Cardinal I trust for ever, It was a cruel sport. ARCHBISHOP. Archbishop of"
766,1843,FIC,SpanishStudent,A,B,C,"  Victorian And with whom, I pray? PRECIOSA. Preciosa A grave and reverend Cardinal, and his Grace The Archbishop of Toledo. VICTORIAN. Victorian What mad jest"
360,1844,NF,MentalMoralCulture,A,B,C,"  the interests and guide the destinies of our great and growing republic, receive those cardinal and elementary lessons of mental and moral training which are to shape and govern their"
707,1844,NF,MentalMoralCulture,A,B,C,"  remarkable phenomena which presents itself, is the slow process by which many of the cardinal principles of knowledge have been matured and established. The elementary materials of the physical"
738,1844,FIC,EdmondDantès,A,B,C,"  priest, named Giovanni Maria Mastai Ferretti, born at Sinigaglia, and now a cardinal, with the title of SS. Peter and Marcellinus, will succeed to the"
935,1844,NF,MentalMoralCulture,A,B,C,"  great and precious promises; "" which imbodies in its precepts and its doctrines the cardinal principles of mental and moral progress, and the results of a wisdom immeasurably transcending"
79,1845,MAG,NorthAmRev,A,B,C,"  - now almost in ruins - is on the straits of St. Mary, another cardinal point of defence. Such stockade works are not even scare-crows in these days,"
303,1845,FIC,MargaretATaleReal,A,B,C,"  recommending to us the bearer, and his objects. The bearer was a Roman Cardinal, and his objects thus appeared. He said the Pope had learned that we"
306,1845,FIC,Pioneers,A,B,C,"  a compass, cut in one corner of the slate for permanent use. The cardinal points were plainly marked on it, and all the usual divisions were indicated in"
