entry,year,genre,source,a,b,c,text
168,1834,MAG,NewEngMag,A,B,C,"  of hunger, and they had their little provision in camp, the head ofa caribou, -- or American rein-deer. This part of Newfoundland had much of the character"
204,1834,MAG,NewEngMag,A,B,C,"  ; but they are very lean. hi winter, too, the bears and caribou abound. Here, in Labrador, he is beyond the reach of two artificial"
266,1834,MAG,NewEngMag,A,B,C,"  , there are so many lakes and streams. The Esquimaux, who follow the caribou into the interior, take their canoes, and by this means they can travel"
140,1837,NF,AnAccompaniment,A,B,C,"  only as game; there are two species, the Woodland and the Barren Ground Caribou. The Virginia Deer is one of the most ele- /z/ gant of the American"
196,1837,NF,AnAccompaniment,A,B,C,"  prepare various articles of dress, and apply them also to other purposes. The Caribou, or American Reindeer, is a different species from the Reindeer of the old"
372,1858,MAG,Atlantic,A,B,C,"  weather, suggesting what kind of weather they have there. Grant's barn at Caribou Lake was said to be still larger, the biggest ox-nest in the woods,"
488,1858,MAG,Atlantic,A,B,C,"  acquaintances. The lumberers told me that there were many moose hereabouts, but no caribou or deer. A man from Oldtown had killed ten or twelve moose, within"
54,1866,MAG,Harpers,A,B,C,"  .) A hunter's record of experiences in the vast untrodden region where the caribou is found in innumerable herds, and the musk-ox still lifts his shaggy front."
256,1867,MAG,Atlantic,A,B,C,  venison is always to be found in the markets of the old town. The caribou haunts the wildernesses of timbered mountains that rise away back from the north shore.
463,1867,MAG,Atlantic,A,B,C,"  is heavy, and sinks deep into the snow at every plunge. With the caribou it is not so easy to come up, the hoofs of that animal being"
231,1870,FIC,LadyIce ANovel,A,B,C,"  confoundedly clever. He was good at every thing, from tracking a moose or caribou, on through all the gamut of rinking, skating, ice-boating, and tobogganing"
182,1874,NF,BaddeckThatSort,A,B,C,"  the season when the snow falls, hang trophies -- enormous branching antlers of the caribou, and heads of the mighty moose -- which I am assured came from there"
220,1877,MAG,Scribners,A,B,C,"  a favorite spot in the neighborhood, where he promised a choice of moose, caribou, deer, otter or beaver, but our time was so limited that the"
114,1880,NF,Wake-Robin,A,B,C,"  excursions into the Maine woods, and, though he started the moose and the caribou, had nothing more novel to report by way of bird notes than the songs"
46,1884,NF,AlgonquinLegends,A,B,C,  Turtle was Glooskap's uncle; he married a daughter of the Golden Eagle and Caribou. Of all these things there are many and long traditions. Our people tell
