entry,year,genre,source,a,b,c,text
1,1851,FIC,FrankFanny,A,B,C,"  relate, it gave them occasion for much sorrow. CHAPTER II. THE YOUNG CHICKADEE. One Saturday afternoon, the children found in the woods, a grape vine"
2,1851,FIC,FrankFanny,A,B,C,"  an adjoining tree, that Fanny guessed he was the grandpapa. Illustration: THE CHICKADEE. They became so interested in the birds, that they forgot how rapidly the"
3,1854,FIC,Walden,A,B,C,"  spruce stands hung with usnea lichens, and small hawks circulate above, and the chickadee lisps amid the evergreens, and the partridge and rabbit skulk beneath; but now"
4,1856,FIC,Poems,A,B,C,"  glowing face Saw the quick answer to its power or grace. And oft the chickadee's quick voice we heard, Or the sharp mewing of the shrill cat-bird,"
5,1860,FIC,LeavesGrass1860-61,A,B,C,"  . The sharp-hoofed moose of the north, the cat on the house-sill, the chickadee, the prairie-dog, The litter of the grunting sow as they tug at her"
6,1862,FIC,WildApples,A,B,C,"  when it first blossomed, nor when it first bore fruit, unless by the chickadee. There was no dancing on the green beneath it in its honor, and"
7,1862,FIC,WildApples,A,B,C,"  , and the sound ones are more palatable than before. The note of the chickadee sounds now more distinct, as you wander amid the old trees, and the"
8,1866,FIC,MissLucindaByRose,A,B,C,"  , and balancd with an indescribable hopping twirl, that made one think of a chickadee pursuing its quest of food on new-ploughed ground; and some late-awakened feminine instinct of"
9,1875,FIC,Vagabonds,A,B,C,"  the valley is shut in By flickering curtains gray and thin. But cheerily the chickadee Singeth to me on fence and tree; The snow sails round him, as"
10,1875,FIC,Vagabonds,A,B,C,"  white the cedar stands, And blesses him with priestly hands. Still cheerily the chickadee Singeth to me on fence and tree: But in my inmost ear is heard"
11,1876,NF,WinterSunshine,A,B,C,"  See Grosbeak, cardinal. Cedar-bird, or cedar waxwing (Ampelis cedrorum). Chickadee (Parus atricapillus). Creeper, brown (Certhia familiaris americana). Crow"
12,1880,NF,Wake-Robin,A,B,C,"  kinds, or in other words, furnishes the tenement to its liking. The chickadee arranges in the bottom of the cavity a little mat of a light felt-like substance"
13,1880,NF,Wake-Robin,A,B,C,"  , or high-hole, colored red instead of yellow. There is also a Western chickadee, a Western chewink, a Western blue jay, a Western bluebird, a"
14,1880,NF,Wake-Robin,A,B,C,"  yellow-breasted (Icteria virens). Chewink, or towhee (Pipilo erythrophthalmus). Chickadee (Parus atricapillus). Cow-bunting, or cowbird (Molothrus ater). Creeper"
15,1885,FIC,PoeticalWorks,A,B,C,"  there came the thought, While a brown leaf toward you whirled, And a chickadee sang, as if they brought Something they meant on purpose for you, As"
16,1891,FIC,FeastVirginsOther,A,B,C,"  the Angel Change Charge of the "" Black-Horse "" Charge of Fremont's Body-Guard Charity Chickadee Christmas Eve Illustrated Daniel Do They Think of Us? Dust to Dust Fame Fido"
17,1891,FIC,FeastVirginsOther,A,B,C,"  , - - Sacred, inhabited by a spirit. CR Fairy Island, -- Wita-Waste -- Nicollet Island. CHICKADEE Chickadee, chickadee, chickadee-dee! That was the song that he sang to me -- Sang"
18,1891,FIC,FeastVirginsOther,A,B,C,"  - - Sacred, inhabited by a spirit. CR Fairy Island, -- Wita-Waste -- Nicollet Island. CHICKADEE Chickadee, chickadee, chickadee-dee! That was the song that he sang to me -- Sang from"
19,1891,FIC,FeastVirginsOther,A,B,C,"  inhabited by a spirit. CR Fairy Island, -- Wita-Waste -- Nicollet Island. CHICKADEE Chickadee, chickadee, chickadee-dee! That was the song that he sang to me -- Sang from his perch"
20,1891,FIC,FeastVirginsOther,A,B,C,"  was the song that he sang to me -- Sang from his perch in the willow tree -- Chickadee, chickadee, chickadee-dee. My little brown bird, The song that I heard"
21,1891,FIC,FeastVirginsOther,A,B,C,"  song that he sang to me -- Sang from his perch in the willow tree -- Chickadee, chickadee, chickadee-dee. My little brown bird, The song that I heard Was a"
22,1891,FIC,FeastVirginsOther,A,B,C,"  and a carol of spring; And my heart leaped throbbing and sang with thee Chickadee, chickadee, chickadee-dee. My birdie looked wise With his little black eyes,"
23,1891,FIC,FeastVirginsOther,A,B,C,"  carol of spring; And my heart leaped throbbing and sang with thee Chickadee, chickadee, chickadee-dee. My birdie looked wise With his little black eyes, As he"
24,1891,FIC,FeastVirginsOther,A,B,C,"  and a flutter of glee, As if he would say -- Sing trouble away, Chickadee, chickadee, chickadee-dee. Only one note From his silver throat; Only one"
25,1891,FIC,FeastVirginsOther,A,B,C,"  flutter of glee, As if he would say -- Sing trouble away, Chickadee, chickadee, chickadee-dee. Only one note From his silver throat; Only one word From"
26,1891,FIC,FeastVirginsOther,A,B,C,"  Than my little philosopher sang to me From his bending perch in the willow tree -- Chickadee, chickadee, chickadee-dee. Come foul or fair, Come trouble and care -- No -- never"
