entry,year,genre,source,a,b,c,text
56,1834,-,-,-,-,-,"Amaranth leaned, the unchanging and true, While modest Clematis appeared as a bride, And her husband, the Lilac, ne'er moved"
116,1835,-,-,-,-,-,assisted two little barefoot girls to-day to train a native clematis (a pretty species) over the logs of their hut. There is
8,1836,-,-,-,-,-,", with its burden of willows, elders, and clematis; of a summer evening, their every leaf lit with the firefly's"
137,1839,-,-,-,-,-,"but not less elegant, surrounded with clustering eglantine and clematis, and inhabited by goodness, grace, and beauty. These materials are"
76,1846,-,-,-,-,-,"beauty. The piazzas that surrounded it were wreathed with Clematis and Passion Flower. Magnient Magnolias, and the superb Pride of India,"
85,1846,-,-,-,-,-,", and suggested a change. "" I think the clematis would look better on the other side. "" "" Do you really think"
114,1846,-,-,-,-,-,", blue hare-bells, the white blossoms of the wild clematis, the delicate pink clusters of the Alleghany vine, and the broad-leaved rose-raspberry"
118,1846,-,-,-,-,-,"a footstool, was intent on arranging a sprig of clematis to the best advantage, in the beautiful dark hair of her cousin Jane"
196,1846,-,-,-,-,-,", the myrtle had grown round it, and the clematis wreathed it with flowery festoons, like the architectural ornaments of a temple."
1,1847,-,-,-,-,-,", to vie with the mountain-ash and holly; the clematis and the sweet scented vine blended their tendrils with the rich English honeysuckle and"
13,1847,-,-,-,-,-,took part in the meeting. The Chinese honeysuckle and clematis joined in the doxology. A magnolia pronounced the benediction. And we went
133,1848,-,-,-,-,-,"handkerchief of flowers, and you all interwoven in the clematis, and the brook and the hill side, and the last rays of"
175,1848,-,-,-,-,-,"'s request, had pulled away from the sumac a clematis that was wreathed around it, and which is scarcely less beautiful in the"
172,1849,-,-,-,-,-,". Returned from the cave, Hautia reclined in her clematis bower, invisible hands flinging fennel around her. And nearer, and nearer"
178,1849,-,-,-,-,-,"winged. But now, from out half-hidden bowers of clematis, there issued swarms of wasps, which flying wide, settled on all"
9,1851,-,-,-,-,-,"neighborhood, like the last, by its petioles. Clematis integrifolia. Entire-leaved. A handsome, upright plant, about two feet high"
185,1853,-,-,-,-,-,"as you guess from the cream-white walls, overrun with clematis and jasmine, and the clambering stalks of roses, are not devoid of"
38,1855,-,-,-,-,-,", the coral honeysuckle, the eglantine, and the clematis. The uniformity of the top and bottom lines of the wall is fully"
126,1859,-,-,-,-,-,"as you guess from the cream-white walls, overrun with clematis and jasmine, and the clambering stalks of roses, are not devoid of"
138,1860,-,-,-,-,-,"conducting from one terrace to another were complete arbors of clematis and wild woodbine, and the slender pillars supporting a light veranda which ran"
188,1862,-,-,-,-,-,common sense. Nature has a place for the wild Clematis as well as for the cabbage. Some expressions of truth are reminiscent --
124,1863,-,-,-,-,-,", drifted over with the downy tufts of the seeded clematis, a figure suddenly emerged from the nearest path and hastened towards her across"
18,1864,-,-,-,-,-,"purplish blue which borders the white velvet petals of a clematis. When the eyes were uplifted, as on this occasion, long,"
82,1864,-,-,-,-,-,"waist, and without trimming, save the violet and clematis clusters. Never had her rare beauty been more resplendent -- more dazzlingly chilly"
83,1864,-,-,-,-,-,"faces; meadow lilies rang their flame-colored bells; and clematis and ivy hung garlands everywhere, as if hers were a floral progress,"
165,1864,-,-,-,-,-,"many happy hours. It was winter, and the clematis and passion-flower were not there; but there were the same walks her feet"
147,1867,-,-,-,-,-,"Maria, who was standing on the piazza training the clematis. "" I s'pose, auntie, you thought I took care of the"
106,1869,-,-,-,-,-,"glasses, representing tulips, and filled with fuchsias and clematis that were dropping their faded velvet petals, and the atmosphere was sweet with"
53,1871,-,-,-,-,-,"You could detect intense emotion from the shiver of the clematis spray, mingled with snowy roses, in her black hair; but otherwise"
22,1874,-,-,-,-,-,"a piazza and large portico, around which honeysuckle, clematis and roses, shed their sweet perfume. The grounds were tastefully laid out"
37,1874,-,-,-,-,-,"long porch in front, all overgrown with honeysuckles, clematis, woodbine and wild roses. They went in together and sat down on"
30,1875,-,-,-,-,-,"her large eyes, blue as the border of a clematis, were turned to meet his, and involuntarily he took his under lip"
191,1875,-,-,-,-,-,"a torcheire on the left, surrounded by a climbing clematis and flowing ribbon-like flames at the top. The right has the phrase """
35,1879,-,-,-,-,-,". An old tin was completely covered by a graceful clematis mixed with streamers of Virginia creeper, and white muslin curtains, and above"
88,1879,-,-,-,-,-,"in and out amidst a tangle of cotton-wood and withered clematis and Virginia creeper, which two months ago made the valley gay with their"
91,1879,-,-,-,-,-,"of Autumn's mouldering halls; With hoary plumes the clematis entwining, Where, o'er the rock, her withered garland falls. Warm"
101,1880,-,-,-,-,-,"your daughter's sake, not mine. The blossoming clematis twined round the blasted oak may for a time conceal its rottenness but inevitably"
27,1884,-,-,-,-,-,"get to bed some time to-night! "" The wild clematis was in blossom now -- the fences were white with it, and the rusty cedars"
148,1884,-,-,-,-,-,"a flickering light and shade upon the ground. The clematis was in bloom, and its soft white plumes fringed the archway of the"
155,1884,-,-,-,-,-,"a bench under a trellis where a grape-vine and a clematis were tangled together, and here she sat down to spend a little time"
127,1885,-,-,-,-,-," A woman who lives in a cottage covered with clematis?  "" I think so. "" "" It must have been Martha"
57,1886,-,-,-,-,-,"open and the piazza cool and shady with woodbine and clematis, you would have agreed with the little girls who made up Ruth Elliot"
75,1886,-,-,-,-,-,"the scorned thistle bears its royal crown; Here wild clematis stretches, wavering down; And,' mid a mass of tangled weeds"
26,1887,-,-,-,-,-,". Just beneath the window the clasping tendrils of a clematis were wound about the pedestal of a marble Flora, and a cluster of"
7,1889,-,-,-,-,-,"cyclamens, &c.,; besides heaths, jasmine, honeysuckle, clematis, multiflora roses, rhododendrons, oleander, myrtle, astragalus, hollyhocks,"
61,1889,-,-,-,-,-,"where the light came in dimly through the screen of clematis that covered the window; Hilda bared her round white arms, and Nurse"
96,1889,-,-,-,-,-,"of fern, the stone walls covered with white starry clematis, and the tangle of blackberry vines which made the pleasant road so fragrant"
131,1889,-,-,-,-,-,"of the Litany, 239 amid myrtle and bay and clematis. The small-leaved holly was noticed by Mr. Walpole on the western flank of"
149,1889,-,-,-,-,-,"or no. In the porch, under the blossoming clematis, stood a tall, broad-shouldered man, dressed in rough homespun, who"
49,1892,-,-,-,-,-,"The sweet asters and browned golden-rod, And that stray clematis, Of all vagabonds dearest and best, In most seedy estate; I"
55,1893,-,-,-,-,-,hill beyond the Abbey -- the pretty home covered with clematis and jasmine vines and surrounded by a lovely garden. He said if Denas
168,1894,-,-,-,-,-,from the snow-burdened eaves On the twigs of the leafless clematis; Before me I see the cold regions that lie Where the northern aurora
47,1896,-,-,-,-,-,"crimson pinks, and wound the tendrils of the blue-veined clematis around its slender trellis, and straightened the white petunias and the orange-tinted crocaes"
63,1896,-,-,-,-,-,"door, and around the slender pillars twined honeysuckle and clematis tendrils, purple with clustering bells; while the brick walls were draped with"
78,1896,-,-,-,-,-,"so? You wanted to paint in your roses and clematis before noon, didn't you? I think it mean. Things are"
107,1896,-,-,-,-,-,"the south and west edges of the hanging wood my Clematis plunges wild in fountains and cataracts with its white blossoms and feathery, tufted"
117,1896,-,-,-,-,-,", to the porch, which was half hidden by clematis. Miss Muffet was known to every man, woman and child in Bloomdale"
132,1896,-,-,-,-,-,", save a thrush that looked out shyly from the clematis vines; and after waiting a moment, Mrs. Murray entered unannounced. They"
43,1898,-,-,-,-,-,"all to themselves, gathered in sociable groups. The clematis and honeysuckle swung softly in the breeze, making graceful shadows, and the"
151,1899,-,-,-,-,-,"They brought home quantities of Spanish moss, and wild clematis, and manzanita berries too, with which to decorate the beloved camp;"
159,1899,-,-,-,-,-,"centre of the roof-piece, and delicate tendrils of wild clematis climbed here and there as if it were growing, its roots plunged in"
46,1900,-,-,-,-,-,"the castle, on the broad marble terrace, where clematis and jessamine climbed over the balustrade and twined about its pilasters, where oleanders"
184,1900,-,-,-,-,-,", gay with a summer's growth of woodbine and clematis, now ripened to scarlet and silvery white. Amy was an artist's"
143,1901,-,-,-,-,-,"with the far more graceful and deliciously fragrant purple MARSH CLEMATIS (C. crispa) of our Southern States. The latter, though bell-shaped"
6,1902,-,-,-,-,-,"did not heed it, nor the rose vines and clematis which made the old gray house beautiful in spite of needed repairs. Celia"
135,1902,-,-,-,-,-,"the grass crept stealthily over the walks, and the clematis and honeysuckle on the low stone wall mingled their sweetness in undisturbed luxuriance."
197,1903,-,-,-,-,-,". Indian corn in varied colors, hop vines, clematis after seeding, blackberry and sumac leaves, after turning in the fall,"
77,1904,-,-,-,-,-,"it. Two had been climbing roses, two were clematis, but Judith did not know them by name. The ledge of the"
51,1905,-,-,-,-,-,"goldenrod, past the stone walls where the woodbine and clematis run over each other trying to make the old gray rocks beautiful. There"
130,1905,-,-,-,-,-,"benzoin, jacinth, rue, shrub, olea, clematis, the hediosma of Jamaica, olive, vanilla, cinnamon, petunia,"
182,1905,-,-,-,-,-,"have too heavy leaves. Honeysuckle, Virginia creeper and clematis, in purple and white, are excellent for the piazza, and to"
14,1908,-,-,-,-,-,"in clusters, lilacs and syringas and long sprays of clematis. She missed the little walks around, and the dear talks they used"
29,1909,-,-,-,-,-,"the shadows of the moist places, and clinging feathery clematis, binding by its tendrils green thickets into walls impregnable. He could hear"
42,1909,-,-,-,-,-,"year. This particular Inn with the roof and the clematis, is at Dives, twenty miles from Trouville on the coast. You"
102,1909,-,-,-,-,-,"the slopes of its roof but the loops of swinging clematis that crowd its balconies and gabies as well. I say "" my """
24,1910,-,-,-,-,-,", you will want a summerhouse with rambler roses and clematis climbing over it, and with cozy seats and tables for afternoon needlework and"
65,1912,-,-,-,-,-,"the other, or in the shade of the wild clematis in front. On very sunny days, they leave the shelter of the"
