entry,year,genre,source,a,b,c,text
111,1823,FIC,ForestRose,A,B,C,"  that you can say any thing to convince me that I didn't see Tom Clover kiss you last night, in the singing school. SALLY: Tom Clover kiss"
653,1823,FIC,ForestRose,A,B,C,"  a' Squire. Besides, there is Tom Clover -- JONATHAN: Darn Tom Clover! So you won't go along with me, hey! SALLY: No"
740,1823,FIC,ForestRose,A,B,C,"  day, if her father is a' Squire. Besides, there is Tom Clover -- JONATHAN: Darn Tom Clover! So you won't go along with me"
533,1827,MAG,NorthAmRev,A,B,C,"  all occasions. Our author divides the Pampas into what he calls the regions of clover and thistles, long grass, and low trees and shrubs. The clover and"
979,1827,FIC,Novels,A,B,C,"  of which was of better soil than that of which the flats consisted. A clover field, and several apple trees, sure attendants of man, were now discovered"
115,1828,MAG,NorthAmRev,A,B,C,"  , plum, cherry, and, above all, raspberry blossoms, and white clover, are delicious food for them, and a thriving orchard and garden and apiary"
67,1831,MAG,NorthAmRev,A,B,C,"  introduced a variety of herbs and leguminous plants; the culture of flax and Dutch clover became commoo; he taught them to extract wine from the wild-cherry, juniper,"
654,1831,FIC,AmericanCommon-place,A,B,C,"  mocks her misery, Yet is her hope not gone. When falling dews the clover steep, And birds are in their nest, And flower-buds folded up to sleep"
672,1833,NF,HistoryVegetable,A,B,C,"  nine hundred miles in breadth; and its vegetable productions are either small evergreens, clover, or thistles, according to the climate of the several districts. In the"
703,1834,MAG,NorthAmRev,A,B,C,"  . Wherever these mounds appear, the heath no longer grows, but the white clover and the daisy, mingled with a fine green turf, betray the deposite,"
63,1835,FIC,TalesSketches,A,B,C,"  the rival factions vented their wit or their malignity safe from personal responsibility, for Clover could tell no tales. Thus he trudged from the hill, a walking gazette"
108,1835,FIC,TalesSketches,A,B,C,"  of nature. Jacques would have moralized on the spectacle. The children called him Clover, why, I know not, unless it were an allusion to his green"
663,1835,FIC,South-WestByYankee,A,B,C,  soil and climate. Hay as an article of culture is unknown here. White clover is abundant upon the commons. There are several grasses peculiar to this country unknown
773,1835,FIC,TalesSketches,A,B,C,  urchins; the youngest among them were wont to make their first equestrian essays on Clover's bare back. My friend Fanny's gentle heart went out towards him in
938,1835,FIC,TalesSketches,A,B,C,"  her shadow. Squire Hayford was more opinionated and insufferable than ever. Poor old Clover was dead, and at Fanny's request, had been honourably interred beneath the"
