entry,year,genre,source,a,b,c,text
73,1829,FIC,AlAaraafTamerlane,A,B,C,"  lie A child -- with a most knowing eye. 2 Of late, eternal Condor years So shake the very air on high With tumult, as they thunder by"
39,1832,MAG,NorthAmRev,A,B,C,"  its not building on trees, as a French writer explains the reason of the condor's laying its eggs on the naked rock; hecause the excessive sweep of its"
173,1843,FIC,VariousWritings,A,B,C,"  at the expense of the board, lodging, and education of a South American condor, and teach him to bear it off in his beak, before they should"
26,1847,NF,HistoryConquest,A,B,C,"  they might be seen scaling the snow-covered peaks which no living thing inhabits save the condor, the huge bird of the Andes, whose broad pinions bear him up in"
38,1847,MAG,NorthAmRev,A,B,C,"  , the adventurers now beheld only the great bird of the Andes, the loathsome condor, who, sailing high above the clouds, followed with doleful cries in the"
165,1848,NF,PersonalNarrative,A,B,C,  ZOOLOGY AND COMPARATIVE ANATOMY. I have comprised in this work the history of the condor; experiments on the electrical action of the gymnotus; a treatise on the larynx
1,1851,MAG,NorthAmRev,A,B,C,"  sorts frequent the woods, and the largest species knoxvn in the world, the condor, builds its nest on the cliffs of the Andes. The waters of Chile"
64,1854,FIC,PoeticalWorks,A,B,C,"  den; The giant Andes, round whose frosty peaks The tempest hovers and the condor shrieks; Cold, cheerless Greenland, where the ice-berg hoar Strikes with a deafening"
123,1855,FIC,LaysAncientVirginia,A,B,C,"  when round these royal bowers, I played in childhood's happy hours, The Condor bird had borne me high, On his huge pinions through the sky, Upon"
149,1860,FIC,LeavesGrass1860-61,A,B,C,"  , answering those of the wild-pigeon, coot, fish-hawk, qua-bird, mocking-bird, condor, night-heron, eagle; His spirit surrounding his country's spirit, unclosed to"
24,1861,FIC,Trumps,A,B,C,"  love' em. But I don't mean to have worked for nothing -- hey, Condor? "" "" Amen, "" replied William, placidly. "" By-the-by, Condor"
27,1861,FIC,Trumps,A,B,C,"  as the other sat down before the fire. "" Frightful, "" said Mr. Condor, placidly, as he lighted a cigar, "" but not surprising. """
28,1861,FIC,Trumps,A,B,C,"  Sartin, Sir, "" replied Jim, and Mr. Slugby departed. Mr. William Condor had a similar interview with Tom, and Mr. Ele took a friendly glass with"
33,1861,FIC,Trumps,A,B,C,"  be drunk. "" The merry company laughed, and went home with Mr. William Condor to crack a bottle of Champagne. Mr. and Mrs. Bennet had stood at the"
46,1861,FIC,Trumps,A,B,C,"  should you consider to be his fair share? "" "" Well, "" began Condor, "" I should think, in ordinary times, a thousand a year;"
76,1861,FIC,Trumps,A,B,C,"  eye, "" answered Abel, chuckling. "" Very good, "" said William Condor; "" very good, indeed! Capital! "" laughed Belch; and whispered"
80,1861,FIC,Trumps,A,B,C,"  "" we've other business on hand now. "" "" Exactly, "" said Condor; "" we are the Honorable Abel's Jim. Turn about is fair play"
87,1861,FIC,Trumps,A,B,C,"  deal with men, you ought to understand just what they are. "" Mr. Condor smoked serenely, and General Belch looked at his slim, clean figure, and"
