entry,year,genre,source,a,b,c,text
169,1822,-,-,-,-,-,"' If Madame de Stael has shown a want of coot judgment in attempting to underrate the talents of Napoleon, she is also not"
124,1835,-,-,-,-,-,"which "" Shonas, "" she said, "" a coot fellow enough, help her carry on; "" and enlarged with much apparent"
104,1842,-,-,-,-,-,"triumphant. Oliver and I had killed only some twenty coot, and a beach fox; while he and one of the boys brought"
108,1842,-,-,-,-,-,"the eye of faith; or to kill a vigorous coot, cutting the keen air, at day-dreak, at the rate of three"
127,1842,-,-,-,-,-,"it's no use.' Do you kill many coot? "" "" Coots is scace. I see a smart bunch, jest"
182,1842,-,-,-,-,-,", whom Long Island baymen, unlawfully, call "" Coot. "" "" Number 2, "" and heavy loads, and a whiffing"
71,1844,-,-,-,-,-,"one consent,' He's as crazy as a coot.' They approached Mr. Shaw, dubiously.' See his eyes!"
77,1844,-,-,-,-,-,"come fust as last. You're crazy as a coot, and wuss now than when we fus see you. Your eyes shows"
150,1845,-,-,-,-,-,". I don't like Bibles. "" "" Little coot! Don't you know the Bible is the best book in the world"
11,1846,-,-,-,-,-,"ma'am! why the boy's as crazy as a coot. He has done nothing but holler and scream all the forenoon, and"
49,1846,-,-,-,-,-,"wonder he came home last night as crazy as a coot. DOUB. Double (Without, R. H.) "" Limbs do your"
164,1847,-,-,-,-,-,"at his breach of faith, threatened to set on Coot a rival expedition, but gave up his resentment at last, induced by"
43,1850,-,-,-,-,-,"contemporaries as a dialectician, sagacious arid skillful, yet coot and courteous. Who could be more prompt than he to discern each flaw"
64,1853,-,-,-,-,-,do the like o' that. I'd rather coot off my right hand than use it to turn the kay on the darlint
16,1860,-,-,-,-,-,"shaver. You remember old Bob Lampson -- drunken old coot -- he was my father. I'm Tom Lampson, and you gave"
87,1860,-,-,-,-,-,"songs, screams, answering those of the wild-pigeon, coot, fish-hawk, qua-bird, mocking-bird, condor, night-heron, eagle; His"
61,1862,-,-,-,-,-,", amid roars of laughter, and cries of "" Coot! coot! "" from Major Emerick. Lucy did not laugh. She"
92,1862,-,-,-,-,-,"and it does not amuse me to hear good pronounced coot,' and to have pictures, flowers, soup, and the North"
188,1862,-,-,-,-,-,"roars of laughter, and cries of "" Coot! coot! "" from Major Emerick. Lucy did not laugh. She had all"
161,1864,-,-,-,-,-,"him. "" Vot can I do for you my coot voman, "" he enquired, without even extending the courtesy of offering her"
53,1871,-,-,-,-,-,"now spilt upon the sand; All swimming as one coot from pole to pole. Nor scare the little beach-birds, dainty thing Mounted"
