entry,year,genre,source,a,b,c,text,
197,1827,FIC,Novels,A,B,C,  my brain; but at length gave place to sleep. Footnotes * The grey Cougar. This animal has all the essential characteristics of a tyger. Though somewhat inferior,
75,1832,MAG,NewEngMag,A,B,C,"  sleep in that room that night. In the morning the tracks of a large Cougar were found in the garden, and it was apparent that he had reared up",
175,1837,NF,AnAccompaniment,A,B,C,"  beauty and diversity of their colour, and the treachery of their disposition. The cougar, or puma, called also the panAher, is the largest and most formidable",
83,1839,FIC,NewHome--Wholl,A,B,C,  materials for anything which might be called a story. I have never seen a cougar -- nor been bitten by a rattlesnake. The reader who has patience to go,
137,1851,FIC,MobyDickWhale,A,B,C,  ! -- Here we go like three tin kettles at the tail of a mad cougar! This puts me in mind of fastening to an elephant in a tilbury on,
9,1852,FIC,AsGoodComedyThe,A,B,C,"  at moments, in his saddle, as if to take the leap of a cougar on the fox, and his heels would sink slightly into the sides of his",
25,1854,FIC,PoeticalWorks,A,B,C,"  elk in other days, Fat herds in thymy meadows graze; Where the fanged cougar, hating day, Crouched by the deer-lick for his prey, Heard is the",
44,1854,FIC,PoeticalWorks,A,B,C,"  , Sweep the host of invasion, like drift-wood, away. XIII. Like cougar, mad with taste of blood, A warrior darted from the throng, While",
102,1854,FIC,PoeticalWorks,A,B,C,"  savannahs green, And roused wild echoes in the woody dell, Where late the cougar of terrific mien, Devoured the fawn, or rocked upon his perch unseen.",
1,1855,MAG,Harpers,A,B,C,"  never suspecte*d, until it leaped to the ground, the presence of an immense cougar, that was all the time a few feet above their heads in the naked",
26,1855,MAG,Harpers,A,B,C,"  "" as it is gener THE JAGUAR. // ally termed in the back-woods. Cougar is a corruption of the Mexican name, and such we please to term it",
29,1855,MAG,Harpers,A,B,C,"  She says that at a certain time past, her husband bought in Arkansas a cougar, six months old, which had been caught while a kitten in the woods",
51,1855,MAG,Harpers,A,B,C,"  to say that these "" varmints "" were summarily dispatched. TILE *OUOAii. The Cougar is the American lion-at least it bears a closer resemblance to that noble brute than",
53,1855,MAG,Harpers,A,B,C,  their movements ever exa*gerates the idea of their power to injure and destroy. The cougar reaches the top of a tree with almost the ease of a bird-dependin* upon his,
56,1855,MAG,Harpers,A,B,C,  upon him; the breath of powder unnerves his muscles of iron; and the cougar flies - flies with even more terror than the helpless deer that has suffered in,
59,1855,MAG,Harpers,A,B,C,"  place at a favorite "" stand. "" A few moments only elapsed before a cougar, perched in the limbs of the tree above, thinking that he saw """,
64,1855,MAG,Harpers,A,B,C,"  like any thing // but "" cat. "" In stock-raising countries, where the cougar is most frequently found, its thefts are mostly confined to stealing young heifers for",
66,1855,MAG,Harpers,A,B,C,"  thick, and its tail does not gracefully taper; yet nature has invested the cougar with other qualities as a compensation, the most remarkable of which is an apparent",
73,1855,MAG,Harpers,A,B,C,"  even the lordly buffalo appears, and ere it has slaked its thirst, the cougar has dropped from his nestlingplace and descended as quietly as a dried leaf upon the",
96,1855,MAG,Harpers,A,B,C,"  She says: "" When we appeared on crutches we inadvertently went quite near the cougar, and were warned by a low growl that he was regarding us as his",
136,1855,MAG,Harpers,A,B,C,"  remorseless appetite of the destroyer; and as the victim falls and expires, the cougar stealthily extends himself along the body, suspiciously glances around, as if challenging a",
144,1855,MAG,Harpers,A,B,C,"  leaf upon the neck of his victim. But now all is changed -- the cougar instantly becomes the active fiend-his claws and teeth sink into the quivering flesh, and",
146,1855,MAG,Harpers,A,B,C,"  ; the ounce, the ocelot, the leopard, the lynx, and the cougar are more diffused, hut are never met in sufficient numbers to occupy a prominent",
153,1855,MAG,Harpers,A,B,C,"  American lady, Mrs. Jane Swisshelm, furnishes the world with a description of the cougar that is thrillingly interesting. She says that at a certain time past, her","  rich, strong soil, like most trees of the western states. /z/ THE WILLOW TREE. Salix. Nat. Ord. Salicaceoe. Lin. Syst. Dioecia"
164,1855,MAG,Harpers,A,B,C,"  . The sharp ringing of the rifle is followed by the body of the lifeless cougar coming helpless to the ground; for, with all his power, he yields",
76,1857,FIC,KnightGoldenMelice,A,B,C,"  spring of the creature, and levelling his piece, while he could see the cougar shut its eyes and cling closer to the limb, fired. The sound of",
142,1857,FIC,KnightGoldenMelice,A,B,C,"  outside a placid expression, more like that of the timid deer than of the cougar, whose nature his own resembled. As for Arundel, so highly were his",
93,1859,NF,TestimonyModern,A,B,C,"  seen the /z/ tapir, the lama, the pecari, the jaguar, the cougar, the agouti, the paca, the coati, and the sloth. """,
177,1865,NF,FranceEnglandIn,A,B,C,"  , as, for example, a description of the opossum and another of the cougar, animals with which he was acquainted. Compare the following pages of the Nouvelle",
39,1866,FIC,Outpost,A,B,C,"  plainly, and he made up his mind that it was some species of the cougar family. Then the embers flared out and it was darker than before. But",
61,1866,FIC,Outpost,A,B,C,"  who with the first shot. Who are you talking about? "" "" This cougar! Hurry Ned, he's creeping nearer! "" Tom heard a movement behind",
89,1866,FIC,Outpost,A,B,C,"  gathered around the blaze they saw, twitching in the death throes, a big cougar, or some animal allied to it. Neither Tom nor his friends had ever",
107,1866,FIC,Outpost,A,B,C,"  inventor felt a shower of dirt thrown over him by the claws of the dying cougar, and then he realized that he was safe. He raced toward the tent",
23,1868,FIC,PhantomForestTale,A,B,C,"  of thunder! It was the wild, fierce scream of the panther, or cougar! and the terrible animal was seen leaping from a tree to the ground,",
32,1871,NF,AdventuresYoung,A,B,C,  was a whole tribe of monkeys frolicking about 397 I looked in vain for the cougar 403 L'Encuerado turned three somersets 407 It stood up on its hind legs 417 The,
147,1871,NF,AdventuresYoung,A,B,C,"  XXVII. L'Encuerado and the Parrots. -- Gringalet meets a Friend. -- The Cougar, or American Lion. -- A Stream. -- Our "" Palm-tree Villa.",
70,1873,FIC,SevenNineYears,A,B,C,"  most savage roars. In its yellow coat and cat-like movements I recognize the dreaded cougar -- the tiger of the western mountains -- an animal that, when once aroused",
24,1874,NF,DavidCrockett,A,B,C,  no time to be lost. There was no retreat either for me or the cougar. So I levelled my Betsey and blazed away. The report was followed by,
45,1874,NF,DavidCrockett,A,B,C,"  was manifest in his own lacerated skin, and in the wounds inflicted upon the cougar, they were greatly impressed with the valor he had displayed. The chief exclaimed",
78,1874,NF,DavidCrockett,A,B,C,"  encountered, he saw the brilliant eyes glaring through the leaves of a large Mexican cougar, sometimes called the panther or American lion. This animal, endowed with marvellous",
121,1874,NF,DavidCrockett,A,B,C,"  epicure surveys the table before he selects his dish, I have no doubt the cougar looked upon me as the subject of a future supper. Rays of light darted",
178,1874,NF,DavidCrockett,A,B,C,"  the cougar. Looking over the bank, he saw the dead body of the cougar lying there, and felt that he had much cause of gratitude that he had",
188,1874,NF,DavidCrockett,A,B,C,"  and tearing off the skin, which tended to infuriate him the more. The cougar wasn't long in making up his mind what to do, nor was I",
91,1878,FIC,[PoemsIn]AMasque,A,B,C,"  Celerity and caution back there straight I sped, to pounce upon him like a cougar -- Pretending always to be buying sugar. "" It seemed as if some magic",
68,1882,FIC,TalkingLeaves,A,B,C,"  who drew near it at about the time when Steve and Murray were killing their cougar. Two tilted wagons, a good deal the worse for wear, apparently pretty",
104,1882,FIC,TalkingLeaves,A,B,C,"  they were carrying seemed to come to the ground of his own accord. "" Cougar! "" exclaimed Murray. "" The biggest painter I ever saw, "" said",
130,1882,FIC,TalkingLeaves,A,B,C,"  don't care much for it myself, but the Lipans would rather eat that cougar than the best venison ever was killed. "" "" I suppose they would;","  the tree willows, and particularly that of the Yellow willow, and the Shining willow (S. lucida), is /z/ greatly used in making charcoal for the manufacture"
148,1882,FIC,TalkingLeaves,A,B,C,"  together, almost like one. They were not followed by any spring from the cougar. Only by a growl and an angry tearing at the gravel, and then",
43,1890,FIC,BridgeGods,A,B,C,"  had given him the name of Cougar. Alas, he was but a dying cougar now. "" Shall we stay here to die? "" thundered the wild chief",
55,1890,FIC,BridgeGods,A,B,C,"  , and some were beggared, some enriched. Cecil noticed in particular Mishlah the Cougar, chief of the Molallies. He was like a man intoxicated. His huge",
69,1890,FIC,BridgeGods,A,B,C,"  to tell how the last council was held on Wappatto Island; how Mishlah the Cougar, chief of the Mollalies, died; and how the prophecy of the Bridge",
79,1890,FIC,BridgeGods,A,B,C,"  impressed by his words. Only Snoqualmie was sullen and inattentive, and Mishlah the Cougar was watchful and suspicious. After the council was over Cecil went to his lodge",
100,1890,FIC,BridgeGods,A,B,C,"  But the cold face did not relax a muscle. At length rose Mishlah the Cougar, chief of the Mollalies. His was one of the most singular faces there",
169,1890,FIC,BridgeGods,A,B,C,"  his flashing glance read every messenger to the heart, "" you promise that neither cougar nor cataract nor ambuscade shall deter you from the delivery of this summons; that",
6,1891,MAG,Scribners,A,B,C,"  I had reached a point well down on the promontory I must have disturbed a cougar which was evidently there for the same purpose I was, and which had stealthily",
118,1893,NEWS,NYT-Reg,A,B,C,"  hidden mountain lairs of the hungry beasts. Early In the week a big she cougar (mine Into a camp near Tilden, a small town in the west part",
12,1897,FIC,ChoirInvisible,A,B,C,"  and palm of his hand like dull knives and the blood gushed. Instantly the cougar leaped upon the long, wooden desk that ran alone one side of the room",
54,1897,FIC,ChoirInvisible,A,B,C,  earlier days in the wilderness; for at this period it was thought that the cougar had retreated even from the few cane-brakes that remained unexplored near the settlements. But,
72,1897,FIC,ChoirInvisible,A,B,C,"  faintness, the school- master realized that he was face to face unarmed with a cougar, gaunt with famine and come for its kill. This dreaded animal, the",
77,1897,FIC,ChoirInvisible,A,B,C,"  old woodland street, where bison and elk, stag and lynx, wolf and cougar and bear had gored or torn each other during the centuries before; there on",
82,1897,FIC,ChoirInvisible,A,B,C,"  the Indians and subdue it for wife and child, it was the noiseless nocturnal cougar that filled their imaginations with the last degree of dread. To them its cry -- most",
123,1897,FIC,ChoirInvisible,A,B,C,"  known what it was to be subdued; he had never taken them from the cougar. Keeping them on it still, he rose slowly from the chair, realizing",
124,1897,FIC,ChoirInvisible,A,B,C,"  cry of his tethered horse. Or after a long, ominous growl, the cougar had sprung against his tent, knocking it away as a squirrel would knock the",
134,1897,FIC,ChoirInvisible,A,B,C,"  that whatever happened he must guard his throat. It was at this that the cougar aimed, leaping almost perpendicularly, its widespread fore feet reaching for his shoulders,",
