entry,year,genre,source,a,b,c,text
1,1833,-,-,-,-,-,"seeing the skill and sagacity with which he fished out crayfish, and welcomed him us an honest and genuine Koupara wolf of the kind"
2,1849,-,-,-,-,-,"second, lobsters, cuttle-fish, crabs, cockles, crayfish; the third, hunchbacked roots of the Taro-plant -- plantains, perversely curling"
3,1849,-,-,-,-,-,"its blaze attracted them, as it attracts fishes, crayfish, and other inhabitants of the water. The Indians showed us the tracks"
4,1861,-,-,-,-,-,"245 Crape, to make old look like new 2277 Crayfish, the 246 Crayfish, how preserved 193 Potted 247 Soup 193 Cream,"
5,1861,-,-,-,-,-,"make old look like new 2277 Crayfish, the 246 Crayfish, how preserved 193 Potted 247 Soup 193 Cream, a la Valois 1422"
6,1861,-,-,-,-,-,"103 Chestnut, Spanish 124 Cock-a Leekie 134 Cocoa-nut 125 Crayfish 193 Cucumber 127 Eel 194 Egg 128 Family, a good 190 Fish,"
7,1861,-,-,-,-,-,"Galloway 593 Long-horn 591 Short-horn 590 Crab, the 245 Crayfish 193 Cream-mould 1430 Crumpets 1728 Cucumber, the 402,1111 Slice 1152 Sliced 1111 Currants"
8,1861,-,-,-,-,-,"Barbel, brill, carp, cod, crabs, crayfish, dace, eels, flounders, haddocks, herrings, lampreys, lobsters"
9,1861,-,-,-,-,-,"is not so good as in January, crabs, crayfish, dace, eels, flounders, haddocks, herrings, lampreys, lobsters"
10,1861,-,-,-,-,-,". -- Barbel, brill, carp, crabs, crayfish, dace, eels, flounders, haddocks, herrings, lampreys, lobsters"
11,1861,-,-,-,-,-,". FISH. -- Carp, chub, crabs, crayfish, dory, herrings, lobsters, mackerel, red and gray mullet,"
12,1861,-,-,-,-,-,", strawberries. JUNE. FISH. -- Carp, crayfish, herrings, lobsters, mackerel, mullet, pike, prawns, salmon"
13,1861,-,-,-,-,-,", strawberries. JULY. FISH. -- Carp, crayfish, dory, flounders, haddocks, herrings, lobsters, mackerel, mullet"
14,1861,-,-,-,-,-,". FISH. -- Brill, carp, chub, crayfish, crabs, dory, eels, flounders, grigs, herrings, lobsters"
15,1861,-,-,-,-,-,"it is wanted, as it soon turns sour. CRAYFISH SOUP. 193. INGREDIENTS. -- 50 crayfish, 1/4 lb. of butter"
16,1861,-,-,-,-,-,". CRAYFISH SOUP. 193. INGREDIENTS. -- 50 crayfish, 1/4 lb. of butter, 6 anchovies, the crumb of 1 French"
17,1861,-,-,-,-,-,"stock, No. 192. Mode. -- Shell the crayfish, and put the fish between two plates until they are wanted; pound"
18,1861,-,-,-,-,-,to July. Sufient for 8 persons. Illustration: CRAYFISH. THE CRAYFISH. -- This is one of those fishes that were highly esteemed
19,1861,-,-,-,-,-,"and other condiments. A recipe tells us, that crayfish can be preserved several days in baskets with fresh grass, such as the"
20,1874,-,-,-,-,-,"the sea-dragon. A great quantity of the small sea crayfish were brought into market; and in certain countries these were called sante,"
21,1874,-,-,-,-,-,"those in consumption; on the other hand, freshwater crayfish were not much esteemed in the fifteenth and sixteenth centuries, excepting for their"
22,1874,-,-,-,-,-,"cameline, and verjuice. "" Side-Dishes. -- Jellies of crayfish and loach; young rabbits and pork. "" Dessert. -- Froumentee and"
23,1874,-,-,-,-,-,"He feeds on snails and water creatures; sometimes on crayfish and other crustaceans; and occasionally, if a duckling or young chicken come"
