entry,year,genre,source,a,b,c,text,
1,1948,-,-,-,-,-,"operative, altho still in existence. Circuit Judge DeWitt Crow granted petitions for injunctions sought by the company to restrain Anderson from transferring his",
2,1937,-,-,-,-,-,"book, introducing slit skirts to replace trousers, Author Crow is proud to have brought out of hiding "" the most beautiful leg the",
3,1950,-,-,-,-,-,thought they were hurtin me and ran and hit Esther Crow and tried to pull her away from me to protect me and Walter Warren,
4,1964,-,-,-,-,-,". He didn't understand what I said, for Crow and Cheyenne have different tongues, but he spoke as if in answer to",
5,1992,-,-,-,-,-,"person of uncertain gender. Berdaches were accepted among the Crow, who reserved special ceremonial roles for them. # PHOTO: While Fuch",
6,1946,-,-,-,-,-,"It could be a wolf. It could be a Crow who had heard the noise of the horses and had come out alone,",
7,1964,-,-,-,-,-,"to any? of the Iluman Beings, for that Crow's discovery of my race, his friendly ways, etc., would only",
8,1972,-,-,-,-,-,"the hog, the hyena, the wolf, the crow, the buzzard, the vulture. Worms and insects finish the feast.",
9,1857,-,-,-,-,-,"days drive in a stage, at the town of Crow Wing, one hundred and thirty miles, a little west of north,",
10,1874,-,-,-,-,-,", the Quack holding out his hand. Dollar! Crow. Crow Dollar? I ain't troubled wid dat complaint. Dr. Squash",
11,1982,-,-,-,-,-,"could she help it? You couldn't put a crow family before your own daughters, thoughtp328Nell wryly, circling the rows of the",
12,1834,-,-,-,-,-,"baby talk. So will a Comanche, or a Crow, or a Snake, and they are the gratest Indian I ever saw",
13,1920,-,-,-,-,-,"a hubbub. But then, like his cousin Mr. Crow, Jasper was not a lover of music. And it was true that",
14,1907,-,-,-,-,-,to the narrow path which led to the summit of Crow's Cliff. They were very brave by this time. A small boy,
15,1917,-,-,-,-,-,had stuck to it in a big ball. Mr. Crow recovered his spirits at last. And neither he nor Aunt Polly Woodchuck ever,
16,1920,-,-,-,-,-,". =WEBSTER: MAN'S MAN= In a little Jim Crow Republic in Central America, a man and a woman, hailing from the",
17,1958,-,-,-,-,-,"I have a sneaking suspicion he wants me to eat crow, and I'm prepared to do that. I was wrong, and",
18,1940,-,-,-,-,-,"at the pines below across the clearing. The one crow was still there. Then he heard the first high, throbbing murmur of",
19,1972,-,-,-,-,-,like me? HOSS Yeah. Outside the game. CROW And into a bigger one. You think you can cope? HOSS With,
20,1907,-,-,-,-,-,"They fooled me -- they fooled me. "" It was Anderson Crow, and he would have gone on interminably had not Jackie Blake stopped him",
21,1994,-,-,-,-,-,"# He was right. A year later, Jim Crow became the law of the land. # That was my last summer in",
22,1973,-,-,-,-,-,"Urien on the coast, and he's another carrion crow, picking at Lot's leavings. Nay, that may be another one",
23,1836,-,-,-,-,-,"ornament; The ornament of beauty is Suspect, A crow which flies in heaven's sweetest air. His passion is not the fruit",
24,1968,-,-,-,-,-,"though, I can get us a turtle or a crow. "" A personable, soft-spoken Negro of twenty-five, Bill is a tenant",
25,1867,-,-,-,-,-," spitefully // declares:  There is an upstart crow beautified with our feathers, that, with his tiger's heart wrapped in",
26,1866,-,-,-,-,-,"victuals. "" Corn, corn! "" said the crow, hanging by Guy's pockets. "" Did you have any of the",
27,1852,-,-,-,-,-,"ingenuity The want of natural means supply. A thirsty crow some water found, But in a vessel so profound, That with her",
28,2001,-,-,-,-,-,"1962) is striking: Tippi Hedren, a big crow perched on her arm, is statuesque in a glamorous cocktail sheath. Hedren",
29,1986,-,-,-,-,-,", and the unthinkable. It is signed with a crow's feather. Thus. MARTA It's a hoax. KATE Yes.",
30,1907,-,-,-,-,-,to Mr. Crow that something unusual had happened or Mrs. Crow would not have summoned him so peremptorily. She was in the hallway downstairs,
31,1857,-,-,-,-,-,", Mr. Thomas Cathcart has purchased a valuable claim opposite Crow Wing at the mouth of the river, which I should think was an",
32,1923,-,-,-,-,-,"footpath; in one area, there are' Jim Crow' cars; in another, most Negroes ride first-class on the railways.",
33,1917,-,-,-,-,-,not enjoying the shower at all -- and that was old Mr. Crow. You remember that he had gone to a crows' meeting. And,
34,1955,-,-,-,-,-,his boots and then spread his black jacket like a crow's wings before the red halo of the stove. Before the thaw!,
35,1922,-,-,-,-,-,"owned, an' then they started right in to crow about the place. I was workin' down at Crawfordsville at the time",
36,1943,-,-,-,-,-,"If you would (lie fagged to death like a crow with the king birds after him,? be a school-master; if you",
37,1849,-,-,-,-,-,"t is a laugh forty miles broad, as the crow flies -- since from Merry-Mount to Plymouth --. "" "" Hold thy peace",
38,1917,-,-,-,-,-,"placed the umbrella carefully in his hands. Then Mr. Crow flew away. "" It certainly can't rain, "" he said to",
39,1859,-,-,-,-,-,"taken apart in the winter and drawn on sleds from Crow Wing on the Mississippi to Brecken ridge on the Red River, where it",
40,2004,-,-,-,-,-,"into a prairie dog, a blue jay into a crow, and the riskiest one three days ago, a dog into a wolf",
41,1922,-,-,-,-,-,"tell me what it is. "" That was Mr. Crow's way. He was so curious. "" Thank you! "" said",
42,1919,-,-,-,-,-,. The children meanwhile grow up in the Cockatoo and Crow quarters respectively as little Cockatoos and Crows. Any correction that is found to,
43,1868,-,-,-,-,-,". Oh, I guess it was nuffin but a crow. "" Beats his hands I think I'll go down and make free",
