entry,year,genre,source,a,b,c,text
1,2004,-,-,-,-,-,"her shoulder. "" They're more regular than our cuckoo clock. "" There was a sharp edge to the winter morning, complementing"
2,1940,-,-,-,-,-," he said and turned his head away.  Cuckoo! Cuckoo! "" and at the sound he pulled the string and the"
3,1937,-,-,-,-,-,"up to imitate wings. p. 73 HANUS WICKS FlappingCuckoo! Cuckoo! Cuckoo! His door shuts. Mrs. RUTLEDGE pauses, biting her lip"
4,1917,-,-,-,-,-,"on the snowy rocks! -- Cuckoo! Cuckoo! Cuckoo! The lieutenant of Yukon infantry, whose name was Gray, came back"
5,1995,-,-,-,-,-,"producer (Michael's 1975 "" One Flew Over the Cuckoo's Nest, "" the rights to which he had bought from Kirk,"
6,1942,-,-,-,-,-,"for the express purpose of keeping out cuckoos. The cuckoo has developed several methods for outwitting these isolationists. Cuckooists recognize a First,"
7,1839,-,-,-,-,-,"evening shadows were falling broad and long; and the cuckoo began to sing. "" Cuckoo! Cuckoo! "" said the eldest of"
8,1813,-,-,-,-,-,heard from branch of flow'ring thorn The song of friendly cuckoo warn The tardy-moving swain; Hast bid the purple swallow hail; And seen
9,1917,-,-,-,-,-,"Carfax moving cautiously, and presently he called, "" Cuckoo! "" A storm of tennis balls rebounded from the walls; "" Cuckoo"
10,1854,-,-,-,-,-,", Pronounced the bird its own sweet name Cuckoo! cuckoo! cuckoo! cuckoo! Uprose the maid, perplexed to hear The bird"
11,1988,-,-,-,-,-,"audience, Gone With the Wind gets 36%, and Cuckoo's Nest pulls in 32%. Does that add up to more than 100%"
12,1995,-,-,-,-,-,"Nicholson writhing and drooling in "" One Flew Over the Cuckoo's Nest "" and still use the misnomer "" shock therapy "" for the"
13,1905,-,-,-,-,-,"and is entirely stay-athome. Some would write the name cuckoo "" cuckow, "" a reversion to an older, but not in our"
14,2000,-,-,-,-,-,"sighed sweetly, her laughter a trill running into a cuckoo, cuckoo, from the next room. "" I can't recall."
15,1880,-,-,-,-,-,"have heard, I hear thee and rejoice: O cuckoo! shall I call thee bird? Or but a wandering voice? """
16,1945,-,-,-,-,-,"then the lovely strains of "" On Hearing The First Cuckoo of Spring, "" by Delius, are heard.) Oh, and"
17,2001,-,-,-,-,-,"squawking saliva into my face. # "" Cuckoo! Cuckoo! Cuckoo! "" I swatted him away. "" Cuckoo! Cuckoo!"
18,1925,-,-,-,-,-,'s buff out behind the Minot jail-yard. You're cuckoo. You two are going to have a grand time being buried together and
19,1835,-,-,-,-,-,"of the neighborhood, even to the quail and the cuckoo, while the others surrounded by the same birds, could only imitate a"
20,1867,-,-,-,-,-,"host, since we find the young of the parasitic Cuckoo bee, in cells containing the young of the former. Mr. F. Smith"
21,1919,-,-,-,-,-,"me. "" // Then they count the calls of the cuckoo until he pauses again. If a man wears clothes made of yarn spun"
22,1942,-,-,-,-,-,Second and Third Method. In the First Method the cuckoo simply squats down and lays her egg. The Second Method is somewhat more
23,1922,-,-,-,-,-,"beings. "" He studies the parasitical habit of the cuckoo and hits on an explanation of it. He speculates why the partridges and"
24,2001,-,-,-,-,-,"n't she? "" "" Probably moonlights as a Swiss cuckoo, "" said Hims, as she tortured a paper clip. I sighed"
25,1922,-,-,-,-,-,"ground. A wren, and she had not a cuckoo but a devouring cormorant to sustain -- that dear, beautiful father of hers"
26,1854,-,-,-,-,-,"'s high joy to speak. Logan, whose "" Cuckoo "" will sing on forever, For a brief moment, my attention caught"
27,1897,-,-,-,-,-,"pretty respectable showing. Oh, the boss is a cuckoo for any job of that kind. "" "" Does the mining company own"
28,1919,-,-,-,-,-,"of April thirtieth. On May Day girls invoke the cuckoo: "" Cuckoo! cuckoo! on the bough, Tell me truly,"
