entry,year,genre,source,a,b,c,text
350,1819,-,-,-,-,-,"or death -- The glittering laurel crown, or weeping cypress wreath. They come! they come! -- the starry flag is bright"
666,1819,-,-,-,-,-,", and from thy clouds emerge! Bring thy black cypress clotted in the shade: Of weeping-willow let a wreath be made, To"
27,1820,-,-,-,-,-,"the tops and sides covered with iron bark, and cypress growing among the interstices of the granite rocks. We had however seen no"
85,1820,-,-,-,-,-,"red sandy loam. Small blue gum-trees, box, cypress, and a multitude of acacia shrubs of various species, were the usual"
113,1820,-,-,-,-,-,", after going about eight miles through a very thick cypress scrub; the country equally bad as on any of the foregoing days."
154,1820,-,-,-,-,-,"eminence mentioned yesterday, and from the top of a cypress tree a very distant view of the whole country was obtained: the opening"
230,1820,-,-,-,-,-,"and good, being clothed with luxuriant broom-grass. The cypress trees of good dimensions; but no signs of water. For the remainder"
440,1820,-,-,-,-,-,"filifolia, box trees, and acacia bushes. The cypress seemed to shun this kind of barren clayey soil, and was more prevalent"
516,1820,-,-,-,-,-,"and where there was timber it chiefly consisted of small cypress: we saw no water as usual, but stopped on some burnt grass"
517,1820,-,-,-,-,-,"they are generally clothed with wood of apple tree, cypress, and other species of eucalyptus, intermingled with various acacias in full flower"
639,1820,-,-,-,-,-,"of another species of eucalyptus called stringy bark, and cypress. A number of small streams watered the deep valleys to the north and"
646,1820,-,-,-,-,-,"24th ult. For the first time since we left Cypress Hill we heard natives on the other side of the river, but they"
653,1820,-,-,-,-,-,", without herbage of any kind. The box and cypress trees disappeared, and their place was supplied by a numerous species of iron"
731,1820,-,-,-,-,-,"country as yesterday, but having a large proportion of cypress forest. After travelling nearly ten miles, we halted on the edge of"
746,1820,-,-,-,-,-,"on the west side of Wellington Vale were clothed with cypress trees, which had all the appearance of the pinus silvestris, that adorns"
770,1820,-,-,-,-,-,"middle of an apparently dry forest of iron bark and cypress trees: the surface gave way but little to the human tread, but"
800,1820,-,-,-,-,-,"continued open forest land for about three miles, the cypress and the bastard box being the prevailing timber; of the former many were"
834,1820,-,-,-,-,-,"occasional clear spaces, but for the greater part thick cypress bushes, acacia, and other low shrubs, rendered it difult for the"
840,1820,-,-,-,-,-,"immediately descended a rocky and steep hill, covered with cypress and small brush; from thence we descended upon a level forest country,"
952,1820,-,-,-,-,-,"interspersed with miserable rocky crags, on which grew the cypress and eucalyptus. On the more level portions of the country, a new"
984,1820,-,-,-,-,-,"summits of some of which were very thick brush of cypress trees, and small shrubs, particularly the last two miles. We stopped"
997,1820,-,-,-,-,-,"with the more sombre foliage of the blue gum and cypress trees: several new plants were also found, of beautiful descriptions. The"
40,1821,-,-,-,-,-,"mean time, Capt. Cooper passed on to the Cypress, and there routed a party of tories, and then proceeding down the"
862,1821,-,-,-,-,-,"beside my dear and only sister, And let one cypress shade our mutual tomb. Fat. He's gone, and with him"
400,1824,-,-,-,-,-,"; And a light spear, topp cl with a cypress cone, (Round whose rough stem dark ivy tresses shone, Yet dripping"
423,1824,-,-,-,-,-,"O'er his tomb the lyre unstrung, And wreathed with cypress sad! See, see its master-spirit languish! Tuned each quivering chord to"
60,1827,-,-,-,-,-,"The olive deck'd his sylvan dome, The mournful cypress marks his rest, Rude Misletoe! -- the Druid's guest, Hence"
268,1827,-,-,-,-,-,"lithe figure before me waved in motion like the light cypress, when the breeze awakens music in its boughs, while the waves of"
871,1827,-,-,-,-,-,"Soft, drooping shades, The dark, columnar cypress, the pale leaves Of the young olive, and the ivy wreath Close"
475,1828,-,-,-,-,-,"sometimes found there in extensive beds, with abundance of cypress and cedar stumps, standing far beneath the sand. A stratum of sandstone"
503,1830,-,-,-,-,-,"twin'd the laurel round that hated brow, Which cypress should encircle. Marcia, too -- The lovely Marcia, who in banishment"
316,1831,-,-,-,-,-,"festivals; laurel, ivy, holly, and occasionally cypress and yew, were the most approved. These observances are the only old"
554,1831,-,-,-,-,-,"To me, congenial is the place Where yew and cypress grow; I love the moss-grown stone to trace, That tells who lies"
820,1831,-,-,-,-,-,"eye, And his form might well with the slender cypress vie. Godly Rudbari was, and just and true, And Hassan pure"
167,1832,-,-,-,-,-,would deserve a more honored grave. Our own evergreen cypress is as suitable as the Oriental to surround the place of death; and
280,1832,-,-,-,-,-,"broad deep masses from the height, Vast trunks of cypress and of cedar stood Charred, stark and trembling, and the castelled cliffs"
415,1832,-,-,-,-,-,"list, beside gaining subjects for his pencil from the cypress swamps and pine savannas. All his remarks upon men and manners, are"
531,1832,-,-,-,-,-,"was easy to distinguish, as we passed, the cypress that waves over his grave. The latter part of the voyage shews some"
875,1832,-,-,-,-,-,"gloom upon our path. Here and there a lordly cypress occurred to view, springing forth from the stagnant pool, and reposing in"
880,1832,-,-,-,-,-,"'s mocker in his temple home! Like an earth-shadowing cypress, o'er the skies Lifting its labyrinth of leaves, the boughs Of molten"
228,1833,-,-,-,-,-,"and 1665. Of all timber, that of the cypress is generally supposed to be the most durable, superior even to that of"
479,1833,-,-,-,-,-,"form, though not in its foliage, is the cypress. WILLOW, &c.; Of the willow, called Salix, from the Latin"
490,1833,-,-,-,-,-,"fir, and the lurid and gloomy one of the cypress. The description of the cedar of Lebanon by the prophet Ezekiel is fine"
532,1833,-,-,-,-,-,"their heroes, the Athenians buried them in coffins of cypress; and the chests or coffins in which the Egyptian mummies are found are"
595,1833,-,-,-,-,-,"will be necessary to mention only two, the Evergreen Cypress (Cupressus semperrirens), and the White Cedar (Cupressus thyoides)."
784,1833,-,-,-,-,-,"all; as the white cedar, which is a cypress; and the red, which is a juniper. In addition to the"
810,1833,-,-,-,-,-,"be for children. "" Cypress Cuprums sempervircm Of the CYPRESS, of which there are twenty-two species, it will be necessary to mention"
814,1833,-,-,-,-,-,"/z/ The principal of these are the Yew, the Cypress, the Juniper, and the Jlrbor mice; these, like the pines"
992,1833,-,-,-,-,-,"Evelyn says, that he had upwards of a thousand cypress trees in his garden, and did not lose more than three or four"
999,1833,-,-,-,-,-,"For building, there is no timber superior to the cypress, which lasts almost as long as stone itself; accordingly, where it"
504,1834,-,-,-,-,-,"his surprise, was hidden among the shadows of the cypress trees. "" May I die, "" said the philosopher, in no"
526,1834,-,-,-,-,-,", Nor change of hoary time. Why plant the cypress near The pillow of the just? Why dew with murmuring tear Their calm"
21,1835,-,-,-,-,-,"one thousand seven hundred and eighty, enjoyed in the Cypress Swamp. The day is completed: it should always close with the dinner"
37,1835,-,-,-,-,-,see -- to the little pond just beyond that old cypress -- see the log half rolled into the pond -- look at the end
39,1835,-,-,-,-,-,"the troop of Tarleton rides, We burrow in the cypress tree. The turfy tussock is our bed, Our home is in the"
43,1835,-,-,-,-,-,"do you think, boy, but on the old cypress log, running into yonder pond. That was their home; and there"
50,1835,-,-,-,-,-,"to find me, or rout me out of the Cypress. "" But Marion thought differently as to the probable course of Cornwallis."
64,1835,-,-,-,-,-,"chase was so far unsuccessful. The pursuers reached the Cypress without having overtaken the enemy. There, however, having discretionary power,"
70,1835,-,-,-,-,-,"the Swamp Fox guides, We leave the swamp and cypress tree, Our spurs are in our coursers' sides, And ready for"
75,1835,-,-,-,-,-,few moments they had gained a tree -- a huge cypress which stood on the opposite side of the tussock -- and there the maniac
90,1835,-,-,-,-,-,"sir; nothing at all, since we left the Cypress. "" "" You saw him not, then, at our departure?"
103,1835,-,-,-,-,-,"a coffin, of lead, enclosing another, of cypress wood, which was declared, by antiquarians, to be that of Livy"
104,1835,-,-,-,-,-,"day, Humphries made his preparations for moving to the Cypress in obedience to the command of Singleton. The horses were saddled quickly,"
126,1835,-,-,-,-,-,"called knees, from which the straight trunk of the cypress (a tree similar to the hemlock) shoots up. This is a"
189,1835,-,-,-,-,-,"winding walks. The bending willow, the tall dark cypress, the silver olive, and the silky locust, mingled together in piles"
233,1835,-,-,-,-,-,"And covers earth with graves. Still under the same cypress shade, A common urn beneath, Sees parents with their children laid,"
244,1835,-,-,-,-,-,"replied; and a white owl that hooted from the cypress over the grave, moaned mockingly to his cry. The fierce executioner seized"
