entry,year,genre,source,a,b,c,text
345,1813,-,-,-,-,-,"in red and azure sheen, Like hues on dying dolphin seen, Most lovely when in death; Or seen at dawn of eastern"
409,1813,-,-,-,-,-,"Beheld, from thy most fearful height, The rapid dolphin's azure light Cleave, like a living meteor bright, The darkness of"
465,1816,-,-,-,-,-,of the Garter. Do. of Orion on the Dolphin's back. Do. of Cupid complaining to Venus of a Bee having
375,1823,-,-,-,-,-,"or the dog of Venus.' Or the Dolphin of France, or Clam of Tartary,' said Nell, cutting in"
162,1828,-,-,-,-,-,"breezes of the trade, to the ears of the Dolphin's crew. * There appear to be other indications of hostility on board the"
397,1828,-,-,-,-,-,"o'er his features came, As ev'ry pang the dying dolphin feels Sends a fresh lustre to its beauteous sides. Conven'd to witness"
360,1832,-,-,-,-,-,"its earliest dreams, with love -- Arion and the dolphin, Orpheus, And hymning groves, and awful Dis defied By passion in"
403,1833,-,-,-,-,-,"have the Teazer of Russia, as well as the Dolphin of France, the Clam of Tartary and the Dog of Venice? --"
139,1835,-,-,-,-,-,his little green cockle-shell darted away from us like a dolphin. The next moment he stood upon the low deck of the steamer.
413,1835,-,-,-,-,-,"are but frail, and the longest-winded man is no dolphin to swim with his head under water! "" "" Pray, Mr. Poke"
355,1837,-,-,-,-,-,"Unconscious of fatigue, hath oft-times mark'd A dying dolphin's brightness at his feet. And found it but the bubble of his"
6,1839,-,-,-,-,-,"in its fruition, would have been fatal to the Dolphin, and perhaps as destructive to herself; for a cussion of the two"
17,1839,-,-,-,-,-,grave; for the brig must have run down the Dolphin if it escaped the Ledge. Their chance was in the desperate movement that
33,1839,-,-,-,-,-,"by the encouragement of Fitzvassal, the crew of the Dolphin, then belonging to the Duke of Albemarle, and commanded by William Phips"
52,1839,-,-,-,-,-,", in a short time brought them securely to the Dolphin. CHAPTER XII. We buried him darkly. Monody on Sir J. Moore"
54,1839,-,-,-,-,-,", the remainder of the day passed off, the Dolphin lying idly at anchor within the curving bay, and nothing transpiring to interrupt"
57,1839,-,-,-,-,-,"getting away from her; but when she perceived the Dolphin put about, the ofers could not help feeling anxious for the result."
59,1839,-,-,-,-,-,"that vainly exerted itself to get within reach of the Dolphin, and one, as she had turned to bring her other guns to"
63,1839,-,-,-,-,-,"loud murmur of approbation from the crowded forecastle of the Dolphin. The brig was evidently relieved by this movement, and was still more"
64,1839,-,-,-,-,-,"to house as the only way of communication. The Dolphin, with her prize painted so as effectually to disguise her, lay near"
77,1839,-,-,-,-,-,"from the north, and the people knew that the Dolphin and her consort were contending with the royalist frigate. "" Liberty and independence"
91,1839,-,-,-,-,-,"soon as this was perceived, the crew of the Dolphin sent up a loud shout of exulation, which ended in three hearty cheers"
104,1839,-,-,-,-,-,", that the grappling-irons were thrown from amidships of the Dolphin, and the two drawn close along-side. In this position, the large"
115,1839,-,-,-,-,-,"that a vessel described as his own, called the Dolphin, was in the harbor, and that its commander, whose description answered"
130,1839,-,-,-,-,-,"done, that! "" shouted the commander of the Dolphin, as if the mariners of the stranger brig were in hearing of his"
155,1839,-,-,-,-,-,". Fitzvassal shivered with disgust, and sprang aboard the Dolphin. "" There is one more victim to be sacried to thy shade,"
182,1839,-,-,-,-,-,"outside of the islands, the tall spars of the Dolphin, as she lay a little off the shore, were lightly traced against"
201,1839,-,-,-,-,-,"anguish. In the meantime, the commander of the Dolphin paced his quarter-deck with feelings of mingled pleasure and anxiety. On the one"
212,1839,-,-,-,-,-,"end to stay the course by a ripple. The Dolphin was standing right out to sea a few points from the east, and"
226,1839,-,-,-,-,-,"minutes after, they were on their way to the Dolphin, half petrified with what they had witnessed, which was a hundred-fold exaggerated"
231,1839,-,-,-,-,-,"Duke of York under weigh, in company with the Dolphin, and as there were no armed vessels in port, they escaped,"
241,1839,-,-,-,-,-,"with all the ofers as well as men of the Dolphin, to be thus prepared for any emergency. He had now climbed the"
247,1839,-,-,-,-,-,"crowding all her canvas, bore down hard upon the Dolphin, with the determination of coming up with her, if practicable. Sir"
248,1839,-,-,-,-,-,"and adornment of lies. In the meantime, the Dolphin had gained so much upon the other vessel that her flag could easily be"
260,1839,-,-,-,-,-,"arrived at the pier in Boston, after leaving the Dolphin well under-weigh for Nahant, he proceeded immediately to the house of Mr. Temple"
279,1839,-,-,-,-,-,"damage. The gage being thus unceremoniously thrown, the Dolphin ran alongside her starboard quarter and poured a heavy broadside into her, which"
283,1839,-,-,-,-,-,"snow-banks of the skies. From the deck of the Dolphin, as she rocked gracefully on the billows, could be seen in the"
288,1839,-,-,-,-,-,"! "" On this encouragement, the crew of the Dolphin, which had been excited almost to madness by the fiery potion they had"
308,1839,-,-,-,-,-,"after were rapidly on their way to Boston. The Dolphin now immediately wore round to the wind, when her ropes strained like the"
322,1839,-,-,-,-,-,"antiquated windows of the apartment, (like the dying dolphin reserving its brightest glories for the last,) its golden hues assuming a"
324,1839,-,-,-,-,-,"they would have chafed themselves to pieces, or the Dolphin would have been run down and foundered. It was a moment of intense"
326,1839,-,-,-,-,-,"Sure enough, Morgan's boat was now alongside the Dolphin, the Captain seated in the stern-sheets. As he came came up to"
336,1839,-,-,-,-,-,"his crimes. Notwithstanding the comparatively secure harbor that the Dolphin occupied, there was considerable danger to be apprehended from the wind, which"
342,1839,-,-,-,-,-,"however, (was his consolatory reflection,) the Dolphin could not have cleared Cape Cod in time, and he knew Nantucket Shoals"
363,1839,-,-,-,-,-,"believed in the influence of the stars. When the Dolphin came within sight of the Swallow's Cave, about half a mile off"
439,1839,-,-,-,-,-,Brought death -- Milton. We return now to the Dolphin. The evening on which she left her anchorage in the harbor of Mount
442,1839,-,-,-,-,-,"the Cutter alone -- it never could have done the Dolphin any harm. "" "" Not's you know on! "" replied the"
471,1839,-,-,-,-,-,"thing valuable and useful, her guns brought aboard the Dolphin, with all the ammunition she had in her magazine. She was then"
473,1839,-,-,-,-,-,"board the schooner. Accordingly, the captain of the Dolphin opened the door of the hut, and proceeding down to the water's"
430,1842,-,-,-,-,-,"him foams.'' Stay,' said the dolphin,' not so fast, He's distant half a mile at least"
92,1843,-,-,-,-,-,"her fore-foot dipped in the high waves, like a dolphin in his gambollings. "" A pirate, by heaven! "" cried the"
145,1843,-,-,-,-,-,pleasure to those around him -- the colors of the Dolphin and of the Falls of Niagara. STANZAS TO NIAGARA. Spirit of Homer
265,1843,-,-,-,-,-,"chain the spirit by a look intense! -- The dolphin in his clearest seas -- or thence Ta'en, for some queen, to"
390,1843,-,-,-,-,-,"capacities, as to those of inferior animals. A dolphin can not endure the air; and an eagle must die in the limpid"
261,1844,-,-,-,-,-,"coming out of the sea, mounted upon a golden dolphin and attended by a troop of nereids in golden locks and green robes."
391,1844,-,-,-,-,-,"that the ends of Ben's were passed through a dolphin's ring. Ben wore pumps with large flaunting bows of black ribbon,"
169,1846,-,-,-,-,-,"their gradually changing hues the fleeting shades of the expiring dolphin. The autumnal tints of our American forests, glorious as they are,"
58,1847,-,-,-,-,-,"States, the On-ka-hy-e, the Harney, and the Dolphin will be put into service as soon as they can be made ready as"
206,1847,-,-,-,-,-,"following day I was so fortunate as to spear a dolphin. It had been swimming along side for some time, and I had"
297,1849,-,-,-,-,-,"crown, a ship, a windlass, or a dolphin -- proceeds the noise of revelry and dancing; and from the open casements"
349,1849,-,-,-,-,-,the finer sea-weed. (Preserved between fins of the dolphin). A Mermaid's Comb for the toilet. The stiff serrated erest
221,1850,-,-,-,-,-,"Huguenots had previously dignified with the title of "" the Dolphin. "" CHAPTER II. RIBAULT'S FORTUNES AT SELOOE. It was on"
495,1850,-,-,-,-,-,"that the Adelantado entered the mouth of the Selooe or Dolphin River. He was attracted by the aspect of the place, and here"
21,1851,-,-,-,-,-,"of Hercules and the whale, and Arion and the dolphin; and yet their doubting those traditions did not make those traditions one whit"
253,1851,-,-,-,-,-,"he flew to my relief, As on a radiant dolphin borne; Awful, yet bright, as lightning shone The face of my"
344,1851,-,-,-,-,-,"shields, medallions, cups, and coins, the dolphin was drawn in scales of chain-armor like Saladin's, and a helmeted head"
496,1851,-,-,-,-,-,"like figures on antique vases. Though universally denominated a dolphin, I nevertheless call this book-binder's fish an attempt at a whale;"
49,1853,-,-,-,-,-,"of repeated washing looked like the ghost of a defunct dolphin. Meanwhile, one Thompson, who was likewise an aspirant for fame,"
60,1853,-,-,-,-,-,"summer was senescent, and the woods were iridescent, Dolphin tints, and hectic-hints of what was shortly coming on, Did I worship"
69,1853,-,-,-,-,-,", his wooden shoes walked on board the ship "" Dolphin, "" and away he went to California, and I didn't hear"
99,1854,-,-,-,-,-,", for a short while, I lived like a dolphin. If it had lasted longer it might have tinged my employments and life"
327,1854,-,-,-,-,-,"water flings The shadow of her mighty wings. The dolphin, in her dazzling track, Comes up to "" bare his golden back"
445,1854,-,-,-,-,-,"nymphs, the wild Oreades -- In fancy view the dolphin cleave the wave, And bear the minstrel from a watery grave; Hear"
110,1855,-,-,-,-,-,"! I well remember with what terror I regarded the Dolphin, or, in common parlance,' Job's Coffin,' having"
5,1856,-,-,-,-,-,"presents a striking protuberance in the partridge. In the dolphin, the porpoise, the seal, and many other animals, the male"
189,1862,-,-,-,-,-,"down, and went in humming; Mount on the dolphin Pleasure,' and threw myself on the sofa beside -- Desmond! I"
229,1863,-,-,-,-,-,"species found in the Ganges, all other varieties of dolphin inhabit the sea exclusively. In the broader parts of the Amazons, from"
499,1863,-,-,-,-,-,"we got a child? Let me see the little dolphin! Mrs. Parrish, running in with child. Mrs. P Mrs. Parish Has"
135,1864,-,-,-,-,-,"our wake, or point to the track of a dolphin as he leaped above the luminous waves and went like a bullet to windward"
385,1864,-,-,-,-,-,"flying-fish no longer skimmed over the waves, and the dolphin and shark sank deep down in the blue water, or lay still and"
47,1867,-,-,-,-,-,"him, and he blew into his bowl like a dolphin into the Bosphorus. A man passed before him, without jostling him,"
238,1868,-,-,-,-,-,"on Stage. Quashee Quashee crosses, riding on a Dolphin. (Storm still kept up.) Music. He comes on,"
412,1868,-,-,-,-,-,"Quashee describes, in pantomime, his ride on the Dolphin -- how he swam ashore -- the brandy -- &c.]; Both Both shake hands"
316,1869,-,-,-,-,-,"north-east trade winds. This morning we caught our first dolphin, which I was very eager to see. I was disappointed in the"
426,1869,-,-,-,-,-,"fish justice, there is nothing more beautiful than the dolphin when swimming a few feet below the surface, on a bright day."
8,1870,-,-,-,-,-,"if we had but left a single scull in the Dolphin! "" Can you swim it? "" cried Adams, desperately, using"
9,1870,-,-,-,-,-,"green stripe outside, and on the stern a yellow dolphin, with its scarlet mouth wide open, stared with a surprised expression at"
15,1870,-,-,-,-,-,". Our tent was on the river-side. Though the Dolphin was also on the same side, it lay out of sight by the"
97,1870,-,-,-,-,-,"would tell us all. Was it possible for the Dolphin to outride such a storm? There was a light-house on Mackerel Reef,"
109,1870,-,-,-,-,-,my life. One afternoon the four owners of the Dolphin exchanged signiant glances when Mr. Grimshaw announced from the desk that there would be
123,1870,-,-,-,-,-,"stood on the wharf with my partners, inspecting the Dolphin, moored at the foot of a very slippery flight of steps. She"
158,1870,-,-,-,-,-,"into the string-piece of the wharf, and sending the Dolphin half a dozen yards towards the current. How calm and lovely the river"
165,1870,-,-,-,-,-,"my grandfather deemed it prudent to tell me that the Dolphin had been found, floating keel upwards, four miles southeast of Mackerel Reef"
170,1870,-,-,-,-,-,"winter; but when spring came round we launched the Dolphin again, and often went down to the wharf and looked at her lying"
174,1870,-,-,-,-,-,"drinkables, we had stored in the stem of the Dolphin a generous bag of hard-tack (for the chowder), a piece of"
199,1870,-,-,-,-,-,"most emphatic terms, never to go out in the Dolphin without leaving the mast in the boat-house. This curtailed my anticipated sport,"
204,1870,-,-,-,-,-,"eyes through the unnatural twilight that we could keep the Dolphin in sight. The figure of Binny Wallace was no longer visible, for"
211,1870,-,-,-,-,-,"longed to buy a part of the trim little sailboat Dolphin, which chanced just then to be in the market. This was in"
276,1870,-,-,-,-,-,"daybreak, and then set forth in search of the Dolphin. Though it was barely sunrise when we reached town, there were a"
312,1870,-,-,-,-,-,"The sun was well up when the nose of the Dolphin nestled against the snow-white bosom of Sandpeep Island. This island, as I"
467,1870,-,-,-,-,-,"young lives for many and many a month. The Dolphin rose and fell with the tide at the foot of the slippery steps,"
307,1872,-,-,-,-,-,"this, what meaneth all? Lord Arion with his dolphin call? And steam-boats on old sacred streams? What is this mystery which"
85,1873,-,-,-,-,-,"I served as assistant pilot on board the merchant vessel Dolphin, bound from Jamaica for London, which had already doubled the southern point"
167,1873,-,-,-,-,-,"brandy. After breakfast we were sent back to the Dolphin, which, as the captain still persisted in his obstinate assertion that there"
