entry,year,genre,source,a,b,c,text
248,1832,-,-,-,-,-,"leave their eggs lying loosely on the sand. The duck, however, the eider particularly, which is one of our northern visitors"
391,1833,-,-,-,-,-,friend. Eatin' brawth fust! when there's duck an' green peas at three dollars a peck right under your nose --
176,1835,-,-,-,-,-,", will not fail to pursue his prey; the duck, to swim; and the serpent, to seek for holes in the"
251,1835,-,-,-,-,-,"to you; as in fowling, you inveigle one duck, and the rest of the flock follows. Talking of ducks, now"
8,1839,-,-,-,-,-,"resumed his story. "" None but me and Tim Duck, "" said he, "" stood it out; because how, d'ye"
14,1839,-,-,-,-,-,"quite satisfied that there was abundance of water there to duck a land-shark, if they could catch him near it; and Mr. Mazard"
27,1839,-,-,-,-,-,"; and when the bloody business was over, and Duck, at last untied, fell like a dead man on the deck,"
199,1839,-,-,-,-,-,", and, if possible, humanize him; Captain Duck, meanwhile, having been subjected, by the intelligent indignation of the town"
234,1839,-,-,-,-,-,"; for he knows all the circumstances. "" "" Duck be d -- d, "" said the murderer; "" if you be"
338,1839,-,-,-,-,-,"'s crew of British deserters; I now saw that Duck himself was among them, and apparently upon pretty good terms with Captain Brown"
346,1839,-,-,-,-,-,with surprise. I had already distinguished the voices of Duck's crew of British deserters; I now saw that Duck himself was among
399,1839,-,-,-,-,-,"requested I would inform him more particularly in regard to Duck and his accomplices. I told him, that if the vessel was,"
473,1839,-,-,-,-,-,"they were, as I had suspected, slaves whom Duck had stolen or seduced away from their masters. Besides these, there were"
315,1842,-,-,-,-,-,"a plump little fellow, in his blue roundabout, duck trowsers supported by the hips, and tarpaulin hat, with a flying ribband"
297,1843,-,-,-,-,-,"having above itself two racks one supporting an enormously long duck gun, and the other, "" Old Bet "" -- a black surly"
335,1843,-,-,-,-,-,"and also see how we are ofi for spars, duck and especially small arms. "" "" I have been examining the racks,"
343,1843,-,-,-,-,-,"was a round, beef-fed personage, built like a duck, with an immense bill and corresponding mouth, and amply filled every inch"
185,1844,-,-,-,-,-,"ascertained -- namely, pigeon, lark, raven, duck, and partridge; mouse, water-rat, rabbit, hare, deer,"
116,1845,-,-,-,-,-,"sits swinging listlessly in his wire wheel, like a duck on a wave. Robin, the bird, in its cage, perched"
427,1845,-,-,-,-,-,what see you running out of the store like a duck after a tumble-bug. What was you so skeered for? I wouldn't
499,1846,-,-,-,-,-,"I turned round, and by St. Nicholas, the duck was gone. Both. Nelson Murdale, Rowina Gone! Music. --"
127,1847,-,-,-,-,-,"strangers; a nostril large enough to snuff a wild duck across the meadows; knows how to shake hands, and can talk with"
174,1847,-,-,-,-,-,Miss Fizgig Done up! Fiz. Mr. Fizgig Lame duck! Pinch. Pontefract Pinchbeck Lame duck! Fiz. Mr. Fizgig Gone'
256,1847,-,-,-,-,-,", and not a few tars in blue jackets and duck trowsers. Now and then we could see a rich citizen go by wrapped"
