entry,year,genre,source,a,b,c,text
284,1834,-,-,-,-,-,"have foothold. Lewis was out, after leaving the Elk mountain, in company with Alexander, one of his companions, and an"
475,1834,-,-,-,-,-,"far behind them. We likewise saw a herd of elk trotting off at a distance; and at night, we made a fire"
332,1835,-,-,-,-,-,they happened to look up in the pursuit of an elk or a bear. There is no poetry in this. I am not
210,1836,-,-,-,-,-,"by fishing. It is true they occasionally hunt the elk and deer, and ensnare the water-fowl of their ponds and rivers, but"
249,1836,-,-,-,-,-,"hunting grounds repair -- where the huge buffalo -- the elk -- the otter -- nimble-footed deer, invite you to the chase. --"
222,1842,-,-,-,-,-,"; -- nay, he can even get up an elk hunt for you. He knows that I have no passion for these things"
121,1843,-,-,-,-,-,"a bright pyramidal blade of steel with a handle of elk's horn, the tip of which was surmounted with a clasp or circlet"
43,1846,-,-,-,-,-,"the spirit-land. "" Then came the dread that Big Elk would go there before him, and would persecute his beloved, as he"
155,1846,-,-,-,-,-,"during the remainder of his life to watch over Big Elk, and guard him from danger, that he might not go to the"
340,1846,-,-,-,-,-,"Sad tidings awaited their return. Ong-pa-tonga, the Big Elk, chief of a neighbouring tribe, in revenge for some trifling affront,"
370,1846,-,-,-,-,-,! many a happy day have we two chased the elk and urus by the dark-wooded Danube; the same roof covered us; the
371,1846,-,-,-,-,-,"by their hands. From that time he followed Big Elk like his shadow; but always to do him service. At first,"
233,1849,-,-,-,-,-,"All around in the soft soil were the footprints of elk, deer, and the Rocky Mountain sheep; and the grizzly bear too"
460,1853,-,-,-,-,-,"his little Venice "" upon their banks, while the elk upheaved his proud neck like a monarch, and bounded away at the scream"
101,1854,-,-,-,-,-,", long ago, its funeral-peal. Where browsed the elk in other days, Fat herds in thymy meadows graze; Where the fanged"
37,1855,-,-,-,-,-,"the bank; their cheering music has ceased; the elk has kept the water for perhaps a quarter of a mile, or he"
56,1855,-,-,-,-,-,"eagerly winding the scent upon the circuitous route which the elk has made in grazing, Bluebeard would never waste his time in attempting to"
58,1855,-,-,-,-,-,"the hill. It was a bad look-out for the elk now; every hound knew that his master was close up, and they"
62,1855,-,-,-,-,-,"escape without assistance. Thus in years post, when elk were not followed up in this locality, the poor beast, being hard"
159,1855,-,-,-,-,-,"with the hunting-knife. I was out hunting in the Elk Plains, and having drawn several jungles blank, I ascended the mountains which"
179,1855,-,-,-,-,-,"spotted deer, are generally longer than those of the elk; they are also more slender and graceful. Altogether, the spotted deer"
205,1855,-,-,-,-,-,"at particular places; thus finally the deer, the elk, or even the lordly buffalo appears, and ere it has slaked its"
212,1855,-,-,-,-,-,"opened up by this single path, and should an elk play his old trick and be off across the Hog's Back to Fort"
219,1855,-,-,-,-,-,"length he neared the spot where I knew that the elk had landed, and we eagerly watched to see if he would pass the"
245,1855,-,-,-,-,-,"animals can have a larger proportion of marrow than the elk, as the bones are more hollow than those of most quadrupeds. This"
260,1855,-,-,-,-,-,"as good as gold. There was not a single elk track the whole of the way up the mountain, and upon arriving at"
292,1855,-,-,-,-,-,"! The pot held six gallons, and the whole elk, except a few steaks, was cut up and alternately boiled down in"
375,1855,-,-,-,-,-,", and by hurrying toward it, would head the elk him from his course. Up to the present time and turn they had"
392,1855,-,-,-,-,-,"understands the preparation of the skins; thus all the elk and deer hides are simply dried in the sun, and the hair soon"
404,1855,-,-,-,-,-,"to be ascended with the greatest difulty, and the elk lie in the forests on the summits and also in the narrow belts which"
425,1855,-,-,-,-,-,"down upon my scent. We were cutting up the elk, when we presently heard old Bluebeard's voice far away in the jungle"
441,1855,-,-,-,-,-,", all right, within a few paces. The elk was no longer in sight, and the roar of the water was so"
479,1855,-,-,-,-,-,"the hog, the leopard, the chetah, the elk, the red deer, the mouse deer, the hare, the otter"
111,1856,-,-,-,-,-,"sake, to take him on his back, the elk did so, and for some time he made good headway, but still"
160,1856,-,-,-,-,-,"him to get on, such a huge and lusty elk was he by his own request. Presently, as he dashed past an"
184,1856,-,-,-,-,-,"her, he must wish himself changed into a male elk. The transformation would take place immediately, when he must go to feeding"
286,1856,-,-,-,-,-,"caught her eye he must wish himself changed into an elk. The change would take place immediately, and he must go to feeding"
339,1856,-,-,-,-,-,"a land animal, to learn what passed in an elk's head as he roved about. He asked them if they could not"
5,1857,-,-,-,-,-,"them, as in a cultivated pasture. Deer, elk, and wild turkeys abounded. "" Nothing is wanted but cultivation, """
199,1857,-,-,-,-,-,"the middle of the sky, where deer, and elk, and bears never fail, and where the hunter is never tired,"
398,1857,-,-,-,-,-,"stream; good grass and water; no wood; elk killed by hunter. "" July 1. Smooth prairie extending to Shayenne River"
400,1858,-,-,-,-,-,"appendages. The head ornaments of the moose and the elk, equally with all the species, are rarely found in their most frequented"
70,1863,-,-,-,-,-,"'s sight -- and he'll be there at the elk with his big buck, no doubt. What shall I do? Ha"
402,1863,-,-,-,-,-,"your horse. Yonder's an elk. "" The elk was at a considerable distance beyond the opening in which the buffalo had been"
281,1864,-,-,-,-,-,"the lesser, but more useful animals, like the elk and deer, which have an equal right to live. And for this"
202,1866,-,-,-,-,-,"see that his "" Lake Glazier "" is identical with Elk Lake, of the Land Ofe plat, which is situated in township 143"
209,1869,-,-,-,-,-,"four hundred and seventy-eight clean beasts, -- oxen, elk, giraffes, camels, deer, antelope, sheep, goats, with"
171,1874,-,-,-,-,-,"snow, carrying snow-shoes and a little bag of ground elk meat and grass seed. Before night, I came upon and followed the"
177,1874,-,-,-,-,-,"began to fall, and Paquita did not return. Elk came down from the mountain towards spring, and we could shoot them from"
275,1874,-,-,-,-,-,"small stream, called Mulberry Creek which flows into the Elk River, in what is now Lincoln County. At the mouth of Mulberry"
280,1874,-,-,-,-,-,"were not to be found in the forest. An elk came out from the fringe of the wood, threw his antlers back on"
356,1874,-,-,-,-,-,"scared that he never saw them. We had three elk, and a bear; and we managed to git it home, then"
485,1874,-,-,-,-,-,"great crescent all around the upper rim. Here the elk would come to winter, she said; and hence we could never want"
81,1875,-,-,-,-,-,"it now! It was in the shape of an elk's head, with spreading, delicately wrought antlers. The eyes were formed"
310,1875,-,-,-,-,-,"of precious stones, and on the face of the elk were the Baron's initials inlaid in gold. "" The stem, I"
449,1875,-,-,-,-,-,"answered the boy. "" It may be that some elk or deer has been killed here. "" "" No, "" said the"
83,1878,-,-,-,-,-,"shedding their horns yearly, as do the deer, elk, etc., their antlers, it is considered an open question where antelope"
113,1879,-,-,-,-,-,"early morning, deer, bighorn, and the stately elk, come down to feed, and there, in the night, prowl"
120,1879,-,-,-,-,-,"and views of surpassing magnience, startled a herd of elk with uncouth heads and in the chase, which for some time was unsuccessful"
198,1879,-,-,-,-,-,"a creek, where you'll find a great many elk tracks; then go to your right and cross the creek three times,"
321,1879,-,-,-,-,-,"region for tourists and women, only for a few elk and bear hunters at times, and its unprofaned freshness gives me new life"
500,1879,-,-,-,-,-,"terms with grizzly and brown bears, mountain lions, elk, mountain sheep, spotted deer, wolves, lynxes, wild cats,"
3,1880,-,-,-,-,-,"he said: "" Jabel, don't speak to Elk about father. He is not as patient as he should be, and"
17,1880,-,-,-,-,-,"he was affected, as were they all. "" Elk MacNair, "" asked Jabel Blake, in his hard, incisive, positive"
41,1880,-,-,-,-,-,"have cost me a sight of money. There's Elk's sword and horse, and the schooling of both of you, and"
42,1880,-,-,-,-,-,"they were silent for a while. The face of Elk MacNair had been growing long during the whole afternoon, but with an assumed"
140,1880,-,-,-,-,-,"up here, Jabel, and ride! "" cried Elk. "" Remember that coal-hole, old man! "" "" No! no"
163,1880,-,-,-,-,-,". I think that staving cavalry brother of his'n, Elk MacNair, fixed his feed for him! "" They turned to look at"
208,1880,-,-,-,-,-,"the City of Washington. "" "" Dear me, Elk, "" said his brother, quietly; "" I don't presume to"
273,1880,-,-,-,-,-,"who came from the fishermen's town of Head of Elk, a few hours jog to the southward, to sell fish to the"
289,1880,-,-,-,-,-,a portage of only ten miles to the Head of Elk gave goods and passengers reshipment down the Chesapeake. This village declined only when
354,1880,-,-,-,-,-,"MacNair with the word, "" Arthur! "" "" Elk! "" And the brothers, legislator and soldier, stood contrasted as they"
427,1880,-,-,-,-,-,"to the claim. "" "" Kitty, "" said Elk MacNair, in a coarse whisper, "" my brother has broken my heart"
467,1880,-,-,-,-,-,"Brook, Dry Brook, Willewemack, Beaver Kill, Elk Bush Kill, Panther Kill, Neversink, Big Ingin, and Callikoon."
263,1882,-,-,-,-,-,"Peter Malin met with a shocking death to-day at the Elk Hill colliery while engaged in taking out coal pillars, a work commonly known"
287,1882,-,-,-,-,-,". The hairy mammoth, woolly-haired rhinoceros, the Irish elk, the musk-ox, the reindeer, the glutton, the lemming, etc."
391,1882,-,-,-,-,-,"in the hills, and the enormous antlers of the elk, which adorn the gable of every ranchman's cabin, testify to the"
176,1883,-,-,-,-,-,"and white satin bows and strings. The two little Elk girls, aged ten and twelve, were slender, dark-eyed, dark-haired,"
368,1883,-,-,-,-,-,", the home of her married sister, Mrs. William Elk, where she was staying at present; and Oldfield, the home of"
457,1883,-,-,-,-,-,"dancing -- to the foot. Odalite stood with Erna Elk on the right hand, and Mrs. Force with Melly Elk on the left"
192,1884,-,-,-,-,-,"us, in their branching nakedness, of the antlered elk, and in their gigantic unsightliness of the monstrous mastodon, that thing of"
40,1885,-,-,-,-,-,"came across a number of bands of co* and calf elk, or of young bulls; but after several days' hunting, we"
346,1885,-,-,-,-,-,"could but dimly make out the carcass of the great elk. It was useless to wait longer, and we clambered down and stole"
399,1885,-,-,-,-,-,we turned our steps toward where lay the second bull elk I had killed. It was quite late in the afternoon when we reached
164,1886,-,-,-,-,-,"several brace of quail and chicken, and quarters of elk were found, which the two Cree boys at once began to prepare."
59,1887,-,-,-,-,-,"of the broad, winding stream the Sioux call the Elk, a train of white-topped army-wagons is slowly crawling eastward. The October sun"
69,1887,-,-,-,-,-,"9 01/4 Woodshock "" 0 12 0 0 8 0 Elk "" 0 11 7 0 6 1 Deer "" 0 0 9 0 2"
122,1887,-,-,-,-,-,with admiration and respect. To stalk and shoot the elk and the grizzly bear is to him what wooing and winning a beloved maiden
195,1887,-,-,-,-,-,"The American bear and bison, the cimmaron and the elk, the wolf and the' coon -- where will they be a generation hence?"
246,1887,-,-,-,-,-,"by road through a level wooded country, or the Elk and Athabasca Rivers may be descended by water to Fort Assiniboin, whence to"
383,1887,-,-,-,-,-,"last they have been "" herded "" down to the Elk, have crossed, and are now seeking to make their way, with"
33,1889,-,-,-,-,-,"Colorado and Southern Wyoming there are still vast herds of elk and deer. The "" great continental deer trail "" passes through this region"
364,1889,-,-,-,-,-,"stepped up and deposited beside the rifles a necklace of elk teeth, to match which a Yakima deposited a large hunting - knife."
405,1889,-,-,-,-,-,"allowing similar causes to produce the same results with our elk, antelope, deer, moose, caribou, mountain sheep, mountain goat"
52,1891,-,-,-,-,-,"ranges and vast sheltering forests, the scattering bands of elk and deer fleeing from annihilation and the encroaching haunts of men. As soon"
65,1891,-,-,-,-,-,her clamorous babes to rest. By grassy mere the elk and deer gazed on the hunter as he came; Nor fled with fear
91,1891,-,-,-,-,-,"one of the most impossible sounds to imitate. Hunting elk, if I may be pardoned for * A spike-bull is a young elk"
