entry,year,genre,source,a,b,c,text
23,1824,FIC,RedwoodATaleVolume1,A,B,C,"  and the coffin was placed in the court-yard under the wide spreading branches of an elm tree. He then returned to the door, and in the tone of military"
43,1824,FIC,RedwoodATaleVolume2,A,B,C,"  casting her eye towards Deborah, who had halted under the broad shadow of an elm tree on the summit of the hill, she hurried forward. "" Can you"
50,1824,FIC,RedwoodATaleVolume2,A,B,C,"  brought her portfolio from an adjoining room, placed herself on a bench under the elm tree which grew a few yards from the door-step. She was just finishing a"
100,1824,FIC,RedwoodATaleVolume2,A,B,C,"  . I saw her that morning and the next sitting on that rock by the elm tree yonder, ladies; she had a pencil in her hand, and a"
44,1830,NF,EasyLessonsInPerspective,A,B,C,"  held horizontally across your eyCj) and the root is one third below. The elm tree e being nearer the spectator, its base approaches almost to the ground line"
63,1835,FIC,TalesSketches,A,B,C,"  was dead, and at Fanny's request, had been honourably interred beneath the elm tree, his favourite poste restante. Fanny had preserved the distinctive traits of her"
1,1842,FIC,ThreefoldDestiny,A,B,C,"  sunset, he roused himself to take a stroll, and, passing the aged elm tree, his eye was again caught by the semblance of a hand, pointing"
47,1847,FIC,Drunkard,A,B,C,"  you, Julia dear, bless you. Bill, do you remember the young elm tree, by the arbor in the garden? Wm. William Dowton Yes,"
36,1848,FIC,ThreeHours,A,B,C,"  or friend in heart, Remember, shouldst thou ever be Shadowed beneath that old Elm Tree, -- While visions of the Past float by, As' t were"
16,1851,FIC,TrueStoriesHistory,A,B,C,"  "" What was Liberty Tree? "" inquired Clara. "" It was an old elm tree, "" answered Grandfather, "" which stood near the corner of Essex street"
39,1851,FIC,FrankFanny,A,B,C,"  cottage, in which they lived. It was shaded in front by a large elm tree, that spread its arms far out over the moss-covered roof, as if"
91,1851,FIC,FrankFanny,A,B,C,"  full of fragrance, and the sunshine rippled down through the leaves of the old elm tree, falling in little golden waves of light upon the vines, that were"
22,1852,MAG,AmWhigRev,A,B,C,"  -I was making hay with my father, just where I now see a remaining elm tree, about the middle of the afternoon. The Hon Abiel Foster, M."
97,1855,FIC,MissingBride,A,B,C,"  a scream, Marian, dear -- what was it? "" Marian pointed to the old elm tree outside the cottage fence, under the shade of which stood the poor stroller"
46,1867,NF,OurCommonInsects,A,B,C,"  burn all that are much infested by the borers. "" Illustration: 101. Elm Tree Beetle. The Three-toothed Compsidea (Fig. 101), is a rather flat-bodied"
93,1867,NF,DrainingProfit,A,B,C,"  by roots. The stoppage was nevertheless repeated, and was then traced to an elm tree far more distant than those which had been sacrificed. Early in the autumn"
25,1868,NF,MythsNewWorld,A,B,C,"  who little foreboded the hand of iron that grasped their own so softly under the elm tree of Shackamaxon, to them the restless Shawnee, the gypsy of the wilderness"
18,1873,FIC,OldCountessThe,A,B,C,"  heavy bass voice pouring its low thunders through a strain of music. The great elm tree at the end of the house tossed its streaming branches, and beat them"
32,1874,FIC,IsabelLeicester,A,B,C,"  the old coaxing way, seating herself beside him on the seat round the old Elm tree. "" I was thinking of Grace, "" he replied "" you ca"
80,1875,FIC,RoseRoof-Tree,A,B,C,"  . And the moon hangs low in the elm. Oh, better at the elm tree's sun-browned feet If he had been content to let life fleet Its wonted"
3,1876,FIC,Ishmael InDepths,A,B,C,"  "" echoing Ishmael, reeling and supporting himself against the trunk of the bare old elm tree. "" It was most unexpected, sir; mist'ess sat up most all"
15,1876,FIC,Ishmael InDepths,A,B,C,"  CHAPTER L. CLAUDIA'S CITY HOME. How beautiful the mansion's throned Behind its elm tree's screen, With simple attic cornice crowned All graceful and serene. - - Anon"
27,1876,FIC,Ishmael InDepths,A,B,C,"  the darkness and the coolness of the night without. He leaned against the great elm tree on the lawn, and wiped the beaded sweat from his brow. """
38,1876,FIC,Ishmael InDepths,A,B,C,  woods bare. Miss Merlin no longer sat under the green shadows of the old elm tree; there were no green shadows there; the tree was stripped of its
65,1876,FIC,Ishmael InDepths,A,B,C,"  the happiness of sitting at her feet, under the green shadows of that old elm tree! The light touch of her soft fingers on his brow thrilled him to"
84,1876,FIC,Ishmael InDepths,A,B,C,"  Claudia. He still sat at her feet beneath the green shadows of the old elm tree, often reading to her while she worked her crochet; or strumming upon"
87,1876,FIC,Ishmael InDepths,A,B,C,"  , as she sat in her garden chair, under the shadow of the great elm tree, with a book of poetry or a piece of needlework in her hands"
61,1877,FIC,MinistersCharge,A,B,C,"  fretted under the kettle, and in the silence in which they waited, the elm tree that rose from the pavement outside seemed to look in consciously upon them."
96,1886,FIC,TracyPark,A,B,C,"  , and more than once I have sat with her on that seat under the elm tree, and it was there I asked her to be my wife. Alas"
29,1889,FIC,TwoFestivals,A,B,C,"  moaning over the fields and rushed against their dwelling, which, saving one old elm tree that bent its protecting branches over it, stood all alone, exposed to"
24,1892,FIC,PeaksIsland,A,B,C,"  you gathering flowers one day soon after you came here. There is a large elm tree down there, the only one near. The Indians are buried there all"
