entry,year,genre,source,a,b,c,text,
299,1820,NF,JournalsTwoExpeditions,A,B,C,  beauty. The soil on which they grew was a rich vegetable mould covered with fern trees Note: Alsophila australis of Brown. and small shrubs. We found that this,
576,1821,NF,VerminDestroyer,A,B,C,"  will fly into the flame, or be choaked. Or the smoke of burnt fern drives away gnats, serpents, and other venomous creatures. Or loose strife does",
194,1824,MAG,NorthAmRev,A,B,C,"  . The time of the koomera harvest is a season of dancing and festivity. Fern roots, wild celery, cresses, and a few other indigenous vegetables are used",
585,1827,FIC,BuccaneersARomance,A,B,C,"  crags and hoary rocks that rose from out the brown and reddish tufts of autumnal fern in vast masses, upon whose bare, bleak summits sudden and awful shadows dwelt",
900,1827,FIC,Poems,A,B,C,  ! -- and with it find A sprig of heather close entwined; And hardy fern that drank the dew Near cold Loch Katrine's mirror blue? -- -- Methinks,
161,1828,FIC,Fanshawe,A,B,C,"  could never discover a connected meaning. The grave, also, is overgrown with fern bushes, and sunk to a level with the surrounding soil. But the legend",
958,1830,FIC,ClarenceATaleOur,A,B,C,"  a warrior's plume -- now receding and sloping, and mantled with moss and fern, or sending out from their clefts, sturdy trees -- sylvan sentinels on nature",
455,1831,FIC,AmericanCommon-place,A,B,C,"  him the leaves of the ivy be shed. There shall they mix with the fern and the heather, There shall the young eagle shed its first feather, The",
113,1833,MAG,NorthAmRev,A,B,C,"  Highland outlaw; though his heart did not shrink, nor his arm wither like fern in the frost, when he lost sight of his native hills; the world",
104,1835,FIC,HawksHawk-Hollow,A,B,C,"  which he discovered himself treasuring away with such jealous care, the gift of withering fern, -- a bagatelle of compliment, which, he well knew, was only",
418,1835,FIC,TalesSketches,A,B,C,"  ground, And loveliness in all things living found; The gilded fly -- the fern upon the wall Were nature's works, and admirable all. "" "" Yet",
562,1835,FIC,Writings,A,B,C,"  race from quest of foes. Beneath, their screen the elders threw, And fern and bramble rankly grew; By simple nature wisely taught Such covert still the savage",
572,1835,FIC,TraitsAmerican,A,B,C,"  are nothing but huge piles of earth and rocks, covered with blighted firs and fern; the song has not named our streams -- they are only celebrated for affording",
