year,adjective,keyword,text
1921,adventurous,beetle,"grass and low bushes swished and rustled. an adventurous beetle, abroad before his time, blundered droning by their heads. from the"
2000,beautiful,antelope,"a prairie dog standing on its hind legs, a comical jackrabbit, a beautiful antelope, two mountain goats locked together in fierce battle, and a grizzly bear standing"
1902,beautiful,birch,"in the woods, the hunting of berries and grapes, the loads of beautiful birch and ash bark, the wild flowers that bloomed until frost came! and the"
1835,beautiful,butterfly,"dark purple wings, tipped with pale primrose color, and flew away a beautiful butterfly, such as the one i had been seduced by. the slips of grass"
1863,beautiful,butterfly,", to the same genus as our english species. in weedy places a beautiful butterfly, with eye-like spots on its wings was common, the junonia lavinia, the"
1867,beautiful,butterfly,"250. squash bug. in june, also, we have found that beautiful butterfly, militaea phaeton rising from the low, cold swamps. its larva transforms early"
1871,beautiful,butterfly,"they were its very life. but now that it is changed into a beautiful butterfly, it lives on the honey and exquisite perfume of flowers. if you offer"
1907,beautiful,butterfly,"child's eyes laughed softly... she moved tiptoe...""i saw a beautiful butterfly once!""she said. but the woman did not hear. she had"
1912,beautiful,butterfly,", my first papilio turnus. the yellow one was the largest, most beautiful butterfly i ever had seen. i was carrying them, one between each thumb and"
1912,beautiful,butterfly,"toe with a dock leaf and some grass? i've killed the most beautiful butterfly, and i know i won't be forgiven!""i opened my tightly"
1912,beautiful,butterfly,"n't do any good,""i wailed.""it was the most beautiful butterfly, and i've broken it all to pieces. it must have taken god"
1985,beautiful,butterfly,the last piece of felt and puts it on the board.) a beautiful butterfly. and that's the story of the very hungry worm. (annie stops
1993,beautiful,butterfly,"in seven days he turned into a...""#""a beautiful butterfly,""one of the girls chimes in. # not a bad metaphor,"
1841,beautiful,chestnut,"esq., at newton centre, is a venerable, though still vigorous and beautiful chestnut tree, the dimensions of which are believed to exceed any tree of the same"
1852,beautiful,dogwood,"out of witch-land; the cornus family, from beautiful dogwood a dozen feet high stretching over elizabeth's head, to little humble nameless"
1824,beautiful,lizard,"no other interruption than the rapid movement, now and then, of a beautiful lizard, which he has startled from basking in the sunshine. the still sea at"
1846,beautiful,lizard,"and weeping dryads threw mosses and green garlands over the decaying roots. a beautiful lizard, with bright metallic hues, glided about on the trees and temples of herculaneum"
1871,beautiful,lizard,"after some trouble, and saw, cowering down among the roots, a beautiful lizard; it had a greenish back, and its mouth and the sides of its"
1923,beautiful,lizard,"of diet by the natives, who persecute them ruthlessly. a large and beautiful lizard, common to all the mountainous countries of tropical africa, brings a bright touch"
1897,beautiful,ocelot,"kindred the royal tiger and the fatal leopard of the old world, the beautiful ocelot and splendid unconquerable jaguar of the new, is now rarely found in the atlantic"
1920,beautiful,oriole,"can hear the three happy children blowing the willow whistles, and maybe the beautiful oriole will answer back. good-night. seventh night mr. scarecrow under the big oak"
1839,beautiful,snake,"no attention, we were at length obliged to listen.""a most beautiful snake,""he declared,""was coming up to the back door."""
1928,big,basswood,"robin was perched in the very top of his big basswood tree singing his""sun-up""song. he looked very handsome in his"
1950,big,basswood,"she sat there listening to the soft wind in the big basswood. it stirred like something alive. it was immense and powerful, yet"
1920,big,birch,"mid-victorian way. disgusting!""cy bogart lay between the roots of a big birch, smoking his pipe and teasing fern, assuring her that a week from now"
