entry,year,genre,source,a,b,c,text
649,1814,FIC,LoversVows,A,B,C,"  but congenial minds should be united. I would not pair a nightingale with a finch; if you like each other, be it so; if not, here"
661,1822,MAG,NorthAmRev,A,B,C,"  with an admirable coolness, never suffering himself to be driven from his point. Finch, the solicitor-general, closed the prosecution. when Sydney attempted to add a few"
603,1827,FIC,BuccaneersARomance,A,B,C,"  situation, would act, if his temper be rightly judged, like the notorious Finch, the solicitor general of James the First, who, while public prosecutor against"
297,1828,MAG,NorthAmRev,A,B,C,"  observations of Lord Clarendon on this decision, and on the characters of Noy and Finch, principally in reference to the matter of the ship money, although too long"
15,1831,MAG,NorthAmRev,A,B,C,"  and are specially instructed by their patrons not to meddle with political concerns. Captain Finch was the hearer of a letter, dated January 20th, 1829, addressed to"
34,1831,MAG,NorthAmRev,A,B,C,"  this atrocity to their visiters, and mingled with their tears earnest entreaties that Captain Finch would use his endeavors to have the object of their affections and hopes restored to"
66,1831,MAG,NorthAmRev,A,B,C,"  what is glaring and fantastical. In a letter addressed by the missionaries to Captain Finch, on the improvements made in the islands in the course of ten years,"
111,1831,FIC,AmericanCommon-place,A,B,C,"  thrilling music of the forest birds. How rich the varied choir! The unquiet finch Calls from the distant hollows, and the wren Uttereth her sweet and mellow plaint"
188,1831,MAG,NorthAmRev,A,B,C,"  On the 4th of July he was transferred to the Vincennes, commanded by Captain Finch. The first night after sailing from Calino for the Washington group of Islands,"
260,1831,MAG,NorthAmRev,A,B,C,"  , when they were availing themselves of the assistance of the Government, through Captain Finch, to effect a settlement of their accounts with the chiefs, and obtain payment"
466,1831,MAG,NorthAmRev,A,B,C,"  reputation of the officers with whom he sailed, and all the proceedings of Captain Finch at the Polynesian islands, show that a better selection of a commanding officer for"
484,1831,MAG,NorthAmRev,A,B,C,"  , as much as possible, the impressions thus made upon their minds, Captain Finch resolved to treat the chiefs with respect. Passing near to Huahuka, the first"
646,1831,MAG,NorthAmRev,A,B,C,"  , and the voyage thence in the ship of war Vincennes, commanded by Captain Finch, to the South Sea Islands, and thence home by the way of Canton"
725,1831,MAG,NorthAmRev,A,B,C,"  exceedingly dissatisfied with this letter, and sent back a protest, of which Captain Finch was the bearer, which has not been published, but purports, as Mr."
905,1831,FIC,AmericanCommon-place,A,B,C,"  By the way-side a-weary. Through the trees The golden robin moves; the purple finch, That on wild cherry and red cedar feeds, -- A winter bird,"
234,1833,NF,ByOrderKing,A,B,C,"  comforted by its howl, the sheep by its wool, the forest by its finch, woman by her love, and the philosopher by his epiphonema. "" UTS"
170,1834,MAG,NewEngMag,A,B,C,"  of his time on board, and finished drawings of the murr, the new finch, and a gannet. On a sandy beach, near a ri*) pling"
638,1834,MAG,NewEngMag,A,B,C,"  found many species of birds, but only a single new one, -- a finch. There were numbers of murrs, seapigeons, velvet ducks, loons, eyder"
