entry,year,genre,source,a,b,c,text,
73,1822,-,-,-,-,-,"of opposition in public employments, and more particularly Mr Fox, whose conduct has not been more marked against my station in the empire",
104,1822,-,-,-,-,-,and more generous view of foreign politics is due to Fox; though his plan was not always bottomed an the most enlarged system of,
112,1822,-,-,-,-,-,"canoes being able to pass easily from it into the Fox river of Green Bay, but the navigation is interrupted in several places by",
363,1822,-,-,-,-,-,", of course, his political intercourse, with Mr Fox. Mr Fox was ten years older than Mr Pitt. He obtained a",
231,1823,-,-,-,-,-,"the time that I saw it practised upon the poor fox, by my uncle; and, if the truth must be told,",
74,1824,-,-,-,-,-,", bringing with him some skins of the beautiful grey fox of the Mississippi. "" Hobomok brought you fur for moccassins, "" said",
994,1825,-,-,-,-,-,"the vehement reasoning, or argumentative ridicule, of Mr Fox; but lie had more splendor, more imagery, and much more method",
291,1826,-,-,-,-,-,"north? Does not Renard mean to turn like a fox on his footsteps, and to carry to the rich and gray-headed Scotchman his",
585,1826,-,-,-,-,-,"the cunning of the hog (but none of the fox), and arms longer than the legs of the moose. With his",
351,1827,-,-,-,-,-,"in which he bore a part. At one which Fox called at Westminster, to apologise to his electors for his resignation, our",
754,1827,-,-,-,-,-,"Commons in his individual name. In his letter to Fox, accompanying it, he says, As long as memory remains to me",
779,1827,-,-,-,-,-,", that the speeches of Burke, Pitt, and Fox, on main questions, were generally three hours long. Some of those",
834,1827,-,-,-,-,-,"came to their ears the sharp barkings of the wild fox, and the deceptive screams of the wakeful lynx aping an infant perishing in",
939,1827,-,-,-,-,-,"Mullins -- grant you, he is of the true fox breed; while he takes venison, hide and tallow, he cares not",
910,1828,-,-,-,-,-,"heavy folds, edged with the fur of the silver fox, and fastened at the waist by a broad girdle, richly ornamented with",
359,1829,-,-,-,-,-,"between Catholic emancipation and revolution. The prophetic mind of Fox foretold it all, and much more; to him the abolition of the",
449,1829,-,-,-,-,-,"newspapers, a board exhibiting the royal game of "" fox and geese, "" and all the feminine apparatus of needle-work. On the",
117,1830,-,-,-,-,-,". He looked as if he felt much as a fox might be supposed to feel, who sees the trapdoor fall upon him,",
648,1830,-,-,-,-,-,"beauty, purified and perfected, according to the illustrious Fox, by the experience of a thousand years, in four and twenty-in the",
307,1832,-,-,-,-,-,"before the whites, who passed the portage of the Fox and Wisconsin rivers, with a human hand hanging on his breast. He",
712,1832,-,-,-,-,-,"too, "" said Harvey Riggs. "" For a fox that is hunted and runs away, May live to be hunted another day",
921,1832,-,-,-,-,-,"of Wales as Regent should be strictly limited; while Fox, the leader of the opposition, and who enjoyed the confidence of the",
85,1833,-,-,-,-,-,", as that of Luther or Calvin, Zwingle or Fox. They say, to be sure, that he is not their head",
160,1833,-,-,-,-,-,". They might as well pretend to say, that Fox, their founder, was imposing upon them a creed, when he wrote",
225,1833,-,-,-,-,-,"was better qualified to instruct in his day, than Fox and Barclay were in theirs, and that although he knew his conduct would",
315,1833,-,-,-,-,-," matre yulchrd filia pulchrior, -- and the remark of Fox will be confirmed, that the Constitution of the United States is no other",
636,1833,-,-,-,-,-,you do there pray? I might sleep -- Mr. Fox. Query -- Heigho! Nonsense. You have it in your power to,
643,1833,-,-,-,-,-,"the purpose of illustrating that question; and even Mr. Fox, whose partialities are by no means on the same side, has,",
215,1834,-,-,-,-,-,"stag and the antelope, circumvents the cunning of the fox and the beaver, and takes even the leviathan, "" as with a",
404,1834,-,-,-,-,-,". A buck had crossed between the dogs and the fox, and the former, contrary to their usual discipline and stanchness, broke",
409,1834,-,-,-,-,-,or seven Indians of Keokuk's band of Sac and Fox Indians who were not included in the war path under Black Hawk and other,
800,1834,-,-,-,-,-,"and he all the time looked as knowing as a fox. At last, says I, Uncle, what do you mean?",
107,1835,-,-,-,-,-,"that ever emulated the wolf in ferocity, or the fox in cunning, may have a son that, if properly trained, xvould",
188,1835,-,-,-,-,-,"in the same year, during the ministry of Mr. Fox and Lord Grenville, a bill was brought into parliament for abolishing the slave",
234,1835,-,-,-,-,-,"save that gentle being from the wiles of this old fox; and since I know the secret door, I will endeavour to profit",
309,1835,-,-,-,-,-,"; "" The bloodhound for ever! he has the fox in his mouth, I know by his growling! -- Hah, Befo",
508,1835,-,-,-,-,-,"such cold weather, just to hear dogs run a fox. "" It struck me, there was a good deal of sound philosophy",
510,1835,-,-,-,-,-,"cutting across and heading them. "" "" Eh-eh! Fox run twice round a field' fore Smooth-tooth cut across him, I know",
674,1835,-,-,-,-,-,were fastened at a corner of the house; a fox's bushy tail was nailed beneath them; and a huge black paw lay,
734,1835,-,-,-,-,-,", and conferred with him alone. "" The Swamp Fox is at hand -- not moving? "" "" He waits for Major Singleton",
32,1836,-,-,-,-,-,We do not understand the notes of birds. The fox and the deer run away from us; the bear and tiger rend us,
152,1836,-,-,-,-,-,"you think Andre daft or dighted, to set a fox to take care of his pullet. -- She would be in good hands,",
735,1836,-,-,-,-,-,"man is a lion, a cunning man is a fox, a firm man is a rock, a learned man is a torch",
781,1836,-,-,-,-,-,"confinement, looking for all the world like a bagged fox. Not even when he came in from his forced march to the Sac",
889,1836,-,-,-,-,-,"to be moved. He had been displeased with Mr. Fox in the earlier part of the voyage, considering him indolent and inactive;",
969,1836,-,-,-,-,-,"and her crew. Further search was made for Mr. Fox and his party, but with no better success, and they were at",
118,1837,-,-,-,-,-,"sooty, cross, black, gray, and red fox, and of the latter, the Mexican, the gray, red,",
251,1837,-,-,-,-,-,", came gently in, "" where he and Mr. Fox were sitting, at the hotel in Paris, "" advanced rapidly; and",
817,1837,-,-,-,-,-,"influence to do good. "" The visit of Mr. Fox and his friend to La Grange, is thus described -- "" The towers",
119,1838,-,-,-,-,-,"post of master of the mews and keeper of the fox hounds, being principal falconer and huntsman of the household. The second was",
747,1838,-,-,-,-,-,"this class of declaimers was once citing the remark of Fox, that he who caused two blades of grass to grow where but one",
51,1839,-,-,-,-,-,And smokes the Fox tobacco? And smokes the leathery Fox tobacco? Ha! Ha! Fox tobacco! And smokes the Fox tobacco,
513,1839,-,-,-,-,-,"by these sprigs of nobility? It takes an old fox to gammon me, and I've wintered and summered these fellows too long",
948,1839,-,-,-,-,-,"family. "" Wallenstein -- Wallenstein! "" cried the fox, starting to his feet. "" Retract that, Sir -- retract --",
937,1840,-,-,-,-,-,"horseman wore a cap of bear-skin, crested with a fox tail, a short blue jacket, faced with yellow, and profusely ornamented",
346,1841,-,-,-,-,-,"not that noble beast by any such comparison. The fox will better suit your purpose and performance. "" With a strong effort the",
412,1841,-,-,-,-,-,"; the Reformation, of Luther; Quakerism, of Fox; Methodism, of Wesley; Abolition, of Clarkson. Scipio, Milton",
666,1841,-,-,-,-,-,"easily traced. The "" transaction, "" as Mr. Fox daintily calls it, occasioned, not unnaturally, a strong feeling of resentment",
534,1842,-,-,-,-,-,"respectable advocates for a parliamentary reform in England, Mr. Fox, Mr. Erskine, Mr. Sheridan, Mr. Grey, &c.,; never proposed universal",
504,1843,-,-,-,-,-,"orator announce his text; hurrying away to hear Mr. Fox, the Unitarian clergyman's, firstly; the Rev. Mr. Melvill's,",
97,1845,-,-,-,-,-,"we have before alluded, were presented by Grenville and Fox, down to the very close of his long life, he never ceased",
177,1845,-,-,-,-,-,"of the convent bell was heard, "" and the fox and stag-hunter pursued their game; where Robin Hood and his merry men did",
243,1845,-,-,-,-,-,"anything bigger than a mink, or maybe a stray fox! Ah! I shall have a hard time after them very beavers,",
333,1845,-,-,-,-,-,"the old soldier an admirer of the peaceful disciples of Fox. Their disciplined habits, both of mind and body, had endowed them",
350,1845,-,-,-,-,-,"and conversion of John Weeks, reminding you of George Fox; there are Isabel, Dorothy, Triandaphelda Ada Hadlock, Sylvina Pottle,",
596,1845,-,-,-,-,-,". "" Your crotchets are always coming in like a fox into a hen-roost. "" "" I have work in hand that must be",
633,1845,-,-,-,-,-,"see you flinch. Your lips are white as a fox's -- you are sick, Chilion, you can't stand, let",
768,1845,-,-,-,-,-,"head of carrotty hair as rough and tangled as a fox's back. His aspect was a wondrous mixture of sneakingness and smartness,",
705,1846,-,-,-,-,-,"world. "" Earth careth for her own -- the fox lies down In her warm bosom, and it asks no more. The",
775,1848,-,-,-,-,-,1838. CONTENTS CHAPTER I. Origin of the Sac and Fox Indians -- Removal to Green Bay -- Their subjugation of the Illini confederacy --,
849,1848,-,-,-,-,-,"her. But by what other means could the old fox have got at the secret? "" Stay -- stay! "" at length",
531,1849,-,-,-,-,-,"approach a deer, or bear, or even a fox or turkey, which I had shot down, without first reloading my rifle",
863,1849,-,-,-,-,-,"drawing on paper, discovered, and perfected by Mr. Fox Talbot of England, is precisely in the same predicament, not only in",
80,1850,-,-,-,-,-,"powers in arresting suspicious persons. On this occasion, Fox made a stand for the ancient liberties of the people, raising his voice",
195,1850,-,-,-,-,-,"prey. There is little excitement in chasing a poor fox or deer, which is turned out of the tail of a cart at",
473,1850,-,-,-,-,-,"they walked up to the house. Illustration: THE FOX. At last the month of August rolled around, and the holidays drew",
509,1850,-,-,-,-,-,"be had it from the first Latin edition of "" Fox's Book of Martyrs, "" and that it was suppressed in the following",
795,1850,-,-,-,-,-,". The origin of this accusation was traced hack to Fox, who was a contemporary of Rogers. The account in "" The Cambridge",
344,1851,-,-,-,-,-,"direction at right angles to the magnetic meridians. Mr Fox, so well known in the scienti world, has long since shown,",
423,1851,-,-,-,-,-,"that electricity exists without it. 14th. When Lucas Fox sailed to discover the north-west passage to India, in 1631, he carried",
957,1851,-,-,-,-,-,", arid then die, as the Sweet William or Fox Glove, but which, with a little care in dividing the roots every",
33,1852,-,-,-,-,-,"I can not complain, But confess, though a fox, that I'm matched by a crane. "" MORAL. Cunning folks",
133,1852,-,-,-,-,-,"mine. "" "" Hey day! "" said the fox; "" Stop a bit, "" said the lion, "" I have",
493,1852,-,-,-,-,-,", the crowd never thinking that he was the hunted fox, but only one of the hounds in pursuit, eager to be """,
546,1852,-,-,-,-,-,"so vain and conceited, She would not by the fox quite so soon have been cheated; But perhaps the term biped to some",
848,1852,-,-,-,-,-,"whole skin were stuffed with straw. "" Illustration THE FOX AND THE VIZOR MASK. A fox while walking out one day, Into",
300,1854,-,-,-,-,-,. A hunter told me that he once saw a fox pursued by hounds burst out on to Walden when the ice was covered with,
765,1854,-,-,-,-,-,"the whistling winds that scourge the wold; The hardy fox is not a-foot, too wise To brave the bitter cold. Far in",
