entry,year,genre,source,a,b,c,text
1,1844,-,-,-,-,-,"'s, and Bridge of St. Anelo Paper Mulberry. Foxglove Plant. Great Bird of Paradise. Market Crni*s at Devizes. Giraffe* or"
2,1847,-,-,-,-,-,"I shall describe the fertilisation of one, the common foxglove, on account of the exceeding simplicity with which this object is effected,"
3,1847,-,-,-,-,-,thrown a flood of light. The pollen of the foxglove (Digitalis purpurea) is carried from one flower to another by the humble-bee
4,1847,-,-,-,-,-,". The racemes of purple bells held up by the foxglove are methodically visited by it, commencing at the bottom flower, and ascending"
5,1847,-,-,-,-,-,highest. The four stamens and the pistil of the foxglove are laid closely against the upper side of the flower. First a stamen
6,1847,-,-,-,-,-," page 127.) The open flower of the foxglove hangs downwards. The lower part, or dilated opening of the tube,
7	1847	-	-	-	-	-	the autumn of 1857 in North Wales, where the foxglove was very abundant, and watched the flowers throughout the season, but only
8	1851	-	-	-	-	-	white flowers; propagated by parting the roots. /z/ Foxglove. Digitalis; named? x fey Fuchs, from digitabulum, a thimble
9	1851	-	-	-	-	-	foliage of the shrubs. Digitalis ferruginea, or Iron-colored Foxglove; a hardy perennial, with brown flowers, from July to August;
10	1851	-	-	-	-	-	four feet high. Digitalis lutea, or Small Yellow Foxglove; a hardy perennial, with light yellow flowers, from July to August
11	1851	-	-	-	-	-	; two feet high. Digitalis ochroleuca. Great Yellow Foxglove. A hardy perennial, with large light yellow flowers, from July to
12	1851	-	-	-	-	-	; four feet high. /z/ Digitalis lanata, Woolly-flowered Foxglove, with white and brown flowers, from July to August; two feet
13	1851	-	-	-	-	-	in England, but hardly known here. /z/ American Foxglove. Gerardm; in honor of John Gerarde, the old English botanist.
14	1855	-	-	-	-	-	, in counting the rings in the inside of a foxglove flower, or in rescuing tadpoles stranded on the broad leaf of a water-lily
15	1859	-	-	-	-	-	him some henbane to quiet his brain, and some foxglove, which an imaginative French professor has called the  Opium of the Ileart"
16,1861,-,-,-,-,-,"of the 2646 Henbane, hemlock, nightshade, and foxglove 2664 Herbs, to dry for winter use 445 Powder of, for flavouring"
17,1861,-,-,-,-,-,"2663 Treatment after taking henbane hemlock, nightshade, or foxglove 2664 Polish tartlets 1320 Pomatum, an excellent 2256 Pork, carving 842 Cheese"
18,1861,-,-,-,-,-,"the seeds of nettles, and the seeds of the foxglove poison them. TURTLE SOUP (founded on M. Ude's Recipe)."
19,1863,-,-,-,-,-,"don't take two years to blossom, like this foxglove. "" He broke off one of the long purple bells, and stuck"
20,1871,-,-,-,-,-,"England favorites, -- bluebells, crocuses, primroses, foxglove, and other flowers which are cultivated in our gardens, and which had"
21,1881,-,-,-,-,-,dew that nestling dwelt Deep in the bottom of the foxglove's bells. There was no water. Beds of vanished streams Mocked him
22,1889,-,-,-,-,-,"you and me. Illustration: Mr. Herne as Reuben Foxglove in "" The Minute Men. "" See page 544. I quote a"
23,1889,-,-,-,-,-,"Hez' e? Illustration: Mrs. Herne as Dorothy Foxglove in "" The Minute Men. "" See page 544. Martin. Yes"
24,1890,-,-,-,-,-,". When landlords turn the drunken bee Out of the foxglove's door, When butterflies renounce their drams, I shall but drink the"
25,1891,-,-,-,-,-,"in which the child was bathed in a solution of foxglove as having actually occurred in Carnarvonshire in 1857, but he gives no authority"
26,1895,-,-,-,-,-,189094157. txt DUMB FOXGLOVE. ALL the golden October day we had been driving leisurely along through the
27,1895,-,-,-,-,-,"name, come to think of it, - dumb foxglove. For it's a good deal like the foxglove that grows in the"
28,1895,-,-,-,-,-,"foxglove. For it's a good deal like the foxglove that grows in the garden, you know, and it s the dumbest"
29,1895,-,-,-,-,-,s got after all. I never see that dumb foxglove that I don*t think of Colossy Bragg. She lived just down the road
30,1899,-,-,-,-,-,"House farn to look for a fresh bunch of dumb foxglove, - not easy to find in the open at this late date,"
31,1900,-,-,-,-,-,", marked off by variegated borders of flowering plants -- heartsease, foxglove, and the red-lidded eyes of scarlet poppies. Beyond the feathery green of"
