entry,year,genre,source,a,b,c,text
73,1818,-,-,-,-,-,"lightning. A contractioit in the limbs of a dead frog, which at another time might have been thought unworthy of notice, by"
486,1824,-,-,-,-,-,"forests, the wretched cabins and coarse fare, the frog concerts, and the terrible panic of James, who, for two hours"
436,1826,-,-,-,-,-,"poor brack Cato, dan de skunk ob de bull frog. Well, no motter, he in lub, I' speck,"
251,1834,-,-,-,-,-,", from the imminent danger of being speared like a frog; -- I have given him gentle words, as also praises for his"
401,1834,-,-,-,-,-,"swimming, can not have a better model than the frog. Bkatiog and Uorating. /q/ /z/ Sliding on the ice is an amusement,"
5,1835,-,-,-,-,-,", the Arkansas receives the waters of. Mulberry, Frog Rayon, Horse Head, Spadra, Petit Jean, Point Remove, Cadron"
142,1835,-,-,-,-,-,there is a constant repetition of the fable of the frog and the ox -- the wealthy cit endeavoring to equal the haughty splendors of
300,1835,-,-,-,-,-,"looks as wild out of the eyes as a squeezed frog; and that's no good sign. I remember me, Tom Loring"
135,1838,-,-,-,-,-,"see me, in mere sport, tear a live frog's hind-legs off? "" "" I -- I am. Art thou Pascalet"
305,1840,-,-,-,-,-,"Indies and was off to sea next day like a frog into a moat. Well, in about two hours I begun to feel"
80,1845,-,-,-,-,-,"transition which characterize the intermediate tribes of crustacea. The frog, for some time after its birth, is a fish with external gills"
373,1845,-,-,-,-,-,"by the gold threads as a pomel, and the frog leaped with her clear into the next morning, in her own little dark"
404,1845,-,-,-,-,-,disappear and give place to lungs when it becomes a frog. Similar transformations of the insect tribe are familiar to all. Imperfect or
431,1845,-,-,-,-,-,"tadpole becomes a frog, but the young of that frog are tadpoles; the worm becomes a winged insect, but the eggs of"
68,1847,-,-,-,-,-,"that unparalleled green and golden vest, like "" the frog who would a-wooing go? "" Green. Experience Green I know not how"
290,1848,-,-,-,-,-,"and distorted his mouth, until his face resembled a frog in the agonies of a galvanic spasm; and last of all, placing"
139,1849,-,-,-,-,-,"paid him, he told me to get a bull frog, and take a certain bone out of the frog, dry it,"
103,1851,-,-,-,-,-,"coasted on the Common, and sailed boats in the Frog Pond. I shall feel acquainted with him then. "" "" Well,"
375,1851,-,-,-,-,-,"highest, and whose little ship sailed fleetest on the Frog Pond. As for Emily, she repeated stories which she had learned from"
75,1852,-,-,-,-,-,"The rat half drowned resisted all he could. The frog, imaged the dinner he would make; Suddenly, flying from a neighboring"
208,1852,-,-,-,-,-,"you with pride inflate and swell, As did the frog: then who can tell! Your sides may crack, as has been"
396,1852,-,-,-,-,-,", fast days Are never kept. Now if the frog had acted as he ought, And had not tried to dine off the"
481,1852,-,-,-,-,-,"morn, And ne'er come out again. Illustration THE FROG AND THE RAT. He who another thinks to injure, May in the"
60,1854,-,-,-,-,-,"chairs, placed himself in the position of a pugilistic frog, and boldly defied his enemies to "" come on and be punched."
86,1854,-,-,-,-,-,"Was often made by quagmire low, That weight of frog could scarcely bear, Dotted with grass-tufts, coarse and spare: -- Unstirr"
456,1854,-,-,-,-,-,"with thy kindred frogs. I gaze upon thee, frog, and gaze in pity; A "" rus. in urb. "" they call"
146,1855,-,-,-,-,-,"it was a batrachian reptile, or one of the frog kind, yet Professor Owen considers that it must have been quite distinct from"
295,1855,-,-,-,-,-,"was so intently engaged in the pursuit of a large frog, that he had not heeded the uproar in the vicinity. "" Blue"
340,1855,-,-,-,-,-,", **26;240;TOOLONG, log, dog, hog, or frog, come out of a Concord bog. Cool, now -- cool!"
