entry,year,genre,source,a,b,c,text
92,1835,-,-,-,-,-,", the flower-girl distributed her violets embedded in leaves of geranium; the blind man touched his guitar, while an urchin beside him accompanied"
12,1839,-,-,-,-,-,"apples are something with us, -- or a geranium leaf at least. Now these offerings are so common among school-children, that"
26,1839,-,-,-,-,-,"the window-sill, and on the table, rose, geranium, and the delicate crimson cactus, are all so beautiful, that we"
85,1843,-,-,-,-,-,", "" said Grace James stooped down over Grace's geranium, and began to busy himself with pulling off all the dead leaves,"
97,1843,-,-,-,-,-,"cones of the cedar; And the pansy and bright geranium live not alone for beauty, Nor the waxen flower of the arbute,"
99,1843,-,-,-,-,-,"there was a little box by itself with one rose geranium in it, which seemed to look around the garden as much like a"
128,1843,-,-,-,-,-,"taste! "" "" Then why do you see the geranium or rose so carefully nursed in the old cracked teapot in the poorest room"
51,1845,-,-,-,-,-,"of June. The paiiited cup, moccasin flower and geranium come out; and there is more repose in the vegetable world than there"
80,1845,-,-,-,-,-,"above it, and two or three stems of the Geranium Maculatum droop gracefully over, looking with their meek pale eyes at the nestling"
196,1850,-,-,-,-,-,"and Joseph, don't you forget to water my geranium. "" "" No, "" said Joseph, "" and don't you"
31,1851,-,-,-,-,-,"off to good advantage with the brilliant scarlet of the geranium; they /z/ are. therefore, very appropriately planted together, and produce"
107,1851,-,-,-,-,-,Lucia rosea. This is a sport from the Scarlet Geranium. It blooms freely and abundantly in the open ground. It is a
198,1851,-,-,-,-,-,"a profusion of pink flowers in June. "" The Geranium angulatum, from its numerous flowers, is highly ornamental. It may be"
154,1852,-,-,-,-,-,"was rather a singular one, -- a brilliant scarlet geranium, and one single white japonica, with its glossy leaves. It was"
117,1853,-,-,-,-,-,"as we'd have! I know where the purple geranium grows; where the bright scarlet columbine blushes, and where the pale wax"
157,1855,-,-,-,-,-,The fire-place was nearly filled with a vase of brilliant geranium. On a triangular shelf in each angle of the room stood also a
84,1856,-,-,-,-,-,"something too solemn, "" why I selected the scarlet geranium for one of the blossoms of your bouquet? The first time I saw"
114,1856,-,-,-,-,-,"all shades of colouring, from the scarlet of the geranium to deep crimson and Tyrian purple. Oh! our poor faded tints of"
130,1856,-,-,-,-,-,"beauty. A single white rose, and a few geranium leaves in her hair, with a pearl and jet brooch, which fastened"
131,1856,-,-,-,-,-,"the most exquisite green-house plants, among which the scarlet geranium exhibited its glowing blossoms. She held it towards me, turned it like"
171,1856,-,-,-,-,-,"watching her as she picked the dead leaves off her geranium. "" Mother has told you, "" he said, at length."
27,1857,-,-,-,-,-,"nervous agitation she stood picking the withered leaves from a geranium, while she awaited her father's decision. Her cause was in safe"
192,1858,-,-,-,-,-,", as my establishment is comparatively new. A scarlet geranium and great lemon-colored artemisia are the present aristocracy; but my prime favorites are"
173,1862,-,-,-,-,-,"afternoon, when I was digging in aunt Mercy's geranium pots, and picking off the dead leaves, two deacons came to visit"
9,1863,-,-,-,-,-,"for all her life -- Faith couldn't smell heliotrope, and geranium, and orange flowers, without floating back, momentarily, into the dream"
