entry,year,genre,source,a,b,c,text
1,1821,NF,VerminDestroyer,A,B,C,"  , and exceed a flageolet, especially a linnet, bullfinch, robin, or goldfinch, &c.; And to teach jays, magpirs, starlings, parrots, &c.; Keep"
2,1831,MAG,NewEngMag,A,B,C,"  of us take a Fly-catcher for a Robin, and know no distinction between a Goldfinch, a Summersylvia, and a Red-start, which we may hear singing every day"
3,1831,MAG,NewEngMag,A,B,C,"  , and white at the breast. His note is much like that of a Goldfinch or Yellow-bird, and, among the thick foliage of the pines or walnuts,"
4,1832,MAG,NorthAmRev,A,B,C,"  knows, that the clear piping of the baltimore and the varied whistle of the goldfinch, are as pleasant to the ear, as their fine colors are to the"
5,1832,MAG,NorthAmRev,A,B,C,"  not that they should go: we are rather tempted to say to some poor goldfinch, which we occasionally see pale and starving in the dead of winter, as"
6,1833,NF,HistoryVegetable,A,B,C,"  and the ass or the zebra, or birds, as the cross of the goldfinch and canary-bird, are all barren: but the new varieties of plants, though"
7,1849,FIC,Kavanagh,A,B,C,"  ; but a young lady of noble mien, who was looking at an English goldfinch in a square cage with a portico, turned upon him, as he entered"
8,1856,FIC,MayBrooke,A,B,C,"  morning, "" he said, playfully. "" One more, Walter; my goldfinch is half-starved, and the mocking-bird is really on his dignity, because he has"
9,1872,FIC,Round-aboutRambles,A,B,C,  Dove The Swan The Goose that Led The Goose that Followed The Sensible Duck The Goldfinch The Magpie The Owl Morning Singers In a Well The Fraxinella A Company of Bears
10,1876,NF,WinterSunshine,A,B,C,"  or the rude contact of cattle, but it is oftener the work of the goldfinch with its complaining brood. The seed of the thistle is the proper food of"
11,1876,NF,WinterSunshine,A,B,C,"  . Fox, prairie. Fox, red. Fox, silver-gray or black. Goldfinch, American (Astragalinus tristis). Goose, domestic. Goose, wild or"
12,1880,FIC,RipVanWinkle,A,B,C,"  passage which said that he had seen me at Laura Keene's theatre, as Goldfinch, in Holcroft's comedy of "" The Road to Ruin, "" and that"
13,1880,NF,Wake-Robin,A,B,C,"  merry-hearted beau then as now? And the sparrow, the lark, and the goldfinch, birds that seem so indigenous to the open fields and so adverse to the"
14,1880,NF,Wake-Robin,A,B,C,"  listen. With me the cuckoo does not arrive till June; and often the goldfinch, the kingbird, the scarlet tanager delay their coming till then. In the"
15,1880,NF,Wake-Robin,A,B,C,"  at least suggested the notes of the robin, wren, catbird, high-hole, goldfinch, and song sparrow. The pip, pip, of the last is produced"
16,1880,NF,Wake-Robin,A,B,C,"  and the moth, is he pigeon hawk's pursuit of the sparrow or the goldfinch. It is a race of surprising speed and agility. It is a test"
17,1880,NF,Wake-Robin,A,B,C,"  a perfect ecstasy of song, -- clear, ringing, copious, rivaling the goldfinch's in vivacity, and the linnet's in melody. This strain is one"
18,1880,NF,Wake-Robin,A,B,C,"  not entirely blue; nor will the indigo-bird bear a close inspection, nor the goldfinch, nor the summer redbird. But the tanager loses nothing by a near view"
19,1880,NF,Wake-Robin,A,B,C,"  end. After two weeks of incubation the young are out. Excepting the American goldfinch, this bird builds later in the season than any other, -- its nest"
20,1880,NF,Wake-Robin,A,B,C,"  , in our northern climate, seldom being undertaken until July. As with the goldfinch, the reason is, probably, that suitable food for the young can not"
21,1880,NF,Wake-Robin,A,B,C,"  is a lisping, chattering, incoherent warble, now faintly reminding one of the goldfinch, now of a miniature catbird, then of a tiny yellow-hammer, having much"
22,1880,NF,Wake-Robin,A,B,C,"  as the redstart, the Maryland yellow-throat, the yellow warbler (not the common goldfinch, with black cap, and black wings and tail), the hooded warbler"
23,1880,NF,Wake-Robin,A,B,C,"  . Fox, gray, 43. Gnatcatcher, blue-gray (Polioptila caerulea). Goldfinch, American, OR yellow-bird (Astragalinus tristis). Grackle, purple. SEE"
24,1885,FIC,PoeticalWorks,A,B,C,"  speak to me! I have been listening so long, so long! The goldfinch round the linden winds his song: A spangled butterfly just flew this way,"
25,1885,FIC,PoeticalWorks,A,B,C,"  trumpet-note, loud on the gale. The buttercup's thanks for the sunshine The goldfinch's twitter reveals; And the violet trills, through the bluebird, Of the"
26,1886,FIC,Poems,A,B,C,"  past it sung To Grecian ears, when Poesy was young; Or the glad goldfinch tunes his tremulous throat, Or with a sudden chirp some linnet gray Darts up"
