entry,year,genre,source,a,b,c,text
96,1820,-,-,-,-,-,"Each Owl, you saw, was second-sighted, Each Goose a skilful politician, Each Ass a gifted met'physician, Could preach in wrath"
129,1821,-,-,-,-,-,"the best birdlime, well mixed and wrought together with goose grease, or capons grease, which being warmed, lime every twig therewith"
403,1821,-,-,-,-,-,"lower country were taken down, except the one at Goose creek, which seemed to be left by mutual consent of both armies,"
257,1827,-,-,-,-,-,"in the phrase of his trade, taken with his goose and thimble long stiches, and was snugly buttoned in his cellar pantry --"
46,1832,-,-,-,-,-,"character, "" said Ned, "" is like the goose in the fable; it lays golden eggs. "" "" And there is"
154,1833,-,-,-,-,-,"why to bring' em to the polls, you goose head: and away he went by me in a whisk. When he"
169,1833,-,-,-,-,-,"a rock, every stall a factory, and every goose a swan, sold tape which he imported on his own account, dabbled"
171,1833,-,-,-,-,-,"isn't done pretty soon, it'll be gone goose with us. These Jacksonites and Huntonites seem to have a majority in the"
218,1833,-,-,-,-,-,"they were agoing to make him swallow a whole live goose, feathers and all; and he begged of' em, if they"
346,1834,-,-,-,-,-,"had left growing in our fields. I touched the goose quill to this treaty, and was determined to live in peace. The"
375,1834,-,-,-,-,-,"in composed hatred, an opportunity to give me the goose.' Meditation raged high, as I observed these signiant and threatening appearances"
57,1835,-,-,-,-,-,"why the seal, the chamois, and the wild goose place sentinels? Why the bird, the beaver, the rabbit, the"
119,1835,-,-,-,-,-,"! I am not an eagle, but only a goose! -- Your optics are weak, and the weather is hazy -- And"
307,1835,-,-,-,-,-,"in agony. "" Mr. Philosopher, you are a goose. It is obvious that you have drawn your conclusions from your observations of"
481,1835,-,-,-,-,-,"moments he had determined upon his answer, and the Goose Creeker rejoiced to find it in the affirmative. "" It's a bargain"
451,1836,-,-,-,-,-,"rather have Harry's Bible. "" "" The more goose you, then -- my book cost twice as much as his Bible."
64,1837,-,-,-,-,-,"with the mistress of the mansion. "" What a goose the woman is! "" said Mrs. Oatley, as the door closed upon"
149,1837,-,-,-,-,-,". It is well to have both. If a goose is old it is useless to cook it, as when hard and tough"
355,1837,-,-,-,-,-,are sometimes made of goose giblets only. A CHRISTMAS GOOSE PIE. These pies are always made with a standing crust. Put into
404,1837,-,-,-,-,-,"a deep dish. Fill it with the pieces of goose, and the slices of tongue. Skim the gravy you have drawn from"
97,1838,-,-,-,-,-,"from the way he blurted open the door of the Goose and Gridiron, where he resides, and from the more unequivocal manner in"
113,1839,-,-,-,-,-,"the fox and shot pheasants in autumn, ate fat goose at Michaelmas, greeted the sirloin with shouts of Roast beef for ever complained"
215,1839,-,-,-,-,-,"I had stood on one foot as long as ever goose did, but no trace of the missing Broqua could I find, and"
28,1842,-,-,-,-,-,"of the black ducks, and sheldrakes, and that goose, anon. "" That's a lie, mister, that story you"
74,1842,-,-,-,-,-,What things are these? Boisdale A serpent and a goose. Lochiel What does he mean? The man has lost his wits.
