entry,year,genre,source,a,b,c,text
230,1828,-,-,-,-,-,"each new impulse chimes a feeble note. The russet grasshopper, at times, is heard, Snapping his many wings, as half"
174,1829,-,-,-,-,-,"the repast, with all the glee of turkeys in grasshopper time. On the subject of insects, I will take this opportunity of"
84,1831,-,-,-,-,-,"each new impulse chimes a feeble note. The russet grasshopper at times is heard, Snapping his many wings, as half he flies"
148,1831,-,-,-,-,-,"clung, And, chirping, from the ground the grasshopper upsprung. And from beneath the leaves, that kept them dry, Flew"
432,1832,-,-,-,-,-,"groves hushes one into silence. The chirp of the grasshopper, as he leaps in his short semi-circles along your path, has the"
459,1832,-,-,-,-,-,", and good wine warm the blood of an old grasshopper like me, and set him to chirping, if he can do nothing"
112,1833,-,-,-,-,-,resume. This grinding was like the cry of a grasshopper. An approaching squall is heralded by sudden gusts of wind. All at
340,1835,-,-,-,-,-,"man of many infirmities, and more fears. The grasshopper shall be a burden,' is a melancholy, but striking description,"
395,1835,-,-,-,-,-,been entirely at peace since that redoubtable war of the grasshopper set its inhabitants by the ears. It was settled by certain Yankees from
172,1836,-,-,-,-,-,"the fields of Acharn, on purpose to crush a grasshopper. "" "" You put yourself in a singular passion for such a harmless"
339,1836,-,-,-,-,-,nt't think she spoke ten words to-night without having a grasshopper for one of them. She is so proud of her pure Athenian blood
24,1838,-,-,-,-,-,"his knees, which were drawn up before him in grasshopper angles, and looked steadily at the blazing brushwood; "" in the dark"
480,1840,-,-,-,-,-,"less for him, now that desire fails and the grasshopper has become a burden and he must soon go to his long home?"
92,1841,-,-,-,-,-,. The Delaware women contended for the possession of the grasshopper on the ground that the Shawanoes possessed no privileges on that side of the
128,1841,-,-,-,-,-,". One of the Shawanoe children having caught a large grasshopper, a dispute arose with some of the Delaware children, in regard to"
165,1843,-,-,-,-,-,"lived, was forced to look as small as a grasshopper. From all these causes, a rebuke from Mr. Bobbylink was no less"
190,1843,-,-,-,-,-,"his Bible with all sobriety, when snap came a grasshopper through an open window, and alighted in the middle of the page."
203,1843,-,-,-,-,-,"night, standing on end, as lively as a grasshopper in the first line o' business. He had a ambition above rags"
217,1843,-,-,-,-,-,"at all, not as much as would convict a grasshopper of wearing pumps, I warrant you, if you'll keep your face"
292,1843,-,-,-,-,-,"he was deserted of all the world. The high-vaulting grasshopper was foremost, cutting all sorts of capers in the air; the solemn"
158,1845,-,-,-,-,-,"to the wind was 370 miles distant, a large grasshopper flew on board. More than once, when the ship was in the"
288,1845,-,-,-,-,-,light as air affect the sick strongly. The very grasshopper is a burden to them. It is with the mind of a sick
