entry,year,genre,source,a,b,c,text
13,1836,-,-,-,-,-," teaching young ideas how to shoot  -- not grouse and woodcock, but to shoot forth into scions of learning. He had"
23,1842,-,-,-,-,-," Audubon, in his Synopsis, calls the ruffed grouse  Partridge Pheasant, "" although he refers to it as being described under"
53,1842,-,-,-,-,-,"who was no ornithologist, confounded the bustard with the grouse, practically knowing neither. -- Editor's note. Otis,, is"
114,1842,-,-,-,-,-,"in the South -- while no less erroneously the ruffed grouse is termed a partridge in the Eastern and Middle, and a pheasant in"
161,1842,-,-,-,-,-,"consulted any of these authorities, and afterwards term a grouse "" partridge. "" Mr. C. has fully succeeded in placing his errors in"
165,1842,-,-,-,-,-,"edition, and contains the following definitions; Tetrao, Grouse; Perdix, Partridge; Coturnix, Quail; and Otis, Bustard;"
2,1845,-,-,-,-,-,"with. "" One woodcock and a brace of ruffed grouse! and Frank has marked down three-and-twenty quail into that rushy bottom yonder,"
44,1845,-,-,-,-,-,"better look out, or the Commodore's dog, Grouse, will eat him before morning -- mine will not quarrel with him,"
58,1845,-,-,-,-,-,"lightning to kill these beggars -- they are the ruffed grouse, though they call them partridge here -- see! are they not fine"
92,1845,-,-,-,-,-,". "" "" Then for a sartainty I'll shoot Grouse, and wallop Grouse's master, and that' ill be two d"
140,1845,-,-,-,-,-,"is infinitely bolder on the wing than the ruffed grouse, or New York partridge; while about snipe and woodcock there exists no"
143,1845,-,-,-,-,-,"rest, we counted up our spoil; four ruffed grouse, nineteen woodcock, with ten brace and a half of quail besides the"
170,1845,-,-,-,-,-,"consideration I rallied instantly, and became cool. The grouse had seen me, and wheeled diverse; one darting to the right,"
185,1845,-,-,-,-,-,", Harry? "" "" Ay! ay! Did Grouse flush him? "" "" Deliberately, at fifty yards off. I must"
196,1845,-,-,-,-,-,"who was just pocketing his first, a fine hen grouse. "" The other was the cock, "" said Frank, "" and"
42,1851,-,-,-,-,-,", in an aromatic grove of balsam firs. A grouse, the fruit of Sluiskin's rifle, broiled before the fire and impartially"
5,1859,-,-,-,-,-,"Tetrao intermedius, might prove a cross between the wood grouse, (Tetrao urogallus,) and the black cock, (Tetrao tetrix"
3,1861,-,-,-,-,-,"turkeys. GAME. -- Blackcock, buck venison, grouse, hares, partridges, pheasants. VEGETABLES. -- Artichokes, asparagus,"
52,1861,-,-,-,-,-,"wheatears, wild ducks. GAME. -- Leverets, grouse, blackcock. VEGETABLES. -- Artichokes, asparagus, beans, carrots,"
189,1862,-,-,-,-,-,"it was. And really, the brace of wood grouse he had shot that morning, not a hundred yards from camp, were"
35,1874,-,-,-,-,-,"with the homely plumage of his mate. THE PINNATED GROUSE, OR PRAIRIE HEN. On the open "" barrens, "" where a"
99,1874,-,-,-,-,-,". He may well be called the King of the grouse tribe. When stalking erect through the sage, he looks as large as"
158,1874,-,-,-,-,-,"but much louder. It is caused by the ruffed grouse, who, amusing himself by drumming, is little aware that it will"
