entry,year,genre,source,a,b,c,text
256,1817,-,-,-,-,-,"claim to reputat*on, than would be consistent with the hare d*liueation of // arguments, which are not his own, and for the"
470,1817,-,-,-,-,-,"follow it step by step. /z/ If the legislature hare a right to make war on the one hand, it is, on"
105,1823,-,-,-,-,-,"I cuddled up, under the bush, like a hare, squatting in her form. They affected not to see me, till"
454,1823,-,-,-,-,-,"much of it, as we should /z/ dare to hare expected, after a lapse of 2500 years, with a people without letters"
435,1827,-,-,-,-,-,"same indifference towards us, except the sheep and the hare -- each of which would disappear with the greatest swiftness. Here, too"
2,1828,-,-,-,-,-,Nor his bounding step on the trampled leaves. The hare goes up on that sunny hill -- And the footsteps of morning are not
361,1828,-,-,-,-,-,"of many of the strongest, noblest minds, who hare bequeathed to its glory all that was illustrious in humanity. So honoured,"
374,1828,-,-,-,-,-,", the rich as well as (/z/ the poor hare a fair claim, not only to the immediate products of their own labor"
131,1829,-,-,-,-,-,"must have mourned over his evil nature, and must hare acknowledged' his inability to merit heaven by his best observances: in a"
59,1830,-,-,-,-,-,"a penny gained;' and if ye'd all hare to it, especially yon gaylooking younkers, ye'd have mighty less need"
157,1832,-,-,-,-,-,"Dewees, Dickson, Dudley, Francis, Gibson, Hare, Henderson, Horner, Hosack, Jackson, Macneven, Mott, Mussey"
26,1834,-,-,-,-,-,"arms,' A dog, which is chasing a hare across a plain.' The object of M. Piroux is, chiefly,"
32,1835,-,-,-,-,-,"made on the senses; these, also, /z/ hare need of internal organs, when they do noC rranaia simple material impressions,"
162,1835,-,-,-,-,-,"Dewees, Dickson, Dudley, Francis, Gibson, Hare, Henderson, Horner, Hosack, Jackson, Macneven, Mott, Mussey"
186,1835,-,-,-,-,-,"'s Chemistry, by Hare. 2 vols. 8vo. Hare's Chemistry. 8vo. Horner's Practical Anatomy. 8vo. Horner's"
261,1835,-,-,-,-,-,I saw in a stubble. They called it a hare; I killed it with a stone; they made father pay money about
320,1835,-,-,-,-,-,"from digging their burrows. And why does not the hare, when pursued by the hounds, feel the urgent necessity of seeking an"
500,1835,-,-,-,-,-,"of Blood. 8vo. Henry's Chemistry, by Hare. 2 vols. 8vo. Hare's Chemistry. 8vo. Horner's Practical"
139,1837,-,-,-,-,-,"any clear gravy soup, you may cut up the hare, season it as above, and put it into a jug or jar"
159,1837,-,-,-,-,-,"the shells. TO ROAST A HARE. If a hare is old do not roast it, but make soup of it. Wash"
168,1837,-,-,-,-,-,". Send it to table with the pieces of the hare in the soup. When hare soup is made in this last manner,"
175,1837,-,-,-,-,-,"and are much reduced in numbers. The Copper, Hare, and Dog-rib Indians, occupy the country north of Great Bear Lake;"
182,1837,-,-,-,-,-,"leaves from the stalks, and chop them fine. Hare ready some melted butter, and stir in the parsley. Allow two small"
244,1837,-,-,-,-,-,"send it to table with the meat in it. HARE OR RABBIT SOUP. Take a large newly killed hare, or two rabbits"
399,1837,-,-,-,-,-,"the pieces of the hare in the soup. When hare soup is made in this last manner, omit using the blood. MULLAGATAWNY"
490,1837,-,-,-,-,-,", (which adds much to the flavour of the hare,) and strain it through a sieve. Put the pieces into a"
199,1838,-,-,-,-,-,"able to discover the rationale of the process. Professor Hare, however, has laid the matter open, by shewing that the outstanding"
251,1838,-,-,-,-,-,"right to expect that a thing which calls itself a hare, should not be a cat. But, alas! it is the"
432,1838,-,-,-,-,-,"rest of the world in practical information, but Professor Hare is evidently fifty years in advance of the present generation. Take his initial"
230,1841,-,-,-,-,-,"on us would be trifling. The fable of the hare, that was much frightened at the first sight of the lion, but"
439,1842,-,-,-,-,-,"Many of our descriptive writers remind us of what Julius Hare says of a certain school of English poets, now passed away. """
76,1843,-,-,-,-,-,"she wishes to accustom the minds of children, who hare a taste for their cultivation, to a habit of examination and reflection."
188,1843,-,-,-,-,-,of getting possession of him. But the poor little hare's fate seemed likely to be a less happy one than to be folded
208,1843,-,-,-,-,-,"d! you're as mad as a March hare, "" said White. "" But you don't mean to abandon the"
306,1843,-,-,-,-,-,"branch to branch joyous and free, and the timid hare found there a secure retreat from the roaming hound or the heartless gunner;"
328,1844,-,-,-,-,-,"cat, an animal like a weasel, a small hare, and a huge species of the edentata. Both of these places are"
51,1845,-,-,-,-,-,; for the rifle and the activity of the settlers hare driven them to other haunts. To this change (which in some particulars
177,1845,-,-,-,-,-,"limits, or to overtask, or to refuse slaves hare light. This shows the wretchedness, nay the absolute desperation in which slaveholders"
268,1845,-,-,-,-,-,"leaves, making provision for the winter; and the hare whom he often meets, skips by him, half in sport half in"
232,1846,-,-,-,-,-,"of the chase, that he caught one poor little hare, and hid it in the sleeve of his coat, to save it"
71,1847,-,-,-,-,-,"get loose. They are about the size of a hare, with a taper snout, strong tusks, a thick hairy coat,"
271,1847,-,-,-,-,-,"felt, and all I saw. And as a hare, whom hounds and horns pursue, Pants to the place from whence at"
443,1847,-,-,-,-,-,"she now came home -- home, like the hunted hare to her form, like the wounded bird to her nest -- she now"
401,1848,-,-,-,-,-,", for various reasons. I confess, whilst I hare great cardinal principles which will regulate my political ljfe, I am not sufiently"
463,1848,-,-,-,-,-,"but they may all be condensed in this "" I hare resoired to go no step alone. I consecrate to Jesus my time,"
11,1849,-,-,-,-,-,", fiercely rattling and hissing at us; a gray hare, double the size of those in New England, leaped up from the"
293,1850,-,-,-,-,-,"a spring-gun, arid for a peasant to kill the hare which poached on his beans without expiating his offence on the gallows; extend"
1,1852,-,-,-,-,-,"So at last this slow walker came up with the hare, And there fast asleep did he spy her; And he cunningly crept"
192,1852,-,-,-,-,-,"Illustration Illustration THE HARE AND THE TORTOISE. Said a hare to a tortoise, "" Good sir, what a while You have been"
300,1852,-,-,-,-,-,", Pay more than it demands. Illustration Illustration THE HARE AND THE TORTOISE. Said a hare to a tortoise, "" Good sir"
387,1852,-,-,-,-,-,"thy kind. "" Illustration Illustration THE SPARROW AND THE HARE. Who dares another's ills deride, Had best against his own provide"
343,1854,-,-,-,-,-,"'s feet as he coursed along the road. A hare, now and then, skipping along the hedges, was the only animate"
52,1855,-,-,-,-,-,", the red deer, the mouse deer, the hare, the otter, the jackal, the civet cat, the mongoose and"
96,1855,-,-,-,-,-,"and worth all the rest put together), the Hare and the Thirlwall s translation of Niebuhr s History of Rome. There is"
238,1855,-,-,-,-,-,"all the East, and very talk ative, Mr. Hare, Mr. Dodwell, and your humble servant, to which lately vo add"
263,1855,-,-,-,-,-,"Megatherium, Glyptodon, Hyena, Ursus, Weasel, Hare, Rabbit, Water Rat, Mouse, Dasyurus, Halmaturus, Kangaroo,"
5,1856,-,-,-,-,-,"unkennel you. If I do not show the sitting hare in a fortnight, by the course of the hunter, tell me I"
133,1856,-,-,-,-,-,"There was not a drop left by the time the hare and the martin appeared on the shore of the lake, and they are"
430,1856,-,-,-,-,-,"CHIPPEWA FABLE. A lynx almost famished, met a hare one day in the woods, in the winter season, when food was"
437,1856,-,-,-,-,-,"be capable of description. When the Great Sacred White Hare of Heaven, the Manabozho of the Algrics, and Hiawatha of the Iroquois"
499,1856,-,-,-,-,-,"his wedding day? "" "" Mad as a march hare, "" cried Stefano. "" Mark me, "" said Antonio. """
416,1857,-,-,-,-,-,"of them out as easily as a hound doth the hare, "" said Endicott, after the lady had retired. "" Beyond a"
104,1858,-,-,-,-,-,"Fawcett, published in 1860, and entitled "" Mr. Hare's Reform Bill simplified and explained. "" This last is a very clear"
196,1858,-,-,-,-,-,"sport. For the sake of hunting the boar and hare, With uproar of horns and cries, They put out the fire from"
398,1858,-,-,-,-,-,this evil the system of personal representation proposed by Mr. Hare is almost a speci. The minority of instructed minds scattered through the local
19,1861,-,-,-,-,-,", the 263 Ham, boiled 811 To carve 843 Hare, the common 170, 1027 Roast 1027 "" to carve a 1056 Herring"
275,1861,-,-,-,-,-,"1140 Potted beef 642-3 Chicken or fowl 930 Ham 815 Hare 1028 Partridge 1037 Shrimps 312 Veal 899 Poulet, a la Marengo 949 Aux"
486,1861,-,-,-,-,-,"of water. Mode. -- Skin and paunch the hare, saving the liver and as much blood as possible. Cut it in"
46,1862,-,-,-,-,-,", like arrows of fire, the words, You hare been the cause of all this; oh, why did you not'"
200,1862,-,-,-,-,-,"fauteuil opposite.) ALISA. My Lord, I hare great need to speak with thee. (The BISHOP lays his book on"
211,1862,-,-,-,-,-,"man can comprehend. "" "" Mad as a March hare, "" contemptuously muttered the doctor. His reverend friend gave him a look"
12,1863,-,-,-,-,-,intermediate in size and appearance between a hog and a hare. My first shot did not take effect; the animal dived into the
141,1863,-,-,-,-,-,"hedgehog, squirrel, field-mouse (Mus sylvaticus), hare, beaver, hog (comprising two races, namely, the wild boar"
149,1863,-,-,-,-,-,better dressed than any soldiers of the rebel army that hare been within our lines for a long time. They represent affairs in a
487,1864,-,-,-,-,-,and Judge Sharswood denied it. Only the opinions of Hare and Sharswood have been printed. Both of these gentlemen are known to the
81,1866,-,-,-,-,-,", be conipelled to tell how long, if a hare has the start of a dog, but does not run quite so fast"
84,1866,-,-,-,-,-,"been hard at work -- I know not whether on Hare or Burke -- But the noose on each neck had been deftly twined,"
248,1866,-,-,-,-,-,"aboosed him. I laft at him for partin his hare in the middle; I accoosed him uv being a Cathlic, and uv"
446,1866,-,-,-,-,-,"Paul. Cipher will be as mad as a March hare. I'll make the old door rattle, "" said Hans. Rap"
9,1867,-,-,-,-,-,"that each placed himself in his furrow, and the hare counted one, two, three! and away he went like a storm"
15,1867,-,-,-,-,-,"reflect the popular sentiment. In so far as Mr. Hare's plan // would make the representative system more symmetrical, make congresses and"
57,1867,-,-,-,-,-,"Patty, who, having no more heart that a hare, is not near such a powerful protector as Growler. "" And,"
73,1867,-,-,-,-,-,"it votes by districts? Because, according to Mr. Hare, the minority, being always fully represented, instead of, as now"
120,1867,-,-,-,-,-,"long acre yonder will we run our races. The hare runs in one furrow and I in another, and we begin to run"
135,1867,-,-,-,-,-,"of Representatives Parliamentary and Municipal. A Treatise by THOMAS HARE, ESQ. Third Edition. London: Longman. 1865. THE constant"
185,1867,-,-,-,-,-,"country // is lodged. The very arguments which Mr. Hare brings forward to show the necessity of his plan, and the dreadful consequences"
221,1867,-,-,-,-,-,"furrow. When he got to the upper end the hare was already there. "" Can we start? "" said the hare."
223,1867,-,-,-,-,-,"restored the electoral divisions, to what tribunal would Mr. Hare have his minority apply for redress? Or suppose another division of society,"
241,1867,-,-,-,-,-,"combination of both. Mr. Calhoun, who is Mr. Hare's great authority on the tenden*ies of democracy, and nine out of ten"
252,1867,-,-,-,-,-,"imposed by the constitution. "" Now how does Mr. Hare propose to meet this difulty? Simply by giving the minority a full representation"
274,1867,-,-,-,-,-,"chance of his representing anybody at all. Uiider Mr. Hare's system, how*. ever, anybody in any part of the State or"
291,1867,-,-,-,-,-,"charge the enemy; but it is only an old hare that has jumped up, and the whole brigade is hot upon the trail"
294,1867,-,-,-,-,-,the sight of the soldier or the appearance of a hare being alone adequate to arouse this tremendous excitement. From the day of Cold
305,1867,-,-,-,-,-,"' not Oliver Fuzzy. For all of which old Hare, the Gov., allows me a miserable sal., when we are playing"
336,1867,-,-,-,-,-,"on reading this passage, naturally ask on what Mr. Hare bases the supposition that the two parties will behave under any circumstances in the"
337,1867,-,-,-,-,-,"at the stake and on the scaffold. On Mr. Hare's theory, the only hope for this unfortunate class would have lain in"
364,1867,-,-,-,-,-,"How canst thou wish to run a race with the hare? "" "" Hold thy mouth, wife, "" said the hedgehog,"
391,1867,-,-,-,-,-,"the sanction of the majority. But according to Mr. Hare and those who agree with him, the sanction of the majority could not"
397,1867,-,-,-,-,-,"just as well off under our system as under Mr. Hare's. In the first, Mr. Hare can add nothing to the defences"
