entry,year,genre,source,a,b,c,text
21,1810,-,-,-,-,-,", and let motley opinion envelop it, like a Harlequin's jacket, I still keep my ground, and pronounce you a romantic"
112,1826,-,-,-,-,-,"dress himself in a cap and bells or act the harlequin in the halls of justice, and the dignity of the judge will be"
193,1827,-,-,-,-,-,"You will hardly gain admittance to the fort in that harlequin dress, "" said Hector; "" and I can save you the trouble"
129,1831,-,-,-,-,-,ever talked sentiment this side of the third bottle. Harlequin's playing Hamlet would not be so wild an incongruity as such a man
135,1833,-,-,-,-,-,"your cabbagings, fit to be the Old One's harlequin, for another such piece as this, "" said Sam, letting it"
175,1833,-,-,-,-,-,"of his countrymen, particularly the Neapolitans. As for Harlequin his origin is not known, but it is generally believed that France was"
192,1833,-,-,-,-,-,Florian assigns the north of Italy as the country where Harlequin first made his appearance. -- - TroiuZa/ar. // the disposal of provisions is
31,1835,-,-,-,-,-,", heaven! Palmer's weeds, and the many-coloured harlequin -- I shall not forget; and both on the blood-track after him."
60,1835,-,-,-,-,-,"he. "" Beware the harlequin. "" "" The harlequin? There are twenty. "" "" Then avoid them all -- and the"
170,1835,-,-,-,-,-,"forgot the caution he had so singularly received respecting the harlequin; and, after wrapping around him a heavy black mantle which he had"
178,1835,-,-,-,-,-,"mistaken. "" A glitter from the mask of the harlequin showed the flash of fiery eyes. "" It is well. "" """
186,1835,-,-,-,-,-,"the very air is full of mysteries. A gay harlequin and one in palmer's weeds met. "" Hist! Speak! """
145,1838,-,-,-,-,-,"You may have a stage if you love to play harlequin, or a greasy pole if you wish to climb for a prize at"
101,1839,-,-,-,-,-,"causes. 7lvThat a contrast does it present to that harlequin compound, which passes under the name of History, by Carlyle; in"
125,1843,-,-,-,-,-,"or behind some pillar close at hand. As to Harlequin and Columbine, I discovered immediately that they lodged (they are always looking"
147,1843,-,-,-,-,-,"in fantastical apparel; no celestial Dutchmen; no well-breeched harlequin; no valorous chieftains, with black cocked hats, made of wind,"
169,1843,-,-,-,-,-,"an image of the Saviour, dressed up in a harlequin's fantastic costume, with cap and bells!' I remember it,"
18,1845,-,-,-,-,-,", and rose to life; Religion cast aside her Harlequin robes. Margaret ever courted alliance with an imperishable Nature. The sentiments of"
43,1845,-,-,-,-,-,"the finest part of the whole. You would banish Harlequin from the play, like some other good moral people! Go to,"
134,1846,-,-,-,-,-,"display of grimaces and contortions, which are more like Harlequin's exploits at still-vaulting than the graceful movements of a well-bred man, unless"
86,1847,-,-,-,-,-,"but several that I saw were killed through the large Harlequin beetle (Acrocinus longimanus) laying its eggs in the cuts, and the"
195,1849,-,-,-,-,-,"had arrayed himself in as many patches and colors as harlequin, and there was as fierce a contention of claimants about him, as"
26,1854,-,-,-,-,-,"was a clown in full circus costume, accompanied by Harlequin in his glittering shape-dress. We sadly longed for a sprightly Columbine; but"
126,1854,-,-,-,-,-,"up with a sudden change of countenance, like a harlequin. "" I was interested, "" replied Martin. "" And the lecture"
9,1856,-,-,-,-,-,". Outside, the king of Naples, dressed as Harlequin, plays the organ for instruction of the bird (unhappy penitent, doomed"
54,1862,-,-,-,-,-,"when he attempts to lead us. Wise is a harlequin; we let him dance because he is good at it, and it"
15,1863,-,-,-,-,-,Enter a Musician playing a dancing tune. Harlequin. Harlequin I'll try The dancing lesson which one of my cloth -- Who never
40,1863,-,-,-,-,-,our sport! Hast thou no manners? Harlequin. Harlequin Manners! what are they? 1st Tradesman. 1st Tradesman I'll teach
44,1863,-,-,-,-,-,"1st Tradesman I'd rather beat you! Harlequin. Harlequin Is that manners, too? 1st Tradesman. 1st Tradesman Manners? You"
50,1863,-,-,-,-,-,"'ll teach you manners gratis. Fool dances fantastically. Harlequin. Harlequin There, Master Manners, beat that, if you can!"
55,1863,-,-,-,-,-,'ve long enough been played by fools. Following. Harlequin. Harlequin Crying after them. You both mean that you've been enough
63,1863,-,-,-,-,-,"is no time. Immortal man, to play the harlequin. If Nero fiddled while his empire blazed, I do not choose to"
79,1863,-,-,-,-,-,"you manners gratis. Fool dances fantastically. Harlequin. Harlequin There, Master Manners, beat that, if you can! 1st Tradesman"
96,1863,-,-,-,-,-,"I'll teach thee, fool! Kicking him. Harlequin. Harlequin I'f that's what ye call manners, I never learned'"
116,1863,-,-,-,-,-,"! Approaching, as to strike him. Harlequin. Harlequin Definitely, protected by the crowd. Hold on! blaspheme not so my"
118,1863,-,-,-,-,-,"new fortunes making. 1st Tradesman. 1st Tradesman To Harlequin. Begone, clown! how dar'st meddle with our sport! Hast thou"
25,1867,-,-,-,-,-,"not only, alas! smiles; for some fiendish harlequin in the crowd had ripped a small aperture in the pyramid which adorned Egypt"
95,1867,-,-,-,-,-,"young person as Jacques Strop to Robert Macaire, or Harlequin to Columbine. Another thing to which he was addicted, and which slightly"
123,1867,-,-,-,-,-,", it being already of exceeding sharp terminus, the harlequin there is tying, unbeknown to Seor Devil, a copy of Brownlow's"
94,1868,-,-,-,-,-,", -- the juggler's cups and balls, or Harlequin's spangled dress; the quiet landsman wonders at the gigantic ice-saws, at"
35,1869,-,-,-,-,-,"Yes; it reduces me to the level of a harlequin, to be laughed with, and laughed at. Who are my friends"
172,1869,-,-,-,-,-,"Jack's fame that a pantomime entertainment, called "" Harlequin Jack Sheppard, "" was devised by one Thurmond, and brought out with"
142,1872,-,-,-,-,-,"Ages; the pope's Swiss guard in the showy harlequin uniform designed by Michael Angelo; the foot-soldiers in white short-clothes, which threatened"
164,1873,-,-,-,-,-,"or interest to such a grinning, polking, hyperbolical harlequin. He did not know how far the excitement of a debated conquest may"
61,1874,-,-,-,-,-,", Hall stands out with smirk and eye-glass, the harlequin trickster of the gang; careless of money, but with a craving for"
103,1875,-,-,-,-,-," The narrative was a masterpiece of that rowdy, harlequin fun which does us such credit abroad as  American humor. "" It"
137,1875,-,-,-,-,-,"laughed at Speaker, as they did at the harlequin tricks of the New-Hampshire Democrats, and the rabble rout of the Connecticut Democracy"
53,1881,-,-,-,-,-,'s how I got such good bargains. Shows a harlequin with a string to make it jump. Jes' look at thet now
28,1882,-,-,-,-,-,"of the morn; The squirrel -- that quaint sylvan harlequin -- Mounts the tall trunks; while swift as lightning, born Of summer"
24,1883,-,-,-,-,-,"work with man -- Why death must caper like a harlequin! Cor. Alonso Coronel Ay, how I long to have my iron"
127,1883,-,-,-,-,-,"States ofer ought to be ashamed to make a damned harlequin of himself, sir. I'd have you to understand that most distinctly"
171,1883,-,-,-,-,-,"of Juana. Gods! I am both minister and harlequin, -- Head to the state, and jester to the court! Did"
2,1884,-,-,-,-,-,"vaulted a high-wired fence, with the ease of a harlequin, and took his way across a meadow toward the river. "" Tra-la"
176,1884,-,-,-,-,-,". "" His manner of speech seemed a sort of harlequin patchwork from the bad English of many sections, the outcome of a humorous"
109,1886,-,-,-,-,-,"With ancient, resurrected joke, Or ready wit of harlequin; Where children, free from discipline, Take on Diversion's easy yoke"
59,1887,-,-,-,-,-,"Hawthorne complained that Transformation "" gives one the idea of Harlequin in a pantomime. "" Under either name, however, the book was"
7,1893,-,-,-,-,-,Olivier was not severe upon him. Custom made his harlequin antics a matter of course; though Indians still paused opposite his shop and
12,1893,-,-,-,-,-,"the great trade of this mad masquerade, Like a harlequin's prance or a dervish's dance! For we hunt, for we"
13,1898,-,-,-,-,-,"keen they almost sting the onlooker, and the acrobatic harlequin gyrating show he makes of himself turns one giddy to see. The gray"
67,1900,-,-,-,-,-,", Bartlett has built with rich harmony. The "" Harlequin "" is graceful and cheery. It ends with Rubinstein' s sign and"
107,1902,-,-,-,-,-,"! And, alas, alas! for the brave harlequin! A gentle touch fell upon her shoulder, and Miss Betty sprang to"
1,1904,-,-,-,-,-,and dress us up in the parti-colored robes of a harlequin for the nations of the world to laugh at. And after all the
93,1910,-,-,-,-,-,"Rebellion "" shows a man in the motley of a harlequin coaxing a rebellious monkey behind the scenes of a circus to do his part"
27,1914,-,-,-,-,-,"and periwinkle. I fear the enumeration gives but a harlequin effect; but the fault of that is surely mine, for the result"
73,1914,-,-,-,-,-,and they join in shouts of applause as each new harlequin steps upon the stage. They forget that it is as dangerous to praise
188,1919,-,-,-,-,-,"the spectacle of being forced to hop about like a harlequin, at the mercy of a stranger, and on his own land."
3,1920,-,-,-,-,-,grandmother. COLUMBINE What's the matter with them? HARLEQUIN I shall have to buy you an entirely new trousseau! p. 24 COLUMBINE
4,1920,-,-,-,-,-,"? COLUMBINE (tearfully) Yes, Harlequin! (Harlequin approaches her.) HARLEQUIN What's the matter? You're crying."
5,1920,-,-,-,-,-,"it's Pierrot! (She weeps again.) HARLEQUIN It's too bad, dear. Pierrots are the same the world over"
10,1920,-,-,-,-,-,"Oh! I thought it was! COLUMBINE Why, Harlequin? HARLEQUIN Well, I know I haven't been very nice to you"
16,1920,-,-,-,-,-,fripperies. COLUMBINE But I like that one. (Harlequin has another frilly garment in his hand. She jumps up and takes it
19,1920,-,-,-,-,-,very well. (She sits down.) p. 18 HARLEQUIN I'll clear them all off in a second. (He piles all
20,1920,-,-,-,-,-,. (Harlequin bends over and kisses her.) HARLEQUIN (still bending over her) This isn't very comfortable. COLUMBINE (
23,1920,-,-,-,-,-,"the table and weeps. After a pause, enter Harlequin. He stands at the door.) HARLEQUIN (with aplomb) Good"
29,1920,-,-,-,-,-,? HARLEQUIN Under his pillow. COLUMBINE Silly Pierrot! HARLEQUIN Silly's too mild a name for a lazy sentimentalist like Pierrot. Sleeps
30,1920,-,-,-,-,-,"you a duster? COLUMBINE Let me do it. HARLEQUIN Please, Columbine. Tell me where you keep the duster. COLUMBINE Please"
32,1920,-,-,-,-,-,"darling? COLUMBINE Yes, of course I know. HARLEQUIN Very well. Leave everything to me and there won't be any hitch"
38,1920,-,-,-,-,-,"You're crying. COLUMBINE (tearfully) Yes, Harlequin. p. 13 HARLEQUIN Why are you crying? It's not over me"
39,1920,-,-,-,-,-,"stupid one? COLUMBINE Pierrot doesn't think so. HARLEQUIN It is rather stupid, though. Look at all that frilly lace on"
41,1920,-,-,-,-,-,"You are a dear to want to help me. HARLEQUIN There isn't anything I wouldn't do for you, Columbine. ("
47,1920,-,-,-,-,-,"the duster. COLUMBINE Please let me do it. HARLEQUIN Now, Columbine, didn't you say you'd leave everything to me"
49,1920,-,-,-,-,-,"I was so excited I just pushed everything in. HARLEQUIN No wonder I couldn't close it. Columbine, dear, just leave"
52,1920,-,-,-,-,-,"an elopement! I've always wanted an elopement! HARLEQUIN I know, dear, but you must really leave this to me."
62,1920,-,-,-,-,-,heard outside.) Hist! It's Pierrot! HARLEQUIN What shall I do? COLUMBINE Something practical! HARLEQUIN I'll hide in
64,1920,-,-,-,-,-,"not over me, is it? COLUMBINE No, Harlequin. HARLEQUIN (disappointed) No? Oh! I thought it was!"
65,1920,-,-,-,-,-,. Columbine takes off her hat and coat and passes Harlequin's hat and walkingstick into the bathroom.Enter Pierrot. He carries a small straggling
69,1920,-,-,-,-,-,"puzzled) Yes, I do; why not? HARLEQUIN Goodness me, they're mid-Victorian. You take me back to the days"
70,1920,-,-,-,-,-,coat and hat) Quite sure. Come along. HARLEQUIN Did you remember to put in your rubbers? COLUMBINE (puzzled) Rubbers
71,1920,-,-,-,-,-,"leave him! COLUMBINE (amazed) Leave him? HARLEQUIN Yes, come with me. COLUMBINE (enthusiastically) Oh -- an elopement"
