entry,year,genre,source,a,b,c,text
915,1815,FIC,FalseShame,A,B,C,"  as a jovial man, with an open countenance, an aquiline nose and a hawk's eye. Erl. Captain Erlach Your most obedient, my lady. Bar"
124,1818,MAG,NorthAmRev,A,B,C,"  comes to us in such a plausible shape that we ourselves are somewhere between a hawk and a buzzard about the matter. Be this as it may, the eagle"
984,1823,FIC,WildernessBraddocks,A,B,C,"  as the noble eagle is greater and more generous than the buzzard, or the hawk. We were proud of him, for he was a Chippeway, and no"
940,1827,MAG,NorthAmRev,A,B,C,"  wing, and sudden suspension in air, he knows him to be the fish hawk settling over some devote' victim of the deep. His eye kindles at the"
379,1830,NF,Seventy-FiveReceipts,A,B,C,"   7097. txt AUTOBIOGRAPHY OF **25;0;TOOLONG, OR BLACK HAWK, EMBRACING THE TRADITIONS OF HIS NATION, VARIOUS WARS IN WHICH HE HAS BEEN"
936,1831,MAG,NewEngMag,A,B,C,"  general have limited their ornithological pursuits to that very shrewd performance of telling a "" hawk from a handsaw. "" Our woods // are full of song, and most"
79,1832,MAG,NorthAmRev,A,B,C,"  Traill's fly-catcher, Rathbone's warbler, Henslow's bunting, and Harlan's hawk, are birds named for various friends of the writer. Cuvier's regulus is"
292,1832,FIC,SwallowBarnASojourn,A,B,C,"  discordant vespers, as they plied their way to a distant roost; the fish hawk had perched upon the highest naked branch of the tallest oak, and at intervals"
439,1832,FIC,SwallowBarnASojourn,A,B,C,"  had devoted her time to training a beautiful marshhawk, a bird resembling the short-winged hawk known by the name of the hen-harrier in the old books, and had nurtured"
445,1832,FIC,SwallowBarnASojourn,A,B,C,"  in the air, and called out the words of her customary salutation to the hawk as loud as she was able. "" He sees and hears with extraordinary acuteness"
466,1832,MAG,NorthAmRev,A,B,C,"  and honored him with a place in this work. He afterwards saw a female hawk of this species attack a party of chickens, but the hen came up in"
471,1832,MAG,NorthAmRev,A,B,C,"  the air, fall again to the ground. On approaching, he found the hawk grappling with the cock, who was soon killed by his powerful foe, his"
715,1832,MAG,NorthAmRev,A,B,C,"  gun. Very soon he heard the cackling of the hens, and saw the hawk, after rising a few feet in the air, fall again to the ground"
777,1832,FIC,SwallowBarnASojourn,A,B,C,  for I take it that you and I are already in search of Bel's hawk. There are not more than a million birds about; and I'll be
968,1832,MAG,NorthAmRev,A,B,C,"  regulus is so called, in compliment to that eminent man; and a small hawk is oddly enough called, in honor of Napoleon, by the nickname which he"
997,1832,FIC,SwallowBarnASojourn,A,B,C,"  "" she added exultingly, as she drew in the line, and compelled her hawk to dart towards the earth. "" After all, "" said Harvey, """
476,1833,FIC,LifeWritingsMajor,A,B,C,"  as thick as the spruce trees down in your swamp. There we found Black Hawk, a little, old, dried up Indian king. -- And I thought"
49,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  they were met in council by some Pottowattomies and Winnebago chiefs. They assured Black Hawk that their people would not join him in making war against the United States,"
69,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  give me any real uneasiness upon this point till tile following morning, when Black Hawk, passing by me, turned and eyed me keenly for a moment or so"
182,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  DEATH AND BURIAL OF THE OLD CHIEF, TOGETHER WITH A History of the Black Hawk War, By J.B. PATTERSON, OQUAWKA, ILL, 1882. Copyrighted by J.B."
198,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,  at the battle of Sycamore creek. KILBOURN'S NARRATIVE. A REMINISCENCE OF BLACK HAWK. From the Soldier's Cabinet. Much has been said both for and against
212,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  with wire. Mr. Barrows says they were taken to Warsaw, Ills. Black Hawk's sons, when they heard of this desecration of their father's grave,"
233,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  public good requires that strong as well as speedy measures should be taken against Black Hawk and his followers. Respectfully, I have the honor to be your obedient servant"
266,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  . Fifty years ago (1832) we made, our first visit to Black Hawk's Tower with Col. George Davenport, and listened with intense interest to his recital"
277,1834,NF,...ographyMa-ka-tai-me-she-kia-kiak,A,B,C,"  been a very successful warrior-called himself, smiting his breast,' big Captain Black Hawk,'' nesso Kaskaskias,' (killed the Kaskaskias,)' nesso"
