entry,year,genre,source,a,b,c,text
1,1821,NF,VerminDestroyer,A,B,C,"  oatmeal flpur, and lay where they do come. Rats and Mice. Black hellebore and the seed of wild cucumber mixed with such food as they eat, kills"
2,1821,NF,VerminDestroyer,A,B,C,"  little and round, like an auger-hole, and put hemlock seed thereinto, or hellebore mixed with barleyj they eat it greedily, so it kills them. Bats or"
3,1821,NF,VerminDestroyer,A,B,C,"  and so you may with a spear of dog take them. Moles. Beat hellebore, white or black, and with wheat flour, the white of an egg"
4,1821,NF,VerminDestroyer,A,B,C,"  to keep out of gardens dogs and cats. To Ml Flies. Take white hellebore, and steep it in milk or sweet wine, and sprinkle the room they"
5,1821,NF,VerminDestroyer,A,B,C,"  bitter, as / vinegar, or decoction of bays, wild cucumbers: white hellebore, colloquintida or lupins will do it; some things do it by the scent"
6,1821,NF,VerminDestroyer,A,B,C,"  that place such seed or grain soaked in lees of wine; where also white hellebore is boiled, you may take forty at a time; it will quickly make"
7,1844,FIC,Essays —Second,A,B,C,  could have given useful advice. But she does not go unprovided; she has hellebore at the bottom of the cup. Solitude would ripen a plentiful crop of despots
8,1845,FIC,ForestLeaves,A,B,C,"  And drooping o'er the spring bud's tomb The pure white ghost-flower staid. Where hellebore beside the stream, Grew rank, with many a weed, Are meadows now"
9,1846,FIC,RomanTraitorVol12,A,B,C,"  . "" You are both mad, I believe; so mad that all the hellebore in both the Anticyras could not cure you. Thou, Fuscus, for insulting"
10,1847,FIC,AroundTheTea-Table,A,B,C,"  to them whether the package they send out be corn starch, jujube paste or hellebore. They wrap up fifty copies and mark them C.O.D. But if the expressman"
11,1863,FIC,Shoulder-Straps<,A,B,C,"  legs of a black cat; a bunch of the dried leaves of the black hellebore; a snake's skin -- not the "" shedder "" or superficial skin,"
12,1883,MAG,Century,A,B,C,"  "" who was made up of bottles and casks, and poured out wine and hellebore until the sweet Maid of Fiction became a iBacchante. Richard Montgomery Bird came out"
13,1884,FIC,SongStory,A,B,C,"  of taste and hue Differing, yet each of baleful might; For here is hellebore, aconite, Henbane, euphorbia; these, and more Known only in the"
