entry,year,genre,source,a,b,c,text
169,1817,-,-,-,-,-,"the indelible reproach of decreeing to the same citizens the hemlock on one day, and statues on the next. It may be suggested"
104,1818,-,-,-,-,-,"carpenter cut out for me A husband from a blasted hemlock tree. So much for science, now, sir, if you please"
13,1821,-,-,-,-,-,"any green rank weeds, such as dock thistles, hemlock, &c.; to a good thickness: let it lie so fourteen days,"
166,1821,-,-,-,-,-,"corn and steep- it in wine lees and juice of hemlock, and cast it to the birds, and it makes them drunk presently"
175,1822,-,-,-,-,-,". The forest trees are white and yellow pine, hemlock, spruce, birch, poplar and oak, with a mixture of elm"
340,1822,-,-,-,-,-,"sandy, barrens; terminating in a thick forest of hemlock and spruce, and a regular alternation again of swamps, mud, bog"
500,1824,-,-,-,-,-,"darting its streams to the top of the pines and hemlock, and leaping with the activity that belongs to that element, from one"
203,1826,-,-,-,-,-,. He is now in the upper branches of the hemlock. Your path is short and open. When he is seen above the
176,1827,-,-,-,-,-,"why I live, for I am like a blasted hemlock; the winds of the tempest have bared the pride of my branches --"
206,1827,-,-,-,-,-,"there surmounted by an intervening pine, spruce, or hemlock, whose seared winter foliage was fringed with the bright tender sprouts of spring"
64,1830,-,-,-,-,-,"has been already mentioned as enrolling the tories in the Hemlock Glade, to bring forward the company he commanded. He was speedily obeyed"
315,1830,-,-,-,-,-,"a few days in an obscure valley, called the Hemlock Glade, some miles to the westward of our village. Several of the"
333,1830,-,-,-,-,-,"a week after the dispersion of the conspirators in the Hemlock Glade, as mentioned in the preceding chapter, that an incident happened which"
422,1830,-,-,-,-,-,"disconcerted by the manner of the Hermit, "" the Hemlock Glade! -- All the people of my tribe are the kindred of my"
234,1831,-,-,-,-,-,", and stood leaning in the shadow of an old hemlock, just on the summit of the hill. His brow was uncovered,"
46,1832,-,-,-,-,-,"ofi; under the shade of the cedar arid the hemlock, the raised turg which marks his repose in death? And, resting"
85,1832,-,-,-,-,-,"splendour and perfection of growth; the species called the hemlock is, I think, second to the cedar only, in magnience."
466,1832,-,-,-,-,-,"is well known is chiefly pine; but lately, hemlock and spruce have been much used; birch and maple are employed considerably for"
178,1833,-,-,-,-,-,"made of shrubs, or of the tops of the hemlock tree, and taken as tea. Two or three yokes of oxen,"
290,1833,-,-,-,-,-,"of the powerful vegetable poisons, such as hen-bane, hemlock, thorn-apple, prussic acid, deadly night-shade, fox-glove and poison sumach,"
295,1833,-,-,-,-,-,"Pine, "" much used in ship-building; the "" Hemlock Spruce "" (Mies Canadensis), the timber of which is not good"
96,1834,-,-,-,-,-,can they be found? Socrates may have sw*illowed the hemlock from a desire of posthumous fame; the primitive martyrs may have stood firm
185,1834,-,-,-,-,-,"across the hollow, when I came to a big hemlock, which was lying in the edge of a thicket of mountain cottonwood and"
313,1834,-,-,-,-,-,and pack them to my fire along side of the hemlock. There like to have been no calling of the dogs that time.
351,1834,-,-,-,-,-,"seen around us, and encamped in a grove of hemlock and pine, which the reader will hereafter find mentioned as the encamping ground"
353,1834,-,-,-,-,-,"a little, and then moved further down among the hemlock, where I made me a real comfortable place to stay in all day"
387,1834,-,-,-,-,-,"in the edge of a thicket of mountain cottonwood and hemlock. I found I was freezing to death, and had to stop."
153,1835,-,-,-,-,-,", and winging to his perch on the far-up old hemlock, where they may see his reverend white head gleaming like a snow-flake among"
180,1836,-,-,-,-,-,. The floor of the bridge is composed of hewn hemlock timber about 14 inches deep; the apertures between which are well chinked with
134,1838,-,-,-,-,-,"by young evergreens, among which were the pine, hemlock, and hackamatack, or red larch. Dismounting at the gateway of the"
208,1838,-,-,-,-,-,"between us. I met him with Catharine by the hemlock spring, and then he besought me to go home with him to England"
438,1838,-,-,-,-,-,", below the woods, there they are by the hemlock spring. You see them now. "" "" Who? "" inquired her"
72,1839,-,-,-,-,-,", and firmly bound to the body of a large hemlock, with his face turned to the tree. Every thing being now in"
86,1839,-,-,-,-,-,"and effect, into the huge trunk of a standing hemlock. In a short time this princely tenant of the Green Mountain forest began"
425,1839,-,-,-,-,-,"' Why, I calculate to be about this old hemlock till I get it down, Colonel.' Nonsense, you ninny!"
416,1840,-,-,-,-,-,", when the luckless captive found himself traversing a deep hemlock forest, with "" The Spreading Dew "" for his guide. The Indian"
429,1840,-,-,-,-,-,ignorant of the flowers and the vine -- but the hemlock and the cypress overshadowed me night and day. And I kept no reckoning
457,1840,-,-,-,-,-,"his temples, and his clotted hair, With shrivelled hemlock and with cypress round; -- So should the gory God of War be"
488,1840,-,-,-,-,-,"beetling crag, thick sheathed with laurel and the clustering hemlock, and beneath the shadows of many a tall mountain rising from forests of"
