entry,year,genre,source,a,b,c,text
1,1827,-,-,-,-,-,"and recollecting that the Marmot feeds exclusively on grasses and herbaceous plants, it seems singular, that this animal should always choose the most"
2,1841,-,-,-,-,-,and Height. Annuals. Climbing Plants. Perennials. Herbaceous Roots. Shrubs; List of those most suitable for adorning a Yard.
3,1843,-,-,-,-,-,"the surface of the leaves, and if they are herbaceous and juicy, produce an effect upon them as if they had been watered"
4,1844,-,-,-,-,-,". We, therefore, are all but certain that herbaceous and ligneous fibre, that flesh and blood, are the constituents of the"
5,1844,-,-,-,-,-,"him?' etc., as follows:' The herbaceous boon and the bland recommendation to advance, are more operative on the ansinine"
6,1847,-,-,-,-,-,"a morbid appetite. Notwithstanding we gave her the richest herbaceous diet, she ate everything she could put her mouth on. She was"
7,1847,-,-,-,-,-,"prevent them browsing upon the twigs and small branches where herbaceous vegetation is dried up. Small armadillos abound near these rocky knolls, and"
8,1848,-,-,-,-,-,"; it takes the lead not only of the other herbaceous plants, but even of the gramina, which, in the Alps and"
9,1848,-,-,-,-,-,"form oases amidst a vast desert of ashes. Two herbaceous plants, the Scrophularia glabrata and the Viola cheiranthifolia, advance even to the"
10,1848,-,-,-,-,-,", T. cumanense, and Portulaca lanuginosa. Among these herbaceous plants we find at intervals the Avicennia tomentosa, the Scoparia dulcis, a"
11,1848,-,-,-,-,-,"vast plains of Calabozo, covered with grasses, and herbaceous sensitive plants, convinced me that the ruminating animals of Europe become perfectly habituated"
12,1849,-,-,-,-,-,"so in the fields covered with indigo, or other herbaceous plants; where the rays of the sun penetrate freely into the earth,"
13,1849,-,-,-,-,-,"furnish not only the gramina, but with them small herbaceous mimosas, legumina, and other dicotyledonous plants. The plains of Songaria,"
14,1849,-,-,-,-,-,"on sainfoin and clover, find excellent nourishment in the herbaceous sensitive plants. The pastures where these shrubs particularly abound are sold at a"
15,1850,-,-,-,-,-,"His only fuel consisted of the withered tufts of an herbaceous andromeda, and his whole party maintained themselves by the chase alone during a"
16,1851,-,-,-,-,-,"in readiness to receive bulbous, and many of the herbaceous and other plants, and such shrubs as are hardy enough to set in"
17,1851,-,-,-,-,-,"most appropriate place for choice flowering shrubs, and tall herbaceous biennial and perennial plants. If the border be a wide one, groups"
18,1851,-,-,-,-,-,"planting a few shrubs, and a greater number of herbaceous rock plants, in their interstices, which should be left broader or smaller"
19,1851,-,-,-,-,-,"green-house. Perennials are of two kinds, bulbous and herbaceous, which, differing materially from each other in habits, require, consequently"
20,1851,-,-,-,-,-,"most of The tuberousrooted to describe under the head of herbaceous perennials. One of the most esteemed bulbous-rooted Iris, is the Persian,"
21,1851,-,-,-,-,-,"over winter without protection. Most of the genus is herbaceous. P. Haitian, and its varieties, are shrubby; their roots are"
22,1851,-,-,-,-,-,", but not so distinctly tuberous as most of the herbaceous species. All require nearly the same treatment. The time for dividing the"
23,1851,-,-,-,-,-,nearly the same treatment. The time for dividing the herbaceous sorts is in September or October; the whole stool should be taken up
24,1851,-,-,-,-,-,". It contains, however, two species of ornamental herbaceous plants. S.Jlavescens, with yellow flowers, a native of Siberia, and"
25,1851,-,-,-,-,-,"species. The species are mostly climbing shrubs, or herbaceous perennials, of rapid growth, free bloomers, very ornamental, and some"
26,1851,-,-,-,-,-,". C. alpina, or erecta, is strictly an herbaceous plant, growing from three to four feet high, producing large families of"
27,1851,-,-,-,-,-,stem climbing. /z/ Coronilla varia is the only hardy herbaceous perennial with which we are acquainted in the genus. It is worthy a
28,1851,-,-,-,-,-,"Chinese. This is one of the most magnient of herbaceous plants. It can be propagated only by dividing the roots, as it"
29,1851,-,-,-,-,-,"may be appropriately planted among low shrubs, or strong herbaceous plants; and it will succeed in rather shady places, which renders it"
30,1851,-,-,-,-,-,"a few years, been added to the list of herbaceous plants, chiefly through the exertions of Mr. Douglas, in his excursions in"
31,1851,-,-,-,-,-,flowers of that color are to be found among hardy herbaceous plants. One of the most splendid decorations of the border is the Double
32,1851,-,-,-,-,-,"down immediately after flowering, in July. While many herbaceous plants require protection in winter, none of those I am about to describe"
