entry,year,genre,source,a,b,c,text
134,1822,-,-,-,-,-,"be considered, her room. "" And that beautiful honeysuckle, Jane, "" said Mr. Lloyd to her, "" which thy tasteful"
488,1822,-,-,-,-,-,"It was not the English cottage, overrun with shining honeysuckle and vivid foliage; nor the Irish cabin, with bare walls, and"
147,1823,-,-,-,-,-,in the very depth of December; to have the honeysuckle and jasmine in blossom about you; and to hear the waters gushing musically
411,1823,-,-,-,-,-,"hair blew about like the torn flush foliage of yon honeysuckle.' I did not know it,' said Lucia -- but I"
247,1827,-,-,-,-,-,"about his neck, like the feeble vine of the honeysuckle about a towering column -- or hears the delightful lispings, the wild and"
149,1828,-,-,-,-,-,"rustic fence of stone, surmounted and almost hidden by honeysuckle and roses, now m fall flower, and which we gathered in abundance"
165,1828,-,-,-,-,-,"a sweet scented red and white flower, resembling the honeysuckle in shape. On the ground were lying some bun'dle* of corn, and"
295,1831,-,-,-,-,-,"and filled with clustering roses, the luxuriant woodbine and honeysuckle, that here and there shadowed the windows with their rich curtaining, together"
348,1832,-,-,-,-,-,"beds, where the humming bird is poised before the honeysuckle, or the finical wren prates lovingly to his dame. But, howsoever"
59,1834,-,-,-,-,-,". When we speak of the perfoliated leaves of the Honeysuckle, the idea meant to be conveyed is, that an unique or orbicular"
34,1835,-,-,-,-,-,"wreathed with the delicately leaved Cape-jasmine, rambling woodbine and honeysuckle, a lovelier and more agreeable scene met my eye. I stood almost"
68,1835,-,-,-,-,-,"over the logs of their hut. There is a honeysuckle and white rose clambering over my window, that came from slips I cut"
232,1835,-,-,-,-,-,"agreeably' shaded and oraamented by the althea, the honeysuckle, * 4 180 jLieamoKp. /z/ the locust, the Jvide of China,"
360,1835,-,-,-,-,-,"is insincerity; that wild geranium, cruelty; the honeysuckle, fidelity; periwinkle, friendship, a poor article when you want love"
403,1835,-,-,-,-,-,"it only wants the spirit of cultivation. "" That honeysuckle and white rose! They have recalled images of the past, but they"
469,1835,-,-,-,-,-,"one end of the piazza, under a closely woven honeysuckle, "" do you think you shall continue satisfied with your present tranquil enjoyments"
196,1839,-,-,-,-,-,"deep masses of foliage, and its rich screens of honeysuckle and sweet-briar, meet residence for a happy bridegroom and his new-found treasure."
400,1842,-,-,-,-,-,) The Bee that has gathered honey from the lowland Honeysuckle knows where to find that tender flower again. But if that flower should
401,1844,-,-,-,-,-,"Cranch, Christopher Pearse, 1813-1892: XIV. THE HONEYSUCKLE. from Poems (1844) Sweet household flower, whose clambering vines festoon"
66,1846,-,-,-,-,-,"the Emigrant Bride. LADY ARABELLA JOHNSON. "" The honeysuckle o'er the porch hath wove its wavy bowers. And by the meadow trenches"
71,1846,-,-,-,-,-,"bush to bush, and gathering here a sprig of honeysuckle, there violets or a late rose, blooming out of season, and"
204,1846,-,-,-,-,-,"find. "" "" Why don't you put the honeysuckle in your own hair, Nelly? it is a very pretty flower."
266,1846,-,-,-,-,-,"away, The snowy lily blooms no more, The honeysuckle owns decay. Sweet Summer, fare thee well! Thy long bright days"
319,1846,-,-,-,-,-,"answered Elinor, "" it is a clematis -- this is a honeysuckle, a monthly honeysuckle, which Jane had twisted with it; but to"
431,1846,-,-,-,-,-,"pretty, my dear. What is it? a honeysuckle? "" "" No indeed, grandpapa, "" answered Elinor, "" it"
435,1846,-,-,-,-,-,"it is a clematis -- this is a honeysuckle, a monthly honeysuckle, which Jane had twisted with it; but to my fancy the clematis"
72,1847,-,-,-,-,-,may smell a country full of new-mown hay and wild honeysuckle. In a painted bath-tub he takes his Saturday bath careful lest he hit
185,1847,-,-,-,-,-,and verbenas took part in the meeting. The Chinese honeysuckle and clematis joined in the doxology. A magnolia pronounced the benediction. And
341,1847,-,-,-,-,-,"sweet scented vine blended their tendrils with the rich English honeysuckle and the luxuriant ivy; rare lotuses might be seen floating, with their"
422,1847,-,-,-,-,-,"the wild rose-bush at the door, and trimmed the honeysuckle over the window. It is the taste of May Fawn that has converted"
100,1848,-,-,-,-,-,"skilfully tied up and trained? And there's a honeysuckle, too, my favorite flower. "" "" Why, ma'am, for"
169,1848,-,-,-,-,-,"blossoms around the porch below. There is a wild honeysuckle trailing over the dark timbers of the porch, and the very lane,"
188,1848,-,-,-,-,-,"Add to these the beautiful creeper, and the wild honeysuckle, which were occasionally seen, and it is impossible to imagine a vegetation"
298,1848,-,-,-,-,-," A white rose in full bloom, and a honeysuckle, both brought  from the east, "" are trained around the window"
480,1848,-,-,-,-,-,"and various other native fruits abound, -- the wild honeysuckle gives its perfume to the air, and a thousand indigenous flowers mingle their"
166,1849,-,-,-,-,-,The whole front of the cottage was overrun with a honeysuckle. On the top was a ship for a weathercock. The interior was
17,1851,-,-,-,-,-,"shrubbery, of easy culture. Lonicera Tartarica. Tartarean Honeysuckle. This species grows to the height of eight or ten feet, and"
111,1851,-,-,-,-,-,"about the columns of the porch, is the coral honeysuckle, shading the evening window with its rich and delicate clusters of flowers;"
148,1851,-,-,-,-,-,"with flowering shrubs, and wreathed the woodbine, the honeysuckle, and the multiflora rose around the columns of his piazza. For his"
184,1851,-,-,-,-,-,"June to October. Caprifolium jlavum. Yellow Trumpet Monthly Honeysuckle. This is also a native of the South, but long cultivated in"
