entry,year,genre,source,a,b,c,text
89,1840,FIC,BorderBeaglesA,A,B,C,"  figurative language which the urchin had employed was, in western parlance, "" a huckleberry above his persimmon; "" and Mr. Richard Stillyards began to regard his companion as"
40,1852,FIC,HillsShatemuc,A,B,C,"  Pies! "" said the naturalist, -- "" let us get a great many huckleberry then -- but I am very sorry I shall not be here to eat the"
59,1852,FIC,HillsShatemuc,A,B,C,"  of fern nodded in many a nook, and kept their greenness still; and huckleberry bushes were on every hand, in every spare place, and standing full of"
102,1852,FIC,HillsShatemuc,A,B,C,"  wilderness now indeed. Points of stone, beds of moss, cat-briar vines and huckleberry bushes, in every direction; and between which of them lay that little invisible"
104,1852,FIC,HillsShatemuc,A,B,C,"  She hesitated, and turned, A few bounding and plunging steps amid rocks and huckleberry bushes brought her where she wished to be. She stood on the border,"
105,1852,FIC,HillsShatemuc,A,B,C,"  have received them with more stony indifference, and they were soon dried. The huckleberry expedition was agreed upon at dinner, Mr. Landholm being, as he always was"
107,1852,FIC,HillsShatemuc,A,B,C,"  coloured alders at the edge of some flags, and above them blazed a giant huckleberry bush in bright flame colour; close by that were the purple red tufts of"
145,1852,FIC,HillsShatemuc,A,B,C,"  growth of young wood and undergrowth of alder and dogwood and buckthorn and maple and huckleberry bushes. He scrambled on up hill, and in a little while came down"
169,1852,FIC,HillsShatemuc,A,B,C,"  was very rough indeed. Often Elizabeth must make quite a circuit among cat-briars and huckleberry bushes and young underwood, or keep the path at the expense of stepping up"
198,1852,FIC,HillsShatemuc,A,B,C,"  you, Miss Rose, "" said Winthrop; -- "" in getting the highest huckleberry bush. It don't make him happy -- only he had rather have that"
74,1853,FIC,LittleFernsFor,A,B,C,"  and kissed first the gentleman's hand, and then mine; and his little huckleberry eyes twinkled, as much as to say, "" You see, I'm"
9,1854,FIC,Walden,A,B,C,"  field to-day; that was none of my business. I have watered the red huckleberry, the sand cherry and the nettle-tree, the red pine and the black ash"
135,1854,FIC,Walden,A,B,C,  vulgar error to suppose that you have tasted huckleberries who never plucked them. A huckleberry never reaches Boston; they have not been known there since they grew on her
144,1854,FIC,LifeSayingsMrs,A,B,C,"  at that time as now, and as there was none nearer the Trotters than Huckleberry Lane, in the Upper Parish, and as there was a quarrel between the"
2,1859,FIC,AutocratBreakfast,A,B,C,"  cascade and tinkle on the resounding metal beneath. - - I won't say that this rushing huckleberry hail-storm has not more music for me than the "" Anvil Chorus. "" -"
93,1859,FIC,AutocratBreakfast,A,B,C,"  to hear them, when the deep- breathing kine came home at twilight from the huckleberry pasture, in the old home a thousand leagues towards the sunset? Ah me"
16,1863,FIC,LifeInOpenAirOther,A,B,C,"  gorming "" meant some bad quality, and any might be safely predicated of our huckleberry pair. Who will admit that he does not know all that is to be"
31,1863,FIC,LifeInOpenAirOther,A,B,C,"  kept him bewildered by their rival injunctions. Whenever the engine-driver stopped to pick a huckleberry, the train, self-braking, stopped also, and the engine took in fuel"
98,1863,FIC,LifeInOpenAirOther,A,B,C,"  . Such was our carriage for a rainy day. The nags were of the huckleberry or flea-bitten variety, -- a freckled white. Perhaps the quack had fed them"
179,1865,FIC,DoraDarlingDaughter,A,B,C,"  . It's all ups an' downs now, like de top ob a huckleberry pie. Specs, dough I's made ter walk roun' dese oneven places"
184,1866,FIC,DiversViewsOpinions,A,B,C,"  . Let Micklellan give bonds to perform as folloze, and I' m his huckleberry; otherwise I' m agin him, wun and indivisible, now and furever"
80,1867,FIC,CameronPridePurified,A,B,C,"  dear it is to me, or how I long for a sight of the huckleberry hills and the rocks where Helen and I used to play. "" Just then"
146,1867,FIC,CameronPridePurified,A,B,C,"  had never mended Uncle Ephraim's socks or made a pound of butter among the huckleberry hills. Bell was delighted, detecting at once traces of the rare mind which"
29,1868,FIC,HiramHireout,A,B,C,"  with me tu a certainty. If she makes love to me, I shall huckleberry right out! Miss P. Miss Penelope Iodyne And I wish you to understand I"
28,1869,FIC,SteppingHeavenward,A,B,C,"  nigh famished with the cold, to say nothin' of havin' to eat huckleberry preserves for supper two nights runnin'. Course they had plenty of other things"
92,1869,FIC,OldtownFolks,A,B,C,"  hear of the dear old things. Every stick and stone, every sweetbrier-bush and huckleberry patch in Oldtown, will always be dear to me. And dear old precious"
115,1869,FIC,OldtownFolks,A,B,C,"  housewives to adapt old institutions to new uses. Pumpkin pies, cranberry pies, huckleberry pies, cherry pies, green-currant pies, peach, pear, and plum pies"
120,1869,FIC,HospitalSketches,A,B,C,"  partake thereof with relish; coffee, mild and muddy; tea, three dried huckleberry leaves to a quart of water -- flavored with lime -- also animated and unconscious"
172,1869,FIC,OldtownFolks,A,B,C,"  covert immorality. Our worst form of roaring dissipation consisted in being too fond of huckleberry parties, or in the immoderate pursuit of chestnuts and walnuts. Even the vagrant"
109,1874,NF,DavidCrockett,A,B,C,"  But to do this, and write the warrants too, was at least a huckleberry over my persimmon. I had a pretty well informed constable, however, and"
58,1875,FIC,Sevenoaks,A,B,C,"  fresh difficulty. The corner in Muscogee Air Line, was as evasive as a huckleberry in a mouth bereft of its armament. Indeed, to use still further the"
