entry,year,genre,source,a,b,c,text
1,1982,FIC,DinnerAtHomesick,A,B,C,"  and responses, losing track of the service while smiling out the window at a hummingbird. Imagine him in bed with a woman. (Cody snorted.) He"
2,1996,MAG,AmericanCraft,A,B,C,"  Acoma Pueblo to turn to Mimbres designs, in the I950s. A beautiful little hummingbird pot by Garcia captures the feel of the original Mimbres work without any sense of"
3,1900,FIC,RedemptionDavid,A,B,C,"  , of her own buoyancy. Settling down at length as if she were a hummingbird lighting upon a flower, she began to circle slowly around the fire and sing"
4,2001,MAG,Sunset,A,B,C,  90 miles southeast of Tucson is popular with birders (with an especially interesting summer hummingbird population). A trail along its riparian area leads onto the forested slopes of
5,1966,FIC,Harpers,A,B,C,  arose and shook hands pleasantly. The patient took a last look at the dusty hummingbird that had been buzzing away at the same trumpet vine for five years. The
6,1993,MAG,HarpersMag,A,B,C,"  Battersea. It took a good deal longer to adjust to the way the rufous hummingbird, like a tiny thrashing autogiro, redisposed itself in space, zapping from point"
7,1957,FIC,VelvetHorn,A,B,C,"  her brother's shoulder; yet there was in her body all the concentration of a hummingbird, or wasp, poised before its object. Then her fists were flailing her"
8,1953,FIC,GoldenApplesSun,A,B,C,"  night air. "" Charlie, oh, you went fast! Quick as a hummingbird! Oh, Charlie, come back to me! "" "" But I'm"
9,2007,FIC,FantasySciFi,A,B,C,"  Early in their courtship she pictured him as a hummingbird - a large, gawky hummingbird - but lately she saw him as something else - perhaps a mongoose. """
10,2004,FIC,WifeNovel,A,B,C,"  's mother, a stylish woman whose body is as small and compressed as a hummingbird's? Why can't she just go away? But she didn't,"
11,2004,NF,PSAJournal,A,B,C,"  (CA) 195. # The 2004 Class B Slide of the Year was Hummingbird Sipping Nectar, Ray Coleman, APSA, Photographic Guild, Detroit (MI)"
12,2002,FIC,ScandalousSummer,A,B,C,"  for herself. He cupped his hand and leaned forward to light hers. A hummingbird fluttered inches from the honeysuckle on the porch post. It hovered in space,"
13,1961,FIC,HouseOnColiseum,A,B,C,"  you saying you've eloped? "" "" No, "" Joan said. A hummingbird swooped into the narrow passage, was frightened by their figures, and swooped out"
14,1986,MAG,SatEvePost,A,B,C,  . With hog lard I greased my boots until they were as soft as a hummingbird's nest. I was grinding my ax when papa came around. He smiled
15,1880,NF,Wake-Robin,A,B,C,"  except that it is much larger, appears almost identical with the nest of the hummingbird. But the nest of nests, the ideal nest, after we have left"
16,1900,MAG,Dial,A,B,C,"  ago, serves as an introduction. He tells of the domestic life of the hummingbird, as follows: "" If you have the good fortune to have discovered an"
17,1987,FIC,OutPhaze,A,B,C,"  instantly. One moment she? a pretty girl; the next she be a hummingbird. Of course that's magic. "" "" I can not do that,"
