entry,year,genre,source,a,b,c,text
1,1823,FIC,GeniusOblivion,A,B,C,"  's laws unfold, And every varied change she drew, From cedar to the hyssop, view. These legends on his spirit fell, As falls the charm of"
2,1831,MAG,NewEngMag,A,B,C,"  . He knew of every plant, "" from the cedar of Lebanon to the hyssop on the wall. "" He had watched the course of the stream from its"
3,1832,MAG,NorthAmRev,A,B,C,"  spake of trees, from // the cedar that is in Lebanon, to the hyssop that springeth out of the wall; he spake also,' - still meaning that"
4,1833,NF,ByOrderKing,A,B,C,"  those surfaces, pierced and perforated like a sponge, rosemary, pennyroyal, wild hyssop, and sea-fennel which when infused makes a good cordial, and that herb full"
5,1838,FIC,CromwellAnHistorical,A,B,C,"  -- yea! let us cleanse ourselves with myrrh, with aloes, and with hyssop, ay, and with blood -- even the blood of sacrifice! -- from"
6,1845,FIC,MargaretATaleReal,A,B,C,"  covering the side of the house, wholly hiding beds of sage, saffron, hyssop, and what not, and nearly enveloping the bee-hive, where, on the"
7,1846,MAG,NewEngYaleRev,A,B,C,"  next line to your lips with dark sayings and prophecies, with burnt offerings or hyssop, with new moons and trumpets and timbrels in itwith confessions of sins which you"
8,1851,NF,FlowerGardenBrecks,A,B,C,"  near enough to touch one another, forming a tolerably close row. Thyme, hyssop, winter savory, and pinks are frequently used for edgings, but they are"
9,1856,FIC,PoemsMiscellanies,A,B,C,"  He knew its powers to call; E'en from Libanus' cedar tall To humblest hyssop of the wall. He sat upon his ivory throne, And royal Balkis near"
10,1857,NF,BerthaHerBaptism,A,B,C,"  his hand, or, which is not impossible, with the long-accustomed bunches of hyssop. The Episcopal mode of administering the Lord's Supper, enables me to conceive"
11,1860,FIC,ActressInHighLife,A,B,C,"  Solomon in the knowledge of plants,' from the cedar of Lebanon to the hyssop that grows on the wall.' I am pledged to carry home a vast"
12,1865,MAG,Atlantic,A,B,C,"  and costly works, which taught of the wonderful structure of plants, from the hyssop on the wall to the cedar of Lebanon. Gone now are these volumes,"
13,1868,NF,ParochialPlain,A,B,C,"  spake of trees, from the cedar that is in Lebanon, even unto the hyssop that springeth out of the wall.... and of beasts, and"
14,1874,NF,MannersCustoms,A,B,C,"  under the name of herbes, which were merely infusions of wormwood, myrtle, hyssop, rosemary, &c.,; mixed with sweetened wine and flavoured with honey. The most"
