entry,year,genre,source,a,b,c,text
1,1941,MAG,SatEvePost,A,B,C,"  hissed at her. Wriggles was charmed. She approached closer to sniff. The iguana snapped and swung around, keeping his open jaws facing the dog. At this"
2,1999,FIC,NewEnglandRev,A,B,C,"  stocking cap pulled down to the bridge of his nose. No shirt. The iguana squats on his thigh, its long tail curled against its master's belly."
3,2001,FIC,FantasySciFi,A,B,C,  . Put my arms around this green scaly thing. (My son had an iguana. We never hugged it.) She reaches toward me as if to hug
4,1941,MAG,SatEvePost,A,B,C,"  . "" He's got him! "" I yelled. "" No, the iguana has got Aguila! "" screamed Jule. She was right. The lizard had"
5,2000,NEWS,SanFran,A,B,C,"  . # RATING: (ALERT VIEWER) # , 11 THE NIGHT OF THE IGUANA: Drama. By Tennessee Williams. Directed by Penny Metropulos. (Through July"
6,1985,NEWS,WallStJrnl,A,B,C,"  . But to those involved, that makes it no less urgent. "" The iguana is going to be extinct, maybe in 10 years, if nobody does anything"
7,1924,MAG,Atlantic,A,B,C,  perch on my shoulder or arm by the hour. I once had a huge iguana who stood and glared at me for a whole morning without moving a muscle.
8,2004,NEWS,CSMonitor,A,B,C,"  written songs about the ocean, and raised money to save the endangered Cayman blue iguana. "" I feel my generation is the conserving generation, "" says high-schooler Cathrine"
9,1844,NF,VestigesNatural,A,B,C,"  were herbivorous. Such was the iguanodon, a creature of the character of the iguana of the Ganges, but reaching a hundred feet in length, or twenty times"
10,1941,MAG,SatEvePost,A,B,C,"  he overcame his initial inertia and shot away after the lizard. Unfortunately, the iguana had not waited patiently for the end of these maneuvers. He was speeding up"
11,1975,MAG,NewYorker,A,B,C,"  at the cute wittew baby buhds, "" or boys standing in front of the iguana cage shouting, "" Hey, Mom, I found another tail! "" I"
12,1937,MAG,NatGeog,A,B,C,"  bushes for half a day, in the course of which we saw a light-green iguana, Starr shot a goat the size of a large cat. Boiled, it"
13,2006,FIC,Husband,A,B,C,"  one of them brought Ming. "" "" Ming? "" "" That's the iguana. "" "" So it was a pet? "" "" Ming, he'd"
14,1855,NF,WondersGeology,A,B,C,"  probably about twenty-five feet long, holding an intermediate place between the monitor and the iguana, different species of the lizard tribe. It was furnished with a tail,"
15,2006,FIC,Husband,A,B,C,"  That's good. It's probably hard to find a clinic that'll do iguana rehab. "" Mitch got to his feet and retrieved three dozen empty plastic plant"
16,1874,NF,WesternWorld,A,B,C,"  is an infinite variety of lizards, -- the most noted of which is the iguana, which frequently attains a length of four feet; -- and its flesh is"
17,1943,MAG,SatEvePost,A,B,C,"  in a fresh magazine. To make matters worse, we had discovered that this iguana would eat from our hands. All the iguanas we had brought back for the"
18,2003,FIC,Play:DylanFlashAJust,A,B,C,"  I almos'wet my pants laughing. CHAVEZ Jou don'wear no pants, you're an iguana. MEMPHIS It was just a turn of phrase, Chav. Just an exaggerated"
