entry,year,genre,source,a,b,c,text
456,1827,FIC,BuccaneersARomance,A,B,C,"  redolent with its aromatic breath the odorous breeze with living fragrance; no more the juniper, the ivy vine, and the rhodendrum, clung to the fissures and crevices"
80,1831,FIC,AmericanCommon-place,A,B,C,"  had rested our wings, and had fed On the sweetness that comes from the juniper groves, By the spirit of home and of infancy led, We would hurry"
128,1831,MAG,NewEngMag,A,B,C,"  , rearing his mighty form in lonely grandeur over the dwarfish tribes of cedar and juniper around him. The veteran of the forest towers proudly over their diminutive heads,"
305,1831,MAG,NorthAmRev,A,B,C,"  Dutch clover became commoo; he taught them to extract wine from the wild-cherry, juniper, and dog-rose, oil from beech-nuts, and brandy from elder-berries. The indigenous"
54,1832,MAG,NorthAmRev,A,B,C,"  Cupressus Tliuyoides, which in Maryland, Virginia, and North Carolina is called the Juniper, while in New England the name Juniper is given to a shrub, Juniperus"
272,1832,MAG,NorthAmRev,A,B,C,"  , and North Carolina is called the Juniper, while in New England the name Juniper is given to a shrub, Juniperus Communis, which never rises into a tree"
13,1833,NF,HistoryVegetable,A,B,C,  are derived very powerful ingredients. The spirit (essential oil) of the common juniper is employed in medicine; and also in giving to ardent spirits that peculiar flavour
17,1833,NF,HistoryVegetable,A,B,C,"  is hardy, and forms a good variety in clumps of evergreens. Of the Juniper, there are twenty-two species, of which only the Barbadoes juniper, Barbadoes cedar"
49,1833,NF,HistoryVegetable,A,B,C,"  upon parchment and improperly-sized writing paper. A decoction of the berries of the common juniper yields a considerable quantity of sugar. From one species, Lycian Cedar (Juniperus"
114,1833,NF,HistoryVegetable,A,B,C,"  is, have the male and female flower on the same plant; while the juniper and the yew are dicecius or twohoused have the male flowers on one tree and"
132,1833,NF,HistoryVegetable,A,B,C,"  pernicious oil of turpentine, on account of its greater cheapness. The quantity of juniper berries annually imported into the United Kingdom is about 800 tons. Old junipers exude"
141,1833,NF,HistoryVegetable,A,B,C,"  liquor rendered less deleterious; while the British distillers not only use the oil of juniper in its most caustic state, but often substitute for it the more pernicious oil"
196,1833,NF,DeppingsEvening,A,B,C,"  grown and exported in large quantities. Eliza. What use do they make of juniper berries? Mr. O, Gin, or hoUands, is distilled from them;"
233,1833,NF,HistoryVegetable,A,B,C,"  world, consisting principally of pine trees, with a /q/ few mingling birch and juniper trees, he will have a general and tolerably correct notion of the real appearance"
235,1833,NF,HistoryVegetable,A,B,C,"  parts of cabinet-work, as well as for the wainscoting of rooms. The common juniper is a shrub found in most of the cold parts of Europe. It seldom"
246,1833,NF,HistoryVegetable,A,B,C,"  or bitter: but there are some distinctions the pine, the cypress, the juniper, and the arbor vitse, are inonazcius or one-housed that is, have the"
328,1833,NF,HistoryVegetable,A,B,C,"  "" he says in his Essays, "" do not like images cut out in juniper and other garden stuff; they be for children. "" Cypress Cuprums sempervircm Of"
372,1833,FIC,Down-EastersVolume2,A,B,C,"  where whittling is a trade), profiles of nobody, with a brush-wood or juniper wig, verses that rhymed everywhere but in the right place, and great staggering"
404,1833,NF,HistoryVegetable,A,B,C,"  white cedar, which is a cypress; and the red, which is a juniper. In addition to the durability of its timber, the cedar is, in"
416,1833,NF,HistoryVegetable,A,B,C,"  the Geneva, or gin of Holland. The Dutch are understood to distil the juniper berries along with the other ingredients, by which means the more caustic particles of"
419,1833,NF,HistoryVegetable,A,B,C,  can not be cultivated with profit as a forest tree in England. The Bermuda juniper also attains a considerable size; its timber is more red than that of the
451,1833,NF,HistoryVegetable,A,B,C,"  . Of the Juniper, there are twenty-two species, of which only the Barbadoes juniper, Barbadoes cedar, the Bermuda cedar, and the Red cedar, rise to"
494,1833,NF,DeppingsEvening,A,B,C,"  /z/ Holland, butter, cheese, flax, hemp, corks, pictures, juniper berries, which, however trifling they may appear, form an important branch of"
46,1840,FIC,GreyslaerARomance,A,B,C,"  behind a shattered oak, a little in advance of a thicket of birch and juniper, from which Christian Lansingh, with others of Greyslaer's followers, kept up"
285,1840,FIC,GreyslaerARomance,A,B,C,"  and the elastic carpet of moss and wild flowers, and spongy trunks o'ergrown with juniper, and tangled thickets of mosswood and wytch-hopple, gave now the springy footing the"
