entry,year,genre,source,a,b,c,text
1,1832,MAG,NorthAmRev,A,B,C,"  the part of an angry Frenchman. Every miller and vagrant fisherman knows the belted kingfisher, who sits for hours upon his favorite dead branch, looking with his calm"
2,1832,MAG,NorthAmRev,A,B,C,"  to the great business of migration; - the swallow snatches the insect and the kingfisher his fish, without suspending their flight; and if they are late in their"
3,1832,MAG,NorthAmRev,A,B,C,"  and other birds, which take advantage of the woodpecker's deserted mansions. The kingfisher chooses a bank near the scene of his labors; and here, with his"
4,1832,MAG,NorthAmRev,A,B,C,"  cavern answer its purpose for a number of years. The little sandmartin follows the kingfisher's example. The purple martin and the republican swallow, which is now emigrating"
5,1834,FIC,CavaliersVirginia,A,B,C,"  tightly encircling her brows, and surmounted by a circlet of the plumes of the kingfisher, facing outwards at the top. Around her waist was belted a short frock"
6,1834,FIC,KentuckianInNew,A,B,C,"  been poppen my bill into it, and out of it again, like a kingfisher in a mill-dam; or, maybe, I'm more like a feller lost"
7,1843,FIC,WildScenesInForest,A,B,C,"  would glide so near to the steep banks of the river as to scare the kingfisher from his perch upon the dead limb that bent over it, while the sound"
8,1847,FIC,MillerMartigne,A,B,C,"  lovely solitude. Perhaps half an hour elapsed before any change took place. The kingfisher had dived twice unsuccessfully, and, at the third attempt, had caught an"
9,1847,NF,NaturalistInNicaragua,A,B,C,"  and pleasing sight. So, the fishes would pity their comrades caught by the kingfisher, the birds those in the claws of the hawk -- every creature considering the"
10,1849,FIC,Sketch-BookGeoffrey,A,B,C,  bittern rising with hollow scream as they break in upon his rarely-invaded haunt; the kingfisher watching them suspiciously from his dry tree that overhangs the deep black millpond in the
11,1849,FIC,Kavanagh,A,B,C,"  green. Presently his attention was arrested by a dove, pursued by a little kingfisher, who constantly endeavoured to soar above it, in order to attack it at"
12,1849,FIC,Kavanagh,A,B,C,"  the perilous adventure of the carrier-pigeon; how it had been pursued by the cruel kingfisher; how it had taken refuge in Kavanagh's tower, and had been the"
13,1853,FIC,ChevaliersFrance,A,B,C,"  pursuit of some small worm or insect, its peculiar prey. There the harshscreaming kingfisher circles above the small fry, as they dimple the tranquil surface, hunting fry"
14,1854,FIC,PoeticalWorks,A,B,C,"  : Flapping of water-fowl, the plunge Of leaping bass and mascalunge; The blue kingfisher's eager scream, Watching the wake of perch, or bream; White swan"
15,1854,FIC,PoeticalWorks,A,B,C,"  . Hosmer, William H. C. (William Howe Cuyler), 1814-1877: THE KINGFISHER. from The poetical works (1854) "" The blue Kingfisher's eager scream"
16,1854,FIC,PoeticalWorks,A,B,C,"  1814-1877: THE KINGFISHER. from The poetical works (1854) "" The blue Kingfisher's eager scream, Watching the wake of perch or bream. "" Poetic haunts"
17,1855,NF,"TrialTheodoreParker ""misdemeanor""",A,B,C,"  to destroy the liberty of the people. He came to Boston in the "" Kingfisher, a fifty gun ship, "" and brought two companies of British soldiers,"
18,1856,FIC,MythHiawathaOther,A,B,C,"  "" Yes! "" he answered. "" It is there, "" continued the Kingfisher, "" that they bask in the sun. Before they come out, the"
19,1856,FIC,MythHiawathaOther,A,B,C,"  to rise and float. The expression here means float. 22 The Alcedo or Kingfisher. 23 This bird has a white spot on the breast, and a tufted"
20,1861,FIC,Trumps,A,B,C,  GRAND STREET XXX. CHECK XXXI. AT DELMONICO'S XXXII. MRS. THEODORE KINGFISHER AT HOME. On dansera XXXIII. ANOTHER TURN IN THE WALTZ XXXIV. HEAVEN
21,1861,FIC,Trumps,A,B,C,"  you think, Hope, you could make up your mind to go to Mrs. Kingfisher's ball next week? You know you haven't been out at all."
22,1861,FIC,Trumps,A,B,C,"  high time I went to balls, I see. I will go to Mrs. Kingfisher's. But, dear aunt, have you seriously believed such a story?"
23,1861,FIC,Trumps,A,B,C,"  , as he took his friend's arm. CHAPTER XXXII. MRS. THEODORE KINGFISHER AT HOME. On dansera. Society stared when it beheld Miss Hope Wayne entering"
24,1861,FIC,Trumps,A,B,C,"  . Society stared when it beheld Miss Hope Wayne entering the drawing-room of Mrs. Theodore Kingfisher. "" Really, Miss Wayne, I am delighted, "" said Mrs. Kingfisher"
25,1861,FIC,Trumps,A,B,C,"  Kingfisher. "" Really, Miss Wayne, I am delighted, "" said Mrs. Kingfisher, with a smile that might have been made at the same shop with the"
26,1861,FIC,Trumps,A,B,C,  been made at the same shop with the flowers that nodded over it. Mrs. Kingfisher's friendship for Miss Wayne and her charming aunt consisted in two pieces of pasteboard
27,1861,FIC,Trumps,A,B,C,"  of pasteboard, on which was printed, in German text, "" Mrs. Theodore Kingfisher, St. John's Square, "" which she had left during the winter;"
28,1861,FIC,Trumps,A,B,C,"  They were speaking of Hope Wayne. At the same instant also, in Mrs. Kingfisher's swarming drawing-rooms, looking on at the dancers and listening to the music,"
29,1861,FIC,Trumps,A,B,C,"  to ma, Now ma, sez I, you'd better go to Mrs. Kingfisher's ball. Law, pa, sez she, I reckon' twill be"
30,1861,FIC,Trumps,A,B,C,"  pa, sez she, I reckon' twill be so werry hot to Mrs. Kingfisher's that I'd better stay to home, sez she. So she staid"
31,1861,FIC,Trumps,A,B,C,"  astuter young Napoleon than Uncle Lawrence knew. Even then and there, in Mrs. Kingfisher's ball-room, had Fanny Newt resolved how to carry her Mantua by a sudden"
32,1861,FIC,Trumps,A,B,C,"  and the friends he had seen there, and in describing to him the great Kingfisher ball. Presently she was bonneted and cloaked, and the carriage was at the"
33,1867,FIC,May-Day and,A,B,C,"  of the sentry-bird, The heavy grouse's sudden whirr, The rattle of the kingfisher; Saw bonfires of the harlot flies In the lowland, when day dies;"
34,1869,FIC,MalboneOldport,A,B,C,"  ; some sketched, some played croquet, some bathed in rocky inlets where the kingfisher screamed above them, some rowed to little craggy isles for wild roses, some"
35,1871,NF,AdventuresYoung,A,B,C,  -- A Cataract. -- Nest of yellow Serpents. -- A vegetable Helmet. -- The Kingfisher. -- Hunting Water-fleas. -- The Tadpole. -- A Collection of Water-bugs. 164 CHAPTER XII
36,1871,NF,AdventuresYoung,A,B,C,  -- A CATARACT. -- NEST OF YELLOW SERPENTS. -- A VEGETABLE HELMET. -- THE KINGFISHER. -- HUNTING WATER-FLEAS. -- THE TADPOLE. -- A COLLECTION OF WATER-BUGS. The rice-soup
37,1872,FIC,EndWorldALoveStory,A,B,C,  a basket of meat when his chops is a-waterin' fer it! Set a kingfisher to take keer of a fish-pond! Set a cat to raisin' your orphan
38,1872,FIC,SaratogaIn1901,A,B,C,"  goings and comings of Longfellow, accompanied by John Harper. Longfellow's competitor is Kingfisher (four years old, sired by Lexington, dam Eltham Lass), a"
39,1872,FIC,SaratogaIn1901,A,B,C,"  the track, a little after daylight, was Belmont, in person, with Kingfisher and his trainer. The agent of the Rothschilds was preparing for the grandest race"
40,1872,FIC,SaratogaIn1901,A,B,C,"  , ""' and then shrewd old Harper stopped his old silver watch to get Kingfisher's time, which was 1:50. Old John remarked, "" I reckon he"
41,1872,FIC,SaratogaIn1901,A,B,C,"  1:50. Old John remarked, "" I reckon he kin do 1:41. "" Kingfisher is a light bay horse, full of muscles, and with terrible action."
42,1872,FIC,SaratogaIn1901,A,B,C,"  his feet as carefully as an elephant when the little rascals tumble under him. Kingfisher is a high-fly of a horse, full of mettle, and with eyes red"
43,1872,FIC,SaratogaIn1901,A,B,C,"  from the track a ruined horse. Jake bobbed around proudly on the back of Kingfisher, and Bob Swim sat grimly on the back of Longfellow. The race started"
