entry,year,genre,source,a,b,c,text
14,1821,FIC,WanderingBoys,A,B,C,"  1st and 2d wings, under a spacious archway, an arbour, formed with lilac, honeysuckles, &c.; &c.; so disposed as in no way to intercept the vault"
527,1824,FIC,SketchConnecticut,A,B,C,"  with a blush of carmine. In the borders, the purple clusters of the lilac, mingled with the feathery orb of the snow-ball, and the pure petals of"
288,1832,MAG,NewEngMag,A,B,C,"  this singular dwelling of a warrior. The sweet-brier, the rose, and the lilac, though long neglected, still grew, and bloomed freshly and sweetly; and"
68,1834,FIC,Poems,A,B,C,"  true, While modest Clematis appeared as a bride, And her husband, the Lilac, ne'er moved from her side, Though the belles giggled loudly and vowed """
50,1835,FIC,Home,A,B,C,"  were taken to bring on the green gages for father. A woody, scrawny lilac was permitted to remain, because Grandmama had said, "" It looked so natural"
122,1835,FIC,South-WestByYankee,A,B,C,"  pale pink ground slightly tinged with purple. In appearance and fragrance it resembles the lilac, though the cluster of flowers is larger and more irregularly formed. These after"
479,1835,FIC,South-WestByYankee,A,B,C,"  , closing, and falling blossoms, with an almost equal mixture of white, lilac, and purple flowers; while each morning the ground is seen covered with the"
844,1835,FIC,TraitsAmerican,A,B,C,"  side of this, had formerly been a summer-house, as was apparent from the lilac and rose bushes, and other flowering shrubs, clustered together; all over-run,"
948,1835,FIC,South-WestByYankee,A,B,C,"  a front yard, pay little regard to horticulture. So in New-England, a lilac tree between the windows, a few rose bushes and indigenous plants lining the walk"
73,1839,FIC,AdventuresHarry,A,B,C,"  card tables, where they were playing for money. My fellow traveller in the lilac shirt was dealing out the cards at one of these tables, and after dealing"
151,1839,FIC,AdventuresHarry,A,B,C,"  son could dress in any other than the very genteelest clothes. He wore a lilac calico shirt, with a little ruffle bristling in the bosom, and a cameo"
674,1839,MAG,USDemRev,A,B,C,"  of the light graceful willow that waved around and over it, interspersed with the lilac and laburnum, fresh with the youth of spring, and opening to give the"
929,1839,FIC,AdventuresHarry,A,B,C,"  "" "" Salt is certainly a great thing, "" said the gentleman with the lilac shirt, who sat opposite, and who had been listening, with his knife"
254,1841,NF,Book ATreatise,A,B,C,"  years planted, it commences yielding its blossoms in panicled clusters. These are bluish lilac, of an open mouthed, tubular form, are very abundantly distributed, and"
562,1841,FIC,Essays —FirstSeries,A,B,C,"  gleaming piles of stone; On the city's paved street Plant gardens lined with lilac sweet, Let spouting fountains cool the air, Singing in the sun-baked square."
239,1843,FIC,IdomenValeYumuri,A,B,C,"  to seek me, I gave him the verses tied with riband of pea-green and lilac -- colours most predominant in the dolphin while dying, in agony to himself,"
89,1844,NF,RoseManualContaining,A,B,C,"  growth, and very distinct. Emmeline is of a delicate flesh colour fading to lilac, and quite double. Fulgens, or Mai I on, of the French"
202,1844,NF,RoseManualContaining,A,B,C,"  will produce, no doubt, many fine varieties. Camaieu is a pretty rosy lilac, distinctly striped with blush white, perfectly double, always opening well. Font"
257,1844,NF,RoseManualContaining,A,B,C,"  "" Chloris has flowers of the medium size, double, of a distinct rosy lilac colour, and is a very fine dwarf /z/ variety. Comtesse Orloff is a"
289,1844,NF,RoseManualContaining,A,B,C,"  continues very distinct from any others; the flowers are perfectly formed, of a lilac colour, and though under the medium size, make up for the deficiency by"
