entry,year,genre,source,a,b,c,text
1,1833,NF,DisquisitionOn,A,B,C,"  class, "" he adds, "" belong fox-glove, hen-bane, deadly night-shade, lobelia, and another poisonous plant, bearing the tremendous name Atropa, one of the"
2,1834,FIC,Poems,A,B,C,"  in a heat, With the Ice-plant, new spangled from forehead to feet; Lobelia, attired like a queen in her pride, And the Dahlias, with trimmings"
3,1836,FIC,UpsDownsInLife,A,B,C,"  "" -- -- The circling canopy Of night's extended shade. "" 1 The Lobelia Cardinalis, commonly called the Indian Eye-Bright. It is a beautiful blossom, and"
4,1839,FIC,NewHome--Wholl,A,B,C,"  prepared. There is also much prejudice against "" Doctor's physic; "" while Lobelia, and other poisonous plants, which happen to grow wild in the woods are"
5,1844,FIC,EdmondDantès,A,B,C,"  nostril or the tip of his tongue. "" Morphia, cinchonia, quinia, lobelia, belladonna, narcotina, bromine, arsenicum, strychnos colubrina, brucoea ferruginea,"
6,1851,NF,FlowerGardenBrecks,A,B,C,"  upon some of the expensive exotics. What plant can rival the splendor of the Lobelia cardincdis, with its thousands SELECTIONS OF FLOWERING PLANTS FOR THE GAKiJEN. 27 of vivid"
7,1851,NF,FlowerGardenBrecks,A,B,C,"  a frame, or in the cellar, and planted out in the spring. Lobelia cardinalis. Scarlet Cardinal Flower. This /z/ splendid native plant embellishes the borders'"
8,1851,NF,FlowerGardenBrecks,A,B,C,"  high; flowers brilliant scarlet, in terminal racemes. L. i/iflafa, or Bladder-podded Lobelia, is probably familiar with every one, at least "" its name. Its"
9,1851,NF,FlowerGardenBrecks,A,B,C,"  improved, and prove a valuable acquisition to the border. I have succeeded with Lobelia cardinalis, in rather a dry, loamy soil, without much care; but"
10,1851,NF,FlowerGardenBrecks,A,B,C,  florists can be sure of having a constant stock of this very ornamental shrubbery-flower. /z/ Lobelia cardinalis var. rosea. This beautiful variety of the Cardinal flower was found in the
11,1853,FIC,LittleFernsFor,A,B,C,  . I know where the blue eyed anemone blossoms; I know where the bright lobelia nods its royal scarlet head; (I know how to pull off my shoes
12,1861,FIC,Trumps,A,B,C,"  closely among the flags and pickerel-wood, I suddenly heard a voice close to me --'The lobelia blossoms are further on, Miss Jane.' I knew instantly who it was"
13,1872,FIC,BeautyBeastTales,A,B,C,"  , stood like young trees, with an undergrowth of aster and blue spikes of lobelia, tangled in a golden mesh of dodder. A strong, mature odor,"
14,1890,FIC,TimothysQuest,A,B,C,"  Haven. She's married into one of the first families o' Connecticut, Lobelia has,' n' she puts on a good many airs. She's"
15,1891,FIC,MedicalEssays1842-1882,A,B,C,"  acupuncture and the moxa from the Japanese heathen, and was taught the use of lobelia by the American savage. It stands ready to-day to accept anything from any theorist"
16,1891,FIC,MedicalEssays1842-1882,A,B,C,"  but loaded with antimony, strychnine, acetate of lead, aloes, aconite, lobelia, lapis infernalis, stercus diaboli, tormentilla, and other approved, and,"
17,1892,FIC,ManWoman,A,B,C,"  that of the swoop of the night-hawk? And who better than he could pluck lobelia, and smartweed, and dig wild turnips and bring all for his mother to"
18,1901,NF,WildFlowers,A,B,C,"  and very slender stem, grows in the South and westward to California. # GREAT LOBELIA; BLUE CARDINAL-FLOWER (Lobelia syphilitica) Bellflower family # Flowers - Bright blue,"
19,1901,NF,WildFlowers,A,B,C,"  grows in the South and westward to California. # GREAT LOBELIA; BLUE CARDINAL-FLOWER (Lobelia syphilitica) Bellflower family # Flowers - Bright blue, touched with white, fading"
20,1901,NF,WildFlowers,A,B,C,"  offer him the special inducement of numerous feeding places close together. # The handsome GREAT LOBELIA, constantly and invidiously compared with its gorgeous sister the cardinal flower, suffers unfairly"
21,1901,NF,WildFlowers,A,B,C,"  , are not susceptible to their own pollen. It would seem as if our lobelia, in elevating its stigma through the ring formed by the united anthers, must"
22,1901,NF,WildFlowers,A,B,C,"  , and over a wide range, the slender, straight shoots of PALE SPIKED LOBELIA (L. spicata) bloom early and throughout the summer months, the inflorescence itself"
23,1901,NF,WildFlowers,A,B,C,"  they first ripen their anthers to prevent self-fertilization. # The lithe, graceful little BROOK LOBELIA (L. Kalmii), whose light-blue flowers, at the end of thread-like footstems"
24,1901,NF,WildFlowers,A,B,C,"  beside water, and in it, but often totally immersed, grows the WATER LOBELIA or GLADIOLE (L. Dortmanna). The slender, hollow, smooth stem rises"
25,1901,NF,WildFlowers,A,B,C,"  from August to September. # INDIAN or WILD TOBACCO; GAG-ROOT; ASTHMA-WEED; BLADDER-POD LOBELIA (Lobelia inflata) Bellflower family # Flowers - Pale blue or violet, small"
26,1901,NF,WildFlowers,A,B,C,"  to September. # INDIAN or WILD TOBACCO; GAG-ROOT; ASTHMA-WEED; BLADDER-POD LOBELIA (Lobelia inflata) Bellflower family # Flowers - Pale blue or violet, small, borne"
27,1904,FIC,CapeCodFolks,A,B,C,"  red door. It was loaded, in summer, with honeysuckle vines. Aunt Lobelia sat always at the window. Sometimes she had the asthma and sometimes she sang"
28,1904,FIC,CapeCodFolks,A,B,C,"  Dar' to make it known. "" The stirring measures came across from Aunt Lobelia's window. Then the singer paused. There were other faces at other windows"
29,1904,FIC,CapeCodFolks,A,B,C,"  of my own heart, and, if it chanced to be one of Aunt Lobelia's singing days, the "" Dar' to be a Dan-yell! Dar'"
30,1904,FIC,CapeCodFolks,A,B,C,"  seated on a bench of an exceedingly temporary nature, between Grandma Keeler and Aunt Lobelia, both persons of weight, and it so chanced, or, rather,"
31,1907,NF,ThreeAcresLiberty,A,B,C,"  chiefly from Germany. The leaves are also imported. Dried leaves and tops of lobelia bring from three to eight cents per pound, while the seed commands fifteen to"
33,1909,MAG,NatGeog,A,B,C,  and standing up like attenuated tombstones are the tall spikes of giant lobelias (Lobelia deckenii). Groundsels (Senecio adnivalis) grow here into trees 20 feet high
