entry,year,genre,source,a,b,c,text
200,1811,FIC,PoorLodger,A,B,C,"  . Poor Lodger Since I first saw you, I have been vigilant as a lynx. I have watched you with solicitude; I have marked the whole family;"
164,1824,FIC,SketchConnecticut,A,B,C,"  At her meals, she was the centre of a circle, who, with lynx eyes, watched every movement of her hand to her lips, and with discordant"
69,1827,FIC,BuccaneersARomance,A,B,C,"  ; the villain Edsell is with him, and will watch our words as a lynx would his prey, ere this the accursed greybeard, (I regret he tasted"
170,1827,FIC,BuccaneersARomance,A,B,C,"  follow in the blood-stained tracks of his retreat, with an eye sharpened like the lynx, a foot like the deer, and an arm like the great bear of"
60,1832,MAG,NewEngMag,A,B,C,"  tree, with the catlike visage, is a Loup.. Gervier, or American Lynx. You are too late for a shot-he is gone already. Excepting that he"
191,1832,MAG,NewEngMag,A,B,C,"  the carnivora, his flesh is not unworthy the attention of the epicure. The Lynx is a cunning beast. I was once following one, when my dog was"
167,1833,NF,ByOrderKing,A,B,C,"  the man without a home as "" mow dangerous than the asp, dragon, lynx, or basilisk "" (atroc r aspide, dracone, lynce, et basilico"
2,1835,FIC,Monikins,A,B,C,"  of Leaphigh, LL.D., F. U. D. G. E., and of Mrs. Vigilance Lynx, licensed duenna. The Journey of Trial is so peculiar to the monikin system"
4,1835,FIC,Monikins,A,B,C,"  gradually narrowing down the direction of his observations to the single person of Mrs. Vigilance Lynx, who, I afterwards had occasion to know, was an excellent listener;"
33,1836,FIC,Tecumseh,A,B,C,"  British troops. You'll scout the woods, and with the vision of a lynx, note all passing incidents. Aide. Aide-de-camp Sir, I obey. --"
12,1837,NF,AnAccompaniment,A,B,C,"  , musquash, or muskrat, pine-marten, pekan, or fisher, the Canada lynx, raccoon, and stoat, or ermine. These animals are all diligently hunted"
17,1838,FIC,CharcoalSketches,A,B,C,"  become pale with application and protracted vigils, but the whole-souled fellow will outwatch the lynx, and, if his cheek be blanched, the colour is made up in"
37,1838,FIC,CharcoalSketches,A,B,C,"  his head like a terrapin, at which the women shrieked and retreated, and Lynx made a demonstration with his club -- "" that's because you ain't up"
52,1838,FIC,CharcoalSketches,A,B,C,"  n't -- I'm in a barrel. "" "" No matter, "" added Lynx authoritatively; "" getting into another man's barrel unbeknownst to him in the night-time"
71,1838,FIC,CharcoalSketches,A,B,C,"  as I do -- wicked critters all such sort of people are, "" said Lynx. "" My lad, I'm pretty clear you're a logo-fogie -- you"
94,1838,FIC,CharcoalSketches,A,B,C,"  "" and that it could talk "" just like a human "" -- "" Mr. Lynx, don't have any thing to say to him. Take him out,"
110,1838,FIC,CharcoalSketches,A,B,C,"  -- that's the idea. "" "" It's a logo-fogie! "" exclaimed Lynx with horror -- "" a right down logo-fogie! "" "" Ah! "" screamed"
116,1838,FIC,CharcoalSketches,A,B,C,"  . "" Hey! -- hello! -- come out of that, "" said Lynx, as soon as his nerves had recovered tranquillity. "" You are in a"
120,1838,FIC,CharcoalSketches,A,B,C,"  , "" with Mr. Lynx as chairman, advanced slowly and with many pauses. Lynx at last hurriedly thrust his club into the barrel, and started back to wait"
163,1838,FIC,CharcoalSketches,A,B,C,"  . I can fix it. "" Having now arrived at the street, Mr. Lynx held him by the collar, and looked about for a representative of justice to"
