entry,year,genre,source,a,b,c,text,
1,1932,FIC,MagnoliaStreet,A,B,C,  of the Jews infected them with a virus of free thinking. Most of the Magnolia Street gentiles were members of the Established Church of England. They all contributed handsomelythat,
2,1868,FIC,Daisy,A,B,C,"  building. I have never seen a prettier approach to a house than that at Magnolia. My heart was full of the beauty, this first time. "" This",
3,1835,FIC,South-WestByYankee,A,B,C,"  on them arches of foliage and flowers. Amidst these fragrant clusters, the proud magnolia raises its immoveable cone, adorned with snowy roses, and commanding the whole forest",
4,1964,MAG,GoodHouse,A,B,C,"  was a Senator. Built in 1794, it is shaded in front by 40-foothigh magnolia trees that were planted when the house was erected and which bloom for two months",
5,2004,FIC,Play:Cross,A,B,C,"  to Brad. And to my mother. THEO SCHUBERT You're serious? The Magnolia of Mobile will be present? SYDNEY You're going to say no, are",
6,1914,FIC,MovingPictureGirls,A,B,C,"  rivers that flowed under arching trees, heavy with the gray moss, went the Magnolia. The party of moving picture players had been on the move for three days",
7,1887,FIC,SongsMexicanSeas,A,B,C,"  fair and so marvellous fair, His palm-land is filled with a perfumed air Of magnolia blooms to its dome of blue. His rose-land has arbors of moss-swept oak,",
8,2004,FIC,IAmMadameXNovel,A,B,C,"  an hour, I sat on the front lawn in the gray shade of a magnolia, peeling and eating the sweet stalks as carriages rolled up the alley of oaks",
9,1868,FIC,Daisy,A,B,C,"  had no heart for my pony. I would have liked to get away from Magnolia. Yet, be I where I might, it would not alter my father",
10,1922,FIC,Cytherea,A,B,C,"  than prudence. This followed him shyly into the world, the offices of the Magnolia Iron Works; where, he had told himself optimistically, he was but finding",
11,1945,FIC,ForestSouth,A,B,C,"  the lids themselves had a peculiar pallor. Wax-white, like the petals of the magnolia blossom. When he had first come intop67this country he had gathered one of those",
12,1980,MAG,Time,A,B,C,"  the settlement # For more than an hour, the two men sat under a magnolia tree in the Rose Garden and talked. Yellow legal pad in lap, Jimmy",
13,1868,FIC,Daisy,A,B,C,"  see the rooms gay with fine dresses. I had come from the quiet of Magnolia, and accustomed to the simplicity of my mother's taste; which if it",
14,1908,FIC,PeterNovelWhich,A,B,C,"  very sorry, Mr. Grayson, but I'm booked for a supper at the Magnolia. "" Lot of the fellows want to whoop up this -- "" and he held",
15,1824,FIC,Hobomok,A,B,C,"  in that lone place, surrounded by his lovely family, seemed like some proud magnolia of the south, scathed and bared of its leaves, adorned with the golden",
16,2006,NEWS,Atlanta,A,B,C,  usually not available at local nurseries. Proceeds go toward in-town tree plantings. Outside Magnolia Hall (near tennis courts). 8 a.m. -2 p.m. Oct. 14.,
17,1932,FIC,MagnoliaStreet,A,B,C,"  the way they bade fair to break up the harmony which had grown up in Magnolia Street. It had upset him a lot. "" Yes, Bill? """,
